お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,1位,ぷろみん,お箸の長さをすべてバラバラにする,49,86.6,渡利　巣手呂(2)/Kit/ネオ/tomo/ラジウス/松竹梅バイキン(2)/里見英次郎(2)/シュヴァルツ/よしんば/秋/さくM(2)/射的屋/ヤドカリ(2)/きゅーきゅー/磯野ワイニーしようぜ/はんぺん/アウク/ましましのしま(2)/研究会員/真似き猫/モチ(2)/石原消し炭(3)/探偵Ｏ/じゃん/灰色こたつ/オレンジ/うえじゅん/まにめに/gas(2)/まつお/ちくわうし/ざき/（かぜの）すぱさぶろう(2)/真面目なパンプキン/塩鮭/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,2位,あっきーな,干さずに着せる,41,77.88,渡利　巣手呂/はっぴーえんど/ちきちきた/さけのなかのいくら/ウラニワ(2)/ポンサ(2)/里見英次郎(2)/八子八百/静脈ココアマン/当初/春巻き、咲いちゃいました/やる/射的屋/さとう軽薄/きゅーきゅー/くちおば/シャーティ/磯野ワイニーしようぜ(2)/deepnavy/ましましのしま/探偵Ｏ(2)/ふもー/曲豆卯田 /オレンジ/うえじゅん/サイコパス金子/gas/まつお/ちくわうし/デジタル奏でる(2)/中サラ/裏垢女子/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,2位,安物,全部屋に特に話したこともない親戚を設置する,41,77.88,白黒まみれ/後悔しない名前を付けよう/ウラニワ(2)/ネオ(2)/tomo/中身/ジロー(2)/ガッボデ/シュヴァルツ/よしんば/当初/やる/射的屋/高見盛/ヤドカリ/きゅーきゅー/シャーティ/ドブ/福井とマルコ/はんぺん/研究会員/山渕(2)/猫屋敷/じゃん/オレンジ/オールド/まにめに/まつお/バトルアックス(3)/ヌペシコ/ちくわうし/こしあんゼリー/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,4位,やる,ファラリスのおうち,38,74.6,さけのなかのいくら/後悔しない名前を付けよう(2)/静脈ココアマン(2)/春巻き、咲いちゃいました(2)/Eito1379/A味噌汁/アウク/春屋○イ/山渕(2)/ふもー/炊飯器/じゃん(3)/十日(3)/灰色こたつ(3)/ぷろみん(2)/ﾋﾞｰﾄ糖/サイコパス金子(2)/裏垢女子/（かぜの）すぱさぶろう/あっきーな(2)/塩鮭(2)/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,4位,渡利　巣手呂,同じ話に新鮮な相槌を打たせ続ける,38,74.6,バトルロボ/後悔しない名前を付けよう/tlicia/ポンサ(2)/松竹梅バイキン/中身(2)/静脈ココアマン/当初/秋/さくM/射的屋/さとう軽薄/シャーティ/はんぺん(3)/春屋○イ/ケイト/ましましのしま(2)/研究会員/真似き猫/石原消し炭/シンカー/猫屋敷/じゃん/灰色こたつ/うえじゅん/オールド/パペットパレット/gas/akamutu/こしあんゼリー/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,6位,くちおば,炊きたての新米を膝に盛る,35,71.33,ちきちきた/さけのなかのいくら(2)/白黒まみれ(2)/tomo/ラジウス/里見英次郎/ガッボデ/やる/射的屋/高見盛/Eito1379/さとう軽薄/デミ侍/ドブ/磯野ワイニーしようぜ/夏目(兄)/カーテンは夜ひらく/シンカー(2)/ふもー(2)/オレンジ/うえじゅん/オールド/まにめに/中サラ/ざき(2)/あっきーな/塩鮭/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,6位,ラスター,お母さんとToLOVEるを見る,35,71.33,ちきちきた/ネオ/tlicia(2)/静脈ココアマン/安物/射的屋/ヤドカリ/アカイダダリオのD/A味噌汁(2)/福井とマルコ(2)/サイ・ヤング爺ちゃん/アウク(2)/ましましのしま/山渕/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/ふもー/うえじゅん/ﾋﾞｰﾄ糖/氷の女王/パペットパレット/gas/バトルアックス(3)/大喜利の母/真面目なパンプキン/akamutu(2)/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,8位,じゃん,ギリギリ手が届かない位置に猫を置く,32,68.06,ちきちきた/ポンサ/松竹梅バイキン/八子八百/当初/春巻き、咲いちゃいました/水猫ラテ/秋/さくM(2)/射的屋/ヤドカリ(3)/きゅーきゅー(2)/くちおば/☆シナモン☆(2)/はんぺん/ケイト/やまだひらいた/真似き猫/カーテンは夜ひらく/探偵Ｏ/ふもー/gas/ヌペシコ/裏垢女子/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,8位,デミ侍,落書きの解説をさせる,32,68.06,バトルロボ/tomo(2)/ラジウス/ジロー/シュヴァルツ(2)/よしんば/天童よしみ/安物/やる/秋/きゅーきゅー/磯野ワイニーしようぜ(2)/ケイト/ましましのしま/研究会員/やまだひらいた/山渕/真似き猫/カーテンは夜ひらく/ふもー(2)/曲豆卯田 /オレンジ/まつお/ざき/あっきーな/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,8位,加藤大貴,ティッシュに母親の顔を印刷しておく,32,68.06,渡利　巣手呂/バトルロボ/ラジウス/里見英次郎(3)/ガッボデ/きゅーきゅー(2)/デミ侍/ドブ/釜ちびちび/はんぺん(2)/そうすけ/サイ・ヤング爺ちゃん(3)/サーベルタイガー/山渕/ラスター/じゃん/オレンジ/オールド/まにめに/パペットパレット/まつお/中サラ/ざき(2)/川淵(2)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,11位,ケイト,雨に濡れた大型犬を解き放つ,31,66.97,ラジウス/ジロー/ガッボデ/秋/射的屋/くちおば/アカイダダリオのD/A味噌汁/ドブ/春屋○イ/サーベルタイガー/カーテンは夜ひらく/石原消し炭(3)/シンカー/炊飯器/猫屋敷/灰色こたつ/うえじゅん/パペットパレット/デジタル奏でる/大喜利の母/ざき/裏垢女子/akamutu(2)/塩鮭/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,12位,tlicia,育つとちょうど目に刺さる位置で豆苗を育てる,30,65.88,Kit/ちきちきた/白黒まみれ/ポンサ/八子八百/ガッボデ/当初/さくM/射的屋/A味噌汁/ドブ/アウク(2)/春屋○イ/ケイト/研究会員/t5heitai(2)/真似き猫/カーテンは夜ひらく/石原消し炭/ふもー/曲豆卯田 /灰色こたつ/ヌペシコ/（かぜの）すぱさぶろう/こしあんゼリー/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,13位,覇道きてぃ,両親がお互いのことをまだエロい目で見てた時の感じで生活するのを見る,29,64.79,バトルロボ/さけのなかのいくら/ウラニワ(3)/tlicia(3)/松竹梅バイキン/中身/ジロー/シュヴァルツ/当初/安物(2)/水猫ラテ/やる/射的屋/さとう軽薄(2)/ヤドカリ/きゅーきゅー/ましましのしま/山渕/じゃん/灰色こたつ(2)/パペットパレット/川淵
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,14位,真似き猫,友達が遊びに来た部屋に母が居座る,28,63.7,バトルロボ/ウラニワ/ラジウス/ポンサ/シュヴァルツ/しゅうぴょんz/水猫ラテ/高見盛/きゅーきゅー(2)/くちおば/シャーティ/夏目(兄)/ケイト/ましましのしま/シンカー/曲豆卯田 (2)/じゃん/オレンジ(2)/ぷろみん/オールド/まつお/ヌペシコ/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,15位,ガッボデ,アレクサ、命乞い,27,62.61,はっぴーえんど/白黒まみれ/静脈ココアマン/Eito1379/さとう軽薄/ドブ/釜ちびちび/アウク/春屋○イ/夏目(兄)(2)/ましましのしま/サーベルタイガー/やまだひらいた/モチ/曲豆卯田 (2)/十日(3)/灰色こたつ/ﾋﾞｰﾄ糖/日本人はお米が大好き/ヌペシコ/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,15位,八子八百,網戸と窓ガラスの間に閉じ込める,27,62.61,Kit/さけのなかのいくら(2)/里見英次郎/中身(2)/当初/しゅうぴょんz(2)/射的屋/ドブ/磯野ワイニーしようぜ/春屋○イ/deepnavy/ましましのしま/研究会員/シンカー/ラスター(2)/じゃん/うえじゅん/サイコパス金子/まつお/ちくわうし/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,17位,deepnavy,体の右側と左側をルンバに引っ張らせる,26,61.52,Kit/ちきちきた/すーず/tlicia/静脈ココアマン/さくM/さとう軽薄(2)/A味噌汁/アウク(2)/春屋○イ/夏目(兄)/ましましのしま/t5heitai(3)/ふもー(2)/灰色こたつ/ちくわうし/ざき/川淵/投票ボーナス(3)
3231_7695_QXF,2022-08-17,125人,おうちでできる拷問,NA,17位,カンガルーノート,全ての料理をトルコアイスみたいに渡す,26,61.52,さけのなかのいくら/松竹梅バイキン(2)/八子八百/ガッボデ/安物/射的屋/くちおば/シャーティ/ドブ/そうすけ/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/カーテンは夜ひらく/猫屋敷/じゃん/オールド/日本人はお米が大好き/まつお/ちくわうし/真面目なパンプキン/あっきーな/こしあんゼリー(2)/投票ボーナス(3)
