お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7541_8195_GLV,2022-08-25,120人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7541_8195_GLV.jpeg,1位,つくり真顔,ごめんなさいしか言わない怪人だったな,43,82.21,のとさわ/じゃん/たいら/ジェンツーペンギン/maki/地球島　永遠子(2)/じゃっくん/はさあかた/Longab/遠くを見ている/Y氏/合鴨の世界/ねこライト/齋藤/八子八百/弐祭/師匠/かくれどり(2)/ターンブル/寝坊/懸垂ができる(2)/警備員(2)/やんばるた/木暮のぶお/kevin(2)/仲人さんだー/ニューロン(3)/Kit/マチ/春屋○イ/hikiniku/四つ葉の黒婆さん(2)/投票ボーナス(3)
7541_8195_GLV,2022-08-25,120人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7541_8195_GLV.jpeg,2位,omiun,怒られる女湯でした！次！,41,79.88,のとさわ/釜ちびちび/ラスター(2)/地球島　永遠子(3)/じゃっくん/ランゲル・ハンス/ノヨヒノ/後悔しない名前を付けよう/糸目の鮟鱇/さけのなかのいくら(3)/ホールド・ナッツ(2)/八子八百(3)/机上で実演/師匠/錯乱/GOMI/かくれどり(2)/懸垂ができる(2)/フスマ/カルボン酸/白黒まみれ/蟹マン/Kit/春屋○イ/hikiniku/よれん(3)/投票ボーナス(3)
7541_8195_GLV,2022-08-25,120人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7541_8195_GLV.jpeg,3位,みささぎ,また3人でバカやろうぜ,37,75.24,じゃん/釜ちびちび/そばをまぜる(2)/業務用虚無(2)/たる棒/RANRANRAN/サイ・ヤング爺ちゃん/Longab/遠くを見ている/さけのなかのいくら/ちくわうし/cin-cin侍/ホールド・ナッツ/パンジ/八子八百(2)/机上で実演/アカイダダリオのD/3ねこ/師匠/資本ネコ/GOMI/美味い焼肉屋/ターンブル/mada/やまだひらいた/やんばるた/kevin/brooks(2)/春屋○イ/薬屋のコタロー/投票ボーナス(3)
7541_8195_GLV,2022-08-25,120人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7541_8195_GLV.jpeg,4位,ヌペシコ,気をつけろ！昭和の火力だ！,35,72.92,じゃん/業務用虚無/たる棒/バトルアックス(2)/みささぎ/パンパース/RANRANRAN/ランゲル・ハンス/Longab/猫屋敷/薫(2)/モチ/nk_(2)/cin-cin侍/明石/3ねこ/町の電気屋さん/アナゴさん/mada/やまだひらいた/ひでくそ(2)/フスマ/がんばりま翔/デミ侍/昨日のおみや/白黒まみれ/Kit/玄の字。/投票ボーナス(3)
7541_8195_GLV,2022-08-25,120人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7541_8195_GLV.jpeg,5位,ジェンツーペンギン,あんなにカラフルな怪人だったのに,33,70.6,業務用虚無/たる棒/地球島　永遠子/ノヨヒノ/Longab(2)/さけのなかのいくら/新築/机上で実演/師匠/錯乱(2)/GOMI/ひじかた/寝坊/ぽ/警備員(2)/ぷろみん/昨日のおみや(2)/白黒まみれ/ます。(3)/マチ/春屋○イ/真似き猫/四つ葉の黒婆さん(2)/投票ボーナス(3)
7541_8195_GLV,2022-08-25,120人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7541_8195_GLV.jpeg,5位,机上で実演,やっぱ轢いた方が早いな,33,70.6,たいら/たる棒/バトルアックス(2)/サイ・ヤング爺ちゃん(2)/赤黄色/Longab/猫屋敷/薫/Y氏/さけのなかのいくら/ねこライト/齋藤/ホールド・ナッツ/明石/くりとりーむ/師匠/美味い焼肉屋/かくれどり/ぽ/がんばりま翔/kevin/昨日のおみや/osouonna/brooks/蟹マン/つくり真顔/春屋○イ/よれん/投票ボーナス(3)
7541_8195_GLV,2022-08-25,120人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7541_8195_GLV.jpeg,7位,真似き猫,この量って事は最終回近いな,31,68.28,RANRANRAN/赤黄色/じゃっくん/ランゲル・ハンス/Longab/薫/糸目の鮟鱇/Y氏(2)/合鴨の世界/nk_(3)/齋藤/明石/机上で実演/寝坊/ぽ/mada/フスマ/昨日のおみや/osouonna/白黒まみれ/つくり真顔/春屋○イ/くず鉄(2)/たくさん応援/投票ボーナス(3)
7541_8195_GLV,2022-08-25,120人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7541_8195_GLV.jpeg,7位,赤黄色,それぞれの小さなミスが大きなミスに繋がった,31,68.28,釜ちびちび/そばをまぜる(2)/業務用虚無(3)/サイ・ヤング爺ちゃん(2)/ノヨヒノ/合鴨の世界(2)/氷の女王/ちくわうし/明石/資本ネコ(2)/mada/ウッド原動機/やまだひらいた/ひでくそ(2)/倦怠感/やんばるた/仲人さんだー/よしんば/ぴいけいぴい/玄の字。/四つ葉の黒婆さん/投票ボーナス(3)
7541_8195_GLV,2022-08-25,120人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7541_8195_GLV.jpeg,9位,やんばるた,ガソスタを無人にする方が悪いんだからな,30,67.12,じゃん/たいら/業務用虚無/みささぎ/地球島　永遠子/Longab/omiun/薫/モチ/遠くを見ている/Y氏/合鴨の世界/水猫ラテ/気球マイスター/明石/錯乱/ターンブル/寝坊/倦怠感/かごの中の鳥/フスマ/ひっそりおにぎり(2)/仲人さんだー/osouonna(2)/春屋○イ/投票ボーナス(3)
7541_8195_GLV,2022-08-25,120人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7541_8195_GLV.jpeg,9位,ガッボデ,この足で謝りに行こう,30,67.12,たる棒/ラスター(2)/サイ・ヤング爺ちゃん/ばっは/はさあかた/新築/パンジ/八子八百/机上で実演/弐祭(2)/町の電気屋さん/錯乱/GOMI/美味い焼肉屋/ウッド原動機(2)/ひでくそ/懸垂ができる(3)/やんばるた/デミ侍/brooks/蟹マン/つくり真顔(2)/hikiniku/真似き猫
