お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4010_5182_QVQ,2022-08-28,175人,毒使いしかいない美容室は、こんなところが嫌だ,NA,1位,新築,言っていい痛みなのか迷う,82,92.55,TwistNight(2)/おあつらえ/ウラニワ(3)/八子八百/ぴいけいぴい/キャッツアイ/ひっそりおにぎり/アルゴリアン/師匠/osouonna(2)/タケちゃん(2)/灰色こたつ/仲人さんだー/アナゴさん/机上で実演/コッパー/ましましのしま/ヌペシコ/ちくわうし/MeT@/短パン/武山/ただし/後悔しない名前を付けよう/青いかさ/ほろほろ/マチ/赤黄色/cin-cin侍/ひじかた/りゔぁ/熱と気体(2)/対義語ん(2)/だ(2)/高見盛/ワッショイサンバ/オールド/赤ぺこり/ゆるふわ冬至/草津温泉(2)/せいぎのみかたの片割れ(2)/kevin/たる棒/カタン/かにスープ/ハルマレ(2)/ペプシ非公式/古本屋/金庫番/名称未設定(3)/春巻き、咲いちゃいました/青色迷子/ゆめみ/ドゥラちゃん(2)/ふふふん(2)/しばえん(2)/少しだけ賢い/シュヴァルツ/ありあ/苦肉の尺/半丙太/スピ力(2)/投票ボーナス(3)
4010_5182_QVQ,2022-08-28,175人,毒使いしかいない美容室は、こんなところが嫌だ,NA,2位,苦肉の尺,この後の予定を聞かれない,81,91.86,6年2組の2組ちゃん/おあつらえ(2)/八子八百/薫(2)/＃の中のカマ吉くん(2)/齋藤/takumidori/師匠/osouonna/タケちゃん(2)/アナゴさん/コッパー(2)/ヌペシコ(3)/また師走が来たよ/ペッタ(2)/短パン(2)/武山(2)/青いかさ/真似き猫/カンガルーノート(2)/マチ/石と日曜日/赤黄色/cin-cin侍/ひじかた/長谷川キモ彦(2)/熱と気体/にゃん氏/だ(2)/高見盛/ゆるふわ冬至/副キャプテンアメリカ/やんばるた(2)/ゆめポジ(2)/地球島　永遠子(2)/kevin/たる棒/カタン(2)/かにスープ/薬屋のコタロー/ハルマレ(2)/きゅーきゅー/けん坊/ナンの一部/金庫番/うえじゅん/ううここ/もちろん(2)/じゃっくん/にほんちゃ(2)/シュヴァルツ/ここはが(2)/ありあ(3)/巾/半丙太/投票ボーナス(3)
4010_5182_QVQ,2022-08-28,175人,毒使いしかいない美容室は、こんなところが嫌だ,NA,3位,だ,倒しますねの意味を考える沈黙の時間がある,63,79.43,6年2組の2組ちゃん(2)/TwistNight(2)/おあつらえ/ウラニワ/ぴいけいぴい/つくり真顔/静脈ココアマン/師匠/びみめし/osouonna(2)/たいら/仲人さんだー/アナゴさん/ましましのしま(2)/ヌペシコ/春屋○イ/Y氏/MeT@/マチ/RANRANRAN/Longab/やまだひらいた/ひじかた/よれん(2)/川淵(2)/オールド/台湾まぜそば/ゆめポジ/せいぎのみかたの片割れ/カタン(2)/ひなた(3)/かにスープ/覇道きてぃ/薬屋のコタロー/きゅーきゅー(2)/蟹マン/春巻き、咲いちゃいました(3)/石原消し炭(2)/うえじゅん/みやまる(2)/ジェリ(2)/ここはが/ありあ/苦肉の尺/巾/投票ボーナス(3)
4010_5182_QVQ,2022-08-28,175人,毒使いしかいない美容室は、こんなところが嫌だ,NA,4位,うえじゅん,「延びましたねー」が寿命の話,60,77.36,6年2組の2組ちゃん(2)/TwistNight/ラジウス/ぴいけいぴい(2)/ひっそりおにぎり/泥だ/アルゴリアン/びみめし/osouonna/たいら/アナゴさん/コッパー/ましましのしま/ヌペシコ/春屋○イ/MeT@/マチ/Kazuword/Longab/長谷川キモ彦(3)/よれん(2)/微分積分いい気分/にゃん氏/高見盛/とりふぐ(3)/草津温泉(2)/地球島　永遠子(2)/大喜利/sette/たる棒/カタン/気球マイスター/ひなた(3)/シェリー/ジェンツーペンギン/蟹マン/金庫番/青色迷子(3)/ゆめみ/ジェリ/シュヴァルツ/ここはが/巾/盛りすぎ店長/投票ボーナス(3)
4010_5182_QVQ,2022-08-28,175人,毒使いしかいない美容室は、こんなところが嫌だ,NA,5位,ハルマレ,みんな背後に立てて嬉しそう,59,76.67,八子八百(2)/ラジウス/ほに/ひっそりおにぎり(2)/＃の中のカマ吉くん(2)/つくり真顔/静脈ココアマン(2)/師匠/びみめし(2)/osouonna(3)/たいら/灰色こたつ/アナゴさん/春屋○イ/オリガサ/武山(2)/ただし/カンガルーノート(2)/Longab/やまだひらいた(2)/微分積分いい気分/にゃん氏(2)/川淵/旋風客/ゆるふわ冬至/台湾まぜそば/ゆめポジ(2)/kevin/かにスープ/ペプシ非公式/お肉/モチ/金庫番(2)/名称未設定(2)/みやまる/もちろん/ドゥラちゃん/ここはが/ありあ/半丙太/ねむ(2)/投票ボーナス(3)
4010_5182_QVQ,2022-08-28,175人,毒使いしかいない美容室は、こんなところが嫌だ,NA,6位,机上で実演,後ろこんな風に蝕まれてますが,58,75.98,6年2組の2組ちゃん(2)/TwistNight/ほに(2)/ひっそりおにぎり/ライトオンキュー(3)/＃の中のカマ吉くん/つくり真顔(3)/びみめし/osouonna/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/たいら/灰色こたつ/仲人さんだー/ましましのしま/春屋○イ(2)/オリガサ/武山/ただし/後悔しない名前を付けよう/マチ/もちきんちゃく(2)/石と日曜日/赤黄色/やまだひらいた(2)/微分積分いい気分/旋風客/ゆめポジ(3)/大喜利/kevin/カタン(2)/気球マイスター/ハルマレ/ペプシ非公式/お肉/きゅーきゅー/蟹マン/ナンの一部/金庫番/ドゥラちゃん/乳白色の駱駝/Kit/巾/盛りすぎ店長/投票ボーナス(3)
4010_5182_QVQ,2022-08-28,175人,毒使いしかいない美容室は、こんなところが嫌だ,NA,7位,八子八百,痒いところないですかと聞かれて、「あります」と答えたら、「楽しみです」と言われる,53,72.53,6年2組の2組ちゃん(2)/おあつらえ/かくれどり(2)/師匠/うわぁ/灰色こたつ/仲人さんだー/新築/ましましのしま/Y氏/青いかさ/石と日曜日/ひじかた/対義語ん(2)/にゃん氏/川淵/オールド/世界/やんばるた/ゆめポジ(3)/kevin(2)/ひなた(3)/ハルマレ/ジェンツーペンギン/きゅーきゅー(2)/金庫番(2)/石原消し炭(3)/青色迷子(2)/もちろん(2)/ドゥラちゃん/シュヴァルツ(2)/巾(3)/スピ力/投票ボーナス(3)
4010_5182_QVQ,2022-08-28,175人,毒使いしかいない美容室は、こんなところが嫌だ,NA,8位,名称未設定,本来歯医者が言うセリフ使ってる,52,71.84,TwistNight/ウラニワ/八子八百(2)/やる/ラジウス/泥だ/つくり真顔(2)/師匠/びみめし(2)/osouonna/タケちゃん/たいら/仲人さんだー/新築/ましましのしま/また師走が来たよ/ペッタ/真似き猫/マチ/石と日曜日/Longab/赤黄色(2)/cin-cin侍(2)/森山(2)/にゃん氏/ワッショイサンバ/ゆるふわ冬至/台湾まぜそば/sette/気球マイスター/ネスミス(2)/ハルマレ/ペプシ非公式(2)/ジェンツーペンギン(2)/きゅーきゅー/春巻き、咲いちゃいました/ドゥラちゃん/少しだけ賢い/シュヴァルツ/ありあ/投票ボーナス(3)
4010_5182_QVQ,2022-08-28,175人,毒使いしかいない美容室は、こんなところが嫌だ,NA,8位,狂坂(くるいざか),ただ祈るだけの時間がある,52,71.84,TwistNight/八子八百/キャッツアイ/及川広大/ひっそりおにぎり/泥だ/＃の中のカマ吉くん/師匠/たいら/アナゴさん/机上で実演(2)/コッパー/ましましのしま/ヌペシコ/Y氏/ペッタ/MeT@/短パン/青いかさ/真似き猫/ほろほろ/マチ/ひじかた/にゃん氏/だ(2)/オールド/ゆめポジ/地球島　永遠子(3)/kevin/気球マイスター/かにスープ/サイ・ヤング爺ちゃん/覇道きてぃ/ハルマレ(2)/ジェンツーペンギン/お肉/きゅーきゅー(2)/春巻き、咲いちゃいました/ドゥラちゃん(2)/乳白色の駱駝/ありあ/苦肉の尺/巾/盛りすぎ店長/ねむ
4010_5182_QVQ,2022-08-28,175人,毒使いしかいない美容室は、こんなところが嫌だ,NA,10位,ナンの一部,シャンプー台まで歩くとき一歩ずつダメージを受ける,51,71.15,ラジウス/及川広大(2)/泥だ(2)/tlicia(3)/つくり真顔/takumidori/静脈ココアマン(2)/osouonna/仲人さんだー/アナゴさん/ましましのしま/ヌペシコ(2)/Y氏/倉田 をるけ(2)/ひじかた/熱と気体/にゃん氏(2)/高見盛/やんばるた/いりいち/地球島　永遠子/kevin/たる棒/カタン/サイ・ヤング爺ちゃん/蟹マン/金庫番/うえじゅん/青色迷子/もちろん(3)/安物/ドゥラちゃん/少しだけ賢い/乳白色の駱駝/Kit/巾(2)/盛りすぎ店長/投票ボーナス(3)
