お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3262_7940_VHE,2022-09-04,161人,いつも川に戻ってくる鮭が今年は戻らなかった意外な理由とは？,NA,1位,赤ぺこり,痩せた熊を想像して爆笑してる,63,90.29,緑峰(3)/ダダダチョウ/にゃん氏(2)/ちくわうし/まちぐまん/無学/サメVS巨大タコス/ガッボデ/さざなみのユウ/シュヴァルツ/なり/サイコパス金子/わくられ(2)/やまもと山/6年2組の2組ちゃん(2)/ナルシマアンバイ(3)/きのこ(3)/糸目の鮟鱇/多屋光/帰る亭中野周辺/Kit/じゃん/Longab/赤黄色(2)/昨日のおみや/PD/あっきーな/ニューロン/島原てのべ/ウラニワ(3)/ネスミス(2)/一石投じ男(2)/ＣＭＣ/おもしろ王/射的屋/遠くを見ている(2)/倉田 をるけ(2)/Buchiクラフト/ほに(2)/ジェリ(2)/kevin/八子八百/投票ボーナス(3)
3262_7940_VHE,2022-09-04,161人,いつも川に戻ってくる鮭が今年は戻らなかった意外な理由とは？,NA,2位,帰る亭中野周辺,諸々Web手続きで済むことがわかったから,55,83.12,そで/にゃん氏/鬼山田/薫(2)/はんぺん/さいころちゃらみん/ライトオンキュー/おあつらえ/シュヴァルツ/町の電気屋さん/もちきんちゃく(2)/わくられ(3)/日直/大喜利の母(2)/実家に帰った鶴/きのこ(3)/ひじかた/猫屋敷/ひろろん(2)/糸目の鮟鱇/多屋光/すーず/hikiniku/うわぁ/ゆめみ/カナン/昨日のおみや(2)/弐祭(2)/（かぜの）すぱさぶろう/yuki(2)/Y氏/MeT@/gas/ＣＭＣ(2)/ふもー/射的屋/ぱにょ(3)/MODY/投票ボーナス(3)
3262_7940_VHE,2022-09-04,161人,いつも川に戻ってくる鮭が今年は戻らなかった意外な理由とは？,NA,3位,弐祭,人為的なとろみを感じる,52,80.44,寝坊/無学(2)/鬼山田/薫(3)/さいころちゃらみん/ruri/ガッボデ/白黒まみれ/おあつらえ/mississippi/シュヴァルツ/町の電気屋さん/わくられ/ふふふん/ナルシマアンバイ/実家に帰った鶴/ひじかた/毒桃/糸目の鮟鱇(2)/しまつ/すーず/hikiniku/とりふぐ/9月が終わったら起こして(2)/ゆめみ/中サラ/（かぜの）すぱさぶろう(2)/気球マイスター/ばっは/gas/苦肉の尺/一石投じ男/ＣＭＣ/北戸田スイッチ(2)/遠くを見ている/喋る犬(3)/懸垂ができる/ジェリ/kevin/八子八百/投票ボーナス(3)
3262_7940_VHE,2022-09-04,161人,いつも川に戻ってくる鮭が今年は戻らなかった意外な理由とは？,NA,4位,合鴨の世界,現場に戻ると疑われる立場にある,51,79.54,そで/にゃん氏/真似き猫/ちくわうし/無学/はんぺん(2)/さいころちゃらみん/ガッボデ/ライトオンキュー/おあつらえ/mississippi/シュヴァルツ/町の電気屋さん/やまもと山(2)/きのこ/ひじかた/里見英次郎(3)/明石/糸目の鮟鱇/多屋光/すーず/hikiniku/美味い焼肉屋/ゆめみ(2)/じゃん/泥だ/昨日のおみや(3)/ニューロン(3)/島原てのべ/ネスミス/射的屋/懸垂ができる/みやまる(3)/ジェリ(2)/ぱにょ/バトルアックス(2)/シーサイド品川/八子八百
3262_7940_VHE,2022-09-04,161人,いつも川に戻ってくる鮭が今年は戻らなかった意外な理由とは？,NA,5位,多屋光,アメリカでサーモンと呼ばれたのが嬉しくて,50,78.65,緑峰/ダダダチョウ/そで/にゃん氏/あ/ちくわうし/ぴったんこ(2)/さいころちゃらみん/ガッボデ(2)/ライトオンキュー/さくM/おあつらえ(2)/入江/町の電気屋さん/やまもと山/ホールド・ナッツ(2)/また師走が来たよ(2)/6年2組の2組ちゃん(2)/きのこ/ハングリー竹中/ひじかた/じゃん(2)/Longab/中サラ/あっきーな(2)/Y氏/ニューロン/一石投じ男/ＣＭＣ(2)/北戸田スイッチ/氷の女王/遠くを見ている/みやまる/ぱにょ(3)/kevin(2)/投票ボーナス(3)
3262_7940_VHE,2022-09-04,161人,いつも川に戻ってくる鮭が今年は戻らなかった意外な理由とは？,NA,6位,八子八百,クジラは行きたい場所に行ってる,46,75.06,寝坊/あ/真似き猫/ちくわうし/さいころちゃらみん/サメVS巨大タコス/おあつらえ/mississippi/シュヴァルツ(2)/町の電気屋さん/日直/ふふふん/きのこ(3)/ハングリー竹中/ひじかた/多屋光/しまつ/hikiniku/うわぁ/Kit/ゆめみ(3)/赤黄色(2)/昨日のおみや/yuki(2)/気球マイスター/あっきーな/ばっは/シェリー/島原てのべ/ウラニワ(3)/ＣＭＣ/北戸田スイッチ/ふもー/おもしろ王/投票ボーナス(3)
3262_7940_VHE,2022-09-04,161人,いつも川に戻ってくる鮭が今年は戻らなかった意外な理由とは？,NA,7位,倉田 をるけ,鮭家（しゃっけ）した,45,74.17,杏露酒/緑峰(2)/にゃん氏/あ(2)/まちぐまん/サメVS巨大タコス/ライトオンキュー/ソングライン/わくられ/やまもと山/ホールド・ナッツ(2)/また師走が来たよ(3)/ナルシマアンバイ/きのこ(3)/僕は純粋/里見英次郎(2)/明石/Simomi/すーず/うわぁ(3)/美味い焼肉屋(2)/泥だ/北戸田スイッチ/おもしろ王/氷の女王/Buchiクラフト/はぺこん/ぱにょ(3)/うえじゅん/投票ボーナス(3)
3262_7940_VHE,2022-09-04,161人,いつも川に戻ってくる鮭が今年は戻らなかった意外な理由とは？,NA,8位,hikiniku,いい大学に入ったいとこも帰ってくる,39,68.8,寝坊/ちくわうし/おあつらえ/入江/シュヴァルツ/なり/わくられ/実家に帰った鶴/きのこ/アズラス力ル(2)/毒桃(2)/ひろろん/里見英次郎/糸目の鮟鱇/うわぁ/とりふぐ(2)/ゆめみ/じゃん/泥だ/カナン(2)/気球マイスター/あっきーな/ニューロン/MeT@/gas/苦肉の尺/一石投じ男(2)/倉田 をるけ/懸垂ができる/みやまる(2)/投票ボーナス(3)
3262_7940_VHE,2022-09-04,161人,いつも川に戻ってくる鮭が今年は戻らなかった意外な理由とは？,NA,8位,カンガルーノート,地元ノリがキツくなってたから,39,68.8,杏露酒/緑峰/tlicia(2)/真似き猫/ちくわうし/まちぐまん/薫(2)/さいころちゃらみん/サメVS巨大タコス/ソングライン/ゆるふわ冬至/なり/ふふふん/きのこ(3)/ハングリー竹中(3)/しまつ/Simomi/hikiniku/9月が終わったら起こして/じゃん/カナン/Y氏/gas/ネスミス/ＣＭＣ/ハム86枚/射的屋/kevin/うえじゅん/シーサイド品川/投票ボーナス(3)
3262_7940_VHE,2022-09-04,161人,いつも川に戻ってくる鮭が今年は戻らなかった意外な理由とは？,NA,10位,ほに,マスがシフト代わってくれた,37,67.01,杏露酒(2)/にゃん氏/ガッボデ(2)/ゆるふわ冬至/シュヴァルツ/もちきんちゃく(2)/サイコパス金子/やまもと山/6年2組の2組ちゃん(2)/大喜利の母/きのこ(3)/アズラス力ル/ひじかた/里見英次郎/明石/Simomi(2)/美味い焼肉屋/ゆめみ/中サラ(3)/昨日のおみや/PD/ＣＭＣ/後悔しない名前を付けよう/ジェリ/うえじゅん/投票ボーナス(3)
