お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3938_8352_LOJ,2022-09-06,135人,ちっちゃいおっさんのちっちゃい幸せ,NA,1位,少しだけ賢い,役所だけは平等に扱ってくれる,53,91.24,きのこ/うーん2ポイント/ガッボデ/大福包み放題(2)/赤い髪/高見盛/又三郎/ちぇん/特効さん/MeT@/Simomi/倉田 をるけ(2)/八子八百/神になれ！/ジェリ/ざんだん(2)/猫屋敷/Kuramo(2)/3ねこ/帰る亭中野周辺(2)/ぱにょ(2)/キャッツアイ/後悔しない名前を付けよう/うましか(3)/mississippi/杏露酒/おもしろ王/ソングライン/地球島　永遠子/昨日のおみや/実家に帰った鶴/どすけべ内閣大改造/mada/射的屋(2)/大喜利の母/brooks(2)/シュヴァルツ/湘ゼミ‪α‬(3)/投票ボーナス(3)
3938_8352_LOJ,2022-09-06,135人,ちっちゃいおっさんのちっちゃい幸せ,NA,2位,八子八百,また僕だけが通れる近道だ,52,90.07,きのこ/たこ焼きボンバー/ほしこ(2)/A味噌汁/大福包み放題/明石/大至急/赤い髪/まとこ/又三郎/赤ぺこり/ちぇん/風邪め/かくれどり(2)/のちほど/シーサイド品川/Simomi/まどろむROM専/倉田 をるけ/ほに/kevin(2)/さくM/ふもー/しまつ/Kuramo(3)/3ねこ(2)/石原消し炭(2)/後悔しない名前を付けよう/うましか/モチ/はっぴーえんど/ペプシ非公式/地球島　永遠子/かごの中の鳥/昨日のおみや/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/mada/さいころちゃらみん/射的屋/新築/brooks/シュヴァルツ/投票ボーナス(3)
3938_8352_LOJ,2022-09-06,135人,ちっちゃいおっさんのちっちゃい幸せ,NA,3位,はっぴーえんど,Ａ３で全身コピーできる,41,77.21,ガッボデ/たこ焼きボンバー/A味噌汁/赤い髪/高見盛/さかなへん(2)/ちぇん/長谷川キモ彦/特効さん/MeT@/きれいな市役所/あああ/ふもー(2)/3ねこ(2)/灰色こたつ/後悔しない名前を付けよう/春巻き、咲いちゃいました/世界/モチ/アカイダダリオのD/HydroPump/地球島　永遠子(2)/かごの中の鳥/ライトオンキュー/mada/さいころちゃらみん/シェリー/射的屋/蟹マン/brooks(2)/シュヴァルツ(3)/投票ボーナス(3)
3938_8352_LOJ,2022-09-06,135人,ちっちゃいおっさんのちっちゃい幸せ,NA,3位,射的屋,おっきいおじさんとの文通,41,77.21,中身/きのこ(3)/A味噌汁/少しだけ賢い/アウク/ゆめみ/ちぇん/ペッタ/特効さん/のちほど/Simomi/あああ/神になれ！/怪奇！エビフライランド(3)/Kuramo/インド哲学/スピ力/春巻き、咲いちゃいました(2)/うましか(2)/杏露酒/石と日曜日/獏/地球島　永遠子/どすけべ内閣大改造/れれれのれき/お汁かける(2)/大喜利の母(2)/brooks(2)/YoSKee0222/投票ボーナス(3)
3938_8352_LOJ,2022-09-06,135人,ちっちゃいおっさんのちっちゃい幸せ,NA,5位,中身,女に耳栓として使われる,37,72.53,うーん2ポイント/A味噌汁/大至急/ゆめみ/高見盛/ペッタ/長谷川キモ彦/かくれどり(2)/kevin/八子八百(2)/ちくわうし(2)/Kuramo/ひょんなことから/玄の字。/スピ力/春巻き、咲いちゃいました/mississippi/ううここ/薬屋のコタロー/池上彰@悪魔使い(2)/もちきんちゃく/ペプシ非公式/地球島　永遠子/かごの中の鳥/実家に帰った鶴/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/大喜利の母(2)/ナルシマアンバイ(2)/投票ボーナス(3)
3938_8352_LOJ,2022-09-06,135人,ちっちゃいおっさんのちっちゃい幸せ,NA,6位,高見盛,少し大きめの秋見つけた,35,70.19,きのこ/アウク/長谷川キモ彦/ほに(2)/kevin/怪奇！エビフライランド(3)/猫屋敷/Kuramo/くじ/灰色こたつ(2)/後悔しない名前を付けよう/うましか(2)/mississippi/地球島　永遠子(2)/かごの中の鳥/ハングリー竹中(3)/昨日のおみや/mada/射的屋/蟹マン/brooks(2)/YoSKee0222/シュヴァルツ/投票ボーナス(3)
3938_8352_LOJ,2022-09-06,135人,ちっちゃいおっさんのちっちゃい幸せ,NA,7位,蟹マン,子ども料金で風俗に行けた,34,69.02,中身(3)/ちぇん/のちほど(2)/Simomi/倉田 をるけ/しまつ/ぱにょ(2)/灰色こたつ/インド哲学/玄の字。/後悔しない名前を付けよう/春巻き、咲いちゃいました(2)/モチ/おもしろ王/薬屋のコタロー/池上彰@悪魔使い(2)/どすけべ内閣大改造(3)/れれれのれき(2)/brooks/シュヴァルツ(3)/投票ボーナス(3)
3938_8352_LOJ,2022-09-06,135人,ちっちゃいおっさんのちっちゃい幸せ,NA,8位,町の電気屋さん,「ふ」をすごくバランス良く書けた,32,66.68,中身/A味噌汁/大福包み放題/少しだけ賢い(2)/美味い焼肉屋(2)/ゆめみ/又三郎/特効さん/氷の女王/Simomi/ふもー/Kuramo(2)/くじ/リボンちゃん/玄の字。/メンヘラKくん/うましか(2)/獏/HydroPump/昨日のおみや/実家に帰った鶴/さいころちゃらみん/射的屋/新築/シュヴァルツ/投票ボーナス(3)
3938_8352_LOJ,2022-09-06,135人,ちっちゃいおっさんのちっちゃい幸せ,NA,8位,風邪め,ちっちゃい競馬で600円勝った,32,66.68,きのこ/うーん2ポイント/ガッボデ/たこ焼きボンバー/美味い焼肉屋(2)/ゆめみ/赤ぺこり/長谷川キモ彦/kevin/森山/さくM/ちくわうし/怪奇！エビフライランド(3)/ふもー/しまつ/帰る亭中野周辺/スピ力/春巻き、咲いちゃいました/うましか(2)/mississippi/ホールド・ナッツ(2)/地球島　永遠子/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/シュヴァルツ/投票ボーナス(3)
3938_8352_LOJ,2022-09-06,135人,ちっちゃいおっさんのちっちゃい幸せ,NA,10位,怪奇！エビフライランド,笑われて稼いだ金で買った、1本の缶コーヒー,30,64.35,大福包み放題(2)/風邪め/ペッタ/特効さん/MeT@/のちほど/倉田 をるけ/猫屋敷/Kuramo(3)/くじ/後悔しない名前を付けよう/ソングライン/ヒカル/ハングリー竹中/実家に帰った鶴/さいころちゃらみん/シェリー/射的屋/あつあつクレアおばさん(3)/ナルシマアンバイ/シュヴァルツ(2)/投票ボーナス(3)
