お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3805_0444_AKN,2022-09-16,129人,お相撲さん5人でルームシェアする時にいちばん大切なルールを教えてください,NA,1位,くじ,ピンクのまわしが干してたら外で時間を潰す,63,97.07,がんばりま翔(2)/つくり真顔(2)/ライトオンキュー/そいそーす(3)/IWA/灰色胡椒/実家に帰った鶴/焼き網膜(2)/コモリヤ/ぷろみん/ひじかた/ふぉとん/pseudo/マルチスケイル(2)/156_910(3)/悪魔が夜来る(2)/また師走が来たよ(2)/すーず(2)/なかにし(2)/mada/田口さん🍙(3)/カタン/ましましのしま/バカ/うえじゅん/さけのなかのいくら/ごしはるDx(3)/幽体/ペイ/泥だ/ゆめみ(3)/ぽっかりすえっと(2)/獏/ハルマレ/耳ぶた/倉田 をるけ(2)/地球島　永遠子/Kit/遠くを見ている(2)/Y氏/おあつらえ/ニューロン
3805_0444_AKN,2022-09-16,129人,お相撲さん5人でルームシェアする時にいちばん大切なルールを教えてください,NA,2位,すーず,湿気はみんなの責任,49,83.07,mississippi/がんばりま翔(2)/納屋の鍵/メロディックストーム/ラジウス/新築/ゆうとってゆうとるやん/ふもー/ジロー/にほんちゃ/くものす/アズラス力ル(2)/灰色胡椒(2)/実家に帰った鶴/大喜利の母/半丙太/よれん/156_910/悪魔が夜来る/渡利　巣手呂(2)/ひょんなことから/田口さん🍙/ましましのしま/brooks/うえじゅん/美味い焼肉屋(2)/ゆめみ(3)/ぽっかりすえっと/ほに(2)/ぽーるまっかーとにー/ハルマレ/地球島　永遠子(2)/遠くを見ている/お肉/おあつらえ/ニューロン(2)/投票ボーナス(3)
3805_0444_AKN,2022-09-16,129人,お相撲さん5人でルームシェアする時にいちばん大切なルールを教えてください,NA,3位,くらおっと,もうこれ以上誰も誘うな,48,82.07,9月が終わったら起こして/dishディナ男/納屋の鍵/つくり真顔/ライトオンキュー/そいそーす/ゆうとってゆうとるやん(2)/白身魚のフライ/ジロー/灰色胡椒(2)/最後の在校生(3)/新Goo/ぷろみん/ひじかた(2)/ふぉとん/また師走が来たよ(2)/暴風よ吹け/田口さん🍙/カタン(2)/brooks/齋藤/雑巾だるま/苦肉の尺/うえじゅん/長谷川キモ彦/二階から手続き/さけのなかのいくら/エマニエル大臣/美味い焼肉屋/ほに/ハルマレ(2)/ナルシマアンバイ/耳ぶた/ペプシ非公式/地球島　永遠子/ドロップシンカー/お肉(2)/おあつらえ/ソングライン
3805_0444_AKN,2022-09-16,129人,お相撲さん5人でルームシェアする時にいちばん大切なルールを教えてください,NA,4位,マルチスケイル,郵便物の本名は見なかったことにする,47,81.07,9月が終わったら起こして/mississippi/dishディナ男/納屋の鍵/つくり真顔/きれいな市役所/ふもー(2)/にほんちゃ/最後の在校生/実家に帰った鶴/あぱ/焼き網膜(2)/半丙太/pseudo/すーず/暴風よ吹け(2)/なかにし/カタン/ましましのしま(3)/バカ/長谷川キモ彦(2)/うわぁ/カンガルーノート(2)/机上で実演/今日の明日です/幽体/Longab/美味い焼肉屋/ゆめみ(2)/ぽっかりすえっと(2)/ペプシ非公式/地球島　永遠子/ドロップシンカー/Y氏/ソングライン/投票ボーナス(3)
3805_0444_AKN,2022-09-16,129人,お相撲さん5人でルームシェアする時にいちばん大切なルールを教えてください,NA,5位,齋藤,良いどすこいが出たらみんなで褒める,40,74.07,がんばりま翔/納屋の鍵/つくり真顔/ラジウス/IWA/白身魚のフライ/茶華な/白黒まみれ/ハピネス本田2/ひじかた/悪魔が夜来る(2)/ぽ/mada/田口さん🍙/やる/苦肉の尺/二階から手続き/エマニエル大臣/膝小僧(3)/幽体/美味い焼肉屋/ゆめみ/各々の小野の斧(2)/ハルマレ(3)/ペプシ非公式/倉田 をるけ/スピ力/遠くを見ている/お肉/おあつらえ/ニューロン/投票ボーナス(3)
3805_0444_AKN,2022-09-16,129人,お相撲さん5人でルームシェアする時にいちばん大切なルールを教えてください,NA,6位,うえじゅん,片側に寄らない,34,68.07,メロディックストーム/ラジウス/IWA/白身魚のフライ/はっぴーえんど/最後の在校生/焼き網膜(2)/ハピネス本田2/ヒデオ(2)/すーず/mada/齋藤/やる/苦肉の尺/さけのなかのいくら/てばさき(3)/エマニエル大臣/泥だ/とぅみとぅく/ほに/ぽーるまっかーとにー(2)/ハルマレ/耳ぶた/地球島　永遠子/お肉/及川広大/投票ボーナス(3)
3805_0444_AKN,2022-09-16,129人,お相撲さん5人でルームシェアする時にいちばん大切なルールを教えてください,NA,6位,ハルマレ,ご飯を完食しないと「残った！」とはしゃぐので注意する,34,68.07,dishディナ男/納屋の鍵/明石(2)/ラジウス/アズラス力ル/大喜利の母(2)/よれん/お汁かける/ヒデオ(2)/なかにし/田口さん🍙/ましましのしま/雑巾だるま/うえじゅん/長谷川キモ彦/ほぼ赤ちゃん/机上で実演(2)/じゃっくん(2)/Longab/カービィ何喰ったお前/ペイ/ぽっかりすえっと/地球島　永遠子/お肉/Y氏/おあつらえ/投票ボーナス(3)
3805_0444_AKN,2022-09-16,129人,お相撲さん5人でルームシェアする時にいちばん大切なルールを教えてください,NA,6位,地球島　永遠子,NHKの集金が来たら、５人で壁になって優勝旗とか馬鹿デカい盃を隠す,34,68.07,dishディナ男(2)/帰る亭中野周辺/ライトオンキュー/ゆうとってゆうとるやん(2)/にほんちゃ/アズラス力ル(3)/あぱ(2)/ぷろみん/ハピネス本田2/なかにし/田口さん🍙/ましましのしま/やる/長谷川キモ彦/二階から手続き(3)/今日の明日です/みやまる/カービィ何喰ったお前/獏/そうすけ/お肉/Sane(3)/投票ボーナス(3)
3805_0444_AKN,2022-09-16,129人,お相撲さん5人でルームシェアする時にいちばん大切なルールを教えてください,NA,9位,ぽ,床が抜けないように五稜郭みたいに寝る,32,66.07,9月が終わったら起こして/つくり真顔/新築/掻痒/きれいな市役所(2)/白身魚のフライ/にほんちゃ/はっぴーえんど/実家に帰った鶴/半丙太/ペッタ/156_910(2)/また師走が来たよ(2)/すーず/田口さん🍙(2)/さけのなかのいくら/机上で実演/ごしはるDx/Longab(2)/ペイ/ゆめみ/耳ぶた/倉田 をるけ/地球島　永遠子/投票ボーナス(3)
3805_0444_AKN,2022-09-16,129人,お相撲さん5人でルームシェアする時にいちばん大切なルールを教えてください,NA,9位,ゆうとってゆうとるやん,勝ったか聞いてから録画を見る,32,66.07,mississippi/納屋の鍵/掻痒/キャ馬/灰色胡椒/実家に帰った鶴/半丙太/ふぉとん/マルチスケイル/また師走が来たよ(2)/渡利　巣手呂(2)/すーず/暴風よ吹け/田口さん🍙/苦肉の尺/うえじゅん/長谷川キモ彦/さけのなかのいくら/机上で実演/幽体/Longab/カービィ何喰ったお前/とぅみとぅく/ほに/地球島　永遠子/お肉/Sane/投票ボーナス(3)
