お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4546_8233_XHL,2022-09-27,185人,初めて痴漢する時に言ったセリフ,NA,1位,ばっは,すみません、今お痴漢よろしいでしょうか？,73,93.7,うえじゅん/ハゲイナズマ/きどさん(2)/堅あげポテト好き(2)/ジェンツーペンギン/あまるる(3)/ましましのしま/米(おこめ)/さいころちゃらみん/バトルアックス(3)/進撃/yuki/明鏡シスコン/資本ネコ/ドロップシンカー(3)/ほろほろ/にゃん氏(2)/シナプス/スポーツバッグ/大喜利/旋風客/ぽ/飯田しっぺ/きりしまちゃん(2)/毒念/お汁かける/セコイア(3)/二階から手続き/じゃっくん(3)/ベコタ/高原キャベツ太郎/なかにし/TwistNight(2)/缶ポロ(2)/ガッボデ/世界/地球島　永遠子/ちりー(2)/机上で実演/ライトオンキュー/たんけだ(2)/MODY/やじうさん/Y氏/明石/白滝BOX(2)/アガリブル/ミスティカティ/せんだい/ここはが/シンオウ地方/投票ボーナス(3)
4546_8233_XHL,2022-09-27,185人,初めて痴漢する時に言ったセリフ,NA,2位,大至急,これ無料なのかよ凄いな,62,84.28,ホーミング/堅あげポテト好き/踊場/ふふふん(2)/及川広大(2)/カンガルーノート/おもしろ王(2)/ましましのしま/あああ/米(おこめ)/ダダダチョウ/明鏡シスコン/神になれ！/イハ/ゆるふわ冬至/大喜利/旋風客/北戸田スイッチ/きりしまちゃん/ホリ(2)/はやてもの/二階から手続き/懸垂ができる/合鴨の世界/きまぐれ/なかにし/＃の中のカマ吉くん/ガッボデ/地球島　永遠子(2)/たる棒/やる/セトピア(3)/tlicia(2)/タケちゃん(2)/つくり真顔/たんけだ(2)/brooks(2)/明石/サメVS巨大タコス/ダダダ(2)/omiun(3)/ほに/青いかさ/アガリブル(2)/投票ボーナス(3)
4546_8233_XHL,2022-09-27,185人,初めて痴漢する時に言ったセリフ,NA,3位,神になれ！,クイズとかも出せますけど,61,83.43,きどさん/とりふぐ/ホーミング/マルチスケイル/堅あげポテト好き/頭脳まさき(2)/シンマイ子(2)/ジェンツーペンギン(2)/及川広大/白黒まみれ/ワッショイサンバ/ターンブル/カンガルーノート/おもしろ王/ヒカル/米(おこめ)(2)/ピュレグミ(3)/ばっは/みどーかずまさ(2)/ゆるふわ冬至/寺井/hp/ノルマンディー/飯田しっぺ/秋月杏子/ポコ太郎/ホリ/はやてもの/金庫番/mada/きまぐれ/パペットパレット/南部屋敷/＃の中のカマ吉くん/地球島　永遠子/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/やる/akamutu(2)/盛りすぎ店長(2)/tlicia/やまだひらいた(2)/Y氏/幽体/omiun/青いかさ/アガリブル/ここはが/きれいな市役所/投票ボーナス(3)
4546_8233_XHL,2022-09-27,185人,初めて痴漢する時に言ったセリフ,NA,4位,ハングリー竹中,法にも触れちゃった,59,81.72,ハゲイナズマ/山渕(2)/きどさん/マルチスケイル/シンマイ子(2)/踊場/ネオ/新Goo(2)/バトルアックス(3)/yuki/明鏡シスコン/ドロップシンカー(2)/白キごはん(2)/にゃん氏/ぽ/ノルマンディー(2)/飯田しっぺ/ふわっと/ひなた(3)/お汁かける/PD/セコイア(3)/二階から手続き/mada/懸垂ができる/メロディックストーム/川淵/なかにし/TwistNight/世界/ほ/地球島　永遠子/凱旋の門/やる/akamutu/女子フルーレ団体決勝/盛りすぎ店長(2)/かくれどり/たんけだ/MODY/やじうさん/明石/とぅみとぅく/アガリブル/こっぺ(2)
4546_8233_XHL,2022-09-27,185人,初めて痴漢する時に言ったセリフ,NA,5位,とりふぐ,僕が先攻でいいですか,52,75.72,白身魚のフライ/ハゲイナズマ/頭脳まさき(2)/シンマイ子(2)/シーサイド品川/じゃん/Kit/カンガルーノート/バトルアックス(2)/ほろほろ/ゆるふわ冬至/寺井/にゃん氏/hp/大喜利/ぽ/秋月杏子/ふわっと/hikiniku/お汁かける/二階から手続き/りんかんがっこう/ウルグ愛之助/パペットパレット/缶ポロ(2)/地球島　永遠子/ちりー(2)/机上で実演/ライトオンキュー/セトピア/女子フルーレ団体決勝(2)/MODY/Y氏/ダダダ/omiun/ほに/アガリブル/たこ焼きボンバー(3)/ここはが/シンオウ地方(2)/投票ボーナス(3)
4546_8233_XHL,2022-09-27,185人,初めて痴漢する時に言ったセリフ,NA,6位,金庫番,チュートリアルみたいな車両あるな,48,72.3,うえじゅん/ハゲイナズマ/踊場/ジェンツーペンギン/ネオ/ふふふん(2)/帰る亭中野周辺/ワッショイサンバ/カンガルーノート/ヒカル/あああ/ダダダチョウ/yuki/明鏡シスコン/イハ/寺井/にゃん氏/大喜利/旋風客/はやてもの(3)/メロディックストーム/後藤日(2)/ウルグ愛之助/パペットパレット/缶ポロ(3)/Kazuword(3)/地球島　永遠子(2)/凱旋の門(3)/やる/セトピア/Y氏/掻痒/アガリブル(2)/投票ボーナス(3)
4546_8233_XHL,2022-09-27,185人,初めて痴漢する時に言ったセリフ,NA,7位,ナンの一部,お互い損しかしてないですよこれ,46,70.59,ホーミング/ゆうとってゆうとるやん/踊場/ジェンツーペンギン/獏/白黒まみれ(2)/じゃん/Kit/米(おこめ)(2)/みどーかずまさ/白キごはん(2)/ゆるふわ冬至/大喜利/飯田しっぺ/秋月杏子/ふわっと/じゃっくん(3)/懸垂ができる(2)/高原キャベツ太郎/後藤日(2)/きまぐれ/田口さん🍙/TwistNight/パペットパレット/缶ポロ/ガッボデ/机上で実演/赤ぺこり/りきえもん/森山/brooks/サメVS巨大タコス/掻痒/たこ焼きボンバー(2)/せんだい/投票ボーナス(3)
4546_8233_XHL,2022-09-27,185人,初めて痴漢する時に言ったセリフ,NA,8位,こっぺ,触っちゃった婚ってあるのかな,44,68.88,長谷川キモ彦/山渕(2)/ホーミング/のとさわ/ジェンツーペンギン/ターンブル/さいころちゃらみん/大至急/ダダダチョウ/ドロップシンカー/神になれ！/大喜利/旋風客/ぽ/飯田しっぺ/ホリ/hikiniku/モルヒネ夫/りんかんがっこう/高原キャベツ太郎/川淵/後藤日(2)/静かの海(3)/なかにし(2)/田口さん🍙/南部屋敷/たる棒/凱旋の門/たんけだ/やじうさん/brooks/明石/とぅみとぅく/納屋の鍵/omiun/ほに/投票ボーナス(3)
4546_8233_XHL,2022-09-27,185人,初めて痴漢する時に言ったセリフ,NA,9位,スポーツバッグ,これが無料だなんて,43,68.02,うえじゅん/ハゲイナズマ/きどさん/頭脳まさき/ネオ/シーサイド品川/じゃん/Kit/ターンブル/1/毒桃(2)/白キごはん(2)/イハ/ぽ/きりしまちゃん(2)/ホリ/hikiniku/お汁かける/セコイア/二階から手続き(2)/りんかんがっこう(2)/丙丙丙/ウルグ愛之助/パペットパレット/南部屋敷/＃の中のカマ吉くん/ガッボデ/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/凱旋の門/赤ぺこり/やる/明石/納屋の鍵/こっぺ/せんだい/投票ボーナス(3)
4546_8233_XHL,2022-09-27,185人,初めて痴漢する時に言ったセリフ,NA,9位,違うじゃん,今から、僕という器が割れます,43,68.02,ゆうとってゆうとるやん/ううここ/大至急(3)/進撃/ダダダチョウ/ほろほろ/神になれ！/Simomi/ゆるふわ冬至/寺井/にゃん氏/毒念/ひなた/はやてもの(2)/懸垂ができる/メロディックストーム/後藤日(2)/丙丙丙(3)/ウルグ愛之助/きまぐれ(2)/田口さん🍙/ISSAYの部下A/カナリカリガ・タカ/やる/りきえもん/森山/女子フルーレ団体決勝(2)/つくり真顔/かくれどり(3)/やまだひらいた(2)/幽体/omiun
