お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5051_4566_OIC,2022-10-03,154人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5051_4566_OIC.jpeg,1位,きまぐれ,「一方その頃」にしては情報が多い,69,92.05,ネオ/D-6/プーアル茶(2)/こっぺ(3)/昨日のおみや(3)/赤黄色/とりふぐ/セトピア/ガッボデ(2)/omiun/cin-cin侍/1(3)/スパルタ/標識/深井あじわい/うわぁ/ライトオンキュー/マービィ/ちくわうし/No Image(2)/射的屋/気球マイスター/たまゆら天国/りんかんがっこう/Mr9cumber/一流(2)/ナルシマアンバイ/パピ4/釜ちびちび/たこ焼きボンバー/錯乱/寺井/乃蘭(3)/Y氏/業務用虚無(3)/肉用の牛(2)/正座/大喜利の母/シンオウ地方/ガブリエル・カサクシア/及川広大/青いかさ/田口さん🍙/バトルアックス(2)/ふもー(2)/つくり真顔/デリカットケント/ノビッタ/クライムカイザーⅡ/投票ボーナス(3)
5051_4566_OIC,2022-10-03,154人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5051_4566_OIC.jpeg,2位,北戸田スイッチ,今のところ馬の意見の方が尊重されてるわ,52,77.42,モチ(2)/長老_M/やまだひらいた/ヒカル(2)/昨日のおみや(2)/ガッボデ/omiun/cin-cin侍/ぴょん/sacrifice/No Image/射的屋/飯田しっぺ/ジェンツーペンギン/カタン/気球マイスター/合鴨の世界/たまゆら天国/五言舌禍(2)/キャッツアイ/お肉/TwistNight(2)/釜ちびちび/業務用虚無(2)/ダダダチョウ/正座(2)/地球島　永遠子/かごの中の鳥/大喜利の母/hikiniku/ガブリエル・カサクシア/ましましのしま/バトルアックス(2)/ふふふん/デリカットケント/ほしこ/実家に帰った鶴/クライムカイザーⅡ(2)/近江(2)/投票ボーナス(3)
5051_4566_OIC,2022-10-03,154人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5051_4566_OIC.jpeg,3位,mississippi,やっぱりみんな喪服じゃない,51,76.56,モチ/ネオ/プーアル茶/ちりー(2)/とりふぐ/ガッボデ/ひでくそ/takahashi(2)/ぴょん/ばっは/ステラおばさん(2)/ちくわうし/じゃん(2)/こそば/ド下品(2)/カタン/りんかんがっこう/シンマイ子/インド哲学/金庫番/入江/覇道きてぃ/ノルマンディー/TwistNight(2)/釜ちびちび/きまぐれ/たこ焼きボンバー/錯乱/ダダダチョウ/大喜利の母/tlicia/きょく(2)/ふもー(2)/踊場/デリカットケント/ほしこ/実家に帰った鶴/クライムカイザーⅡ(3)/投票ボーナス(3)
5051_4566_OIC,2022-10-03,154人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5051_4566_OIC.jpeg,4位,掻痒,普通に車検通りましたね,48,73.98,モチ/D-6/プーアル茶/モルヒネ夫(2)/PD/毒念/mississippi/Sane(3)/omiun/ホーミング/深井あじわい/ちくわうし/きみをゆるさない。/ジェンツーペンギン/ド下品/ニカフルサワ/カタン/ラジウス/五言舌禍/北戸田スイッチ/金庫番/ノルマンディー/TwistNight/釜ちびちび/くすも/きまぐれ/たこ焼きボンバー/錯乱(2)/中沢の人/かごの中の鳥/大喜利の母/hikiniku/灰色こたつ/きょく/ふふふん/brooks/ハチコー(2)/つくり真顔/ほしこ/実家に帰った鶴/投票ボーナス(3)
5051_4566_OIC,2022-10-03,154人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5051_4566_OIC.jpeg,5位,くすも,鮮やかな邪魔をするわよ,47,73.12,大至急/やまだひらいた/まとこ/ゆうとってゆうとるやん/たる棒/ライトオンキュー/ばっは/ケイト/おあつらえ/sacrifice/飯田しっぺ/ジェンツーペンギン/全て/せんだい(2)/ニカフルサワ/カタン/たまゆら天国(3)/半丙太/五言舌禍(2)/一流(2)/北戸田スイッチ/キャッツアイ/お肉/釜ちびちび/錯乱/業務用虚無(2)/堅あげポテト好き/お汁かける/灰色こたつ/悪魔が夜来る/青いかさ/ましましのしま/ジェリ/ふふふん(3)/brooks/踊場/投票ボーナス(3)
5051_4566_OIC,2022-10-03,154人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5051_4566_OIC.jpeg,5位,ダダダチョウ,顔に当たりそうなのは全部折る,47,73.12,プーアル茶(2)/こっぺ(3)/ゆうとってゆうとるやん/ねむ(3)/マービィ/おあつらえ/飯田しっぺ/全て/半丙太/北戸田スイッチ(3)/金庫番/ノルマンディー/釜ちびちび/きまぐれ/錯乱/やる/ペッタ/業務用虚無/肉用の牛/正座(2)/hikiniku/シンオウ地方(2)/青いかさ/政策/赤ぺこり/ましましのしま/ジェリ/ふもー/踊場/つくり真顔(2)/デリカットケント(3)/実家に帰った鶴/投票ボーナス(3)
5051_4566_OIC,2022-10-03,154人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5051_4566_OIC.jpeg,7位,政策,市のお金よ、たくさん無駄遣いしましょう,46,72.26,プーアル茶/こっぺ/やまだひらいた/ヒカル(2)/きれいな市役所(2)/ゆうとってゆうとるやん(2)/たる棒/深井あじわい/中原ぽ麦/ばっは/ステラおばさん(2)/白黒まみれ/ケイト/射的屋/ジェンツーペンギン/ニカフルサワ/気球マイスター/五言舌禍(2)/りんかんがっこう/Mr9cumber/一流/キャッツアイ/莉蒼/ぽ/錯乱/中沢の人(2)/ガブリエル・カサクシア(2)/アカイダダリオのD/灰色こたつ/きょく(2)/パンジ/ノビッタ/ほしこ/クライムカイザーⅡ(2)/投票ボーナス(3)
5051_4566_OIC,2022-10-03,154人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5051_4566_OIC.jpeg,8位,中沢の人,ごめんなさい、今は好奇心が強いの,42,68.82,ネオ/あまるる/長老_M/毒念/RANRANRAN/3ねこ/ホーミング/標識/深井あじわい/風来坊主/ばっは/ケイト/おあつらえ/じゃん/射的屋/ジェンツーペンギン/気球マイスター/五言舌禍/キャッツアイ(2)/釜ちびちび(2)/きまぐれ(2)/ペッタ/業務用虚無(2)/正座/日本国憲法/及川広大/灰色こたつ/政策/赤ぺこり/ふふふん/踊場/ノビッタ/ほしこ/クライムカイザーⅡ(2)/投票ボーナス(3)
5051_4566_OIC,2022-10-03,154人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5051_4566_OIC.jpeg,9位,かごの中の鳥,あら偶然会ったわね、本当に偶然よ,41,67.96,大至急/ネオ/やまだひらいた/赤黄色/omiun(2)/ぴょん/うわぁ/きみをゆるさない。/射的屋/カタン/合鴨の世界/シンマイ子(2)/インド哲学/キャッツアイ/ぽ/たこ焼きボンバー/錯乱/中沢の人(2)/業務用虚無/ジャンゴりせい/hikiniku/tlicia/青いかさ/ましましのしま(2)/バトルアックス(2)/ふもー/踊場/つくり真顔/デリカットケント/ノビッタ/ほしこ/クライムカイザーⅡ(2)/投票ボーナス(3)
5051_4566_OIC,2022-10-03,154人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5051_4566_OIC.jpeg,9位,ジェリ,植えるだけで私有地になるわよ,41,67.96,大至急(2)/モチ/セトピア/mississippi/ぴょん/スパルタ(2)/うわぁ/風来坊主/マービィ(2)/白黒まみれ/ちくわうし/sacrifice(2)/中サラ/飯田しっぺ/ジェンツーペンギン/ニカフルサワ(2)/たまゆら天国/五言舌禍/りんかんがっこう/北戸田スイッチ/覇道きてぃ/TwistNight(2)/後悔しない名前を付けよう/たこ焼きボンバー/ペッタ/寺井/ダダダチョウ/堅あげポテト好き/アカイダダリオのD/悪魔が夜来る/きょく/政策/投票ボーナス(3)
