お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3091_8395_VIY,2022-10-04,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3091_8395_VIY.jpg,1位,中サラ,「故人の意志」って結構融通効くんだね,37,87.03,かぎや/永田おふとん/きょうか(3)/業務用虚無(3)/少しだけ賢い/三戸(2)/田口さん🍙/おあつらえ(2)/まんたろう/ニカフルサワ/そいそーす(3)/昨日のおみや(2)/ちりー(2)/帰る亭中野周辺/みやまる/又三郎/ダダダチョウ/ほしこ/mississippi/ジェリ/がんばりま翔/ワッショイサンバ/まあまあ/ハチコー/投票ボーナス(3)
3091_8395_VIY,2022-10-04,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3091_8395_VIY.jpg,2位,骨密度,はいこちら宗教,31,77.79,きょうか/水谷新太郎(2)/各々の小野の斧/悪魔が夜来る/昨日のおみや/中原ぽ麦/スポーツバッグ/やまだひらいた/みやまる/大喜利の母/ベンジャミン(2)/ほしこ/ましましのしま/mississippi/良識/ガブリエル・カサクシア(2)/がんばりま翔/たこ焼きボンバー/安達些細(3)/まあまあ(2)/ドゥラちゃん(2)/投票ボーナス(3)
3091_8395_VIY,2022-10-04,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3091_8395_VIY.jpg,3位,OilDrinker,オールナイト末法のお時間です,26,70.1,かぎや/溢れ出る肉汁/業務用虚無(3)/三戸/山渕/アズラス力ル/ニカフルサワ/中サラ/悪魔が夜来る/ねむ(2)/昨日のおみや(2)/ちりー/ベンジャミン/ほろほろ/きょく(2)/たまゆら天国/ましましのしま/ジェリ/がんばりま翔/二階から手続き/ぴょん
3091_8395_VIY,2022-10-04,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3091_8395_VIY.jpg,3位,スポーツバッグ,最後に希望が残りますよ,26,70.1,かぎや/五言舌禍/きょうか/りきえもん/業務用虚無(2)/tomo(3)/ニカフルサワ(2)/灰色こたつ/悪魔が夜来る/ほしこ/たまゆら天国(2)/ましましのしま/骨密度/たこ焼きボンバー/ぴょん/sacrifice/ドゥラちゃん/アカイダダリオのD/投票ボーナス(3)
3091_8395_VIY,2022-10-04,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3091_8395_VIY.jpg,5位,ペルシャ猫の家出,入口でちっちゃい木魚買わされる,25,68.56,山渕(2)/おあつらえ/まんたろう/tomo(2)/ニカフルサワ/森山/中サラ/昨日のおみや(2)/中原ぽ麦/確率論のパラテママ/やまだひらいた/シュヴァルツ/ほしこ/たまゆら天国/ましましのしま/大型ケミカル/安達些細(2)/ドゥラちゃん/投票ボーナス(3)
3091_8395_VIY,2022-10-04,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3091_8395_VIY.jpg,6位,昨日のおみや,念のためこの後ちゃんと唱えた,23,65.49,五言舌禍/業務用虚無(2)/少しだけ賢い/tomo/スポーツバッグ/帰る亭中野周辺/確率論のパラテママ/白滝BOX/みやまる(2)/ベンジャミン/ほしこ/きょく/大型ケミカル/骨密度/二階から手続き/ぴょん/sacrifice/ドゥラちゃん/投票ボーナス(3)
3091_8395_VIY,2022-10-04,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3091_8395_VIY.jpg,7位,堅あげポテト好き,俺は徳を積みすぎた。減らそう。,22,63.95,かぎや/永田おふとん(2)/きょうか/溢れ出る肉汁(2)/業務用虚無(2)/おあつらえ(2)/アズラス力ル(2)/マス田中/各々の小野の斧/世界/TwistNight/やまだひらいた/ラジウス/ダダダチョウ/AYAKA/すーず/日本国憲法
3091_8395_VIY,2022-10-04,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3091_8395_VIY.jpg,7位,掻痒,昨日まではちゃんと茶道部だった,22,63.95,かぎや(2)/永田おふとん/業務用虚無(2)/三戸(2)/中サラ/悪魔が夜来る/シュヴァルツ/ほしこ/きょく/たまゆら天国(2)/ましましのしま/mississippi/骨密度/たこ焼きボンバー/ペルシャ猫の家出/投票ボーナス(3)
3091_8395_VIY,2022-10-04,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3091_8395_VIY.jpg,9位,鮭の皮,ゴールデンに進出してから何か違う,21,62.41,りきえもん/業務用虚無(2)/山渕/水谷新太郎/tomo/昨日のおみや/中原ぽ麦/世界/白滝BOX/ごはんリーベルト/ましましのしま/ガブリエル・カサクシア/がんばりま翔/バトルアックス(2)/ぴょん/sacrifice/投票ボーナス(3)
3091_8395_VIY,2022-10-04,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3091_8395_VIY.jpg,10位,ぴょん,お釈迦様はトリなんで28時からですね,20,60.87,各々の小野の斧/中サラ/昨日のおみや/中原ぽ麦/ちりー/帰る亭中野周辺/大喜利の母/ラジウス/ダダダチョウ/ましましのしま/MODY/ジェリ/がんばりま翔/ワッショイサンバ/バトルアックス(2)/xixi/投票ボーナス(3)
3091_8395_VIY,2022-10-04,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3091_8395_VIY.jpg,11位,三戸,たった1人の視聴者のリクエストに応え続けたらこうなった。,19,59.33,りきえもん/業務用虚無(2)/少しだけ賢い/山渕/おあつらえ/副キャプテンアメリカ/高見盛/昨日のおみや/なめくじの乱舞/やまだひらいた/ましましのしま/MODY/がんばりま翔/ペルシャ猫の家出/ハチコー/投票ボーナス(3)
3091_8395_VIY,2022-10-04,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3091_8395_VIY.jpg,11位,少しだけ賢い,はい、認知症にも効きます,19,59.33,永田おふとん/業務用虚無/キャ馬/ニカフルサワ/森山/灰色こたつ/ねむ/TwistNight/シュヴァルツ/ダダダチョウ/すーず/骨密度/sacrifice/ペルシャ猫の家出/ハチコー/あさま/投票ボーナス(3)
3091_8395_VIY,2022-10-04,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3091_8395_VIY.jpg,11位,田口さん🍙,あの人小学校まで神童って言われてたのにね～,19,59.33,業務用虚無/山渕/ニカフルサワ/森山/セコイア/昨日のおみや/なめくじの乱舞/シュヴァルツ/AYAKA/すーず/ましましのしま(2)/ジェリ/日本国憲法(2)/アカイダダリオのD/投票ボーナス(3)
3091_8395_VIY,2022-10-04,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3091_8395_VIY.jpg,14位,xixi,天国のお爺さんも縦ノリしてるでしょう,18,57.79,業務用虚無(2)/おあつらえ(2)/中サラ/ねむ/昨日のおみや(2)/シュヴァルツ/ほろほろ/ほしこ/ましましのしま/がんばりま翔/二階から手続き/ペルシャ猫の家出/投票ボーナス(3)
