お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,1位,北戸田スイッチ,八百屋に「メンヘラの」で覚えられてた,50,90.8,ゆめみ(2)/ましましのしま/よれん/お汁かける/ニラ玉/かくれどり/白身魚のフライ/猫屋敷/ソナチネ/物数/雨はやさしく/パテ/ゆうらいど/ダンス部/にゃん氏/OilDrinker(3)/長老_M/旋風客/くすも/ひなた(3)/こたつ/mississippi/スピ力/ぽぽいのぽい/じゃっくん(3)/りんかんがっこう(2)/きゅーきゅー/さっつん/TwistNight/四角いタコ/風邪め/KURAGE58N/9月が終わったら起こして/小雀長吉(2)/カラス(2)/さっくら観光/Simomi/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,2位,カラス,リスカ専用カッターが発売され急に冷めてしまった,39,77.91,ゆめみ/ましましのしま/デリカットケント(3)/かくれどり/田口さん🍙/白身魚のフライ/ソナチネ/パテ(2)/いにしえ/maitake/1(2)/akamutu/きみをゆるさない。/OilDrinker(2)/赤ぺこり/倉田 をるけ/かめかめかめ(3)/ふふふん/五言舌禍/中サラ(2)/実家に帰った鶴/かごの中の鳥(2)/右肩重心/良い革靴/KURAGE58N(2)/Gully/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,3位,こたつ,転んだ時に太い声が出た,38,76.74,ましましのしま(2)/よれん/きりまる/深井あじわい/ソナチネ/ハングリー竹中(2)/maitake/射的屋/1/のちほど(2)/ゆうらいど/ここはが/倉田 をるけ/資本ネコ/＃の中のカマ吉くん/カナリカリガ・タカ/さいころちゃらみん/ひなた/息ぼ(2)/mississippi/スピ力/パンジ/ぷにぷにのカニ/パピ4/さっつん/ウラニワ/風邪め/Gully/明石/Simomi(2)/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,4位,さっくら観光,差別的なので「気にし過ぎさん」と呼ばれるようになった,35,73.22,ゆめみ(2)/ましましのしま(2)/お汁かける/デリカットケント(3)/かくれどり/helma_chang/深井あじわい/物数/灰色こたつ/サクガワ(2)/ダンス部/にゃん氏/運尽きて枯れ/倉田 をるけ/ひなた/安達些細/息ぼ/五言舌禍/実家に帰った鶴/じゃっくん(2)/パピ4/りんかんがっこう/右肩重心/TwistNight/KURAGE58N(2)/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,5位,てぃすこ,ツイッターで親らしきアカウントがいいねだけしてきた,34,72.05,ゆめみ/デリカットケント/白身魚のフライ/深井あじわい(2)/パテ(2)/サクガワ(2)/プーアル茶/きみをゆるさない。/OilDrinker/アカイダダリオのD/資本ネコ/くすも/ももぐも/五言舌禍/実家に帰った鶴/ちーかま/さっつん/四角いタコ(2)/野沢さん/北戸田スイッチ/風邪め/良識/株と丑/明石(2)/小雀長吉/サイレン/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,6位,TwistNight,「OK Google、希望を見せて」って言ったら希望を見せてくれた,33,70.88,ましましのしま(3)/かくれどり/白身魚のフライ/helma_chang(2)/鮭の皮/掻痒/射的屋/1/寝坊/otogi(2)/モチ/旋風客/倉田 をるけ(3)/ふふふん/じゃん/てぃすこ(2)/ジェンツーペンギン(2)/fumiyan/納屋の鍵(2)/小雀長吉(2)/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,7位,パテ,リスカ痕をおばあちゃんに縫われる,32,69.71,ましましのしま/白身魚のフライ/helma_chang/掻痒/ソナチネ/ゆうらいど(2)/にゃん氏/長老_M/モチ/旋風客/赤ぺこり/倉田 をるけ/かめかめかめ(2)/スピ力/パンジ/ぽぽいのぽい/ちーかま/じゃん/右肩重心/さっつん/四角いタコ/野沢さん(3)/北戸田スイッチ/KURAGE58N/小雀長吉/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,7位,倉田 をるけ,粘土殴ってるだけで楽しいな,32,69.71,ましましのしま/田口さん🍙/helma_chang/深井あじわい/maitake/ゆうらいど/ポンサ/にゃん氏/運尽きて枯れ/長老_M/＃の中のカマ吉くん/さいころちゃらみん/息ぼ(2)/ももぐも/mississippi/ぽぽいのぽい(2)/厄年/さっつん/TwistNight(2)/ウラニワ(3)/ジェンツーペンギン/良識/Gully/さっくら観光/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,7位,良識,これ、私以外にもいるな,32,69.71,ましましのしま/ニラ玉/かくれどり(2)/射的屋/1(2)/サクガワ/ダンス部/ナルシマアンバイ/長老_M/＃の中のカマ吉くん/ももぐも/パンジ/きゅーきゅー(2)/てぃすこ/ウラニワ(3)/ジェンツーペンギン/良い革靴(2)/納屋の鍵/小雀長吉/カラス(2)/サイレン(2)/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,10位,深井あじわい,リスカ吸いにくる蚊がいる,31,68.54,デリカットケント/ハングリー竹中/いにしえ/akamutu/ダンス部/ナルシマアンバイ/にゃん氏/長老_M/モチ/旋風客/ヘルシー帝/安達些細(2)/ももぐも/こたつ/中サラ(2)/実家に帰った鶴/ぽぽいのぽい/ぷにぷにのカニ/じゃっくん(2)/きゅーきゅー/さっつん/良識/KURAGE58N/納屋の鍵/Simomi/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,11位,ジェンツーペンギン,今のあいみょんの方が好きだと気付いた,29,66.19,ましましのしま/パテ/いにしえ/射的屋/akamutu(2)/新Goo/ダンス部/きみをゆるさない。/ベコタ/ここはが/寝坊/長老_M/otogi(2)/さいころちゃらみん/ふふふん/実家に帰った鶴/厄年/KURAGE58N(2)/Gully/ぴょん/納屋の鍵/さっくら観光/サイレン/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,12位,かごの中の鳥,した事ある罪で捕まってるのを見た,28,65.02,かくれどり/きりまる(2)/射的屋/akamutu(3)/ポンサ(2)/ベコタ/運尽きて枯れ/長老_M/＃の中のカマ吉くん/かめかめかめ/カナリカリガ・タカ/息ぼ/ももぐも/スピ力/実家に帰った鶴/TwistNight/てぃすこ(2)/風邪め/9月が終わったら起こして/さっくら観光/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,13位,じゃん,botでもできることだと気づいた,27,63.85,マコトシヤカ/ましましのしま/田口さん🍙/悪魔が夜来る/きりまる/鮭の皮/ソナチネ/灰色こたつ/新Goo/サクガワ/ナルシマアンバイ/にゃん氏/長老_M/旋風客/ひなた/mississippi/大隈重信/右肩重心/てぃすこ/北戸田スイッチ/良い革靴/9月が終わったら起こして/fumiyan/納屋の鍵/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,13位,白身魚のフライ,メンヘラ２の時代がきた,27,63.85,かくれどり/物数/ハングリー竹中(3)/灰色こたつ/射的屋/のちほど/akamutu/ダンス部/きみをゆるさない。/運尽きて枯れ/ももぐも/中サラ/ぷにぷにのカニ/りんかんがっこう/TwistNight/たまゆら天国(3)/ぴょん/明石/納屋の鍵/Simomi/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,15位,息ぼ,濃い麦茶を飲むようになった,26,62.68,ましましのしま/深井あじわい/雨はやさしく(2)/射的屋/ゆうらいど/ポンサ(2)/ナルシマアンバイ/運尽きて枯れ/寝坊/ヘルシー帝/さいころちゃらみん/ひなた/五言舌禍/mississippi/ぽぽいのぽい/厄年/たまゆら天国(3)/Gully/明石/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,16位,1,分裂するマイメロディの世話をしなければならなくなった,25,61.5,よれん/深井あじわい/鮭の皮/猫屋敷/掻痒/物数/射的屋/ゆうらいど/プーアル茶(2)/ベコタ/資本ネコ/ぷにぷにのカニ/じゃん/きゅーきゅー/右肩重心/Gully(2)/ぴょん/小雀長吉(2)/さっくら観光/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,17位,mississippi,水っぽくならない麻婆豆腐の作り方を教わった,24,60.33,マコトシヤカ/ましましのしま/ニラ玉/きりまる/鮭の皮/射的屋/新Goo(2)/ポンサ/ダンス部/ナルシマアンバイ/にゃん氏/くすも/ふふふん/五言舌禍/きゅーきゅー/ジェンツーペンギン/fumiyan/Gully(2)/さっくら観光/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,17位,風邪め,彼氏にアフリカ見せられた,24,60.33,白身魚のフライ/きりまる/深井あじわい/maitake/ポンサ/にゃん氏(2)/寝坊/モチ/＃の中のカマ吉くん/カナリカリガ・タカ/ぽぽいのぽい/ぷにぷにのカニ/じゃん/さっつん/良識/Gully/納屋の鍵(3)/さっくら観光/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,19位,ポンサ,壁に開けた穴にツバメが巣を作った,23,59.16,マコトシヤカ/ましましのしま(3)/猫屋敷/パテ/新Goo/きみをゆるさない。/ナルシマアンバイ/運尽きて枯れ/モチ/カナリカリガ・タカ/ももぐも/中サラ/りんかんがっこう/ちーかま/きゅーきゅー/Gully/ぴょん/明石/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,19位,五言舌禍,乗り換えの才能があった,23,59.16,ましましのしま/鮭の皮/蜃気楼/物数/雨はやさしく/射的屋/ナルシマアンバイ/寝坊(2)/otogi(2)/くすも/さいころちゃらみん/安達些細/大隈重信/じゃん/北戸田スイッチ/fumiyan/さっくら観光/Simomi/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,19位,納屋の鍵,休日を有効に使えるようになった,23,59.16,デリカットケント/かくれどり/田口さん🍙/灰色こたつ/パテ/プーアル茶/ポンサ/きみをゆるさない。/運尽きて枯れ/モチ/＃の中のカマ吉くん/くすも/さいころちゃらみん/安達些細/五言舌禍/実家に帰った鶴/厄年/じゃん/ジェンツーペンギン/ぴょん/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,22位,きみをゆるさない。,ストレスに弱いってタコと同じだねと言われた,22,57.99,マコトシヤカ/ゆめみ/ましましのしま/デリカットケント/猫屋敷/ソナチネ/akamutu/にゃん氏/＃の中のカマ吉くん/安達些細/五言舌禍/mississippi/野沢さん/風邪め/良識/fumiyan/Gully/納屋の鍵(2)/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,22位,キャ馬,柔らかいベッドと、あったかいご飯,22,57.99,ましましのしま/お汁かける/雨はやさしく/1(3)/新Goo/ポンサ(2)/otogi(2)/さいころちゃらみん/パピ4/右肩重心/良い革靴(2)/ぴょん(2)/明石/カラス(2)/Simomi
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,22位,パピ4,手首を切る動きで木を切ったら家がどんどん出来た,22,57.99,ソナチネ/1/イヴ(2)/運尽きて枯れ/赤ぺこり/カナリカリガ・タカ/こたつ/mississippi/パンジ/厄年(2)/きゅーきゅー(2)/さっつん(2)/北戸田スイッチ/たまゆら天国/株と丑/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,25位,ぷにぷにのカニ,完全に白黒のおばさんを見かけた,21,56.82,かくれどり(2)/鮭の皮/射的屋/運尽きて枯れ/寝坊/otogi(2)/さいころちゃらみん/安達些細/ももぐも/mississippi/パンジ/ぽぽいのぽい(2)/各々の小野の斧/Gully/納屋の鍵/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,25位,大喜利の母,もう十分やりきった,21,56.82,悪魔が夜来る/蜃気楼/猫屋敷/物数/灰色こたつ/いにしえ/射的屋/1/akamutu/OilDrinker/寝坊/旋風客/中サラ(2)/ぷにぷにのカニ/りんかんがっこう/良い革靴/良識/9月が終わったら起こして/カラス/Simomi
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,25位,小雀長吉,和田アキ子に「君はそもそも何で病んでる方なの」と聞かれた,21,56.82,ましましのしま/田口さん🍙/灰色こたつ/OilDrinker(3)/ひなた/ふふふん/こたつ/パンジ/実家に帰った鶴/風邪め/ジェンツーペンギン(2)/良識/サイレン(3)/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,28位,6人で鍋パ,メンヘラがヘラを左手に持って「ヘラメンヘラ」になった時に、「ヘラ」に挟まれた「メン」がひっくり返って「ヘラヘラヘラ」に変わった,20,55.64,ましましのしま/ニラ玉(2)/かくれどり/掻痒/サクガワ/にゃん氏(2)/OilDrinker/寝坊(2)/ひなた/ふふふん/スピ力/実家に帰った鶴/じゃっくん(2)/かごの中の鳥/ちーかま/きゅーきゅー
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,28位,安達些細,ヤクルトの効果ってすごいな,20,55.64,ましましのしま/ニラ玉/田口さん🍙/ポンサ/にゃん氏/ここはが/長老_M/＃の中のカマ吉くん/かめかめかめ/さいころちゃらみん/ふふふん/こたつ/パンジ/さっつん/fumiyan/Gully/明石/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,28位,鮭の皮,キャリーケースにサンリオグッズを入れなければ全部入る,20,55.64,ゆめみ/helma_chang(2)/射的屋/ナルシマアンバイ/にゃん氏/アカイダダリオのD/安達些細/mississippi/ぷにぷにのカニ/りんかんがっこう/てぃすこ(3)/明石/納屋の鍵(2)/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,31位,くすも,ヘラったとて田舎の伝統は変わらない,19,54.47,ましましのしま(2)/白身魚のフライ/helma_chang(2)/深井あじわい/猫屋敷/ハングリー竹中/ベコタ/ここはが/otogi(2)/ももぐも/実家に帰った鶴/各々の小野の斧/ジェンツーペンギン/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,31位,ゆめみ,地元が戦地になった,19,54.47,よれん/かくれどり/鮭の皮/ソナチネ/のちほど/ここはが/＃の中のカマ吉くん/カナリカリガ・タカ/安達些細/厄年/じゃん/良い革靴(2)/Gully/納屋の鍵/小雀長吉/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,31位,モチ,犬飼ったほうがいいなって思った,19,54.47,掻痒/いにしえ/射的屋/プーアル茶/ダンス部/きみをゆるさない。/寝坊/＃の中のカマ吉くん/パピ4/じゃん/てぃすこ/ウラニワ(2)/北戸田スイッチ/風邪め/Simomi/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,31位,掻痒,カミソリを重く感じた,19,54.47,デリカットケント/きりまる/鮭の皮/イヴ(2)/ダンス部(2)/ここはが/長老_M/かめかめかめ/パピ4/りんかんがっこう(2)/KURAGE58N(3)/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,31位,資本ネコ,ツチノコを発見した時「君も僕に見つかったね」と言われた,19,54.47,ニラ玉(2)/悪魔が夜来る/射的屋/にゃん氏/ベコタ/ヘルシー帝/倉田 をるけ(2)/五言舌禍/かごの中の鳥/北戸田スイッチ(3)/小雀長吉(2)/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,36位,きゅーきゅー,この世のすべてを“カワイイ”で片付けるおじさんとの出会い,18,53.3,ゆめみ(2)/猫屋敷/パテ/プーアル茶/アカイダダリオのD/otogi/倉田 をるけ/安達些細/こたつ/ぽぽいのぽい/厄年/ちーかま/ぴょん/納屋の鍵/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,36位,ここはが,歴史の教科書に「メンヘラ」が載り始めた,18,53.3,ゆめみ/白身魚のフライ/物数/新Goo/otogi(2)/スピ力/じゃっくん/さっつん/TwistNight(2)/四角いタコ(3)/明石/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,36位,ふふふん,「死にたい」が名前だと思われてた,18,53.3,かくれどり(2)/雨はやさしく(2)/akamutu(2)/ナルシマアンバイ/にゃん氏/カナリカリガ・タカ/スピ力/じゃん/風邪め/ジェンツーペンギン/9月が終わったら起こして/Gully/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,36位,へそ,切る手首が無くなった,18,53.3,お汁かける/デリカットケント/ハングリー竹中/新Goo/サクガワ(2)/OilDrinker/赤ぺこり/スピ力/大隈重信/パピ4/かごの中の鳥/りんかんがっこう/野沢さん(2)/良識/9月が終わったら起こして/小雀長吉
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,36位,実家に帰った鶴,突然遊びにきたおじいちゃんがマイメロデーと呼んだ,18,53.3,灰色こたつ/maitake/寝坊(2)/資本ネコ(3)/くすも/安達些細/こたつ/四角いタコ/風邪め/ジェンツーペンギン/納屋の鍵/小雀長吉/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,36位,寝坊,もうやだ「何が？」生活が！「なんで？」人間関係上手くいってないの！「でも人間関係って上手くいかないものよ、まずは人の好きなところ見つけなさい」なるほど、わかった！　謎おばさんのファインプレー,18,53.3,ましましのしま/ニラ玉/かくれどり(2)/資本ネコ(2)/ふふふん/息ぼ/スピ力/実家に帰った鶴/パピ4/ちーかま/納屋の鍵/小雀長吉(2)/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,36位,明石,初めて大吉が出た,18,53.3,マコトシヤカ/ましましのしま/プーアル茶(2)/きみをゆるさない。/運尽きて枯れ/ここはが/モチ/こたつ/ちーかま/じゃん/良識/9月が終わったら起こして/さっくら観光(2)/投票ボーナス(3)
5866_9073_EGH,2022-10-14,128人,メンヘラがメンヘラじゃなくなったきっかけ,NA,36位,運尽きて枯れ,たぬきの金玉でかすぎる,18,53.3,きりまる/パテ/射的屋/1/ゆうらいど/ポンサ/アカイダダリオのD/寝坊/息ぼ(2)/北戸田スイッチ(2)/Gully(2)/納屋の鍵/投票ボーナス(3)
