お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7969_3174_LBM,2022-10-17,124人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7969_3174_LBM.jpeg,1位,鮭の皮,笑いは味で取りたいのに,48,90.36,いりまめ/金庫番/北戸田スイッチ/お肉/ばしはし/安達些細/恥さらしのスパゲッティ/ばっは/tomo/にゃん氏/ぷにぷにのカニ/んん゛/ふもー(2)/森山(2)/ネオ/オギノテンマ/メロディックストーム/悪魔が夜来る/noodle/合鴨の世界/fumiyan/ほろほろ/ナルシマアンバイ/やんばるた/机上で実演(2)/赤い髪/ハゲイナズマ/実家に帰った鶴/白滝BOX/世界/ソナチネ(3)/きょうか/玄の字。/やる(2)/セトピア/赤黄色/ちぇん/二階から手続き/中沢の人/投票ボーナス(3)
7969_3174_LBM,2022-10-17,124人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7969_3174_LBM.jpeg,2位,ぷにぷにのカニ,ここでいったん台無しにします,41,82.14,いりまめ(2)/ばしはし/タベタベタ/ダスチン・コフマン(2)/せんだい(2)/ごはんリーベルト/ましましのしま(2)/Gully/長谷川キモ彦(2)/ネオ/とんかつラーメン/tome_ru/納屋の鍵/悪魔が夜来る/赤い髪/ハゲイナズマ/サービス残響/及川広大/インペリアルおじさん/シンマイ子(2)/玄の字。/ホーミング/シュヴァルツ/テケ罪(2)/やる/セトピア/ぷろみん/Simomi/続きを読む/二階から手続き/長老_M/投票ボーナス(3)
7969_3174_LBM,2022-10-17,124人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7969_3174_LBM.jpeg,3位,金庫番,何でもう担架来てるのよ,36,76.27,たいら/カタン(2)/恥さらしのスパゲッティ/羅列ロール/brooks/Gully/長谷川キモ彦/ゆめみ/ネオ/ねこライト/灰色こたつ(2)/ぴょん/納屋の鍵(2)/悪魔が夜来る/noodle/カクレミノムシ/ほろほろ/わけわかめ/及川広大/また師走が来たよ/インペリアルおじさん/ホーミング/シュヴァルツ(3)/テケ罪/Simomi(2)/3ねこ(2)/投票ボーナス(3)
7969_3174_LBM,2022-10-17,124人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7969_3174_LBM.jpeg,4位,3ねこ,この工程が難しいの,35,75.09,北戸田スイッチ/渡利　巣手呂/踊場/帰る亭中野周辺/さっくら観光/ダスチン・コフマン/ましましのしま/tomo/brooks/ゆめみ(2)/ねこライト/PD/納屋の鍵/カクレミノムシ(2)/ナルシマアンバイ/釜ちびちび/机上で実演/DP.(2)/白滝BOX/世界/及川広大/ここはが/インペリアルおじさん/シンマイ子/ホーミング/テケ罪/やる/ぽ/長老_M/投票ボーナス(3)
7969_3174_LBM,2022-10-17,124人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7969_3174_LBM.jpeg,5位,また師走が来たよ,だから重力は嫌いなの,33,72.74,踊場/sakamata2/たいら/ましましのしま/にゃん氏/羅列ロール/んん゛/Gully/長谷川キモ彦/ねこライト/灰色こたつ/ぴょん/tome_ru/息ぼ/後悔しない名前を付けよう/納屋の鍵/fumiyan/くすも/釜ちびちび/DP.(2)/アナゴさん/玄の字。/ホーミング/シュヴァルツ(2)/よれん/ぷろみん/二階から手続き/中沢の人/投票ボーナス(3)
7969_3174_LBM,2022-10-17,124人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7969_3174_LBM.jpeg,6位,くすも,このまま私ごとオーブンよ,31,70.4,北戸田スイッチ/踊場/せんだい/ましましのしま(2)/tomo/にゃん氏/唯月/野沢さん(2)/Gully/長谷川キモ彦/森山/メロディックストーム/fumiyan/赤い髪/サービス残響/ソナチネ/及川広大(2)/また師走が来たよ/暴風よ吹け/アナゴさん/ホーミング/よれん/ちぇん(3)/投票ボーナス(3)
7969_3174_LBM,2022-10-17,124人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7969_3174_LBM.jpeg,7位,きいろ,でもきっと炒飯になるわ,29,68.05,渡利　巣手呂/せんだい/たいら/ごはんリーベルト/安達些細/赤ぺこり/んん゛/brooks/Gully/ネオ/ぴょん/息ぼ/後悔しない名前を付けよう/納屋の鍵(2)/悪魔が夜来る/noodle/覇道きてぃ/ナルシマアンバイ/くすも/赤い髪/白滝BOX/また師走が来たよ/ここはが/シュヴァルツ/3ねこ(2)/続きを読む/中沢の人
7969_3174_LBM,2022-10-17,124人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7969_3174_LBM.jpeg,8位,合鴨の世界,なんなのよ先週から,28,66.87,渡利　巣手呂(3)/20020703/せんだい/たいら/猫屋敷/brooks/Gully/じろう/ゆめみ/森山(3)/ネオ/ねこライト(2)/PD/オギノテンマ/また師走が来たよ/インペリアルおじさん/シュヴァルツ/赤黄色/ぷろみん/3ねこ/投票ボーナス(3)
7969_3174_LBM,2022-10-17,124人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7969_3174_LBM.jpeg,8位,森山,さぁこっからは皆さんの手拍子も大事です,28,66.87,北戸田スイッチ(3)/渡利　巣手呂/ベコタ/ごはんリーベルト/資本ネコ/tomo(3)/羅列ロール(2)/ぷにぷにのカニ/brooks/オギノテンマ/カクレミノムシ(2)/ハゲイナズマ/ここはが/アナゴさん/ももぐも/やる/赤黄色/二階から手続き/長老_M/投票ボーナス(3)
7969_3174_LBM,2022-10-17,124人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7969_3174_LBM.jpeg,8位,納屋の鍵,人の家でやるから楽しいんだ,28,66.87,踊場/ベコタ/せんだい/ましましのしま/にゃん氏/んん゛/brooks/Gully/ねこライト/灰色こたつ/オギノテンマ/ううここ/覇道きてぃ/合鴨の世界/ナルシマアンバイ/くすも/釜ちびちび/インペリアルおじさん(2)/アナゴさん/ホーミング/シュヴァルツ/セトピア/赤黄色/Simomi/投票ボーナス(3)
