お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1434_2092_MZB,2022-11-04,146人,おじさんが自動販売機を揺らしながら一言,NA,1位,新Goo,俺より稼ぎやがって,47,85.54,よれん/KURAGE58N/堅あげポテト好き(2)/シュヴァルツ/ねむみ/小雀長吉/helma_chang(2)/すーず/メンテ/きれいな市役所/土産/ドゥラちゃん/わけわかめ/僕は純粋/ガッボデ(2)/ちーかま/すくみ(2)/骨密度/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/ゆめみ/9月が終わったら起こして/チャイニーズマフィア(2)/チェルカ/こたつ/仮囲い/猫屋敷/灰色こたつ/ジェリ(2)/Kit/shinpoko/けーねこ/さんべ商会(3)/くすも/ジョンとも/キング/タベタベタ/投票ボーナス(3)
1434_2092_MZB,2022-11-04,146人,おじさんが自動販売機を揺らしながら一言,NA,2位,とりふぐ,出すだけの毎日でいいのか,41,78.74,よれん/otogi/KURAGE58N/800/シュヴァルツ/けつめんぴ/小雀長吉/スポーツバッグ/ぽ(2)/甜/デミ侍/ありあ/ラテ(2)/たいら/きれいな市役所/土産/ドゥラちゃん/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/ナルシマアンバイ/毒念/新Goo/鮒侍/遠くを見ている/駄三盆/南部屋敷/ジェリ/Kit/shinpoko/さんべ商会(2)/くすも/絶佳(3)/フイ/sacrifice/投票ボーナス(3)
1434_2092_MZB,2022-11-04,146人,おじさんが自動販売機を揺らしながら一言,NA,3位,こたつ,100円だったお前に戻ってくれよ,36,73.07,ねころび/800/シュヴァルツ/アカイダダリオのD/甜/モチ/釜ちびちび/ダンス部/あまるる/ねこライト/旋風客/ゆめみ(2)/とりふぐ/納屋の鍵/チェルカ/新Goo(2)/駄三盆/かくれどり(2)/南部屋敷/ジェリ/熱と気体/カルロスフィットネス/osouonna(2)/糸目の鮟鱇/tomo/頭脳まさき(2)/タベタベタ(2)/投票ボーナス(3)
1434_2092_MZB,2022-11-04,146人,おじさんが自動販売機を揺らしながら一言,NA,3位,すーず,あなたより働いてますみたいな顔やめろ,36,73.07,よれん(2)/KURAGE58N(2)/堅あげポテト好き/800/いのちのぶんなぐり/おまつり(2)/ラテ(2)/おしゃべりな哺乳類/きれいな市役所/あまるる/土産/ドゥラちゃん/ikdboy(3)/うえじゅん/星の王子さま/遠くを見ている/灰色こたつ/白黒まみれ/糸目の鮟鱇/shinpoko/絶佳(3)/頭脳まさき(3)/フイ/投票ボーナス(3)
1434_2092_MZB,2022-11-04,146人,おじさんが自動販売機を揺らしながら一言,NA,3位,防がなくても,間違ってたら言って,36,73.07,hhvm/堅あげポテト好き/けつめんぴ/helma_chang/ガブリエル・カサクシア/甜/カンガルーノート/おしゃべりな哺乳類/なかにし/釜ちびちび/ポンサ(2)/中沢の人/あまるる/ドゥラちゃん/やる/じゃん/みやまる/北戸田スイッチ/セトピア/ターンブル/遠くを見ている/白黒まみれ/トリニダード木箱/南部屋敷/糸目の鮟鱇/サブウェイのポテト(3)/tomo/絶佳(2)/頭脳まさき(2)/ジョンとも/sacrifice
1434_2092_MZB,2022-11-04,146人,おじさんが自動販売機を揺らしながら一言,NA,3位,食事,みんなが偉いだけだよ,36,73.07,けつめんぴ/寺井/森山/RANRANRAN/赤鯉(2)/稲作の不安/すーず/ドゥラちゃん/わけわかめ/ガッボデ/ねこライト/骨密度/じゃん/北戸田スイッチ(2)/星の王子さま/みやもり(2)/白黒まみれ/ジェリ/暴風よ吹け/合鴨の世界/糸目の鮟鱇/カクレミノムシ(2)/サブウェイのポテト/tomo/誤字/絶佳(2)/頭脳まさき/ジョンとも/投票ボーナス(3)
1434_2092_MZB,2022-11-04,146人,おじさんが自動販売機を揺らしながら一言,NA,7位,800,座って話そうって言ってんだろうが,35,71.94,シュヴァルツ/寺井(2)/スポーツバッグ/森山/ブネイ/ガブリエル・カサクシア(2)/甜/ありあ/たいら(2)/ひなた/ソフト/すーず/釜ちびちび/ダンス部/土産(2)/じゃん/とりふぐ/セトピア/駄三盆/南部屋敷/ブイマツ/暴風よ吹け/熱と気体(2)/誤字/頭脳まさき(2)/フイ/投票ボーナス(3)
1434_2092_MZB,2022-11-04,146人,おじさんが自動販売機を揺らしながら一言,NA,8位,フェスタ,そのコーラで村はどうなったと思う,32,68.54,hhvm/いのちのぶんなぐり(2)/スポーツバッグ/おまつり/稲作の不安(2)/おしゃべりな哺乳類/中沢の人/ドゥラちゃん(2)/赤黄色/とりふぐ(2)/ジュエリーポニー(2)/北戸田スイッチ/みやもり(2)/ターンブル/遠くを見ている/仮囲い/かくれどり(2)/資本ネコ/白黒まみれ(2)/トリニダード木箱/糸目の鮟鱇/けーねこ/くすも/GYAI
1434_2092_MZB,2022-11-04,146人,おじさんが自動販売機を揺らしながら一言,NA,8位,北戸田スイッチ,この6さえひっくり返れば当たるんだ,32,68.54,シュヴァルツ/いのちのぶんなぐり(2)/ねむみ/ブネイ/ガブリエル・カサクシア/おまつり/ぷろみん/メンテ/なかにし/中沢の人/土産/ikdboy(2)/ちーかま/副キャプテンアメリカ/ナルシマアンバイ/ジュエリーポニー(2)/チャイニーズマフィア(2)/納屋の鍵/チェルカ/ターンブル/鮒侍/猫屋敷/カルロスフィットネス/誤字/頭脳まさき/投票ボーナス(3)
1434_2092_MZB,2022-11-04,146人,おじさんが自動販売機を揺らしながら一言,NA,10位,sacrifice,なんでお前の仕事は安定してるんだ,31,67.41,800/シュヴァルツ/ねむみ/最高級ノ味噌汁/スポーツバッグ/赤鯉(2)/メンテ/釜ちびちび/きれいな市役所/ドゥラちゃん(2)/ikdboy(2)/副キャプテンアメリカ/うえじゅん/ゆめみ/チェルカ/仮囲い/駄三盆/猫屋敷/南部屋敷/ジェリ/カルロスフィットネス/osouonna/shinpoko/頭脳まさき/キング/投票ボーナス(3)
1434_2092_MZB,2022-11-04,146人,おじさんが自動販売機を揺らしながら一言,NA,11位,デミ侍,今俺のこと笑っただろ,30,66.28,ねころび/堅あげポテト好き/800/けつめんぴ/ねむみ/ぽ/カンガルーノート/釜ちびちび/ドゥラちゃん(2)/ikdboy(2)/僕は純粋/骨密度/じゃん/うえじゅん/チェルカ/仮囲い/かくれどり(2)/トリニダード木箱/ブイマツ/合鴨の世界(3)/shinpoko/けーねこ/投票ボーナス(3)
1434_2092_MZB,2022-11-04,146人,おじさんが自動販売機を揺らしながら一言,NA,11位,副キャプテンアメリカ,おもた〜い,30,66.28,シュヴァルツ/けつめんぴ/最高級ノ味噌汁/ぽ/おしゃべりな哺乳類(3)/なかにし/やる/ちーかま/パサ/うえじゅん/旋風客/みやまる/ナルシマアンバイ/毒念/9月が終わったら起こして/みやもり(2)/南部屋敷/osouonna(3)/頭脳まさき(2)/キング/GYAI/投票ボーナス(3)
