お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4640_6329_SPT,2022-11-08,98人,トイレが擬人化したアニメ,NA,1位,辺見豪,タイトルの濁点部分にハエが2匹止まる,48,91.93,後悔しない名前を付けよう(2)/Figaro/ボブ西野/若干名(2)/橋本インフィニティ直也/甜/ウラニワ/シュヴァルツ(2)/ペッタ/雨はやさしく(2)/あまるる/ミズノエル/高見盛/アマテイン/2ギィ(2)/3ねこ(2)/すんどめ/chikira/テケ罪(2)/良い革靴(2)/清水 選手権大会/ばっは(2)/まきびし/おきよ/No Image/ドリアント(3)/kisumi/白滝BOX/泥だ/新Goo/ううここ/小雀長吉/コク(2)/投票ボーナス(3)
4640_6329_SPT,2022-11-08,98人,トイレが擬人化したアニメ,NA,2位,ワッショイサンバ,「クソ回」は褒め言葉,44,87.19,後悔しない名前を付けよう/橋本インフィニティ直也(2)/水谷新太郎/ダダンダン(2)/ウラニワ(3)/otogi(2)/シュヴァルツ/ペッタ/かみず/雨はやさしく/中サラ/あまるる/定数/高見盛(2)/アマテイン/ほろほろ/わけわかめ/3ねこ/夏痩せ/タベタベタ(2)/良い革靴/まきびし/物数/おきよ/ターンブル/kisumi/せんだい/泥だ/とりふぐ/新Goo/ううここ/塩鮭/小雀長吉/白黒まみれ/投票ボーナス(3)
4640_6329_SPT,2022-11-08,98人,トイレが擬人化したアニメ,NA,3位,せんだい,来週も流してくれよな,37,78.89,ねむみ(2)/全て(3)/若干名(2)/あまるる/かくれどり(2)/高見盛/安達些細/アマテイン/わけわかめ/3ねこ/夏痩せ/＃の中のカマ吉くん/テケ罪/シーサイド品川/辺見豪/まきびし(2)/物数/おきよ/No Image/あっきーな/旋風客/福井とマルコ/Simomi/新Goo(2)/塩鮭/小雀長吉/白黒まみれ/投票ボーナス(3)
4640_6329_SPT,2022-11-08,98人,トイレが擬人化したアニメ,NA,4位,スピ力,「流す音」の声優もいる,33,74.15,金麦/甜/ペッタ/かみず(2)/雨はやさしく/中サラ/かくれどり/ほろほろ/また師走が来たよ(2)/3ねこ/＃の中のカマ吉くん/すくみ/テケ罪/良い革靴(2)/物数/おきよ/ターンブル/No Image/泥だ/なめくじの乱舞(2)/とりふぐ(2)/江戸の松原/塩鮭(2)/コク/投票ボーナス(3)
4640_6329_SPT,2022-11-08,98人,トイレが擬人化したアニメ,NA,5位,きらら,絶対遺作にしたくない声優が放送後に必死に生きる,30,70.6,Figaro/ボブ西野(2)/甜/シュヴァルツ(3)/かみず(3)/たいら/高見盛/ほろほろ/2ギィ(2)/夏痩せ/テケ罪/良い革靴/うましか(3)/まきびし/ドリアント(3)/kisumi/きみをゆるさない。/小雀長吉(2)/セトピア
4640_6329_SPT,2022-11-08,98人,トイレが擬人化したアニメ,NA,6位,また師走が来たよ,おしりのアップから始まる,28,68.23,ねむみ(2)/全て/覇道きてぃ/若干名/キング/金麦/かくれどり/ハナゲール船長(2)/わけわかめ/3ねこ/＃の中のカマ吉くん/ワッショイサンバ/是非/てぃすこ/うましか(2)/シーサイド品川/ターンブル/No Image/せんだい/たけみ/あっきーな/きみをゆるさない。/投票ボーナス(3)
4640_6329_SPT,2022-11-08,98人,トイレが擬人化したアニメ,NA,6位,テケ罪,厄介なオタクが｢便秘｣と呼ばれる,28,68.23,金麦/スピ力/otogi/中サラ(2)/夏痩せ/副キャプテンアメリカ/うましか/辺見豪(2)/ターンブル/ドリアント(2)/kisumi/泥だ/なめくじの乱舞(3)/福井とマルコ(3)/Simomi/ううここ/小雀長吉(2)/投票ボーナス(3)
4640_6329_SPT,2022-11-08,98人,トイレが擬人化したアニメ,NA,8位,小雀長吉,なんの前触れもなくビデが死ぬ鬱回もある,25,64.67,ねむみ/Figaro/かみず(2)/雨はやさしく/あまるる/定数/たいら/茶華な/アマテイン/夏痩せ/すんどめ/是非/ばっは/まきびし/物数/白滝BOX/あっきーな(2)/とりふぐ/ううここ/塩鮭/投票ボーナス(3)
4640_6329_SPT,2022-11-08,98人,トイレが擬人化したアニメ,NA,9位,湘ゼミ‪α‬,「先生トイレ！」「……いかにも」,24,63.49,ねむみ/otogi/シュヴァルツ/かみず/あまるる/高見盛(2)/わけわかめ/夏痩せ/＃の中のカマ吉くん/まーちゃんす/すんどめ/清水 選手権大会/うましか/まきびし/物数/No Image/泥だ/Simomi/江戸の松原(3)/1/セトピア
4640_6329_SPT,2022-11-08,98人,トイレが擬人化したアニメ,NA,10位,アナゴさん,弱かった和式が、洋式になって帰ってくる,22,61.12,Figaro(2)/覇道きてぃ(2)/ボブ西野/危機ジュラフ/スピ力/ペッタ/たいら/安達些細/アマテイン/ほろほろ/夏痩せ/タベタベタ/シーサイド品川/辺見豪/kisumi(2)/白滝BOX/せんだい/たけみ/コク
