お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1994_9613_CHW,2022-11-14,119人,"アホアホ学校の運営方針を変えることになったあなた、しかし！まだアホと問題がいっぱいです！。どこから手をつけますか？

",NA,1位,灰色こたつ,野球部は1個で足りるだろ,55,96.04,いだてんのピノ/物数/ハチコー/赤鯉(2)/omiun/ぷろみん/くものす(3)/錯乱(2)/確率論のパラテママ/吉高/射的屋/飛べないペンギン/800/んん゛/舞香ちゃん/きゅーきゅー(2)/もちみつ(3)/ドゥラちゃん/かくれどり(2)/Y氏/ぴょん/大喜利/駄三盆/副キャプテンアメリカ/机上で実演(2)/ぬりかべ/アウク/9月が終わったら起こして/モチ/かつと/安達些細/さっくら観光(2)/たこかいな(3)/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/ikdboy/まるまる(3)/ぽっと出川/244cm265kg/投票ボーナス(3)
1994_9613_CHW,2022-11-14,119人,"アホアホ学校の運営方針を変えることになったあなた、しかし！まだアホと問題がいっぱいです！。どこから手をつけますか？

",NA,2位,サメVS巨大タコス,トイレットペーパーがトリプルなのをやめる,39,77.66,物数/ぷろみん/錯乱/ねむみ/射的屋/飛べないペンギン/よれん/ヱビだし(3)/800/ドゥラちゃん/すあ(3)/珍百景のクロ/ぴょん/駄三盆/プーアル茶/ミヤモト/幽体/ぬりかべ/アウク(2)/玄の字。/少しだけ賢い/後悔しない名前を付けよう/ひでん/又三郎/毒念/いのちのぶんなぐり/米(おこめ)/秒速10m/なめたっけ/sakamata2(2)/投票ボーナス(3)
1994_9613_CHW,2022-11-14,119人,"アホアホ学校の運営方針を変えることになったあなた、しかし！まだアホと問題がいっぱいです！。どこから手をつけますか？

",NA,3位,幽体,一旦シャトルランをやめさせる,36,74.22,緑が好き/物数/TwistNight/RANRANRAN/頭脳まさき/射的屋/ドロップシンカー/んん゛/なんこつ(2)/きゅーきゅー(2)/Simomi/珍百景のクロ/かくれどり(2)/ぽ/赤黄色/じゃん/プーアル茶(2)/ミヤモト/一流/真田/kamenoue/白滝BOX/ひでん/ゆめみ/まるまる(2)/秒速10m/sakamata2(2)/投票ボーナス(3)
1994_9613_CHW,2022-11-14,119人,"アホアホ学校の運営方針を変えることになったあなた、しかし！まだアホと問題がいっぱいです！。どこから手をつけますか？

",NA,4位,また師走が来たよ,声の大きい順に並ばせる,35,73.07,いだてんのピノ/otogi/omiun/くものす/頭脳まさき/ウガンダ式ロウリュウ/吉高(2)/射的屋/ヱビだし/鮒侍/懐かしむ会/ドゥラちゃん/珍百景のクロ/かくれどり/シンマイ子/Y氏/赤黄色/ふわっと(2)/じゃん/プーアル茶/幽体/及川広大/真田/安達些細/たこかいな/ひでん/夢描めろん/ぽっと出川/244cm265kg(2)/投票ボーナス(3)
1994_9613_CHW,2022-11-14,119人,"アホアホ学校の運営方針を変えることになったあなた、しかし！まだアホと問題がいっぱいです！。どこから手をつけますか？

",NA,4位,パンジ,『廊下で裸にならない』の張り紙に『絶対に』の文字を足す,35,73.07,かみず/むもん(2)/物数/TwistNight/ハチコー(2)/omiun/アカイダダリオのD/マス田中/ウガンダ式ロウリュウ/射的屋(2)/800/ぽんいえ(3)/716/大喜利/駄三盆/ふわっと(2)/一流/kamenoue/少しだけ賢い/たこかいな(2)/夢描めろん/ゆめみ/米(おこめ)/秒速10m/ぽっと出川/投票ボーナス(3)
1994_9613_CHW,2022-11-14,119人,"アホアホ学校の運営方針を変えることになったあなた、しかし！まだアホと問題がいっぱいです！。どこから手をつけますか？

",NA,6位,赤鯉,カレー以外も食事だと教える,33,70.77,頭脳まさき/確率論のパラテママ/射的屋/よれん/800/さんべ商会/きゅーきゅー(2)/缶ポロ/懐かしむ会/ドゥラちゃん(2)/Y氏/さつまいも/また師走が来たよ/机上で実演/じゃん/プーアル茶/幽体/真田/安達些細/さっくら観光/kamenoue/後悔しない名前を付けよう/夢描めろん/ゆめみ(2)/ikdboy/米(おこめ)/ぽっと出川/投票ボーナス(3)
1994_9613_CHW,2022-11-14,119人,"アホアホ学校の運営方針を変えることになったあなた、しかし！まだアホと問題がいっぱいです！。どこから手をつけますか？

",NA,7位,安達些細,ご意見箱を大きくした,29,66.18,物数/TwistNight/omiun/確率論のパラテママ/800/ドロップシンカー(2)/もちみつ(2)/Simomi/懐かしむ会/すあ/かくれどり/また師走が来たよ(3)/シーサイド品川/赤黄色/じゃん/玄の字。/モチ/少しだけ賢い(2)/たこかいな(2)/なめたっけ/投票ボーナス(3)
1994_9613_CHW,2022-11-14,119人,"アホアホ学校の運営方針を変えることになったあなた、しかし！まだアホと問題がいっぱいです！。どこから手をつけますか？

",NA,8位,ドゥラちゃん,校歌でハンバーガーの事歌うのやめよう,28,65.03,物数/TwistNight/ハチコー(2)/アカイダダリオのD/錯乱/頭脳まさき(3)/ねむみ/射的屋/あまるる/ぽんいえ/すーず/随契(2)/きゅーきゅー/Gully/Simomi/机上で実演(2)/かごの中の鳥/一流/米(おこめ)/なめたっけ/投票ボーナス(3)
1994_9613_CHW,2022-11-14,119人,"アホアホ学校の運営方針を変えることになったあなた、しかし！まだアホと問題がいっぱいです！。どこから手をつけますか？

",NA,9位,お洗濯,前任者が勘で増やした百葉箱を減らす,27,63.88,いだてんのピノ/むもん/物数/TwistNight/ハチコー(2)/マス田中/確率論のパラテママ/飛べないペンギン/ヱビだし/すーず/さんべ商会(2)/随契/Gully/缶ポロ/駄三盆/ふわっと/幽体/ぬりかべ/一流/真田/安達些細/後悔しない名前を付けよう/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/秒速10m(2)
1994_9613_CHW,2022-11-14,119人,"アホアホ学校の運営方針を変えることになったあなた、しかし！まだアホと問題がいっぱいです！。どこから手をつけますか？

",NA,10位,じゃん,10年生以上は無理やり卒業させる,26,62.73,ハチコー/omiun/ねむみ/ドロップシンカー/すーず/716/Gully/ドゥラちゃん/シンマイ子/業務用虚無/大喜利/玄の字。/かつと/赤ぺこり/安達些細/ひでん/又三郎/ikdboy(3)/244cm265kg/sakamata2(2)/投票ボーナス(3)
1994_9613_CHW,2022-11-14,119人,"アホアホ学校の運営方針を変えることになったあなた、しかし！まだアホと問題がいっぱいです！。どこから手をつけますか？

",NA,10位,すーず,サメの水槽を水族館に返す,26,62.73,TwistNight/ハチコー(2)/赤鯉(2)/射的屋/あまるる/ヱビだし(2)/んん゛/さんべ商会(2)/舞香ちゃん/Gully/赤黄色/幽体/モチ/後悔しない名前を付けよう/ひでん/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/ゆめみ/いのちのぶんなぐり(2)/投票ボーナス(3)
1994_9613_CHW,2022-11-14,119人,"アホアホ学校の運営方針を変えることになったあなた、しかし！まだアホと問題がいっぱいです！。どこから手をつけますか？

",NA,10位,もちみつ,アホって言った方がアホなことにする,26,62.73,いだてんのピノ/otogi/ハチコー(2)/ウガンダ式ロウリュウ/ねむみ/射的屋/さんべ商会/缶ポロ/ドゥラちゃん(2)/シンマイ子(2)/さつまいも/また師走が来たよ(2)/真田/少しだけ賢い/ヒカル(3)/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/sakamata2/投票ボーナス(3)
1994_9613_CHW,2022-11-14,119人,"アホアホ学校の運営方針を変えることになったあなた、しかし！まだアホと問題がいっぱいです！。どこから手をつけますか？

",NA,10位,及川広大,1時間目の前に給食がよくない気がします,26,62.73,かみず/ハチコー(2)/omiun/錯乱(2)/baseball /缶ポロ/ドゥラちゃん/かくれどり/ぴょん/大喜利/駄三盆/ふわっと/机上で実演/かごの中の鳥/プーアル茶/一流/かつと(2)/kamenoue/又三郎/sakamata2/投票ボーナス(3)
1994_9613_CHW,2022-11-14,119人,"アホアホ学校の運営方針を変えることになったあなた、しかし！まだアホと問題がいっぱいです！。どこから手をつけますか？

",NA,10位,樫本ほーほけきょ,柔道場をすこし大きくする,26,62.73,TwistNight/赤鯉/ぷろみん(2)/RANRANRAN/錯乱(2)/射的屋/すーず/Gully/ドゥラちゃん/すあ(2)/珍百景のクロ/Y氏/シーサイド品川/赤黄色/ミヤモト(2)/試家軽気/9月が終わったら起こして/kamenoue/いのちのぶんなぐり(3)/まるまる
