お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1689_7258_RAH,2022-12-01,143人,【穴埋め】人生で初めてパワハラをするため、ワクワクしてる部長「おい！○○○」,NA,1位,骨密度,「これ特に傷ついた」みたいなのあったら教えてくれ,53,84.9,ミズノエル(3)/やる/とんかつラーメン/たいら/eakon_zuki/錠剤ロンド(3)/むもん(2)/くじら/きれいな市役所/ベンジャミン/生身/仮囲い(2)/里/射的屋/ハチコー(2)/フイ/また師走が来たよ(3)/珍百景のクロ/shinpoko/かがくびと/きゅーきゅー(2)/一流/おきよ/バトルアックス(2)/海石榴/赤ぺこり/農家(2)/コク/ふわっと(3)/ミスティカティ/二階から手続き/あきたこまちにひとめぼれ/寿司ブルドーザー/業務用虚無(2)/赤鯉/投票ボーナス(3)
1689_7258_RAH,2022-12-01,143人,【穴埋め】人生で初めてパワハラをするため、ワクワクしてる部長「おい！○○○」,NA,2位,初心者まゆげ,早くきっかけをくれ,50,81.94,PD(2)/eakon_zuki/ウラニワ/中沢の人/森山/ｼﾉﾀﾞ@qop397/ししだ/堅あげポテト好き/ナンの一部/ベンジャミン/生身/きらら/骨密度/GYAI/フイ/しろねこ/はっぴーえんど/カンズメ/半丙太/懐かしむ会/アマテイン/つか(2)/やもりみゆき/珍百景のクロ/shinpoko/ちくわうし/きゅーきゅー(2)/ナルシマアンバイ/kamenoue/少しだけ賢い/コク/まるまる(2)/ミスティカティ(2)/せんだい(2)/ワッショイサンバ/二階から手続き/あきたこまちにひとめぼれ/寿司ブルドーザー/業務用虚無/あまるる/Yuki/投票ボーナス(3)
1689_7258_RAH,2022-12-01,143人,【穴埋め】人生で初めてパワハラをするため、ワクワクしてる部長「おい！○○○」,NA,2位,赤鯉,お前には昨日考えてきたやつだ,50,81.94,シャンプー/他のＰ/赤黄色/ウラニワ(2)/森山(2)/とりふぐ/むもん/くじら/きれいな市役所/堅あげポテト好き(2)/TwistNight/焼き網膜(2)/生身(2)/里/射的屋/水谷新太郎(2)/骨密度/フイ/高見盛/カンズメ/アマテイン(2)/がんばりま翔/気球マイスター/海石榴/100エーカーの森喜朗/きみをゆるさない。/乳白色の駱駝/是非(2)/kamenoue(2)/納屋の鍵/コク/まるまる/800/二階から手続き(2)/業務用虚無(3)/投票ボーナス(3)
1689_7258_RAH,2022-12-01,143人,【穴埋め】人生で初めてパワハラをするため、ワクワクしてる部長「おい！○○○」,NA,4位,kamenoue,俺今どっちの顔してる,47,78.99,ミズノエル(2)/やる/PD/eakon_zuki/ウラニワ/とりふぐ/初心者まゆげ(2)/堅あげポテト好き/TwistNight/シュヴァルツ/白黒まみれ/パピ4/ナンの一部/みやまる/フイ/いっぱい秋(2)/半丙太/懐かしむ会/つか(2)/やもりみゆき(3)/珍百景のクロ/ドルフィンキック/きゅーきゅー(3)/ナルシマアンバイ/ニューロン/海石榴/是非/カレーラ水(2)/せんだい/山田/住まなくても都/トリニダード木箱(2)/二階から手続き/赤鯉/投票ボーナス(3)
1689_7258_RAH,2022-12-01,143人,【穴埋め】人生で初めてパワハラをするため、ワクワクしてる部長「おい！○○○」,NA,5位,海石榴,今のミス、もう一度見せてくれ,42,74.06,他のＰ/やる/PD/くすも/錠剤ロンド(3)/むもん/くじら/ナンの一部(2)/ベンジャミン/生身/里/射的屋/水谷新太郎/骨密度/しろねこ/高見盛/はっぴーえんど/がんばりま翔/かがくびと/D-6/一流/おきよ/kamenoue/納屋の鍵/少しだけ賢い/農家(2)/カレーラ水(2)/ミスティカティ/せんだい/山田/sakamata2/二階から手続き/業務用虚無(2)/投票ボーナス(3)
1689_7258_RAH,2022-12-01,143人,【穴埋め】人生で初めてパワハラをするため、ワクワクしてる部長「おい！○○○」,NA,6位,美味い焼肉屋,俺のためのミスかい！,40,72.09,他のＰ/シンマイ子/ミズノエル/やる/毒桃/PD/ウラニワ(3)/くすも/くじら/TwistNight/サバイブレーション(2)/シュヴァルツ(2)/ナンの一部/ベンジャミン/生身(2)/ましましのしま/みやまる/GYAI/んん゛/高見盛/こたつ/アマテイン/ドルフィンキック/9月が終わったら起こして/バトルアックス(2)/海石榴/100エーカーの森喜朗/ジェンツーペンギン/きみをゆるさない。/乳白色の駱駝/まるまる/800/ホテル三国志/二階から手続き
1689_7258_RAH,2022-12-01,143人,【穴埋め】人生で初めてパワハラをするため、ワクワクしてる部長「おい！○○○」,NA,7位,ホテル三国志,上下関係整理してくぞ,37,69.13,シャンプー(2)/他のＰ/シンマイ子(2)/ミズノエル/ヒカル/くすも/ししだ/ましましのしま/仮囲い(2)/骨密度/フイ/いっぱい秋/カンズメ(2)/半丙太/つか(2)/うわぁ/Gully/きゅーきゅー/バトルアックス(2)/海石榴/100エーカーの森喜朗/コク(2)/800/brooks(2)/業務用虚無(2)/投票ボーナス(3)
1689_7258_RAH,2022-12-01,143人,【穴埋め】人生で初めてパワハラをするため、ワクワクしてる部長「おい！○○○」,NA,7位,マス田中,パワハラ終わりに寿司行くぞ,37,69.13,たいら/しまつ/ししだ(2)/毒念/シュヴァルツ/白黒まみれ/階段の叔父/ベンジャミン/みやまる/射的屋/ハチコー/フイ/しろねこ/んん゛/がんばりま翔/つか(2)/ikdboy(2)/やもりみゆき/うわぁ/Gully/ちくわうし/一流(2)/きみをゆるさない。/乳白色の駱駝/試家軽気/農家/ワッショイサンバ(2)/brooks(2)/二階から手続き/業務用虚無/赤鯉
1689_7258_RAH,2022-12-01,143人,【穴埋め】人生で初めてパワハラをするため、ワクワクしてる部長「おい！○○○」,NA,9位,階段の叔父,あれだな！セクハラより緊張するんだな！,36,68.15,ミズノエル/eakon_zuki/ししだ/くじら/初心者まゆげ(2)/毒念/TwistNight/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/ベンジャミン/ましましのしま/仮囲い/里/GYAI/フイ/ムーリクストイナ/このき/がんばりま翔/かがくびと/おきよ/海石榴/100エーカーの森喜朗/ジェンツーペンギン/せんだい/トリニダード木箱/あきたこまちにひとめぼれ(2)/寿司ブルドーザー/業務用虚無(2)/あまるる/Yuki(2)/投票ボーナス(3)
1689_7258_RAH,2022-12-01,143人,【穴埋め】人生で初めてパワハラをするため、ワクワクしてる部長「おい！○○○」,NA,10位,水谷新太郎,もっとでかいミスをくれよ,35,67.16,他のＰ/くすも/くじら/きれいな市役所/毒念/シュヴァルツ/白黒まみれ/パピ4/生身/里/射的屋/きらら/んん゛/半丙太/懐かしむ会/アマテイン/がんばりま翔/かがくびと/ドルフィンキック/おきよ/ニューロン/机上で実演/是非/ミスティカティ(2)/せんだい/800/ホテル三国志/住まなくても都(2)/brooks(2)/投票ボーナス(3)
