お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4946_2342_OUG,2022-12-05,137人,クーポンをビリビリに破って一言,NA,1位,shinpoko,葬儀屋が次回とか言うな,68,102.48,ふもー/こたつ/おくばやし/中サラ(3)/ベンジャミン/南部屋敷(2)/珍百景のクロ/毒桃/さけのなかのいくら(2)/かごの中の鳥/きらら(2)/ヒカル/がんばりま翔/テケ罪(2)/ハチコー(2)/名・芸名/仮想現実のﾐﾁｮﾊﾟ(2)/Gully/たる棒(2)/トリニダード木箱/不可視芋/ノビッタ/JaxanYury(3)/ナルシマアンバイ/シュヴァルツ(3)/おきよ/D-6/つか(2)/ラクダ★マジカル/ぜ。(2)/やや不安(2)/まろ(2)/アガリブル(2)/ししだ/螺旋貝柱/フイ(2)/so0cha/シンマイ子/chikira/一流/悪魔が夜来る/シャンプー(2)/少しだけ賢い/TwistNight/フニャダキシン/投票ボーナス(3)
4946_2342_OUG,2022-12-05,137人,クーポンをビリビリに破って一言,NA,2位,おくばやし,すいません、細かいのしかなくて,49,83.05,赤ぺこり/nk_(2)/ふぉっ/ふもー(2)/試家軽気/こたつ/中サラ/ソフト(3)/がんばりま翔/仮想現実のﾐﾁｮﾊﾟ(3)/C.C.C/ハルマレ/寿司ブルドーザー(2)/さいころちゃらみん(2)/そいそーす/100エーカーの森喜朗/まいろ2/物数/ぜ。(2)/サメVS巨大タコス(2)/ポコ太郎/アガリブル/ししだ/ガッボデ/so0cha/シンマイ子/rayleigh/一流/悪魔が夜来る/骨密度/ハゲイナズマ/TwistNight/遠くを見ている/ねむみ/torankusu(2)/投票ボーナス(3)
4946_2342_OUG,2022-12-05,137人,クーポンをビリビリに破って一言,NA,3位,800,マニュアルの出番ですよ,47,81.01,ナンの一部(2)/3ねこ/ベンジャミン/南部屋敷/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/さけのなかのいくら/ニューロン(2)/プーアル茶/セトピア/きらら/Gully/トリニダード木箱/不可視芋/秋(2)/シュヴァルツ/おきよ/電子レンジ(2)/さいころちゃらみん/ham./そいそーす(3)/物数/赤鯉/やや不安(2)/螺旋貝柱/長老_M/釜ちびちび/フイ/so0cha(3)/chikira/お汁かける/ネキ(3)/骨密度/住まなくても都/投票ボーナス(3)
4946_2342_OUG,2022-12-05,137人,クーポンをビリビリに破って一言,NA,4位,rayleigh,小さい覚悟ですみません,39,72.83,しろねこ/試家軽気/3ねこ/おくばやし/珍百景のクロ/マイナスいち髪/みやまる/やる/よれん/かごの中の鳥/ランゲル・ハンス/きらら/がんばりま翔/テケ罪/きゅーきゅー/トリニダード木箱/ナルシマアンバイ/大王にのまえ/電子レンジ(2)/ばっは/100エーカーの森喜朗/まいろ2/赤鯉/ぜ。/ポコ太郎/やや不安/アガリブル/釜ちびちび/少しだけ賢い/お汁かける/生身/TwistNight/遠くを見ている/掻痒/ねむみ/投票ボーナス(3)
4946_2342_OUG,2022-12-05,137人,クーポンをビリビリに破って一言,NA,5位,住まなくても都,ナゲットのためにならない,37,70.79,ふぉっ(2)/こたつ/中サラ/ベンジャミン/南部屋敷/珍百景のクロ/毒桃/さけのなかのいくら/かごの中の鳥/白黒まみれ(2)/きらら/きゅーきゅー/不可視芋/ノビッタ/秋/くーちゃらSUN/ハルマレ/寿司ブルドーザー/シュヴァルツ/さいころちゃらみん/ぜ。/shinpoko/サメVS巨大タコス/ししだ/ガッボデ(2)/rayleigh/シャンプー/お汁かける/スポーツバッグ/torankusu(2)/投票ボーナス(3)
4946_2342_OUG,2022-12-05,137人,クーポンをビリビリに破って一言,NA,6位,シュヴァルツ,君にはポンのほうをあげよう,36,69.76,赤ぺこり/こたつ/3ねこ(2)/ドロップシンカー(2)/中サラ(2)/南部屋敷/さけのなかのいくら/とりふぐ/ヒカル/きゅーきゅー/仮想現実のﾐﾁｮﾊﾟ(3)/不可視芋/さんべ商会/白滝BOX/ハルマレ/Figaro/shinpoko/サメVS巨大タコス(2)/アガリブル/気球マイスター/長老_M/あいつら全員町内会/一流/スポーツバッグ/ハゲイナズマ/torankusu(2)/投票ボーナス(3)
4946_2342_OUG,2022-12-05,137人,クーポンをビリビリに破って一言,NA,7位,とりふぐ,さぁどうする新人店員,34,67.72,ドロップシンカー(2)/あまるる/資本ネコ/みやまる(2)/やる/カタン/マス田中/テケ罪(2)/こんなところにエビチリ(3)/Gully/たる棒/んん゛/おきよ/ばっは(2)/さいころちゃらみん/D-6/shinpoko/やや不安(2)/螺旋貝柱/ガッボデ/少しだけ賢い/生身/ikdboy(2)/投票ボーナス(3)
4946_2342_OUG,2022-12-05,137人,クーポンをビリビリに破って一言,NA,8位,トリニダード木箱,俺だって生きづらいと思ってるよ,33,66.7,ふぉっ/しろねこ/おくばやし/南部屋敷/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/あまるる/白黒まみれ/わたつの(2)/不可視芋/秋(2)/大王にのまえ/シュヴァルツ(2)/さいころちゃらみん/物数/赤鯉/ポコ太郎/ガッボデ/rayleigh(3)/生身/骨密度/住まなくても都/ねむみ/フニャダキシン/torankusu(2)/投票ボーナス(3)
4946_2342_OUG,2022-12-05,137人,クーポンをビリビリに破って一言,NA,9位,んん゛,アド街見ました,32,65.67,nk_/ふもー(2)/みやまる/やる/白黒まみれ/がんばりま翔/テケ罪/A味噌汁(2)/ハチコー(2)/JaxanYury/くーちゃらSUN/ハルマレ/くすも/つか(2)/ラクダ★マジカル/サメVS巨大タコス/ポコ太郎/螺旋貝柱/so0cha/少しだけ賢い/ネキ(3)/ハゲイナズマ/ねむみ/投票ボーナス(3)
4946_2342_OUG,2022-12-05,137人,クーポンをビリビリに破って一言,NA,9位,ナンの一部,味で勝負しろ,32,65.67,しろねこ/ドロップシンカー/マイナスいち髪/さけのなかのいくら/ニューロン/プーアル茶/とりふぐ/きらら/テケ罪/A味噌汁/たる棒/ノビッタ/さんべ商会(3)/D-6/つか(2)/ぜ。/shinpoko/気球マイスター/ガッボデ/釜ちびちび/シンマイ子/chikira/悪魔が夜来る/シャンプー(2)/TwistNight/投票ボーナス(3)
