お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1882_7047_EFF,2022-12-11,138人,カルタ「と」,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1882_7047_EFF.png,1位,ぷろみん,登下校楽しすぎる,52,88.81,Longab/机上で実演(2)/吉高(2)/後悔しない名前を付けよう/とりふぐ/錯乱(2)/1/業務用虚無/ふぉっ/悪魔が夜来る/毒念/きれいな市役所(2)/そいそーす(3)/やや不安(2)/敵刺/長老_M/特効さん/Y氏/ヌペシコ/釜ちびちび/チャイニーズマフィア/赤鯉/里/TwistNight/花と額縁/きゅーきゅー(2)/Yuki/RANRANRAN/プーアル茶/納屋の鍵/kamenoue/せんだい/＃の中のカマ吉くん/合鴨の世界/ナルシマアンバイ/駄三盆/倉田 をるけ/森山/Gully(2)/半丙太/投票ボーナス(3)
1882_7047_EFF,2022-12-11,138人,カルタ「と」,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1882_7047_EFF.png,2位,ナンの一部,途中まで正解だった,48,84.28,白キごはん/遠くを見ている/イガイガの栗/ドゥラちゃん/チョゴゴロネ(2)/錯乱(2)/業務用虚無(3)/ふぉっ/悪魔が夜来る/つか(2)/PD/きゃん。/アイワ/長老_M/安達些細/Y氏/ボルボックス/かしわ/gas/ほろほろ/釜ちびちび/長谷川キモ彦/あいし/二階から手続き/きゅーきゅー/きらら/高見盛/RANRANRAN/大喜利の母/よーすけ/住まなくても都/100エーカーの森喜朗/生身/＃の中のカマ吉くん/合鴨の世界/浮乃/倉田 をるけ/じゃん/水谷新太郎/森山/投票ボーナス(3)
1882_7047_EFF,2022-12-11,138人,カルタ「と」,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1882_7047_EFF.png,3位,せんだい,とっくに楽しんでるっつーの,43,78.62,バトルアックス(2)/遠くを見ている/吉高(2)/錯乱/業務用虚無(2)/たまゆら天国(2)/ふぉっ/カタン(2)/ダークマグマドラゴン/モチ/特効さん/ハチコー/旋風客/緑が好き/ほろほろ/釜ちびちび/チャイニーズマフィア/あいし/おしゃべりな哺乳類(2)/住まなくても都(2)/ししだ(2)/100エーカーの森喜朗/うわぁ/納屋の鍵(2)/生身/合鴨の世界/じゃん/森山(2)/ナンの一部(2)/投票ボーナス(3)
1882_7047_EFF,2022-12-11,138人,カルタ「と」,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1882_7047_EFF.png,4位,TwistNight,時計無くした今の俺は強い,41,76.36,デミ侍/バトルアックス/机上で実演/吉高/業務用虚無/毒念/やや不安(2)/ハチコー/きみをゆるさない。/緑が好き/gas/ヌペシコ/2ミリのおもち/釜ちびちび/春巻き、咲いちゃいました(2)/長谷川キモ彦(2)/ゆめみ/きらら/無為/山田2.0/まどろむROM専(2)/住まなくても都(2)/納屋の鍵/kamenoue(2)/せんだい/合鴨の世界/水谷新太郎/Gully(2)/ナンの一部(2)/半丙太/投票ボーナス(3)
1882_7047_EFF,2022-12-11,138人,カルタ「と」,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1882_7047_EFF.png,5位,100エーカーの森喜朗,トークだけじゃ食っていけないから,36,70.7,Longab(2)/業務用虚無(2)/たまゆら天国(3)/きれいな市役所/敵刺/なんこつ(2)/長老_M/すーず/特効さん/Y氏/ハチコー/きみをゆるさない。/ほろほろ/ヌペシコ/TwistNight/プーアル茶/玄の字。/うわぁ(2)/納屋の鍵/kamenoue(2)/合鴨の世界/浮乃/駄三盆/半丙太/ぬりかべ/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/投票ボーナス(3)
1882_7047_EFF,2022-12-11,138人,カルタ「と」,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1882_7047_EFF.png,6位,特効さん,トンビがバカを生んだ,34,68.43,デミ侍/ドゥラちゃん/業務用虚無(3)/きゃん。/ダークマグマドラゴン(2)/ハチコー/鮒侍/ほろほろ/ヌペシコ/春巻き、咲いちゃいました(2)/二階から手続き(2)/ラジサン(2)/Yuki/RANRANRAN/ししだ(2)/玄の字。/合鴨の世界/シンマイ子(2)/水谷新太郎/ばっは(2)/ダダダチョウ/ぬりかべ/投票ボーナス(3)
1882_7047_EFF,2022-12-11,138人,カルタ「と」,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1882_7047_EFF.png,7位,きれいな市役所,突然ですが借金でお困りの皆さん,33,67.3,バトルアックス(2)/錯乱(2)/ふぉっ(2)/毒念/やや不安/こんなところにエビチリ/特効さん/かごの中の鳥/ハチコー/きみをゆるさない。/春巻き、咲いちゃいました(3)/二階から手続き/ゆめみ/よーすけ(2)/うわぁ/納屋の鍵/合鴨の世界/ナルシマアンバイ/倉田 をるけ/じゃん/森山/Gully/ダダダチョウ/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/投票ボーナス(3)
1882_7047_EFF,2022-12-11,138人,カルタ「と」,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1882_7047_EFF.png,8位,半丙太,撮れ高ってこういうことかな,31,65.04,デミ侍/吉高/業務用虚無(2)/毒念/シーサイド品川/カタン(2)/敵刺/モチ/安達些細/きみをゆるさない。/ボルボックス/世界/かしわ/田口さん🍙/長谷川キモ彦/きらら/無為/山田2.0/大喜利の母/ベンジャミン/＃の中のカマ吉くん/合鴨の世界/浮乃/倉田 をるけ/じゃん/ナンの一部/投票ボーナス(3)
1882_7047_EFF,2022-12-11,138人,カルタ「と」,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1882_7047_EFF.png,8位,恥さらしのスパゲッティ,♪ともに／WANIMA,31,65.04,デミ侍/防がなくても/白キごはん(2)/後悔しない名前を付けよう/業務用虚無(2)/ふぉっ(2)/循環/こんなところにエビチリ(3)/ハチコー/ボルボックス/ﾎﾟﾝﾊﾟﾉﾁｭｰﾙ(3)/かしわ/釜ちびちび/春巻き、咲いちゃいました/あいし/不可視芋(3)/ラジサン/納屋の鍵/合鴨の世界/投票ボーナス(3)
1882_7047_EFF,2022-12-11,138人,カルタ「と」,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1882_7047_EFF.png,10位,カタン,当日券買えたぜ,30,63.91,防がなくても/机上で実演/遠くを見ている/とりふぐ/錯乱/つか(2)/PD/特効さん/旋風客/ほろほろ/2ミリのおもち/みやまる(2)/赤鯉/TwistNight/きらら/おしゃべりな哺乳類/住まなくても都/納屋の鍵/kamenoue/＃の中のカマ吉くん/合鴨の世界/じゃん/水谷新太郎/森山/ナンの一部/投票ボーナス(3)
