お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3809_4712_STA,2022-12-17,115人,折り紙を折りながら絶叫した理由,NA,1位,あまるる,全部広げるおばさんが来た,69,110.88,気球マイスター/お洗濯(3)/少しだけ賢い/倉田 をるけ/名詞句移動/カレーラ水(2)/田口さん🍙/Y氏/ランゲル・ハンス/棒(2)/watoson(3)/うえじゅん/白滝BOX/多屋光/珍百景のクロ/堅あげポテト好き(3)/ナルシマアンバイ/川淵/ししだ/ダスチン・コフマン(2)/竜の叫び(2)/ダダダチョウ/Gully/ふもー(2)/泥だ/合鴨の世界/AYAKA(3)/バルチャイ/長老_M/たいよう。(2)/おきよ/ｼﾉﾀﾞ@qop397/カナリカリガ・タカ(3)/ほっぺちゃん/せんだい(2)/フイ/TwistNight(2)/ハチコー/なめたっけ(2)/キャッツアイ/A味噌汁/rayleigh/やや不安(2)/はっぴーえんど/納屋の鍵(2)/投票ボーナス(3)
3809_4712_STA,2022-12-17,115人,折り紙を折りながら絶叫した理由,NA,2位,D-6,関節みたいな音が鳴った,40,78.7,射矢リヒト/八王子(2)/とほ/hp(2)/コモリヤ/暴風よ吹け/ねむみ/カタン(2)/GYAI/堅あげポテト好き/ナルシマアンバイ/ししだ/ダダダチョウ/Gully/森山(2)/ホテル三国志/ベンジャミン/PD/シュヴァルツ/長老_M/ｼﾉﾀﾞ@qop397(2)/せんだい/TwistNight/ハチコー(2)/なめたっけ/シャンプー(2)/rayleigh(3)/橋本到/投票ボーナス(3)
3809_4712_STA,2022-12-17,115人,折り紙を折りながら絶叫した理由,NA,3位,ほっぺちゃん,同級生を入院させるの忘れてた,34,72.04,寿司ブルドーザー/とほ/名詞句移動(2)/カレーラ水/コモリヤ(2)/Y氏(2)/ハルマレ/棒/うえじゅん/GYAI/川淵(3)/カクレミノムシ/Gully/是非/ふもー/泥だ/シュヴァルツ(2)/バルチャイ(2)/フイ/ハチコー/キャッツアイ/A味噌汁/はっぴーえんど/納屋の鍵/投票ボーナス(3)
3809_4712_STA,2022-12-17,115人,折り紙を折りながら絶叫した理由,NA,3位,名詞句移動,さっきの谷折り伏線か,34,72.04,気球マイスター/アル田イル/八王子/お洗濯/倉田 をるけ(2)/Y氏/暴風よ吹け/ぬりかべ/多屋光/珍百景のクロ/GYAI(2)/ししだ/画鋲半分分(3)/ダダダチョウ/ホテル三国志/D-6/生身/中サラ/カナリカリガ・タカ/ほっぺちゃん/フイ/ハチコー/橋本到/ぷろみん(2)/納屋の鍵(2)/投票ボーナス(3)
3809_4712_STA,2022-12-17,115人,折り紙を折りながら絶叫した理由,NA,5位,ハルマレ,折り目と目が合った,30,67.61,あまるる/気球マイスター/アル田イル/寿司ブルドーザー/とほ/田口さん🍙/暴風よ吹け(2)/ねむみ/白滝BOX/多屋光/GYAI/川淵/ししだ/画鋲半分分(2)/たいら/みやまる/シュヴァルツ/バルチャイ/生身/せんだい/シャンプー(2)/キャッツアイ/ぷろみん/納屋の鍵/投票ボーナス(3)
3809_4712_STA,2022-12-17,115人,折り紙を折りながら絶叫した理由,NA,6位,中サラ,嫌な上司に退院して欲しくない,27,64.28,あまるる/射矢リヒト/寿司ブルドーザー/とほ/犬ドッグ/カレーラ水/コモリヤ/Y氏/ハルマレ/珍百景のクロ/堅あげポテト好き/Gully/ベンジャミン(2)/長老_M/おきよ/ｼﾉﾀﾞ@qop397(2)/フイ/ハチコー/シャンプー/キャッツアイ/やや不安/納屋の鍵/投票ボーナス(3)
3809_4712_STA,2022-12-17,115人,折り紙を折りながら絶叫した理由,NA,6位,気球マイスター,どう折っても面白くなる,27,64.28,ぐらたそ(3)/倉田 をるけ/ぬりかべ/ハルマレ/多屋光/珍百景のクロ/画鋲半分分(3)/鮒侍/くろばら/合鴨の世界/バルチャイ/長老_M/せんだい/なめたっけ/シャンプー(2)/橋本到(2)/はっぴーえんど/納屋の鍵/投票ボーナス(3)
3809_4712_STA,2022-12-17,115人,折り紙を折りながら絶叫した理由,NA,8位,PD,作っても全部飛び立っていく,26,63.17,あまるる/少しだけ賢い/田口さん🍙/3ねこ/ランゲル・ハンス/ねむみ/棒/多屋光/GYAI/堅あげポテト好き(2)/ダスチン・コフマン/森山/泥だ/りろ/バルチャイ/おきよ/ほっぺちゃん/ハチコー(2)/トリニダード木箱/キャッツアイ/A味噌汁/投票ボーナス(3)
3809_4712_STA,2022-12-17,115人,折り紙を折りながら絶叫した理由,NA,8位,rayleigh,折るたび大きくなっていく,26,63.17,アル田イル(2)/少しだけ賢い/ぐらたそ/名詞句移動/カレーラ水/ハルマレ/棒/watoson/カタン/川淵/森山/とりふぐ/是非/D-6/みやまる/生身/せんだい(2)/なめたっけ/シャンプー/トリニダード木箱/パンジ/投票ボーナス(3)
3809_4712_STA,2022-12-17,115人,折り紙を折りながら絶叫した理由,NA,10位,くろばら,海は折らなくても出来た,25,62.06,気球マイスター/名詞句移動(2)/きみをゆるさない。/ワラピプロMEGAMAX/竜の叫び(3)/とりふぐ/たいら/是非/D-6/AYAKA(3)/バルチャイ/カナリカリガ・タカ/TwistNight/ハチコー/なめたっけ/シャンプー(2)/投票ボーナス(3)
3809_4712_STA,2022-12-17,115人,折り紙を折りながら絶叫した理由,NA,10位,棒,3回折っただけで月に届いた,25,62.06,とほ/watoson/カタン/画鋲半分分(3)/カクレミノムシ(2)/竜の叫び/ホテル三国志/合鴨の世界/翠玲(2)/みやまる/たいよう。/ほっぺちゃん/TwistNight/ハチコー(2)/rayleigh/大喜利/はっぴーえんど/投票ボーナス(3)
3809_4712_STA,2022-12-17,115人,折り紙を折りながら絶叫した理由,NA,10位,随契,こうでもしないと盛り上がらないから,25,62.06,あまるる/アル田イル(2)/八王子(2)/お洗濯/名詞句移動/コモリヤ(2)/ねむみ/棒/watoson/多屋光/堅あげポテト好き/川淵/画鋲半分分(2)/Gully/くろばら/ふもー/D-6/みやまる/シャンプー/A味噌汁/納屋の鍵
3809_4712_STA,2022-12-17,115人,折り紙を折りながら絶叫した理由,NA,13位,やや不安,助けた鶴と、こんな形で,24,60.95,お洗濯/少しだけ賢い/倉田 をるけ/コモリヤ/多屋光/カタン/ししだ/カクレミノムシ/鮒侍/とりふぐ/くろばら/ふもー(2)/りろ(2)/長老_M/生身/カナリカリガ・タカ/ハチコー(2)/A味噌汁/投票ボーナス(3)
