お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5295_1999_IXG,2022-12-21,162人,「おやつは300万個まで」の遠足で起こることを教えて。,NA,1位,1059,先生の「遠慮するな」が怖い,69,89.87,ホテル三国志/さいころちゃらみん/螺旋貝柱/きらら(2)/ししだ/ほろほろ/続きを読む(3)/きみをゆるさない。/里/不耕貪食の徒/前後左右(2)/大喜利の母/春巻き、咲いちゃいました(3)/おあつらえ/むもん/のちほど/シャンプー/やる/住まなくても都/栄養チーズ/hamai/踊るうどん/800/桃山ももたろう/やや不安/のとさわ/中サラ/ぐらたそ/駄三盆/泥のぷーまん/溶連菌/ミッツ乾電池(2)/安達些細/Yuki(2)/No Image/元文学/射的屋/ハングリー竹中/ゴーダチーズ(2)/夢描めろん/釜ちびちび/是非/試家軽気/玄の字。/ふわっと(3)/樫本ほーほけきょ(2)/ダスチン・コフマン/ハチコー(2)/とりふぐ/ふもー/森山/よーすけ(2)/投票ボーナス(3)
5295_1999_IXG,2022-12-21,162人,「おやつは300万個まで」の遠足で起こることを教えて。,NA,2位,ほりや,先生数えないぞー、みんなのこと信用してるからなぁ,61,83.42,最寄り/螺旋貝柱/ししだ/ほろほろ/きみをゆるさない。/goigois/ゆうない/あおい/Longab/春巻き、咲いちゃいました(2)/おあつらえ(2)/南田まさお/うわぁ(3)/さんべ商会(2)/シャンプー(2)/佐天(3)/ハッスル運動会/生身/チャイニーズマフィア/800/掻痒/やや不安/のとさわ/たいら/ランゲル・ハンス/アウク/帰る亭中野周辺/gas/初心者まゆげ(2)/ミッツ乾電池/Yuki(2)/No Image/漁業の星/射的屋/100エーカーの森喜朗/ペッタ/shinpoko/ハングリー竹中(3)/とほ/カッツウォ/モチ/ダスチン・コフマン/ヒステリックコボちゃん/ハチコー(2)/カナリカリガ・タカ/ダビドサラダ(2)/資本ネコ
5295_1999_IXG,2022-12-21,162人,「おやつは300万個まで」の遠足で起こることを教えて。,NA,3位,手も繋いで,逆に何がおやつに入りませんか,53,76.97,最寄り/ホテル三国志/きらら(2)/ほろほろ/続きを読む/1059(2)/goigois(3)/里/牛頭馬頭/大喜利の母(2)/おあつらえ(2)/ミスティカティ/のちほど/田口さん🍙/テケ罪/うえじゅん/棒(2)/桃山ももたろう/やや不安(2)/中サラ(2)/誤字/頭脳まさき/駄三盆/泥のぷーまん/溶連菌/初心者まゆげ/ミッツ乾電池/No Image/射的屋/ikdboy(2)/ゴーダチーズ/ととまる(2)/白滝BOX/ふわっと(2)/灰色こたつ/ハチコー(2)/とりふぐ/投票ボーナス(3)
5295_1999_IXG,2022-12-21,162人,「おやつは300万個まで」の遠足で起こることを教えて。,NA,4位,ペッタ,考えるきっかけになれば先生嬉しいです,52,76.17,ホテル三国志/ししだ/餅田   鳥小屋/1059/ゆうない(2)/手も繋いで/佐天(3)/住まなくても都/鉛筆削り/栄養チーズ/ハッスル運動会/生身/中華猫(2)/棒/踊るうどん/800/やや不安(2)/う/のとさわ/あいだほ＠俳句/たいら/溶連菌/gas/初心者まゆげ/Yuki/射的屋(2)/100エーカーの森喜朗(2)/少しだけ賢い/shinpoko(2)/ワッショイサンバ/ふわっと(3)/モチ/樫本ほーほけきょ(2)/灰色こたつ(3)/明鏡シスコン/森山/投票ボーナス(3)
5295_1999_IXG,2022-12-21,162人,「おやつは300万個まで」の遠足で起こることを教えて。,NA,5位,掻痒,吐く用のバスがある,49,73.75,ダダダ/1059/不耕貪食の徒(2)/前後左右(2)/ゆうない(2)/おあつらえ(2)/マコトシヤカ/うわぁ/omisoshiru/住まなくても都/栄養チーズ/テケ罪/hamai(2)/中華猫(3)/寺井/あいだほ＠俳句/たいら/ほっぺちゃん/安達些細/Yuki(2)/No Image/少しだけ賢い/ワッショイサンバ(2)/なからか/白キごはん/釜ちびちび/循環/ミズノエル(2)/是非/試家軽気/樫本ほーほけきょ(2)/ラテ/ヒステリックコボちゃん/明鏡シスコン/ばしはし/投票ボーナス(3)
5295_1999_IXG,2022-12-21,162人,「おやつは300万個まで」の遠足で起こることを教えて。,NA,6位,防がなくても,量より質だと学ぶ,44,69.72,ししだ/里/不耕貪食の徒(2)/前後左右/牛頭馬頭/猫屋敷/大喜利の母/PD/春巻き、咲いちゃいました(2)/マコトシヤカ/むもん/南田まさお/ミスティカティ/のちほど/omisoshiru/田口さん🍙/踊るうどん/中サラ/ぐらたそ(2)/山葵/とりあえず後回し/安達些細/Yuki(2)/No Image/元文学/ikdboy/ゴーダチーズ(2)/釜ちびちび/白身魚のフライ/玄の字。/モチ/明鏡シスコン/ふもー/ダビドサラダ/寿司ブルドーザー/よーすけ/投票ボーナス(3)
5295_1999_IXG,2022-12-21,162人,「おやつは300万個まで」の遠足で起こることを教えて。,NA,7位,のとさわ,ようやくふ菓子が選択肢に入った,43,68.91,最寄り/ホテル三国志/ししだ/1059/牛頭馬頭/ゆうない(2)/うわぁ(2)/シャンプー/テケ罪/カンガルーノート/うえじゅん/中華猫(2)/踊るうどん/中サラ/ライトオンキュー/アウク/チョゴゴロネ/溶連菌/元文学(2)/射的屋(2)/ペッタ(2)/佐藤さとぅーん(3)/夢描めろん/白身魚のフライ/みやまる(2)/ととまる(2)/試家軽気/モチ/ラテ/ハチコー/投票ボーナス(3)
5295_1999_IXG,2022-12-21,162人,「おやつは300万個まで」の遠足で起こることを教えて。,NA,7位,ランゲル・ハンス,毎年「全部食べた先輩がいる」という噂が流れる,43,68.91,最寄り/螺旋貝柱/餅田   鳥小屋/1059/不耕貪食の徒(2)/ゆうない/むもん/のちほど(2)/やる/鉛筆削り/栄養チーズ/ハッスル運動会(2)/チャイニーズマフィア/誤字/駄三盆/ほっぺちゃん/泥のぷーまん/Yuki(3)/No Image/漁業の星/ペッタ/なからか/カタン/循環/ミズノエル/ととまる/樫本ほーほけきょ(2)/明石/ヒステリックコボちゃん/ばしはし/ハチコー(2)/とりふぐ/よーすけ/投票ボーナス(3)
5295_1999_IXG,2022-12-21,162人,「おやつは300万個まで」の遠足で起こることを教えて。,NA,9位,やる,みんなで大きい数を言い合った時が楽しさのピークだったと気付く,42,68.11,イチナリ(2)/螺旋貝柱/ししだ/ダダダ/1059/前後左右/ゆうない/大喜利の母/むもん/南田まさお/うわぁ/シャンプー/omisoshiru/栄養チーズ/田口さん🍙/生身/ランゲル・ハンス/ぐらたそ(2)/帰る亭中野周辺/駄三盆/ほっぺちゃん/No Image/漁業の星(2)/元文学(3)/100エーカーの森喜朗/ペッタ/ユメムラ/試家軽気/ラテ/ダスチン・コフマン/ばしはし/ハチコー(2)/ヒカル/投票ボーナス(3)
5295_1999_IXG,2022-12-21,162人,「おやつは300万個まで」の遠足で起こることを教えて。,NA,10位,ダークエンジェル,経済が動く,41,67.3,最寄り/kanikamanika/ししだ/続きを読む/1059(2)/きみをゆるさない。/里/シンマイ子/ゆうない/むもん/やる/生身/棒/ちゃーぱ(3)/中サラ/あいだほ＠俳句/山葵(2)/頭脳まさき(2)/チョゴゴロネ(2)/溶連菌/gas/とりあえず後回し(2)/Yuki(2)/No Image/漁業の星/元文学/ユメムラ/なからか(2)/白身魚のフライ/明石(2)/ばしはし
