お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2126_6633_WVS,2022-12-23,160人,ケンタウロスをペットにする時に注意すべきことは？,NA,1位,名詞句移動,手で出来ることは手でさせる,51,85.65,カレーラ水(2)/雨はやさしく/他のＰ/ハルマレ(3)/さいころちゃらみん/カナリカリガ・タカ(3)/不耕貪食の徒/納屋の鍵(2)/TwistNight/9月が終わったら起こして/後悔しない名前を付けよう/ほ/800/ハッスル運動会/きお/灰色こたつ(2)/住まなくても都/gas/ありあ/中華猫(2)/水谷新太郎/kamenoue(2)/まきびし/里/暮らし(2)/しらたき/是非/また師走が来たよ/テケ罪/踊るうどん/鉛筆削り/カンガルーノート/フイ/100エーカーの森喜朗/ナンの一部/長老_M/ｼﾉﾀﾞ@qop397/初心者まゆげ/投票ボーナス(3)
2126_6633_WVS,2022-12-23,160人,ケンタウロスをペットにする時に注意すべきことは？,NA,1位,是非,参加できる行事はない,51,85.65,カレーラ水(2)/三角大陸(3)/雨はやさしく/竜の叫び/ウラニワ(2)/じろう/カナリカリガ・タカ(2)/不耕貪食の徒/納屋の鍵/TwistNight/フニャダキシン/ほ/ワッショイサンバ/ししだ(2)/バンダナ先輩/灰色こたつ/住まなくても都(2)/Y氏/オチのないミレ/モチ/中華猫/RANRANRAN/螺旋貝柱/ばっは/ナルシマアンバイ/暮らし(2)/珍百景のクロ/んん゛/白滝BOX/てらG/しらたき/テケ罪/ほっぺちゃん(2)/溶連菌(2)/ヒステリックコボちゃん/ハチコー/寺井(2)/投票ボーナス(3)
2126_6633_WVS,2022-12-23,160人,ケンタウロスをペットにする時に注意すべきことは？,NA,3位,しらたき,「半人前」という言葉に酷く傷つくので言わない,44,78.1,赤鯉(2)/竜の叫び/さいころちゃらみん/ヌペシコ/そいそーす(2)/ミスティカティ(2)/八王子/ししだ/バンダナ先輩/ダスチン・コフマン/灰色こたつ/最寄り(2)/オチのないミレ/猫屋敷/中華猫/パペットパレット(2)/牛頭馬頭/とほ/珍百景のクロ/いのちのぶんなぐり/てらG(2)/ミッツ乾電池(2)/ミズノエル/1059/溶連菌(3)/カッツウォ/フイ/100エーカーの森喜朗/ハチコー(3)/白キごはん/投票ボーナス(3)
2126_6633_WVS,2022-12-23,160人,ケンタウロスをペットにする時に注意すべきことは？,NA,3位,掻痒,参政権の話は隠す,44,78.1,赤鯉(2)/三角大陸(2)/竜の叫び/南部屋敷/納屋の鍵(2)/ドンタコす(2)/フニャダキシン/しかるべく/カクレミノムシ/トリニダード木箱/ニューロン/gas/最寄り(2)/ありあ/牛頭馬頭/とほ/水谷新太郎/うえじゅん/ばっは/んん゛/堅あげポテト好き/昨今/GYAI/いのちのぶんなぐり/チャイニーズマフィア/また師走が来たよ/ほっぺちゃん(2)/1059/溶連菌/やらしみず/くすも/ハチコー(2)/寺井(2)/投票ボーナス(3)
2126_6633_WVS,2022-12-23,160人,ケンタウロスをペットにする時に注意すべきことは？,NA,5位,白キごはん,「ハウス」で神話の世界に帰ってしまう,42,75.94,新Goo(2)/赤鯉(2)/三角大陸(2)/不耕貪食の徒(2)/納屋の鍵/フニャダキシン/ヌペシコ/後悔しない名前を付けよう/しかるべく/寿司ブルドーザー/バンダナ先輩/夢描めろん/及川広大(2)/稲穂(2)/ニューロン/ランゲル・ハンス/ダークエンジェル/福井とマルコ/ありあ/猫屋敷/牛頭馬頭/水谷新太郎(2)/てらG/しらたき(2)/また師走が来たよ/ミズノエル/ヒステリックコボちゃん/100エーカーの森喜朗(2)/ハチコー/名詞句移動/投票ボーナス(3)
2126_6633_WVS,2022-12-23,160人,ケンタウロスをペットにする時に注意すべきことは？,NA,6位,気球マイスター,まず人の部分から褒める,39,72.7,竜の叫び/ハルマレ/白身魚のフライ/さいころちゃらみん/ダイナマイト児玉/不耕貪食の徒(2)/南部屋敷/じゃん/800/ししだ/トリニダード木箱/稲穂(2)/灰色こたつ/gas/Y氏/モチ/RANRANRAN/んん゛/GYAI/サメVS巨大タコス/いのちのぶんなぐり/もちろん/チャイニーズマフィア/テケ罪/ほっぺちゃん(2)/ヒステリックコボちゃん/長老_M/ハチコー(2)/吉高/寺井/初心者まゆげ/名詞句移動/投票ボーナス(3)
2126_6633_WVS,2022-12-23,160人,ケンタウロスをペットにする時に注意すべきことは？,NA,7位,トリニダード木箱,本人にはルームシェアだと言ってあげる,38,71.62,カレーラ水/水のつくだに/気球マイスター/さいころちゃらみん/南部屋敷/フニャダキシン/アウク/ワッショイサンバ/八王子/寿司ブルドーザー/バンダナ先輩/夢描めろん/ダスチン・コフマン/最寄り(2)/モチ/ありあ/イチナリ/パペットパレット/牛頭馬頭/kamenoue(2)/3ねこ/GYAI/是非/ミッツ乾電池/1059/カッツウォ(2)/ヒステリックコボちゃん/長老_M/ハチコー(2)/吉高/名詞句移動/投票ボーナス(3)
2126_6633_WVS,2022-12-23,160人,ケンタウロスをペットにする時に注意すべきことは？,NA,8位,春巻き、咲いちゃいました,椅子を見せると、悲しい顔をします,37,70.54,他のＰ/白身魚のフライ/ウラニワ(2)/やじうさん/カナリカリガ・タカ(2)/さんべ商会(3)/じゃん/納屋の鍵(2)/ドンタコす/フニャダキシン/ヌペシコ(2)/鮒侍/しかるべく/カクレミノムシ/寿司ブルドーザー/牛頭馬頭/kamenoue/まきびし/里/堅あげポテト好き/是非/1059(2)/100エーカーの森喜朗/長老_M/ハチコー/寺井/白キごはん/投票ボーナス(3)
2126_6633_WVS,2022-12-23,160人,ケンタウロスをペットにする時に注意すべきことは？,NA,9位,雨はやさしく,少し無理してでもいいケンタウロスを買う,35,68.38,水のつくだに/じゃん/納屋の鍵/しかるべく(2)/ハッスル運動会/ししだ(2)/春巻き、咲いちゃいました/住まなくても都/Y氏/イチナリ(2)/水谷新太郎/うえじゅん/手も繋いで/暮らし(2)/ルッコラ(3)/珍百景のクロ/しらたき/是非/ミズノエル/ikdboy/カッツウォ/鉛筆削り/ナンの一部/吉高(2)/名詞句移動/投票ボーナス(3)
2126_6633_WVS,2022-12-23,160人,ケンタウロスをペットにする時に注意すべきことは？,NA,10位,サメVS巨大タコス,友人ではないことを分からせる,32,65.15,三角大陸/雨はやさしく/竜の叫び/やじうさん/そいそーす(2)/D-6/トリニダード木箱/きお(2)/バンダナ先輩/春巻き、咲いちゃいました/gas/里/ドルフィンキック/んん゛/昨今(2)/もちろん/是非/テケ罪/ミズノエル/やらしみず/泥だ/カンガルーノート/ヒステリックコボちゃん/ハチコー/寺井/名詞句移動/投票ボーナス(3)
