お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0969_7292_ZWZ,2023-01-05,140人,あなたがタバコを吸わなくなった、本当の理由,NA,1位,アガリブル,自分のセリフだけ灰色のフキダシにされた,57,90.44,gas(2)/頭脳まさき(2)/harvest(2)/机上で実演/良い革靴/chikira/yubeshi2/男も育休/デミ侍/ヒステリックコボちゃん/栄養チーズ/ジョンとも/sakuma0610(3)/螺旋貝柱/ねむみ/デカい犬いっぱいは嬉しい(2)/ベンジャミン/暮らし/梅盾/きらら/hp/ダスチン・コフマン/能動的三半規管(3)/nk_/ぐすく(2)/ham./ダダダチョウ/実家に帰った鶴/なんこつ/ランゲル・ハンス/109万/フイ/えのきときのこ(3)/TacICicy(2)/水のつくだに/匍匐/チャールズ・チャール/物数/hamai(3)/ラッキー/投票ボーナス(3)
0969_7292_ZWZ,2023-01-05,140人,あなたがタバコを吸わなくなった、本当の理由,NA,2位,明鏡シスコン,注意書きをちゃんと読んだ,54,87.43,座改/頭脳まさき(2)/harvest(2)/ねこライト/セコイア/イガイガの栗/れあ/goigois(2)/生身/元文学/さかなのたまり場/ねむみ/矢野圭人/ベンジャミン/梅盾(3)/寺井(2)/しらたき/hp(2)/Y氏(2)/鉄シャリ/ワッショイサンバ(2)/がんばりま翔(2)/のとさわ/ジェンツーペンギン/ただたん(2)/ham./ペッタ/みささぎ/メグメル(3)/川淵(3)/悪魔が夜来る/RANRANRAN/109万/フイ/合鴨の世界/泥だ/駄三盆/匍匐/物数
0969_7292_ZWZ,2023-01-05,140人,あなたがタバコを吸わなくなった、本当の理由,NA,3位,ベンジャミン,いつも灰皿にしてた友人が就職した,45,78.39,gas/頭脳まさき/harvest/誤字/セコイア/アガリブル/牛頭馬頭/雑兵/hummmkou/栄養チーズ/元文学(3)/ジョンとも/白黒まみれ/螺旋貝柱/さかなのたまり場/抹茶餅/しゅうぴょんz(2)/800/ドロップシンカー/hp(2)/やや不安(2)/能動的三半規管(2)/nk_(3)/がんばりま翔/ジェンツーペンギン(2)/ダダダチョウ/ウラニワ(2)/アウク/えのきときのこ/ピロ式(2)/匍匐/投票ボーナス(3)
0969_7292_ZWZ,2023-01-05,140人,あなたがタバコを吸わなくなった、本当の理由,NA,4位,ワッショイサンバ,産まれた娘に「わかば」と名付けて満足した,41,74.37,harvest/お嬢様ですわぁ/trop/机上で実演/イガイガの栗/アガリブル(2)/良い革靴/たいら(2)/hummmkou/螺旋貝柱/さかなのたまり場/ねむみ/ドロップシンカー(2)/むもん/能動的三半規管(2)/サメVS巨大タコス(2)/nk_(3)/がんばりま翔/のとさわ(2)/ham./れれれのれき/川淵/シュヴァルツ(2)/109万/TacICicy/kubodi/寿司ブルドーザー/匍匐/hamai/投票ボーナス(3)
0969_7292_ZWZ,2023-01-05,140人,あなたがタバコを吸わなくなった、本当の理由,NA,5位,合鴨の世界,「喫煙所の」で覚えられてる,40,73.37,gas(2)/頭脳まさき/お嬢様ですわぁ/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/yubeshi2(3)/牛頭馬頭/rayleigh/たいら(2)/タイファイター/元文学/弟子/ししだ/ねむみ/チョゴゴロネ/むもん/しらたき/柚苑/hp/能動的三半規管(2)/鉄シャリ/のとさわ/ham.(2)/メグメル/川淵/アウク/フイ/TacICicy/泥のぷーまん/泥だ/物数/ラッキー/投票ボーナス(3)
0969_7292_ZWZ,2023-01-05,140人,あなたがタバコを吸わなくなった、本当の理由,NA,6位,泥だ,サンタが口から入ろうとしてくる,37,70.35,ねこライト/誤字/セコイア(2)/アガリブル(2)/chikira/yubeshi2(3)/rayleigh/雑兵/生身/栄養チーズ/弟子(2)/ジョンとも/＃の中のカマ吉くん/螺旋貝柱/ベンジャミン/暮らし/チョゴゴロネ/寺井/多屋光/むもん/hp/段ボールメン/実家に帰った鶴/RANRANRAN(2)/109万/kubodi/蛙科/駄三盆/投票ボーナス(3)
0969_7292_ZWZ,2023-01-05,140人,あなたがタバコを吸わなくなった、本当の理由,NA,7位,ぐすく,リスが吸い殻を丁寧に埋めてた,36,69.35,ねこライト/お嬢様ですわぁ/アガリブル(2)/カンガルーノート/良い革靴/chikira/牛頭馬頭/男も育休/rayleigh/栄養チーズ/ジョンとも/螺旋貝柱/さかなのたまり場/800/デカい犬いっぱいは嬉しい(2)/矢野圭人/暮らし/梅盾(3)/多屋光/ザイチェフ閣下/柚苑/能動的三半規管/ジェンツーペンギン/ただたん/実家に帰った鶴/kamenoue/ランゲル・ハンス/109万/hamai/投票ボーナス(3)
0969_7292_ZWZ,2023-01-05,140人,あなたがタバコを吸わなくなった、本当の理由,NA,8位,カナリカリガ・タカ,どの写真でも隙間の細いピースしてた,35,68.34,頭脳まさき/お嬢様ですわぁ/ラーメンラブ/イガイガの栗/れあ/良い革靴/rayleigh/雑兵/hummmkou/生身(2)/元文学/白黒まみれ/螺旋貝柱/さかなのたまり場/ねむみ/ベンジャミン/暮らし/梅盾/多屋光/きらら(2)/Y氏/実家に帰った鶴/kamenoue/なんこつ/109万/フイ/泥だ/ピロ式/蛙科/チャールズ・チャール(3)/物数
0969_7292_ZWZ,2023-01-05,140人,あなたがタバコを吸わなくなった、本当の理由,NA,8位,机上で実演,頭上の数字がガンガン減ってく,35,68.34,gas(2)/B群/誤字/良い革靴/うえじゅん/男も育休(2)/雑兵/goigois(2)/生身/ジョンとも/螺旋貝柱/抹茶餅/きらら/柚苑/やや不安/ダスチン・コフマン/ぐすく(2)/ダダダチョウ/実家に帰った鶴/泥だ/寿司ブルドーザー/新Goo/匍匐(2)/りず(3)/チャールズ・チャール/投票ボーナス(3)
0969_7292_ZWZ,2023-01-05,140人,あなたがタバコを吸わなくなった、本当の理由,NA,10位,800,もう吸わせてみたい穴が無い,33,66.33,誤字/trop/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/机上で実演/アガリブル/良い革靴/デミ侍/雑兵(2)/タイファイター/ヒカル/栄養チーズ(2)/白黒まみれ(2)/しゅうぴょんz/デカい犬いっぱいは嬉しい/ベンジャミン/寺井(2)/多屋光/むもん/柚苑/のとさわ/ダダダチョウ/kamenoue/みささぎ/ランゲル・ハンス/寿司ブルドーザー/ピロ式/投票ボーナス(3)
