お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3812_0129_RRO,2023-01-08,143人,愛が重いお坊さん,NA,1位,ランゲル・ハンス,今別の宗派見てたでしょ,52,84.92,ゆってぃ(2)/ガッボデ/カタン(2)/増田28号/ここはが/ドロップシンカー/試家軽気/たんひな/チャールズ・チャール/くすも/タブンネコ/ま！/泥だ/二階から手続き/＃の中のカマ吉くん/寿司ブルドーザー/果報者ミント/のとさわ/ﾋﾞｰﾄ糖/パンジ/ぽんこつちゃん/匿名匿名/ペッタ/毒マグロ(3)/きらら/ちきちきた/ウラニワ(2)/きみをゆるさない。/brooks/ノーウェア/鳥のさえずり(2)/ダスチン・コフマン/ミスティカティ/100エーカーの森喜朗/りんかんがっこう/ほろほろ/ゆめみ/ラジウス(3)/ピロ式/ひとなつおもい/みやもり/投票ボーナス(3)
3812_0129_RRO,2023-01-08,143人,愛が重いお坊さん,NA,2位,ヒステリックコボちゃん,やましい事ないなら早く御朱印帳出して,47,79.82,ゆってぃ(2)/ガッボデ/しろねこ/モチ/がんばりま翔/増田28号/ぐすく(3)/deepnavy/チャールズ・チャール(3)/ほしこ/倉田 をるけ/おやま/ただたん/生身/納屋の鍵/タブンネコ/しばらくは好きに呼んで/TacICicy/段ボールメン/長老_M/二階から手続き(2)/つか/ペッタ(2)/鉄シャリ/毒マグロ(3)/ノーウェア/ダスチン・コフマン/珍百景のクロ/里/ほろほろ/フスマ/ゆめみ/よれん(2)/すくみ/投票ボーナス(3)
3812_0129_RRO,2023-01-08,143人,愛が重いお坊さん,NA,3位,チャイニーズマフィア,遺骨を遺族に渡さない,46,78.8,がんばりま翔/すーず/ドロップシンカー(3)/オズ/ピッピ(2)/けん坊(3)/たこかいな/とーちか(2)/タブンネコ/カンガルーノート/ま！/ミズノエル(2)/匍匐(3)/段ボールメン/泥だ/寿司ブルドーザー/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/おだンゴ/daffle/オーバーニート(2)/初心者まゆげ/きみをゆるさない。/ノーウェア/PD/ヒステリックコボちゃん/赤葉ねおん/Yuki(2)/蛙科/ゆめみ/しもむら(2)/イガイガの栗/投票ボーナス(3)
3812_0129_RRO,2023-01-08,143人,愛が重いお坊さん,NA,4位,寺井,誰だよその仏,43,75.74,モチ/シーサイド品川/ここはが/試家軽気/deepnavy/チャールズ・チャール/さんべ商会/ただたん/生身/たこかいな/大王にのまえ/チャイニーズマフィア/＃の中のカマ吉くん/トドのつまみ/寿司ブルドーザー/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/安達些細/のとさわ/3ねこ/ぽんこつちゃん/鮒侍/匿名匿名/とらぼる太/ペッタ/ちきちきた/ウラニワ(2)/かるかも/brooks/ダスチン・コフマン/珍百景のクロ/コウチーニ/高見盛/Yuki(2)/たかま/kamenoue/ラジウス(2)/ひとなつおもい/投票ボーナス(3)
3812_0129_RRO,2023-01-08,143人,愛が重いお坊さん,NA,5位,ガッボデ,ねえ今違うハゲみてた,42,74.72,ゆらう(2)/がんばりま翔/すーず/ドロップシンカー/ぐすく/さんべ商会(3)/倉田 をるけ/生身/納屋の鍵/しばらくは好きに呼んで/泥だ/長老_M/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/果報者ミント/ましましのしま/ぽぽぽぽ〜ん/ぽんこつちゃん/鮒侍/眠れる森の二郎/きらら/brooks/PD/寺井/高見盛/Yuki(2)/たかま/蛙科/ばけばけ(2)/kamenoue(3)/誤字/イガイガの栗/電動お父さん/投票ボーナス(3)
3812_0129_RRO,2023-01-08,143人,愛が重いお坊さん,NA,6位,PD,もっと南無らせてよ,38,70.64,ランゲル・ハンス/デマゴイゴイスー/ガッボデ/カタン/シーサイド品川/ここはが/試家軽気/さんべ商会(2)/ピッピ/くすも/おやま/TacICicy/泥だ/長老_M/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/お算数/ﾋﾞｰﾄ糖/ぽぽぽぽ〜ん/オーバーニート(2)/鮒侍/brooks/ほろほろ/高見盛/Yuki(2)/蛙科/ニーホース(2)/よれん/ラジウス/ピロ式/しもむら/イガイガの栗/投票ボーナス(3)
3812_0129_RRO,2023-01-08,143人,愛が重いお坊さん,NA,6位,シーサイド品川,坐禅の棒で散々叩いた後「好きだからだよ」と抱きしめる,38,70.64,しろねこ(2)/ゆらう(2)/がんばりま翔/カタン/ぐすく(2)/さんべ商会/ただたん(2)/納屋の鍵(2)/カレーラ水(2)/ミズノエル/男も育休/段ボールメン/寿司ブルドーザー/安達些細/お算数/おだンゴ/牛頭馬頭/ﾋﾞｰﾄ糖/初恋キャノン(3)/ダスチン・コフマン/珍百景のクロ/ほろほろ/Yuki(2)/ゆめみ/ラッキー/顔面激戦区/投票ボーナス(3)
3812_0129_RRO,2023-01-08,143人,愛が重いお坊さん,NA,6位,モチ,仏の顔を何度でも,38,70.64,ガッボデ/しろねこ/がんばりま翔/カタン/すーず/ここはが/くすも/チャイニーズマフィア/とーちか(2)/えのきときのこ(2)/長老_M/二階から手続き(2)/のとさわ/ましましのしま/ぽぽぽぽ〜ん/3ねこ/オーバーニート(2)/鉄シャリ/109万/brooks/ヒガシノカ/100エーカーの森喜朗/りんかんがっこう/珍百景のクロ/里/フスマ/フニャダキシン/Yuki(2)/蛙科/ゆめみ/投票ボーナス(3)
3812_0129_RRO,2023-01-08,143人,愛が重いお坊さん,NA,9位,しろねこ,お経をよく聴いたら確かに「キャンユーセレブレイト」と言ってた,34,66.56,カタン/オズ/ほしこ/ルチード・ドルソニャ(2)/納屋の鍵/タブンネコ/ミズノエル/男も育休/TacICicy/二階から手続き(2)/牛頭馬頭/のとさわ/ましましのしま(2)/daffle/ぽぽぽぽ〜ん(2)/ふたつめ/109万/ミスティカティ/ヒステリックコボちゃん/里/コウチーニ(2)/蛙科/ひとなつおもい/ラッキー/良い革靴(2)/投票ボーナス(3)
3812_0129_RRO,2023-01-08,143人,愛が重いお坊さん,NA,9位,ルチード・ドルソニャ,お経の横読みで匂わせをする,34,66.56,モチ/ここはが/ドロップシンカー/deepnavy/さんべ商会/倉田 をるけ/大王にのまえ/しばらくは好きに呼んで/男も育休/泥だ/＃の中のカマ吉くん/ゴーダチーズ(2)/牛頭馬頭/のとさわ/イタリア人/daffle/ぽぽぽぽ〜ん/3ねこ/鳥のさえずり/ダスチン・コフマン/ミスティカティ(2)/りんかんがっこう/寺井/ヒステリックコボちゃん/里/ほろほろ/フスマ/ばけばけ(2)/投票ボーナス(3)
