お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4894_1674_NLO,2023-01-20,70人,ゴミはゴミ箱へ、ゴムは？,NA,1位,店長,ゴムの担当者から説明いたします,29,79.03,後悔しない名前を付けよう/高見盛/業務用虚無(2)/おくと🐉/射的屋/ワッショイサンバ(2)/スパルタ/ほしこ/とほ/ノビッタ(2)/ぽにょ/Sierra/副キャプテンアメリカ/ナンの一部/あまるる/四回転サル子/音鳴ヨチ/珍百景のクロ/気球マイスター/香奈🍀‎(2)/ジェンツーペンギン/くら/投票ボーナス(3)
4894_1674_NLO,2023-01-20,70人,ゴミはゴミ箱へ、ゴムは？,NA,2位,3ねこ,余ったら俺が食うから,27,75.65,後悔しない名前を付けよう/柚苑/高見盛/おくと🐉(2)/バルチャイ/射的屋/まめろう/rayleigh/タカノリ・タカノ/ほしこ/ぱぴ子(2)/Sierra/また師走が来たよ/店長/顔面激戦区/あまるる/しばらくは好きに呼んで/感光/気球マイスター/大中京大中京/9月が終わったら起こして/くら/投票ボーナス(3)
4894_1674_NLO,2023-01-20,70人,ゴミはゴミ箱へ、ゴムは？,NA,3位,中沢の人,愛を知らない老婆へ,26,73.96,後悔しない名前を付けよう/ゴムマリ/おくと🐉(2)/同じSHARK(2)/有波/合鴨の世界/rayleigh/ポメラニヤン(3)/ぽにょ/ちくわうし/ザカ(仮)/おしゃる/痴/感光(3)/香奈🍀‎/3ねこ/くら/投票ボーナス(3)
4894_1674_NLO,2023-01-20,70人,ゴミはゴミ箱へ、ゴムは？,NA,4位,まめろう,ひとときの思い出に,24,70.58,ちまめ/高見盛/ワッショイサンバ/シンマイ子/たちまちダチ祭り(2)/ほしこ/ノビッタ/ぽにょ/ザカ(仮)/Sierra/おしゃる/ねむみ/痴/きみをゆるさない。/シーサイド品川/ナンの一部/珍百景のクロ/hide/気球マイスター/すーず/投票ボーナス(3)
4894_1674_NLO,2023-01-20,70人,ゴミはゴミ箱へ、ゴムは？,NA,5位,ジェンツーペンギン,休んでる子の机の中に,23,68.89,匿名匿名/新Goo(2)/バルチャイ/きゅーきゅー/ワッショイサンバ(2)/ナルシマアンバイ/liminalism/rayleigh/お世話係/メスカマキリ/ザカ(仮)/おしゃる/スガワラ　カイヤ/きみをゆるさない。/ナンの一部/音鳴ヨチ/まきびし/サバイブレーション/投票ボーナス(3)
4894_1674_NLO,2023-01-20,70人,ゴミはゴミ箱へ、ゴムは？,NA,6位,なまこP,機械が全部やってくれる,21,65.5,ちまめ/後悔しない名前を付けよう/柚苑/きゅーきゅー/合鴨の世界/liminalism/ほしこ/ノビッタ/店長/おしゃる/THEマネー/頭脳まさき/珍百景のクロ/気球マイスター/大中京大中京/ジェンツーペンギン/素朴/桃山ももたろう/投票ボーナス(3)
4894_1674_NLO,2023-01-20,70人,ゴミはゴミ箱へ、ゴムは？,NA,6位,業務用虚無,住友から、世界へ。,21,65.5,匿名匿名/後悔しない名前を付けよう/ハゲイナズマ/白ジョーア/射的屋/スパルタ/メスカマキリ(2)/ping3500/ボナパルタ/店長(2)/THEマネー/スガワラ　カイヤ/四回転サル子/hide/9月が終わったら起こして/桃山ももたろう/投票ボーナス(3)
4894_1674_NLO,2023-01-20,70人,ゴミはゴミ箱へ、ゴムは？,NA,8位,射的屋,まずゴムの意見を聞いてからにしましょう,20,63.81,ちまめ(2)/柚苑/業務用虚無(2)/おくと🐉/ノビッタ/ザカ(仮)/店長/おしゃる(2)/ねむみ/四回転サル子/気球マイスター/大中京大中京/素朴/まきびし/投票ボーナス(3)
4894_1674_NLO,2023-01-20,70人,ゴミはゴミ箱へ、ゴムは？,NA,9位,まきびし,着けても着けなくてもって感じです,19,62.12,本革/ハゲイナズマ/白ジョーア/射的屋/せき/スパルタ/たちまちダチ祭り(2)/お世話係/ほしこ/ヒカル/THEマネー/珍百景のクロ/hide(2)/くら/投票ボーナス(3)
4894_1674_NLO,2023-01-20,70人,ゴミはゴミ箱へ、ゴムは？,NA,9位,ナルシマアンバイ,アフリカで悪しきものとされています,19,62.12,高見盛/バルチャイ(2)/きゅーきゅー/ワッショイサンバ/合鴨の世界/スパルタ/お世話係/メスカマキリ/店長/きみをゆるさない。/あまるる(2)/四回転サル子/すーず/3ねこ/投票ボーナス(3)
