お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2905_4610_PMK,2023-01-28,132人,力士のプロポーズ,NA,1位,ねむみ,役所まで寄り切る,59,90.22,高見盛/嫁の実家(2)/家雨/PD(2)/泥だ/チャールズ・チャール/豚の踊り食い/カッツウォ/住まなくても都/ばっは/じゃん/ほろほろ/おくと🐉/梅盾/半丙太(2)/ももぐも/田口さん🍙/ちくわうし/五言舌禍(2)/TKD/旋風客/寿司ブルドーザー/ししだ/机上で実演(2)/ジェリ/ニナモリ/ドロップシンカー/シンマイ子(2)/ひよれゐ(3)/すーず(2)/のぎけい/さっつん/えーす/もうろく/夢描めろん/偽偽ビートルズ/wowwow/恥さらしのスパゲッティ/たこかいな(3)/エビサワ(2)/悪魔が夜来る/素朴/竜の叫び/おだンゴ/投票ボーナス(3)
2905_4610_PMK,2023-01-28,132人,力士のプロポーズ,NA,2位,物数,お前を絶対幸せにするの海に改名した,50,81.69,あぐら(2)/あらあら帝国/納屋の鍵(3)/ダスチン・コフマン/ナルシマアンバイ/眠れる森の二郎(3)/おくと🐉(2)/梅盾/ううここ/ナイスな椅子/さけのなかのいくら/五言舌禍(2)/TKD/きれいな市役所/金色足コキ地蔵(3)/旋風客/寿司ブルドーザー/ししだ/kubodi/机上で実演/治験のジェスチャー(2)/megalo/マイナスいち髪/ほぼ赤ちゃん/人参/いわな/ランゲル・ハンス/もうろく(2)/たこかいな/永栄/素朴/生身/虎の威を借る俺(2)/メスカマキリ(2)/投票ボーナス(3)
2905_4610_PMK,2023-01-28,132人,力士のプロポーズ,NA,3位,生身,すこを踏む,43,75.06,試家軽気(2)/おやま(3)/まめろう/ばっは/ほろほろ/オーバーニート(3)/ナイスな椅子/さけのなかのいくら/五言舌禍/藤の実(3)/目利き(2)/ニューロン/寿司ブルドーザー/うーん2ポイント/新Goo/机上で実演/えのきときのこ/ニナモリ(2)/さんべ商会/ひよれゐ(3)/マイナスいち髪/ほぼ赤ちゃん/人参/セコイア/ランゲル・ハンス/さっつん/恥さらしのスパゲッティ/永栄/素朴/投票ボーナス(3)
2905_4610_PMK,2023-01-28,132人,力士のプロポーズ,NA,4位,マイナスいち髪,フラッシュデブ,42,74.11,あらあら帝国/野島久助/おやま(2)/納屋の鍵/高木パーキング/ばっは(2)/オーバーニート(2)/ももぐも/五言舌禍/藤の実/うわぁ/金色足コキ地蔵/旋風客/うーん2ポイント/えのきときのこ/ひよれゐ(3)/セコイア(3)/きゅーきゅー(2)/ランゲル・ハンス/さっつん/やわこん。(3)/偽偽ビートルズ/guniguni/サメVS巨大タコス/赤ぺこり/恥さらしのスパゲッティ/永栄/流しの犬/虎の威を借る俺/投票ボーナス(3)
2905_4610_PMK,2023-01-28,132人,力士のプロポーズ,NA,5位,高木パーキング,「突きがきれいですね」,41,73.16,野島久助(2)/PD(3)/チャールズ・チャール(3)/イガイガの栗/豚の踊り食い/ほろほろ/珍百景のクロ(2)/ううここ/田口さん🍙/ちくわうし/達川@広島キャッチャー/藤の実(2)/机上で実演/えのきときのこ/他のＰ/あおうろ(2)/人参/のぎけい(3)/セコイア/きゅーきゅー/いわな/ランゲル・ハンス/古き良きパクチー/デイヴィー・ジョーンズ/偽偽ビートルズ/wowwow/大王にのまえ/ミスティカティ/投票ボーナス(3)
2905_4610_PMK,2023-01-28,132人,力士のプロポーズ,NA,6位,素朴,ちっちゃなまわしを薬指に締めてくれる,40,72.22,ぬこぐみ/吉高(2)/高木パーキング(2)/チャールズ・チャール/豚の踊り食い/梅盾/ううここ/さけのなかのいくら/五言舌禍/飾りハイボール/kubodi/んん゛/川北にあいたい/他のＰ/なかにし/ミッピー/シンマイ子/megalo(2)/マイナスいち髪/ほぼ赤ちゃん(2)/きゅーきゅー/ねむみ/ランゲル・ハンス/もうろく(3)/デイヴィー・ジョーンズ/夢描めろん/guniguni/恥さらしのスパゲッティ/たこかいな(2)/永栄/投票ボーナス(3)
2905_4610_PMK,2023-01-28,132人,力士のプロポーズ,NA,7位,カナリカリガ・タカ,次の日に行司が「残った？」と聞いてくる,36,68.43,高見盛/納屋の鍵/高木パーキング/泥だ/ダスチン・コフマン/眠れる森の二郎(2)/ばっは/田口さん🍙/オズ/TKD/藤の実(2)/目利き(3)/きれいな市役所/新Goo/えのきときのこ/他のＰ/ping3500/なかにし/ひよれゐ(3)/megalo(2)/明け透け(3)/たこかいな(2)/竜の叫び/投票ボーナス(3)
2905_4610_PMK,2023-01-28,132人,力士のプロポーズ,NA,7位,スクハムハーフ,「0勝1敗」といらない情報が表示された,36,68.43,あぐら(2)/ぬこぐみ/野島久助/納屋の鍵(2)/泥だ/3ねこ(2)/チャールズ・チャール/眠れる森の二郎/ばっは/珍百景のクロ/田口さん🍙/ちくわうし/さけのなかのいくら(2)/目利き(2)/ニューロン/旋風客/ししだ/kubodi/ニナモリ/ping3500/あおうろ/daffle/古き良きパクチー/偽偽ビートルズ/よーすけ/素朴/竜の叫び/物数/投票ボーナス(3)
2905_4610_PMK,2023-01-28,132人,力士のプロポーズ,NA,9位,ミスティカティ,君の前では本名でいたいんだ,35,67.48,高見盛/まめろう/家雨/納屋の鍵/3ねこ(2)/カッツウォ/おくと🐉(2)/グミガム/ううここ/レイルレイル/倉庫大男/うーん2ポイント/新Goo/kubodi/んん゛/ジェリ/他のＰ/なかにし/さんべ商会(2)/人参/ねむみ/いわな/しゅうぴょんz/さっつん/wowwow(2)/たこかいな/生身/おだンゴ/投票ボーナス(3)
2905_4610_PMK,2023-01-28,132人,力士のプロポーズ,NA,9位,八子八百,言葉出なくて自分に張り手してる,35,67.48,試家軽気/納屋の鍵(3)/ダスチン・コフマン(2)/じゃん/オーバーニート/グミガム/半丙太/ちくわうし/さけのなかのいくら(2)/五言舌禍/レイルレイル/ぴょん/うーん2ポイント/kubodi/ping3500/治験のジェスチャー(2)/マイナスいち髪/のぎけい(3)/ランゲル・ハンス/さっつん/エビサワ/永栄(2)/生身/流しの犬(2)/メスカマキリ(2)
