お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,1位,中沢の人,勝った方がポチだからな,51,90.35,やや不安(3)/ぜ。/スピ力/セコイア/旅人/赤鯉/9月が終わったら起こして/ニューロン/PD(3)/おさふね/Y氏/赤い髪/ミスターすしでんせつ(2)/＃の中のカマ吉くん/ちくわうし/フイ/ゆんける/イタリア人/みなぱら/オズ/まめろう/コーシロー/ハチコー/かぎや/音鳴ヨチ/寿司ブルドーザー/大残渣/あぐら/まるまる(2)/京(2)/ししだ/水のつくだに/シンマイ子/ううここ/けええ/さんべ商会(2)/たこ焼きボンバー/納屋の鍵/トドのつまみ/はっぴーえんど/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,2位,3ねこ,おばさんは間違えて僕を撫でた,42,80.22,大中京大中京/美ナスビ/赤黄色/他のＰ/やまだひらいた(2)/高木パーキング/ハッチャケチャ夫/まきびし/PD(2)/おさふね/ダークエンジェル/嫁の実家(2)/灰色こたつ/赤い髪/いわな/黒色冗談(2)/パンデモニウム/夢描めろん/敵刺(2)/湯沸かしポット/D-6/さまざま/かぎや/音鳴ヨチ/確率論のパラテママ(2)/大残渣/京(2)/ううここ/けええ/さんべ商会/錯乱/ケイト/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,3位,rayleigh,共通点が欲しい,41,79.09,ぜ。/大中京大中京/美ナスビ/白ジョーア/スピ力/赤黄色/赤鯉/やまだひらいた(2)/9月が終わったら起こして/ニューロン/新Goo/まきびし/梅盾/循環器/ミスターすしでんせつ/＃の中のカマ吉くん/スクハムハーフ/ゆんける/ひなた/あああ/モチ/くじ運(2)/メスカマキリ/懸垂ができる(2)/かぎや/音鳴ヨチ/あぐら/3ねこ/ナルシマアンバイ(2)/錯乱(2)/納屋の鍵/トドのつまみ/ケイト/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,4位,音鳴ヨチ,一緒に駒沢を抜いた,37,74.58,ぜ。(2)/後悔しない名前を付けよう/大中京大中京/美ナスビ/白ジョーア/やじうさん/PD/ダークエンジェル/嫁の実家/家雨/循環器/ミスターすしでんせつ/ひなた/イタリア人/みなぱら(2)/オズ/コーシロー/ハチコー/かぎや/シャケマヨ/大残渣/まるまる(2)/ししだ/タイファイター/3ねこ/シンマイ子/ううここ/錯乱(3)/納屋の鍵/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,5位,玄の字。,本人は青春だと思ってる,35,72.33,ぜ。(2)/後悔しない名前を付けよう/大中京大中京/他のＰ/旅人/高木パーキング/PD/ホマレ/おさふね/嫁の実家/灰色こたつ/果報者ミント/夢描めろん/みなぱら/湯沸かしポット/オズ/まめろう/コーシロー/TKD/モチ/さまざま/懸垂ができる/ハチコー/かぎや/トリニダード木箱/rayleigh/確率論のパラテママ/あぐら(2)/まるまる(2)/さんべ商会(2)/納屋の鍵
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,6位,ハチコー,この犬から無料Wi-Fi出てる,34,71.21,氷の女王/後悔しない名前を付けよう/白ジョーア/セコイア/ナイスな椅子/ハッチャケチャ夫/ニューロン/まきびし/埼の河原/客員教授(3)/黒色冗談(2)/のぎけい(3)/大庭刀/大喜利/湯沸かしポット/ひよれゐ(3)/くじ運/寿司ブルドーザー/優しいダンプカー/大残渣/京/ううここ/トドのつまみ/はっぴーえんど/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,6位,懸垂ができる,教えることいっぱいある,34,71.21,ウラニワ(2)/赤黄色/ハッチャケチャ夫/ニューロン/PD/おさふね/梅盾(2)/Y氏/埼の河原/ドルフィンキック/＃の中のカマ吉くん/パンデモニウム/旋風客/TKD/D-6/モチ/ひよれゐ/優しいダンプカー/まるまる/朝ご飯(3)/3ねこ/けええ(2)/錯乱(2)/はっぴーえんど/ケイト/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,8位,スクハムハーフ,今、最も銅像に近いと言われている,30,66.7,後悔しない名前を付けよう/赤鯉(2)/ナイスな椅子/アナゴさん/嫁の実家(2)/客員教授/果報者ミント/ちくわうし/フイ/大庭刀/みなぱら(2)/大喜利/あああ/コーシロー/メスカマキリ(3)/ハチコー/トリニダード木箱/音鳴ヨチ/タイファイター/3ねこ/ナルシマアンバイ/錯乱/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,8位,チョイタロウ,どっちも飼い主だと思ってる,30,66.7,ダスチン・コフマン/大中京大中京/他のＰ/旅人/ナイスな椅子/ハッチャケチャ夫/新Goo/ホマレ/おさふね/灰色こたつ/赤い髪/いわな/ちくわうし/パンデモニウム/ゆんける/ひなた(3)/夢描めろん/みなぱら/大喜利/ひよれゐ(2)/くじ運/さまざま/びろびろーん/ナルシマアンバイ/シンマイ子/ううここ/たこ焼きボンバー
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,10位,culanadol,ワンワンとワンオンワン,29,65.57,後悔しない名前を付けよう/白ジョーア/旅人/ハッチャケチャ夫/Y氏/埼の河原/ドルフィンキック/たか/のぎけい(3)/果報者ミント/みなぱら(2)/敵刺(3)/オズ/くじ運(2)/ハチコー(2)/トリニダード木箱/水のつくだに/ううここ/納屋の鍵/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,10位,ケイト,老いる瞬間を見たい,29,65.57,へサリム/ウラニワ/スピ力/他のＰ/9月が終わったら起こして/ハッチャケチャ夫/ニューロン/嫁の実家/客員教授(2)/旋風客/夢描めろん/湯沸かしポット/TKD/寿司ブルドーザー/rayleigh(2)/中沢の人/まるまる/3ねこ/ナルシマアンバイ/たこ焼きボンバー(2)/納屋の鍵/トドのつまみ/はっぴーえんど/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,10位,ニューロン,もっと街の価値下げるぞ,29,65.57,やや不安(2)/美ナスビ/赤鯉/ナイスな椅子/9月が終わったら起こして/おさふね/梅盾/灰色こたつ/＃の中のカマ吉くん(2)/大庭刀(2)/湯沸かしポット/あああ/TKD/メスカマキリ/懸垂ができる/びろびろーん(2)/rayleigh/タイファイター/ナルシマアンバイ/錯乱/納屋の鍵/ケイト/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,10位,客員教授,好かれる理由を学びたい,29,65.57,へサリム/美ナスビ/スピ力/赤黄色/ニューロン/梅盾/嫁の実家/スクハムハーフ/おまつり/夢描めろん/あああ/TKD/モチ/くじ運(2)/さまざま/びろびろーん/rayleigh(2)/ししだ/たこ焼きボンバー(2)/錯乱/納屋の鍵/はっぴーえんど/ケイト/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,14位,かぎや,4に2で勝つぞ俺は,26,62.2,やや不安(2)/後悔しない名前を付けよう/赤黄色/赤鯉/9月が終わったら起こして/ドルフィンキック/果報者ミント(2)/ひなた(3)/イタリア人/みなぱら(2)/TKD/D-6/ハチコー/音鳴ヨチ/大残渣/タイファイター/野上/錯乱/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,14位,スピ力,最後は犬が合わしてくれた,26,62.2,へサリム/ぜ。/美ナスビ/やまだひらいた(3)/ハッチャケチャ夫/新Goo/埼の河原/家雨/果報者ミント/スクハムハーフ/フイ/ゆんける/夢描めろん/大喜利/湯沸かしポット/あああ/びろびろーん/寿司ブルドーザー/京/Dongiri0409/錯乱/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,14位,モチ,あの「取ってこい」は俺だった,26,62.2,ダスチン・コフマン/ウラニワ(3)/美ナスビ/赤黄色/他のＰ/やじうさん/ハッチャケチャ夫/梅盾/Y氏/いわな/循環器/スクハムハーフ/ちくわうし/フイ/旋風客/あああ/コーシロー/トリニダード木箱/まるまる/トドのつまみ/ケイト/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,17位,PD,こっちの野良も見せたい,25,61.07,ダスチン・コフマン/ぜ。(2)/大中京大中京(2)/スピ力/赤黄色/やじうさん/9月が終わったら起こして/嫁の実家/客員教授/黒色冗談/ミスターすしでんせつ/＃の中のカマ吉くん/旋風客/モチ/びろびろーん/音鳴ヨチ/3ねこ/ナルシマアンバイ/錯乱/ケイト/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,18位,あぐら,犬がポケットwifi咥えてる,24,59.94,氷の女王/旅人/やまだひらいた(3)/ホマレ/赤い髪(2)/いわな/イタリア人/オズ/くじ運(2)/ハチコー/かぎや/優しいダンプカー(2)/水のつくだに(3)/3ねこ/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,18位,やや不安,毒フリスビーだった,24,59.94,後悔しない名前を付けよう/ウラニワ(2)/セコイア/9月が終わったら起こして/嫁の実家/灰色こたつ/まめろう/メスカマキリ(2)/ハチコー/かぎや/トリニダード木箱/優しいダンプカー/rayleigh(2)/中沢の人/けええ(2)/たこ焼きボンバー/納屋の鍵/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,18位,大喜利,誰かリードの存在を教えてあげなよ,24,59.94,他のＰ/やまだひらいた/新Goo/まきびし/おさふね(2)/ダダダチョウ/culanadol(2)/ミスターすしでんせつ/みなぱら(3)/あああ/コーシロー/さまざま/シャケマヨ/音鳴ヨチ(2)/京(2)/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,21位,みなぱら,｢伏｣になりたい,23,58.82,セコイア/高木パーキング/ハッチャケチャ夫/まきびし/ドルフィンキック/のぎけい(3)/大庭刀/大喜利/あああ/コーシロー/ハチコー(2)/かぎや/タイファイター/野上(2)/シンマイ子/納屋の鍵/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,21位,トリニダード木箱,ゴール前で裏切られた,23,58.82,赤黄色/9月が終わったら起こして/まきびし/ダークエンジェル/嫁の実家/赤い髪/いわな/コーシロー/TKD/D-6/モチ/びろびろーん/シャケマヨ/寿司ブルドーザー/確率論のパラテママ/あぐら/野上/3ねこ/シンマイ子/ケイト/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,23位,ひよれゐ,おしっこも同じタイミングでする,22,57.69,やや不安/白ジョーア/スピ力/他のＰ/ダダダチョウ/梅盾/ドルフィンキック/たか/循環器/＃の中のカマ吉くん/ゆんける/大喜利/モチ/さまざま/シャケマヨ(3)/錯乱/トドのつまみ/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,23位,ダダダチョウ,たまに犬と走り方が入れ替わる,22,57.69,ぜ。/白ジョーア/まきびし/おさふね/Y氏/ドルフィンキック/赤い髪/家雨/循環器/フイ/コーシロー/さまざま/ハチコー/トリニダード木箱/タイファイター/3ねこ/けええ/錯乱(2)/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,25位,さまざま,犬がワン！人がツー！と声出ししながら走る,21,56.56,氷の女王/赤黄色/セコイア(2)/旅人(2)/新Goo/埼の河原/果報者ミント(2)/おまつり/みなぱら/敵刺/オズ/ハチコー/ししだ/ナルシマアンバイ/はっぴーえんど/投票ボーナス(3)
2941_9386_LPB,2023-02-10,126人,犬と並走してる人,NA,25位,たこ焼きボンバー,ゴールは同じじゃないはず,21,56.56,ハッチャケチャ夫/PD/ホマレ/灰色こたつ/赤い髪/家雨/パンデモニウム/大庭刀/rayleigh/大残渣/京/ししだ/水のつくだに/けええ(2)/さんべ商会(2)/トドのつまみ/投票ボーナス(3)
