お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3643_0303_GAF,2023-02-16,84人,ドゥラえもん「ちゃんとしないから未来が変わっちゃったじゃないか」 ぬび太「○○○」 （文字数自由）,NA,1位,骨密度,俺はこの未来好きよ,31,82.51,まさお/ラッキー/おしゃる(2)/コルク（高砂部屋）(2)/おさふね(2)/釜ちびちび/メスカマキリ/kubodi/デミ侍/スシざんがい(3)/大道無門/さいころちゃらみん/気球マイスター/随契/綿白 雪/ちまめ/みやまる/客員教授/はっぴーえんど/びろびろーん/他のＰ/懸垂ができる(2)/投票ボーナス(3)
3643_0303_GAF,2023-02-16,84人,ドゥラえもん「ちゃんとしないから未来が変わっちゃったじゃないか」 ぬび太「○○○」 （文字数自由）,NA,2位,びろびろーん,きみもダメ元でやってることだろ,28,77.11,音無(3)/月の瞼/RANRANRAN/また師走が来たよ/おだンゴ/てりあちゃん/おさふね/メスカマキリ/しろおじさん/3ねこ(2)/気球マイスター/随契/あちらの方/スクハムハーフ/みやまる/ほろほろ/新Goo/抹茶餅(2)/客員教授/シンマイ子/ヒカル/投票ボーナス(3)
3643_0303_GAF,2023-02-16,84人,ドゥラえもん「ちゃんとしないから未来が変わっちゃったじゃないか」 ぬび太「○○○」 （文字数自由）,NA,3位,タイファイター,ごめんよ〜😭(ゆっくりとケンタウロスに変化していく),24,69.9,資本ネコ/ほに(2)/コルク（高砂部屋）/ドゥラちゃん/トリニダード木箱/メスカマキリ/のす/静かの海/たんじぇんと(2)/アナゴさん/あいだほ＠俳句/山寺田(2)/カクレミノムシ/メロディックストーム/腹巻きポテチ/杜野/旋風客/ゆめみ/投票ボーナス(3)
3643_0303_GAF,2023-02-16,84人,ドゥラえもん「ちゃんとしないから未来が変わっちゃったじゃないか」 ぬび太「○○○」 （文字数自由）,NA,3位,中原ぽ麦,サソリと戦う漫画になっちゃったね,24,69.9,資本ネコ/また師走が来たよ/ほに/トリニダード木箱/メスカマキリ/野良りくらり(3)/大道無門/さいころちゃらみん/気球マイスター/山寺田(2)/秒針/よしむね(2)/タイファイター/ロール盤/ニンニキニキニキ/スピ力/ゆめみ/投票ボーナス(3)
3643_0303_GAF,2023-02-16,84人,ドゥラえもん「ちゃんとしないから未来が変わっちゃったじゃないか」 ぬび太「○○○」 （文字数自由）,NA,5位,スピ力,風が好きでさ,22,66.3,中沢の人/RANRANRAN/コルク（高砂部屋）/ドゥラちゃん/釜ちびちび/3ねこ/綿白 雪(2)/ウラニワ(3)/あちらの方/ちまめ/客員教授/鮒侍/懸垂ができる/骨密度(2)/タイファイター/投票ボーナス(3)
3643_0303_GAF,2023-02-16,84人,ドゥラえもん「ちゃんとしないから未来が変わっちゃったじゃないか」 ぬび太「○○○」 （文字数自由）,NA,5位,余馬,あはは、ドラえもんったらクチバシがついてる,22,66.3,qwerty/ほに(2)/ドゥラちゃん(3)/釜ちびちび/野良りくらり(3)/静かの海/A味噌汁/packetman/たんじぇんと/アナゴさん/随契/カクレミノムシ/かくれどり/杜野/カナリカリガ・タカ/暴風よ吹け/ゆめみ
3643_0303_GAF,2023-02-16,84人,ドゥラえもん「ちゃんとしないから未来が変わっちゃったじゃないか」 ぬび太「○○○」 （文字数自由）,NA,7位,ちまめ,笑えないミスがしたくて,21,64.49,音無(2)/おしゃる/コルク（高砂部屋）/てりあちゃん/静かの海/さいころちゃらみん/HeeeeeHeeHee/あいだほ＠俳句/秒針/綿白 雪/ウラニワ/びろびろーん/他のＰ/よしむね/カナリカリガ・タカ/ロール盤/しろねこ/投票ボーナス(3)
3643_0303_GAF,2023-02-16,84人,ドゥラえもん「ちゃんとしないから未来が変わっちゃったじゃないか」 ぬび太「○○○」 （文字数自由）,NA,7位,静かの海,現在も若干おかしいよ,21,64.49,中沢の人/じじじい(2)/音無/月の瞼/おさふね(2)/埼の河原/HeeeeeHeeHee/あちらの方/はみるとん/スクハムハーフ/かくれどり/みやまる(2)/新Goo/シンマイ子/ヒカル/投票ボーナス(3)
3643_0303_GAF,2023-02-16,84人,ドゥラえもん「ちゃんとしないから未来が変わっちゃったじゃないか」 ぬび太「○○○」 （文字数自由）,NA,9位,A味噌汁,まさか葬式がなくなるとは,20,62.69,中沢の人/コルク（高砂部屋）(2)/釜ちびちび/その服装/メスカマキリ(2)/靴一丁/3ねこ/たんじぇんと(2)/気球マイスター/くすも/ちまめ/抹茶餅/よしむね/ニンニキニキニキ/投票ボーナス(3)
3643_0303_GAF,2023-02-16,84人,ドゥラえもん「ちゃんとしないから未来が変わっちゃったじゃないか」 ぬび太「○○○」 （文字数自由）,NA,9位,くすも,たまに手話使わないと指腐るよ,20,62.69,中沢の人(2)/マイナスいち髪/ほに/トリニダード木箱(2)/3ねこ/デミ侍/A味噌汁/さいころちゃらみん/気球マイスター/北戸田スイッチ/カクレミノムシ(2)/メロディックストーム/タイファイター/スピ力/投票ボーナス(3)
