お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,1位,kevin,自分の名前に火へんを付ける,47,89.44,シンマイ子/tlicia/てりあちゃん/竜の叫び(2)/カッツウォ/水猫ラテ/GO‼️ﾁｿﾁｿGO‼️/ちゃん/jinseitsurao/Houston/日直/新田.jpg/気球マイスター/きゅーきゅー/セコイア(2)/滅相もない(2)/物数/なまこP/大喜利/りくがめ/ここはが/ケガニ２(3)/だうらぎり/ロサムシ/メスカマキリ(3)/きれいな市役所/あんてぃーく/埼の河原/オーバーニート/飾りハイボール/下衆なキャット/ううここ/崖の上の喪女(3)/ハチコー/れあ/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,2位,竜の叫び,知らない子にめっちゃ怒る,46,88.23,ダスチン・コフマン/kevin(2)/てりあちゃん/水猫ラテ(2)/ななし/かと/スパイス(2)/ちゃん/頭脳まさき/あらあら帝国/Houston/資本ネコ/新田.jpg(2)/ししだ/セコイア/美ナスビ/ピザ4回転(2)/猫皮ニャン志(2)/りくがめ/ここはが/gaaaaax/きれいな市役所/ホマレ(2)/よれよれ/あんてぃーく/ボサライミ/オーバーニート/ひきにく/飾りハイボール/半丙太/スピ力(2)/雑兵/のす/トリニダード木箱/赤黄色/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,3位,きゅーきゅー,機械の裏をさわる,40,80.97,kevin/かごの中の鳥/カッツウォ/一流/スパイス/アキラ(2)/おやま/Houston/資本ネコ/コーシロー(2)/気球マイスター/美ナスビ/大喜利/アイワ/猫皮ニャン志/寺井/Cafesippin/gaaaaax/いわな/きれいな市役所/あんてぃーく/ひきにく/マスモトリンタロウ/飾りハイボール/半丙太/スピ力/雑兵/ハチコー(2)/のす(2)/れあ/トリニダード木箱/シャケマヨ(2)/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,4位,ニンニキニキニキ,色黒を尾行する,36,76.14,ダスチン・コフマン(2)/かごの中の鳥/ななし/一流/かと/さくら/おやま/jinseitsurao/りろ/お世話係(3)/気球マイスター/みやまる/滅相もない/猫皮ニャン志(2)/ここはが/gaaaaax/だうらぎり(2)/カタン(2)/アマテイン/赤い髪/嫁の実家/埼の河原/飾りハイボール/下衆なキャット(2)/ふもー/赤黄色/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,5位,イズキ,一回服を脱いで、もう一回着る,33,72.51,ダスチン・コフマン(2)/kevin(2)/ダダダチョウ/すーず/てりあちゃん/ななし/一流/ちゃん/りろ/気球マイスター/きゅーきゅー/滅相もない/物数/猫皮ニャン志(2)/モチアメ/りくがめ/ここはが/いわな/しとろ/ホマレ(3)/オーバーニート(2)/ひきにく/飾りハイボール/れあ/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,6位,りろ,他人が椅子から離れた瞬間に座る,27,65.26,pokeki/シンマイ子(2)/けええ(2)/てりあちゃん/フイ/カッツウォ/ちゃん/おやま(2)/還暦ジャニーズJr./きゅーきゅー/ししだ/セコイア(2)/パンケ（*＾o＾*）/物数/なまこP/ちぇん/クマ牧場/ロサムシ/赤い髪/ひきにく/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,7位,ごぜんぜうな,手のひらに「デブ」って3回書いて飲む,26,64.05,水猫ラテ/さくら/jinseitsurao/Houston/KatoB(3)/みやまる/きゅーきゅー/ししだ/滅相もない/大喜利/黒太郎/ここはが/gaaaaax/ロサムシ/メスカマキリ/よれよれ/あんてぃーく/赤い髪/ボサライミ/埼の河原/飾りハイボール/崖の上の喪女/ハチコー/トリニダード木箱
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,7位,半丙太,おみくじを振り続ける,26,64.05,シンマイ子/けええ(3)/tlicia/すーず(2)/竜の叫び/一流/バーチャルバナナ(2)/頭脳まさき(2)/あらあら帝国/日直/ランゲル・ハンス/きゅーきゅー/アイワ/カタン/きれいな市役所/飾りハイボール/のす/赤黄色/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,9位,寺井,「heater」だけの単語帳作る,25,62.84,てりあちゃん/かと/頭脳まさき/jinseitsurao/お世話係(2)/きゅーきゅー/滅相もない/パンケ（*＾o＾*）/gaaaaax/しとろ/元横綱(3)/あんてぃーく/オーバーニート(2)/パンジ/飾りハイボール/半丙太/ハチコー/トリニダード木箱/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,9位,物数,力士専用車両について考える,25,62.84,pokeki/竜の叫び/とんこつ/水猫ラテ/ししだ/滅相もない/大喜利/アイワ/大喜利の母(2)/だうらぎり(2)/メスカマキリ/元横綱(3)/よれよれ(2)/赤い髪/崖の上の喪女/雑兵/シャケマヨ/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,11位,ここはが,そこそこの法を犯す,24,61.63,竜の叫び/とんこつ/GO‼️ﾁｿﾁｿGO‼️/すきなものはこのみ/さくら(2)/Houston/りろ/お世話係(2)/新田.jpg/ししだ/アイワ/gaaaaax/うしろ/埼の河原/オーバーニート/飾りハイボール/下衆なキャット(2)/赤黄色/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,11位,金星人,ラーメンが置かれていた机をスリスリする,24,61.63,ダダダチョウ/すーず/てりあちゃん/とんこつ/ななし/スパイス/ニンニキニキニキ/頭脳まさき/おやま/Houston/コーシロー(2)/なまこP/アイワ/黒太郎/クマ牧場/うしろ/きれいな市役所/アマテイン/よれよれ/半丙太/雑兵/のす(2)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,13位,てりあちゃん,なるべく南にいる,23,60.43,カッツウォ/水猫ラテ/スパイス/さくら/あらあら帝国/日直/還暦ジャニーズJr./コーシロー(2)/みやまる/セコイア/ちぇん/ここはが/寺井/ロサムシ/あんてぃーく/オーバーニート(2)/ひきにく/飾りハイボール/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,13位,ダスチン・コフマン,机の下に消しゴムを落として何回も拾う,23,60.43,けええ/てりあちゃん/ななし/ちゃん/頭脳まさき/KatoB(3)/日直/資本ネコ/なまこP/カタン/アマテイン/よれよれ/ボサライミ/飾りハイボール/下衆なキャット(2)/トリニダード木箱/シャケマヨ/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,15位,きれいな市役所,自販機の「あったか〜い」をまじまじと見る,22,59.22,ダダダチョウ/陽介(2)/水猫ラテ(2)/ちゃん/アキラ(2)/jinseitsurao/Houston/ランゲル・ハンス/ししだ/ちぇん/りくがめ/gaaaaax/マスモトリンタロウ/ふもー/崖の上の喪女/ハチコー/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,15位,スピ力,熊にどいてもらう,22,59.22,ダスチン・コフマン(2)/すーず/ちゃん/きゅーきゅー/美ナスビ/ピザ4回転(2)/ちぇん/gaaaaax/メスカマキリ/カタン(2)/オーバーニート(2)/ひきにく/飾りハイボール/ハチコー/赤黄色/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,17位,かと,夏を思い出す,21,58.01,kevin/とんこつ/水猫ラテ/頭脳まさき/あらあら帝国/おやま/Houston/りろ/新田.jpg/還暦ジャニーズJr./美ナスビ/物数/大喜利の母/寺井/ロサムシ/あんてぃーく/ふもー/シャケマヨ/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,17位,コーシロー,他人の火事で暖を取る,21,58.01,フイ/とんこつ/すきなものはこのみ/KatoB(3)/気球マイスター/セコイア(2)/なまこP/黒太郎/大喜利の母/ケガニ２/ホマレ(2)/よれよれ(2)/崖の上の喪女/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,17位,ピザ4回転,Googleマップで沖縄を観光する,21,58.01,ダダダチョウ/さくら/Houston/セコイア/なまこP/アイワ/ちぇん/黒太郎/いわな/きれいな市役所/あんてぃーく/埼の河原/ひきにく/マスモトリンタロウ/飾りハイボール/半丙太/ううここ/ハチコー/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,20位,Houston,スポーツバーの近くに立つ,20,56.8,すーず/竜の叫び/カッツウォ/すきなものはこのみ/ニンニキニキニキ/りろ/気球マイスター/クマ牧場/ここはが/寺井/ホマレ/あんてぃーく/嫁の実家/ひきにく/半丙太/雑兵/赤黄色/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,20位,jomajoma,地球温暖化の記事を読む,20,56.8,pokeki/てりあちゃん/陽介(2)/水猫ラテ(2)/すきなものはこのみ/さくら/日直/アイワ/りくがめ/きれいな市役所/アマテイン(2)/赤い髪/ボサライミ/オーバーニート/飾りハイボール/ふもー/トリニダード木箱
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,20位,アマテイン,手に人を書いてぎゅっとする,20,56.8,シンマイ子/カッツウォ/陽介(2)/ななし/GO‼️ﾁｿﾁｿGO‼️/資本ネコ/きゅーきゅー/物数/ピザ4回転/Cafesippin/いわな/ホマレ/飾りハイボール/ハチコー/のす/れあ/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,20位,オーバーニート,この道路いい摩擦出てるぞ,20,56.8,pokeki/kevin/tlicia(2)/フイ/カッツウォ/Houston/なまこP/アイワ/イズキ/黒太郎/りくがめ/ケガニ２/赤い髪/ふもー(2)/シャケマヨ/投票ボーナス(3)
2211_0265_JFB,2023-02-26,116人,世界一ケチな寒さのしのぎ方,NA,20位,コッパー,人の乾布摩擦に割り込む,20,56.8,すーず/ニンニキニキニキ/おやま/jinseitsurao/還暦ジャニーズJr.(2)/コーシロー/きゅーきゅー/セコイア(2)/美ナスビ/なまこP/大喜利/アイワ/だうらぎり/ロサムシ/きれいな市役所/ううここ/雑兵/のす
