お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,1位,マービィ,"カラオケで
「もしかしたら」と
検索し",45,83.39,アガリブル(2)/月の瞼/頭脳まさき(3)/やすな/手も繋いで/トリニダード木箱/カタン(2)/美味い焼肉屋(2)/生身/さけのなかのいくら(2)/新Goo/赤い髪/五言舌禍/TwistNight/机上で実演/明鏡シスコン/スシざんがい/ゆらう/rayleigh/ハルマレ/めがじ/しろねこ/メスカマキリ(3)/えーす/ましましのしま/夜のこさたに(2)/いわな/長谷川キモ彦/あちらの方/オーバーニート(2)/のとさわ/螺旋貝柱/こんなところにエビチリ(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,2位,コモリヤ,私より　フォロワー多いな　このオタク,39,76.86,アガリブル/月の瞼/寿司ブルドーザー/トリニダード木箱/木綿豆腐/玄の字。/シンマイ子/美味い焼肉屋/生身/ジェンツーペンギン/さけのなかのいくら/新Goo/五言舌禍/タマドラゴン/ニンニキニキニキ/スシざんがい/九条/そこぬけ(2)/ゆらう/スピ力/ハルマレ/めがじ/しろねこ/いわな/米(おこめ)(2)/ねむみ/オーバーニート(2)/螺旋貝柱/物数/イズキ/ギトウ/おまつ大/チーズインパンパース/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,3位,フニャダキシン,私より　フォロワー多い　ファンの人,38,75.77,＃の中のカマ吉くん/ヒゲ脱毛体験コース(3)/秋月杏子/やすな/トリニダード木箱(2)/No Image/木綿豆腐/玄の字。/ゴーダチーズ/美味い焼肉屋/さけのなかのいくら(2)/新Goo/赤い髪/ぺんぎんクレープさん(3)/TwistNight/机上で実演/明鏡シスコン/ゆらう/スピ力/めがじ/えーす/ケビンという男/ねむみ/オーバーニート(2)/未来永劫ちゃんねる/ううここ/イズキ/おまつ大/こんなところにエビチリ(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,4位,長谷川キモ彦,デビューから　文量減ってた　Wikipedia,34,71.41,月の瞼(2)/秋月杏子/トリニダード木箱/No Image/カタン/ゴーダチーズ/ワッショイサンバ/ジェンツーペンギン/さけのなかのいくら(2)/TwistNight/机上で実演/きらら/ゆらう(2)/rayleigh/メスカマキリ(3)/ましましのしま(3)/いわな/螺旋貝柱/ドゥル宮/イズキ/おまつ大(2)/こんなところにエビチリ(2)/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,5位,さけのなかのいくら,"しないじゃない
ウンチするほど
食えてない",32,69.23,月の瞼/kubodi/ゆかりそめ大明神/トリニダード木箱/ゆめみ/木綿豆腐(2)/コオロギ(2)/玄の字。/さんべ商会/五言舌禍/暴風よ吹け/ハルマレ(3)/めがじ/しろねこ/メスカマキリ/長谷川キモ彦/ドロップシンカー/オーバーニート(2)/のとさわ/実家に帰った鶴/ううここ/おまつ大(3)/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,6位,シーサイド品川,知らんけど たぶん何かの 48,31,68.14,kubodi/きこり夫(3)/ゆかりそめ大明神/No Image/コオロギ(2)/ゴーダチーズ/シンマイ子/美味い焼肉屋/さけのなかのいくら(2)/新Goo/机上で実演/きらら/ニンニキニキニキ/九条(2)/そこぬけ/ゆらう/コモリヤ/しろねこ/えーす/ましましのしま/ケビンという男/オーバーニート/ドゥル宮/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,6位,螺旋貝柱,席を増やしても　一人,31,68.14,ゆんける/寿司ブルドーザー/ぶぶ/トリニダード木箱(2)/No Image/木綿豆腐(2)/カタン/美味い焼肉屋(3)/生身/机上で実演/タマドラゴン/ゆらう/ハルマレ/しろねこ/ヒカル/崖の上の喪女/ドゥル宮(2)/実家に帰った鶴/ううここ/ギトウ/こんなところにエビチリ(3)/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,8位,rayleigh,次世代と　言われ続けて　十二年,27,63.79,月の瞼/ゴーダチーズ/美味い焼肉屋/さんべ商会/新Goo/赤い髪/そこぬけ/しろねこ/メスカマキリ/えーす/ましましのしま/ケビンという男/いわな/あちらの方/ドロップシンカー(2)/オーバーニート(2)/のとさわ/未来永劫ちゃんねる/おまつ大/こんなところにエビチリ(3)/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,8位,チーズインパンパース,"アンコール
されずおぼれる
アルコール",27,63.79,月の瞼/kubodi/やすな/寿司ブルドーザー/No Image/ゆめみ/木綿豆腐/玄の字。/ゴーダチーズ/シンマイ子(2)/生身/新Goo/めがじ/コモリヤ/しろねこ/オーバーニート(2)/ドゥル宮(2)/イズキ/おまつ大(2)/こんなところにエビチリ/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,8位,ハルマレ,いつだって　会いに行けます　コンビニで,27,63.79,ヒゲ脱毛体験コース(3)/秋月杏子/やすな/美味い焼肉屋/生身/さけのなかのいくら/にふだうぐも/新Goo/机上で実演/ニンニキニキニキ/九条(3)/めがじ/コモリヤ/メスカマキリ(2)/ましましのしま/いわな/プーアル茶/ドロップシンカー/ううここ/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,11位,赤い髪,この衣装　解散した子が　くれたやつ,26,62.7,＃の中のカマ吉くん/月の瞼/秋月杏子/寿司ブルドーザー/美味い焼肉屋/ワッショイサンバ/さんべ商会/ジェンツーペンギン/さけのなかのいくら/煮屋/そこぬけ(2)/rayleigh/しろねこ/えーす/ましましのしま/ケビンという男/長谷川キモ彦/オーバーニート/のとさわ/ドゥル宮/こんなところにエビチリ/シーサイド品川/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,12位,ましましのしま,スキャンダル　からの結婚　「誰と誰？」,25,61.61,ゆんける/ゆめみ/ワッショイサンバ/さんべ商会/さけのなかのいくら/TwistNight/きらら/明鏡シスコン/九条/そこぬけ/ゆらう/rayleigh/コモリヤ/えーす/白黒まみれ/あちらの方/プーアル茶/螺旋貝柱/おまつ大/こんなところにエビチリ(3)/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,12位,ゆんける,嘘つくな　好きなタイプが　みうらじゅん,25,61.61,ゆめみ/コオロギ(2)/美味い焼肉屋/さけのなかのいくら(2)/ぺんぎんクレープさん/タマドラゴン/スピ力/rayleigh/しろねこ/白黒まみれ/ましましのしま(2)/ケビンという男/あちらの方/崖の上の喪女/ドゥル宮/ううここ/おまつ大(2)/チーズインパンパース/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,14位,寿司ブルドーザー,かろうじて　布があるだけ　ありがたい,24,60.52,頭脳まさき/やすな/手も繋いで/No Image/生身/さんべ商会/さけのなかのいくら(2)/ハルマレ/コモリヤ/メスカマキリ(2)/白黒まみれ/ましましのしま/長谷川キモ彦/オーバーニート(3)/崖の上の喪女/物数/おまつ大/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,15位,お洗濯,霊感が ガチであるのに 言い出せず,23,59.43,月の瞼/やすな/しらたま/ぶぶ/ゆめみ/シンマイ子/美味い焼肉屋/さけのなかのいくら/にふだうぐも/ぺんぎんクレープさん/きらら(2)/明鏡シスコン/rayleigh/めがじ/コモリヤ/白黒まみれ/ましましのしま/ねむみ/螺旋貝柱/実家に帰った鶴/おまつ大(2)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,15位,やすな,初めての　テレビ出演　ノンフィクション,23,59.43,＃の中のカマ吉くん/月の瞼/トリニダード木箱/ゴーダチーズ/生身/さんべ商会/さけのなかのいくら(2)/新Goo/ハルマレ/しろねこ/メスカマキリ/えーす/ましましのしま/プーアル茶/ドロップシンカー/ドゥル宮/おまつ大(2)/チーズインパンパース/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,15位,メスカマキリ,唯一の 売れたグッズが 福笑い,23,59.43,月の瞼/手も繋いで/No Image/カタン/さんべ商会/さけのなかのいくら/ぺんぎんクレープさん(2)/机上で実演/明鏡シスコン/暴風よ吹け/ゆらう/rayleigh/ましましのしま(2)/夜のこさたに/いわな/長谷川キモ彦/のとさわ/螺旋貝柱/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,15位,生身,家賃とか　滞納するほど　キレがでる,23,59.43,月の瞼/頭脳まさき/ゆかりそめ大明神/トリニダード木箱/No Image/ゆめみ/ワッショイサンバ/さんべ商会/赤い髪/五言舌禍/机上で実演/明鏡シスコン/暴風よ吹け/rayleigh/しろねこ/白黒まみれ/夜のこさたに/実家に帰った鶴/おまつ大(2)/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,19位,ゆめみ,脱ぐわけない　えっギャラそんなに？　脱ぐしかない,22,58.34,アガリブル/しらたま/寿司ブルドーザー/ゆかりそめ大明神/トリニダード木箱/玄の字。/煮屋(2)/新Goo/机上で実演/スシざんがい/そこぬけ/えーす/ケビンという男/オーバーニート/崖の上の喪女/こんなところにエビチリ(2)/シーサイド品川/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,19位,＃の中のカマ吉くん,地下10年　磨きのかかる　トーク力,22,58.34,月の瞼/秋月杏子/さんべ商会/五言舌禍/TwistNight/机上で実演/タマドラゴン/ゆらう/めがじ/白黒まみれ/ましましのしま(2)/あちらの方/ドロップシンカー/螺旋貝柱/ドゥル宮/ギトウ/おまつ大(2)/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,21位,夜のこさたに,逆にほら　免許の更新　スムーズよ,21,57.25,アガリブル(3)/秋月杏子/頭脳まさき/トリニダード木箱/玄の字。/ジェンツーペンギン(2)/さけのなかのいくら(2)/机上で実演(2)/タマドラゴン/きらら/米(おこめ)/未来永劫ちゃんねる/シーサイド品川/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,21位,机上で実演,引っかかれ 行くよ本番 いざM-1,21,57.25,月の瞼(2)/やすな/ゆかりそめ大明神/コオロギ(2)/ジェンツーペンギン/五言舌禍/きらら/めがじ/ましましのしま/ヒカル/オーバーニート(2)/泥のぷーまん/イズキ/おまつ大(2)/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,23位,こんなところにエビチリ,仕送りでチケットノルマ補填する,20,56.16,アガリブル(2)/頭脳まさき(3)/kubodi/シンマイ子/美味い焼肉屋/さけのなかのいくら/にふだうぐも/新Goo/暴風よ吹け/rayleigh/ましましのしま/ねむみ/おまつ大(2)/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,23位,ドゥル宮,激辛を　食べてもバズらず　辛いだけ,20,56.16,月の瞼/きこり夫(3)/No Image/玄の字。/美味い焼肉屋/ジェンツーペンギン/新Goo/rayleigh/コモリヤ/しろねこ/メスカマキリ(2)/ましましのしま/オーバーニート(2)/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,23位,白黒まみれ,握力が　メスのゴリラと　ほぼ同じ,20,56.16,ゆんける/アガリブル/月の瞼/きこり夫(3)/美味い焼肉屋/新Goo/赤い髪/ましましのしま/いわな/米(おこめ)(2)/あちらの方/オーバーニート/崖の上の喪女/チーズインパンパース/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,26位,ギトウ,観客席　友達　友達　母　友達,19,55.07,月の瞼/やすな/しらたま/No Image/新Goo/五言舌禍/タマドラゴン/明鏡シスコン/スピ力/ましましのしま/ねむみ/ドゥル宮/物数/ううここ/おまつ大(2)/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,26位,手も繋いで,恋の歌 3曲 サメの歌 10曲,19,55.07,しらたま/ゆかりそめ大明神/ぶぶ/No Image/ゆめみ/ワッショイサンバ/TwistNight/タマドラゴン(2)/ハルマレ/しろねこ/白黒まみれ/ましましのしま/螺旋貝柱/実家に帰った鶴/物数/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,28位,オーバーニート,握手会  お母さんは  来てくれた,18,53.98,ヒゲ脱毛体験コース(2)/kubodi/寿司ブルドーザー/ワッショイサンバ/にふだうぐも/新Goo/赤い髪/明鏡シスコン/スシざんがい/rayleigh/しろねこ/ましましのしま/プーアル茶/未来永劫ちゃんねる/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,28位,シンマイ子,霊みえる ネコと話せる 嘘ばかり,18,53.98,＃の中のカマ吉くん/月の瞼/きこり夫(3)/桃山ももたろう/生身/さけのなかのいくら/赤い髪/タマドラゴン/スシざんがい/しろねこ/ましましのしま/プーアル茶(2)/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,28位,美味い焼肉屋,ありがとう！みんな大好き！(客3人),18,53.98,トリニダード木箱/シンマイ子/生身/煮屋/新Goo/きらら/九条(2)/しろねこ/えーす/あちらの方/ねむみ/未来永劫ちゃんねる/ギトウ(2)/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,31位,にふだうぐも,"曲名と
グループ名が
そぼろ丼",17,52.9,kubodi/No Image/木綿豆腐/ワッショイサンバ/新Goo/ニンニキニキニキ/スシざんがい/暴風よ吹け/ましましのしま/プーアル茶/ドロップシンカー/のとさわ/実家に帰った鶴/ううここ/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,31位,スピ力,総選挙　下から発表　やめてくれ,17,52.9,＃の中のカマ吉くん/No Image/ゆめみ/ゴーダチーズ(2)/美味い焼肉屋/しろねこ/えーす/ケビンという男/オーバーニート(2)/ドゥル宮/物数/シーサイド品川/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,31位,ワッショイサンバ,チャリ盗む ヨゴレ仕事も やりますよ,17,52.9,手も繋いで/ぶぶ/カタン/ジェンツーペンギン/煮屋(2)/にふだうぐも/五言舌禍/しろねこ/ヒカル/米(おこめ)(2)/崖の上の喪女/実家に帰った鶴/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,31位,暴風よ吹け,過去最多 卒業ライブ 2桁台,17,52.9,アガリブル/月の瞼/kubodi/コオロギ/桃山ももたろう/そこぬけ/ゆらう/ましましのしま/ヒカル/螺旋貝柱/ううここ/こんなところにエビチリ(2)/チーズインパンパース/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,35位,TwistNight,メンバーが　休養になり　有名に,16,51.81,美味い焼肉屋/ワッショイサンバ/赤い髪/机上で実演/スピ力/ましましのしま/あちらの方/ねむみ/螺旋貝柱/実家に帰った鶴/ギトウ/おまつ大(2)/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,35位,いわな,地下も無理 地上も無理なら そらをとぶ,16,51.81,アガリブル/kubodi/玄の字。/美味い焼肉屋/生身/さんべ商会/煮屋/赤い髪/しろねこ/白黒まみれ/ましましのしま/崖の上の喪女/未来永劫ちゃんねる/投票ボーナス(3)
1476_8813_MIN,2023-02-28,92人,"川柳　テーマ「売れてないアイドル」
",NA,35位,曽根,"fc2
肩書きつける
元アイドル",16,51.81,寿司ブルドーザー/ゆかりそめ大明神/桃山ももたろう/美味い焼肉屋/ワッショイサンバ/生身/ニンニキニキニキ/暴風よ吹け/ゆらう/メスカマキリ/崖の上の喪女/ううここ/おまつ大(2)/こんなところにエビチリ(2)
