お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,1位,マーガイモン,両親はそれで上手くいってる,39,89.11,猫皮ニャン志/てっぺんざしお(3)/open/ベンジャミン/帰る亭中野周辺/お嬢様ですわぁ/きれいな市役所/中の人(2)/客員教授(3)/春風亭たわし(2)/A味噌汁/山/プーアル茶/たくめ/Y氏/ゆかね(2)/TKD/ボサノバ/れあ/遠くを見ている/パテ/じゃん/ウラニワ(2)/少しだけ賢い/寿司ブルドーザー/アーチスト/りろ/小テスト/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,2位,少しだけ賢い,「前転」「ママ」「パパ」の順で覚えた,34,81.91,猫皮ニャン志/ロベルト/お嬢様ですわぁ/東京縦断12km(2)/ことこ(2)/後悔しない名前を付けよう/納屋の鍵(3)/メカニカルたぬき/たくめ/D-6/サルサンバ高宮/ハチコー/Y氏/ゆらう(2)/パテ(2)/ししだ/おしゃる(2)/嫁の実家/中サラ/黒太郎/RIKI/寿司ブルドーザー/眠りアザラシ羽交締め/りろ/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,3位,客員教授,初めて立った時の感動を超えてこない,31,77.58,猫皮ニャン志/てっぺんざしお(3)/もかさぶろう/お嬢様ですわぁ/ポッと出のプリマ/ニューロン/春風亭たわし/けええ(2)/納屋の鍵(2)/メカニカルたぬき/雑兵/ボサノバ/パテ/ニンニキニキニキ/RANRANRAN/じゃん/ウラニワ/少しだけ賢い/マーガイモン(3)/バーチャルバナナ/唯月/＃の中のカマ吉くん/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,4位,小テスト,はじめて自分の意思でやりたいと言った,27,71.82,猫皮ニャン志/帰る亭中野周辺/お嬢様ですわぁ/きれいな市役所/中の人(2)/ニューロン/納屋の鍵/ハチコー(2)/ゆらう/ボサノバ/れあ/遠くを見ている/パテ/ししだ/おしゃる/RIKI/水猫ラテ/ほんもののイカ/寿司ブルドーザー/赤色のメイさん/んぽんぽぷりん/野島久助/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,5位,けええ,禁止している標識がない,26,70.38,open/お嬢様ですわぁ/竜の叫び/きれいな市役所/ニューロン/世界/丈希/A味噌汁/納屋の鍵/雑兵/D-6/ハチコー/Y氏/れあ/遠くを見ている/おしゃる(2)/嫁の実家/眠りアザラシ羽交締め(2)/りろ/小テスト/野島久助/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,6位,りろ,もうすぐ商売になる,24,67.5,家雨/世界/たくめ/雑兵/D-6/ゆらう/及川広大/TKD/ボサノバ/れあ/パテ/フラワーベース(2)/おしゃる/中サラ/RIKI/ウラニワ/眠りアザラシ羽交締め(2)/GOMI/スピ力/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,7位,RANRANRAN,石の時、とても応援された,21,63.18,open/きれいな市役所/後悔しない名前を付けよう/A味噌汁/山/けええ(2)/メカニカルたぬき/Y氏/ゆらう/ゆかね/及川広大/TKD/中サラ/ウラニワ/赤色のメイさん/マーガイモン(2)/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,7位,プーアル茶,部品としても使い道がなかった,21,63.18,家雨/ベンジャミン(2)/帰る亭中野周辺/竜の叫び/ことこ/後悔しない名前を付けよう/世界/メカニカルたぬき/ゆかね/TKD/れあ/遠くを見ている/RANRANRAN/眠りアザラシ羽交締め(2)/スピ力/唯月/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,7位,ポッと出のプリマ,転がっていいか一旦電話で確認した,21,63.18,ロベルト/もかさぶろう/open/お嬢様ですわぁ/みやまる(2)/後悔しない名前を付けよう/A味噌汁/プーアル茶/たくめ/Y氏/ゆかね/じゃん/ししだ/中サラ/寿司ブルドーザー/りろ/野島久助/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,10位,みやまる,無理して身体壊すくらいなら,20,61.73,ポッと出のプリマ/丈希/A味噌汁/山/D-6/ハチコー/ゆらう/ボサノバ/遠くを見ている/じゃん/フラワーベース(2)/中サラ/水猫ラテ/ほんもののイカ/小テスト/あのあれ/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,11位,野島久助,あまりにも美しくて,19,60.29,もかさぶろう/帰る亭中野周辺/きれいな市役所/みやまる/春風亭たわし/山/プーアル茶/及川広大/RANRANRAN/じゃん/かーたー/すらさん/バーチャルバナナ/りろ/唯月/あのあれ/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,12位,ドゥラちゃん,一瞬岩に見える,18,58.85,帰る亭中野周辺/東京縦断12km/みやまる(2)/後悔しない名前を付けよう/春風亭たわし/世界/サルサンバ高宮(3)/ウラニワ(2)/赤色のメイさん/すらさん/バーチャルバナナ/りろ/スピ力/野島久助
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,12位,五言舌禍,俺が転がってる時だけ家族が笑える,18,58.85,猫皮ニャン志/もかさぶろう/お嬢様ですわぁ/山/納屋の鍵/ハチコー/ゆらう(2)/RANRANRAN/フラワーベース/かーたー/中サラ/水猫ラテ/少しだけ賢い/マーガイモン/りろ/小テスト/やじうさん
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,12位,家雨,勝手に部屋を斜めにした,18,58.85,ロベルト/ベンジャミン/ラッキー/ニューロン/世界/けええ/雑兵/Y氏/れあ/ニンニキニキニキ/かーたー/嫁の実家/水猫ラテ/寿司ブルドーザー/すらさん/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,12位,寿司ブルドーザー,ごめんね、うち天井低いからね,18,58.85,春風亭たわし/世界/A味噌汁/ハチコー(2)/じゃん/かーたー/中サラ/黒太郎/ほんもののイカ/少しだけ賢い/バーチャルバナナ/アーチスト/小テスト/あのあれ/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,12位,雑兵,簡単な遺跡だなと言われた,18,58.85,竜の叫び/ニューロン/プーアル茶/納屋の鍵/メカニカルたぬき/Y氏/TKD/遠くを見ている/じゃん/焼き鳥/嫁の実家/少しだけ賢い/スピ力/＃の中のカマ吉くん(2)/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,17位,おしゃる,こっちのほうが強い宗教だと思わせる,17,57.41,そいそーす(3)/客員教授/後悔しない名前を付けよう/納屋の鍵/TKD/パテ(2)/かーたー/焼き鳥/中サラ/RIKI/天国１丁目/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,18位,GOMI,転がり師みたいな顔してる,16,55.97,そいそーす(3)/open/ラッキー/プーアル茶/ゆらう/嫁の実家/水猫ラテ/天国１丁目/by/あのあれ/＃の中のカマ吉くん/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,18位,TKD,幼稚園で留年した,16,55.97,東京縦断12km/ことこ/A味噌汁/けええ/メカニカルたぬき/D-6/ゆらう/ニンニキニキニキ/ししだ/おしゃる/中サラ/んぽんぽぷりん/小テスト/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,18位,じゃん,地動説を論破された,16,55.97,客員教授(3)/春風亭たわし/プーアル茶/ハチコー/及川広大/ほんもののイカ/寿司ブルドーザー/さんべ商会(2)/GOMI/＃の中のカマ吉くん/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,18位,嫁の実家,塊魂をやめない,16,55.97,東京縦断12km/丈希/サルサンバ高宮/RANRANRAN/中サラ(2)/寿司ブルドーザー/さんべ商会(3)/バーチャルバナナ/by/やじうさん/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,18位,遠くを見ている,足し算する時、リンゴ持ってくる,16,55.97,家雨/ベンジャミン(3)/帰る亭中野周辺/竜の叫び/ニューロン/後悔しない名前を付けよう/納屋の鍵/メカニカルたぬき/D-6/RIKI/あのあれ/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,23位,A味噌汁,初めて喋った言葉が「泥」だった,14,53.09,猫皮ニャン志(2)/丈希/納屋の鍵/ハチコー/遠くを見ている/中サラ/黒太郎/少しだけ賢い/アーチスト/GOMI/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,23位,D-6,背中に「情けない話」のタトゥーを入れた,14,53.09,きれいな市役所/ラッキー/ハチコー/ゆかね/ししだ(2)/中サラ/寿司ブルドーザー/マーガイモン(2)/バーチャルバナナ/投票ボーナス(3)
1685_0003_XZC,2023-03-16,88人,親に一生転がってろと言われた理由,NA,23位,バーチャルバナナ,友達の家で手脚を無くして帰ってきた,14,53.09,そいそーす(3)/きれいな市役所/ニューロン/けええ/雑兵/遠くを見ている/黒太郎/天国１丁目/あのあれ/投票ボーナス(3)
