お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0442_8581_KIX,2023-03-20,130人,違法ベビーカーの見分け方とは？,NA,1位,ペンチョ,丸いところがない,47,87.36,飯食い(2)/雨速/ちくわうし/みどりいろ(2)/TKD/さけのなかのいくら(2)/遠くを見ている/頭脳まさき(2)/＃の中のカマ吉くん/ヒカル/IWA(2)/タイファイター/きらら(2)/たたた/モモント・メリ(2)/顔面激戦区(2)/スピ力/客員教授(2)/きゅーきゅー(2)/T@/gas/フラワーベース/ハッスル運動会(2)/タマドラゴン(2)/ううここ/堀越産業/プルインザボ/ホーミング/ベンジャミン/TwistNight/生身/無限の彼方/投票ボーナス(3)
0442_8581_KIX,2023-03-20,130人,違法ベビーカーの見分け方とは？,NA,2位,犬ヒロシ,交番の前で速くなる,39,77.92,納屋の鍵(2)/ちくわうし/小テスト/コッパー/野島久助/遠くを見ている/元横綱/頭脳まさき(2)/まつきよ/IWA/僕/モモント・メリ(2)/顔面激戦区/きゅーきゅー/gas/ところ天のすけ/是非/まるまる/魚醤/ジャック/ハッスル運動会(2)/コーラル(2)/ドロップシンカー/むらさき/プルインザボ/えのきときのこ/灰色こたつ(2)/ベンジャミン/スクハムハーフ/shu/生身/アイワ/蛍雪
0442_8581_KIX,2023-03-20,130人,違法ベビーカーの見分け方とは？,NA,3位,ジェンツーペンギン,Kgで販売してる,37,75.55,納屋の鍵(3)/ウザいアイコン/ましましのしま(2)/きれいな市役所/コッパー/野島久助/＃の中のカマ吉くん(2)/ここはが/タイファイター/santotsu/モモント・メリ/きゅーきゅー(2)/気球マイスター/めがじ/玄の字。/半丙太/あちらの方/フラワーベース/辺見豪/同じSHARK/魚醤(2)/ハッスル運動会(2)/赤黄色/タマドラゴン/不思議少年/えのきときのこ/無限の彼方/投票ボーナス(3)
0442_8581_KIX,2023-03-20,130人,違法ベビーカーの見分け方とは？,NA,4位,スシざんがい,どの角度から見ても赤ちゃんの顔が見えない,36,74.37,ましましのしま/コッパー/かごの中の鳥/さけのなかのいくら/メリケンジョッキ/頭脳まさき(2)/＃の中のカマ吉くん(2)/たたた/みかんみかん(3)/客員教授/女将/カタン(2)/めがじ/半丙太/浪人/お嬢様ですわぁ/ハッスル運動会/おg/コーラル/ハルマレ/ドロップシンカー/受験スズカ/プルインザボ/スクハムハーフ/shu/くじ運/tome_ru(2)/投票ボーナス(3)
0442_8581_KIX,2023-03-20,130人,違法ベビーカーの見分け方とは？,NA,5位,くじ運,鋭角が多すぎる,33,70.83,納屋の鍵/きれいな市役所/TKD/さけのなかのいくら/遠くを見ている/ゑゆ子/IWA(2)/僕/堅あげポテト好き/タイファイター/たたた/きゅーきゅー/T@/気球マイスター/カタン/gas(2)/同じSHARK/ジャック/アウク(2)/受験生/むらさき/河川敷と高架橋、時雨/プルインザボ/ホーミング/生身/無限の彼方/アイワ/投票ボーナス(3)
0442_8581_KIX,2023-03-20,130人,違法ベビーカーの見分け方とは？,NA,5位,浪人,赤ちゃんが目をそらす,33,70.83,ウザいアイコン(2)/雨速/ちくわうし/みどりいろ(3)/かごの中の鳥/ファノブ座(3)/ヘクトパスカルもりみち/ここはが/きらら/きゅーきゅー/幻/気球マイスター/あちらの方/渡利　巣手呂/ジャック/赤黄色/おg/ハルマレ/むらさき/パンジ/無限の彼方/蛍雪/ヨッすぃ〜(3)/投票ボーナス(3)
0442_8581_KIX,2023-03-20,130人,違法ベビーカーの見分け方とは？,NA,5位,魚醤,たまたま通りかかったみたいに乗る,33,70.83,飯食い(3)/納屋の鍵(2)/ウザいアイコン/ましましのしま/ジェンツーペンギン/ちくわうし/コッパー/ミソンジーエ/たたた/顔面激戦区/めがじ/フラワーベース(2)/是非/渡利　巣手呂(2)/お嬢様ですわぁ/紗和和和/タマドラゴン/おg/ドロップシンカー/灰色こたつ/ベンジャミン(2)/tome_ru(2)/ヨッすぃ〜/投票ボーナス(3)
0442_8581_KIX,2023-03-20,130人,違法ベビーカーの見分け方とは？,NA,8位,pokeki,赤ちゃんの笑い声が途切れない,31,68.47,けええ/フイ/ウザいアイコン(2)/むもん/コッパー/いわな/たくめ(2)/さけのなかのいくら/ヘクトパスカルもりみち/ミソンジーエ/こんなところにエビチリ/みかんみかん/T@/幻(2)/ところ天のすけ/半丙太/あちらの方/渡利　巣手呂/お嬢様ですわぁ/不思議少年/河川敷と高架橋、時雨/ベンジャミン/蛍雪/ヨッすぃ〜(2)/投票ボーナス(3)
0442_8581_KIX,2023-03-20,130人,違法ベビーカーの見分け方とは？,NA,8位,丈希,赤ちゃんが理解して笑ってる,31,68.47,マーガイモン/納屋の鍵(3)/雨速/ましましのしま/むもん/ししだ/いわな/ファノブ座/遠くを見ている/バーチャルバナナ/ゑゆ子/元横綱/ヒカル/ミソンジーエ/きゅーきゅー/めがじ/フラワーベース/お嬢様ですわぁ/カンガルーノート/むらさき/えのきときのこ/なぐ(2)/パンジ/生身/蛍雪/投票ボーナス(3)
0442_8581_KIX,2023-03-20,130人,違法ベビーカーの見分け方とは？,NA,10位,僕,顔は泣いてるのに笑い声がする,30,67.29,マーガイモン/むもん/ちくわうし/小テスト/さけのなかのいくら/たたた/みかんみかん/pokeki/スピ力/客員教授(2)/気球マイスター/あちらの方/是非/辺見豪(2)/同じSHARK/まるまる/魚醤/ニンニキニキニキ/きみをゆるさない。/むらさき/受験スズカ/河川敷と高架橋、時雨/くじ運/アイワ/ヨッすぃ〜/投票ボーナス(3)
