お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3722_6872_BGU,2023-04-06,137人,ホップ、ステップ、◯◯◯,NA,1位,ぐすく,までは高校でやってました,59,91.36,rayleigh/とほ/りくがめ/くじ運/金天街(3)/他のＰ/けん坊/ゆるふわ冬至/ふともも(2)/マルイは二進法で5/大王にのまえ/ちくわうし(2)/shu/あんかけプロテイン(3)/スシざんがい/バレッサ/東京縦断12km(2)/おもしろ大喜利KING/イヘウュシ/ひきにく/アナゴさん/りろ/スミ/ゆちゃくのお食事券/充/国際問題(3)/紗和和和/チャールズ・チャール(2)/仙河/水猫ラテ/アンビバレンス/木々短針(2)/中沢の人/シンマイ子(2)/よれよれ/ほろほろ/螺旋貝柱/パブロ風の犬/おだンゴ/さいころちゃらみん/白滝BOX/Sierra/かめおか/冷凍ミラノ/投票ボーナス(3)
3722_6872_BGU,2023-04-06,137人,ホップ、ステップ、◯◯◯,NA,2位,古い絵画,をご希望の方は1を,47,79.77,とほ/コオロギ(2)/くじ運/他のＰ/ゆるふわ冬至/マルイは二進法で5/shu/フイ/東京縦断12km(3)/イヘウュシ/メカニカルたぬき/アルブラレリー/ななし/正木θ(3)/すえひろ(3)/ゑゆ子/浅間山から真っ逆さま(2)/便シモンズ(3)/シンマイ子/寺井/GYAI/ほろほろ/螺旋貝柱(2)/パブロ風の犬/たくめ/おだンゴ/ねこめんたい/なぐ(2)/ジュエリーポニー/さいころちゃらみん/ウクレレ/ノビッタ/投票ボーナス(3)
3722_6872_BGU,2023-04-06,137人,ホップ、ステップ、◯◯◯,NA,2位,釜ちびちび,しか使わない喧嘩,47,79.77,おしゃる/コオロギ/くじ運/金天街(3)/コッパー/他のＰ(2)/気球マイスター/ソトノトス(2)/長門(3)/シュヴァルツ/ずずエさん/イヘウュシ/りろ/ゆちゃくのお食事券/充/ぐすく/国際問題(2)/紗和和和/薄力粉/ほに(2)/寺井/ほろほろ/螺旋貝柱/hp/シャンプー(2)/さいころちゃらみん/群青日和/かめおか(2)/灰色こたつ(2)/冷凍ミラノ/しらたき/あぐり/とりふぐ/投票ボーナス(3)
3722_6872_BGU,2023-04-06,137人,ホップ、ステップ、◯◯◯,NA,4位,寺井,言うてますけども,45,77.83,れぎゅらー(3)/ハルマレ(3)/おしゃる/キタムランド/とほ/ぴのこ(2)/他のＰ/気球マイスター/カナリカリガ・タカ/ソトノトス/びろびろーん/きらら/スシざんがい/800/きのひと/がんばりま翔/からしツナ/湿ったカキフライ/ゆちゃくのお食事券/ぐすく/平凡亭パンチ(2)/チャールズ・チャール/ゑゆ子/半ちく/スリッパ/中沢の人/ほに(2)/GYAI/ほろほろ/白滝BOX/かめおか/冷凍ミラノ/しらたき/業務用虚無/とりふぐ/投票ボーナス(3)
3722_6872_BGU,2023-04-06,137人,ホップ、ステップ、◯◯◯,NA,5位,おだンゴ,広告をスキップ　▶︎｜,43,75.9,おしゃる/くじ運/金天街(3)/メメントモリ/滅相もない/フイ/ずずエさん/バレッサ/おもしろ大喜利KING/なごみこはる/ひきにく/ハチコー/からしツナ/スミ/湿ったカキフライ(2)/ななし/仙河/半ちく/浅間山から真っ逆さま/アンビバレンス/便シモンズ(3)/こねぎ/ところ天のすけ/ほろほろ/パブロ風の犬/hp/なぐ/ジュエリーポニー/さいころちゃらみん/スパルタ/しらたき/あぐり/業務用虚無(2)/古い絵画/投票ボーナス(3)
3722_6872_BGU,2023-04-06,137人,ホップ、ステップ、◯◯◯,NA,5位,僕,ここまでは努力で補える,43,75.9,ハルマレ/りくがめ/くじ運/そにぃ(2)/気球マイスター/んん゛/ゆるふわ冬至/ふともも/マルイは二進法で5/ちくわうし/shu(2)/びろびろーん/シュヴァルツ/800/きのひと/からしツナ/麻婆春雨前線/りろ/南部屋敷/ななし/ぐすく/紗和和和/えのきときのこ/仙河/ゑゆ子/アンビバレンス/中沢の人/シンマイ子/寺井/Shineman/おだンゴ/釜ちびちび/シャンプー/Sierra/灰色こたつ(2)/ノビッタ/とりふぐ/投票ボーナス(3)
3722_6872_BGU,2023-04-06,137人,ホップ、ステップ、◯◯◯,NA,7位,カナリカリガ・タカ,などと供述しており,40,73.0,コッパー(2)/んん゛/ソトノトス/マルイは二進法で5/フイ/びろびろーん/東京縦断12km(3)/ひきにく/麻婆春雨前線/りろ/湿ったカキフライ(3)/南部屋敷/充(2)/チャールズ・チャール(2)/半ちく/スリッパ/便シモンズ(3)/木々短針/中沢の人/GYAI(2)/よれよれ(2)/耳ぶた/Sierra/冷凍ミラノ/ノビッタ/業務用虚無/投票ボーナス(3)
3722_6872_BGU,2023-04-06,137人,ホップ、ステップ、◯◯◯,NA,8位,Sierra,の2冠,36,69.13,れぎゅらー(2)/りくがめ/くじ運/マルイは二進法で5/大王にのまえ/フイ/きらら(2)/おもしろ大喜利KING/ひきにく/がんばりま翔/アナゴさん/りろ/南部屋敷/ななし/ぐすく(2)/紗和和和/えのきときのこ/仙河/アンビバレンス/木々短針(2)/ほに(2)/シンマイ子/ほろほろ/Shineman(2)/僕/スパルタ/とりふぐ/投票ボーナス(3)
3722_6872_BGU,2023-04-06,137人,ホップ、ステップ、◯◯◯,NA,9位,国際問題,ドクターストップ,35,68.17,くじ運/ぴのこ/金天街(2)/けん坊/ふともも/びろびろーん/ずずエさん/きのひと/なごみこはる/アルブラレリー(2)/南部屋敷/ななし/ニナモリ/ゑゆ子/浅間山から真っ逆さま/アンビバレンス/シンマイ子/こねぎ(2)/よれよれ/hp/僕/釜ちびちび/ねこめんたい/シャンプー(2)/ウクレレ/業務用虚無(3)/投票ボーナス(3)
3722_6872_BGU,2023-04-06,137人,ホップ、ステップ、◯◯◯,NA,10位,とりふぐ,から始まる怪談,34,67.2,丈希/おしゃる/キタムランド/コッパー/他のＰ/んん゛/ソトノトス/ゆるふわ冬至/shu/バレッサ/800/湿ったカキフライ/ぐすく(2)/机上で実演/木々短針(3)/シンマイ子/寺井/GYAI/こねぎ/螺旋貝柱/たくめ/おだンゴ/白滝BOX/Sierra/かめおか/灰色こたつ/業務用虚無(2)/投票ボーナス(3)
