お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4434_2200_QZI,2023-04-07,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4434_2200_QZI.jpg,1位,パンフ,美大って臭うでしょ,38,86.64,マキオ/新田.jpg/さけのなかのいくら(2)/逆転/吸盤/メスカマキリ/机上で実演(2)/パイナップルからあげ/ポコ太郎/シング/大喜利の母/国王/ななし/タケSOS/桃山ももたろう(2)/中サラ/ニューロン/れぎゅらー/かぎや/棘2/ダンス部/射的屋/A味噌汁/馬to量子化/watoson/時計遺伝子/くすも/麻婆春雨前線/男子寮(2)/まるまる/Figaro/投票ボーナス(3)
4434_2200_QZI,2023-04-07,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4434_2200_QZI.jpg,2位,deepnavy,大家さんには伝えてあるよ,32,77.82,釜ちびちび/逆転/吸盤(2)/パンフ(2)/シング(2)/のす/坂の上雑木林/国王/ななし/ぢ/800/フイ/平下/ピアニカ清掃員/嫁の実家/れぎゅらー(2)/なまこP/からすみうどん/中沢の人/棘2/常時と乗馬/馬to量子化/半丙太/クルペッコの手羽元/まるまる/投票ボーナス(3)
4434_2200_QZI,2023-04-07,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4434_2200_QZI.jpg,3位,きみをゆるさない。,一回そいつ通して話すなよ,29,73.41,けん坊/釜ちびちび/やすな/机上で実演(3)/シング/大喜利の母(2)/のす/baseball /フイ/中サラ/deepnavy/ゆるむ/雨はやさしく/Houston/なまこP/かるかん圭/世界/中沢の人/射的屋/スミ/watoson/くすも/半ちく/投票ボーナス(3)
4434_2200_QZI,2023-04-07,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4434_2200_QZI.jpg,4位,Houston,本当に悪意とかは無くて,26,69.0,マキオ/バレッサ/釜ちびちび/吸盤(2)/机上で実演/パイナップルからあげ/シング/大喜利の母/ニンニキニキニキ/坂の上雑木林/紗和和和/中サラ/ニューロン/deepnavy/雨はやさしく/かるかん圭/からすみうどん/中沢の人/射的屋(2)/くすも/麻婆春雨前線/投票ボーナス(3)
4434_2200_QZI,2023-04-07,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4434_2200_QZI.jpg,4位,くすも,ね？同じことされたら嫌でしょ？,26,69.0,けん坊/ふともも/やすな/吸盤(2)/坂の上雑木林/国王/タケSOS(2)/800/大王にのまえ/雨はやさしく/れぎゅらー(3)/なまこP/世界/射的屋/半丙太/母の写真(2)/閾値/Figaro/投票ボーナス(3)
4434_2200_QZI,2023-04-07,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4434_2200_QZI.jpg,4位,世界,どれがかけがえのないやつなんだ,26,69.0,机上で実演/ポコ太郎/紗和和和/タケSOS/800/中サラ(2)/平下/deepnavy/ゆるむ/雨はやさしく/嫁の実家(2)/かぎや/常時と乗馬/馬to量子化/かごの中の鳥/半丙太/母の写真/タイファイター/半ちく/Figaro(2)/投票ボーナス(3)
4434_2200_QZI,2023-04-07,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4434_2200_QZI.jpg,7位,A味噌汁,オダギリジョークですよ,24,66.06,バレッサ/逆転/パンフ/hp/大喜利の母/国王(2)/ののしかΨ(・ω・ )Ψ/ななし/deepnavy/Houston/かるかん圭(2)/ねこめんたい/ハコダイオ/ダンス部/常時と乗馬/スミ/もふもふのあひる/男子寮/Figaro/投票ボーナス(3)
4434_2200_QZI,2023-04-07,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4434_2200_QZI.jpg,7位,新田.jpg,確かに実験では全滅してますが,24,66.06,さけのなかのいくら/逆転/メスカマキリ/ニンニキニキニキ/紗和和和/800/フイ/大王にのまえ/なまこP/ハコダイオ/かぎや/かぶな/常時と乗馬/かごの中の鳥/半丙太/薄力粉/same/麻婆春雨前線/半ちく/Figaro(2)/投票ボーナス(3)
4434_2200_QZI,2023-04-07,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4434_2200_QZI.jpg,9位,まるまる,お前が選んだバイトだろ,23,64.59,新田.jpg/さけのなかのいくら(2)/やすな/hp/パイナップルからあげ/ぢ/800/ニューロン/＃の中のカマ吉くん/きみをゆるさない。/deepnavy/嫁の実家/からすみうどん/ping3500/射的屋/A味噌汁/女将/タイファイター/半ちく/投票ボーナス(3)
4434_2200_QZI,2023-04-07,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4434_2200_QZI.jpg,9位,ゆるむ,エアペイで支払ったお客様はこうなります,23,64.59,やじうさん/バレッサ/スリッパ(3)/シング/ニンニキニキニキ/国王(2)/中サラ/なまこP/ねこめんたい/からすみうどん/ダンス部/女将/ぽろりとめたん(2)/もふもふのあひる(2)/閾値/投票ボーナス(3)
