お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0222_1387_FUM,2023-04-24,110人,万引きが特別に許可されている人,NA,1位,熱と気体,これのLサイズ盗みたいんですけど,49,85.52,ザクロニシキ/其ノ蜩/奇妙な男/ジャンゴりせい/ウザいアイコン/緑峰/むらさき/バー和義/からすみうどん/下衆なキャット/漁業の星/蛍雪/ぐすく(2)/りんかんがっこう/rayleigh/ryoga4680/だこ(3)/icytrial/バニラソフト/ミズイチ(2)/長老_M/ramunen/gas/双葉柿浦六番線/いぬまる/アッサム/でっかいぬ/がんばりま翔/後悔しない名前を付けよう/ジェンツーペンギン/おかかかカカオ(3)/いちご/まきびし/右肩重心/くっしょんぼうや(2)/くらさん(2)/高見盛(2)/投票ボーナス(3)
0222_1387_FUM,2023-04-24,110人,万引きが特別に許可されている人,NA,2位,がんばりま翔,捕まってから許可証出すの楽しすぎる,45,81.28,ザクロニシキ/タイファイター/奇妙な男/しょーけん/緑峰(2)/むらさき/いさぽろん/ナルシマアンバイ/だむアダム(3)/TwistNight/漁業の星/たこ焼きボンバー/りんかんがっこう(3)/rayleigh/risurisu123(3)/ryoga4680(2)/旦過(2)/Houston/バニラソフト/長老_M/双葉柿浦六番線/BBG/egoshi_37/アッサム(2)/ジェンツーペンギン/おかかかカカオ(3)/まきびし/右肩重心/玄の字。/くらさん/投票ボーナス(3)
0222_1387_FUM,2023-04-24,110人,万引きが特別に許可されている人,NA,3位,ミズイチ,子供が見てる時は盗らない,41,77.03,りす/ザクロニシキ/ぬこま(2)/ジャンゴりせい/むらさき/棘2/野人_YAJIN/バー和義/ニューロン/下衆なキャット/漁業の星/いち/二階の心霊事件簿(2)/だこ/細野(3)/きっくちゃん/ぶり/gas/ポンサ/双葉柿浦六番線/さらえん/ちくわうし/ここはが/やもりみゆき(3)/いぬまる/小テスト/ジェンツーペンギン/おかかかカカオ/トレトレ/右肩重心/れあ/ふともも/投票ボーナス(3)
0222_1387_FUM,2023-04-24,110人,万引きが特別に許可されている人,NA,4位,たこ焼きボンバー,一応ドキドキしてる,37,72.79,ザクロニシキ/タイファイター/ぬこま/しょーけん/ジャンゴりせい/緑峰/むらさき/いさぽろん/ニューロン/白ジョーア/ゆきだるま(2)/TwistNight/いち/耳田/二階の心霊事件簿/ryoga4680/ミズイチ/ポンサ/双葉柿浦六番線/ここはが/やもりみゆき/こども/れれれのれき(2)/アッサム/でっかいぬ(2)/かに/トレトレ/れあ/玄の字。/ふともも/高見盛/投票ボーナス(3)
0222_1387_FUM,2023-04-24,110人,万引きが特別に許可されている人,NA,5位,暴風よ吹け,一応人も殴ってみたら捕まった,33,68.54,りす/ザクロニシキ/其ノ蜩/むらさき/野人_YAJIN/からすみうどん/TwistNight/漁業の星(2)/飯食い/ぐすく(2)/りんかんがっこう/だこ(2)/音鳴ヨチ/Houston/バニラソフト/ぶり/副菜/双葉柿浦六番線/さらえん/BBG/アッサム/がんばりま翔/後悔しない名前を付けよう/右肩重心/せばす(2)/ふともも/投票ボーナス(3)
0222_1387_FUM,2023-04-24,110人,万引きが特別に許可されている人,NA,6位,ふくらぎ三太郎,盗った商品が必ず大ヒットするというジンクスがある,32,67.48,がりー(2)/ぬこま(3)/しょーけん/ふさふさマカオ/バー和義/丈希/カビブギウギ/だむアダム/下衆なキャット/人拓/りんかんがっこう/ぴょん/耳田/ryoga4680(3)/だこ(2)/バニラソフト/所々ジョージ/いぬまる/大喜利/がんばりま翔/暴風よ吹け/熱と気体/くっしょんぼうや/投票ボーナス(3)
0222_1387_FUM,2023-04-24,110人,万引きが特別に許可されている人,NA,6位,下衆なキャット,仕入れにも口を挟む,32,67.48,ザクロニシキ/其ノ蜩/がりー/タイファイター/プーアル茶(2)/しょーけん/棘2/野人_YAJIN/ニューロン/蛍雪/りんかんがっこう/音鳴ヨチ/半丙太/バニラソフト/gas/ちくわうし/ここはが/BBG/小テスト/いちご/赤い髪/せばす(3)/熱と気体(2)/玄の字。/高見盛/投票ボーナス(3)
0222_1387_FUM,2023-04-24,110人,万引きが特別に許可されている人,NA,8位,ぬこま,カラーボールが貫通する,30,65.36,其ノ蜩/プーアル茶(2)/国道の集う場所(2)/ジャンゴりせい/めがじ/むらさき/確率論のパラテママ(2)/ニューロン/カビブギウギ/水猫ラテ/TwistNight/黒胡椒/りんかんがっこう/rayleigh(2)/だこ(2)/半丙太/副菜/やもりみゆき/こども/BBG/ふくらぎ三太郎/れあ/投票ボーナス(3)
0222_1387_FUM,2023-04-24,110人,万引きが特別に許可されている人,NA,9位,おかかかカカオ,罪悪感で牛乳は手前から盗る,29,64.3,ザクロニシキ/奇妙な男/剣豪(2)/ぬこま/イガイガの栗/野人_YAJIN/ニューロン/からすみうどん/ゆきだるま/蛍雪/risurisu123/だこ(2)/りくがめ/音鳴ヨチ/細野/Houston/ポンサ/ちくわうし/大喜利/いちご/まきびし/赤い髪/右肩重心/くっしょんぼうや/投票ボーナス(3)
0222_1387_FUM,2023-04-24,110人,万引きが特別に許可されている人,NA,9位,アッサム,流石にポイントは付かないか,29,64.3,りす/タイファイター/奇妙な男/ウザいアイコン/テンドウマツリ/緑峰/ニューロン/ナルシマアンバイ/白ジョーア/ゆきだるま(3)/漁業の星/蛍雪/いち/ヘクトパスカルもりみち/ryoga4680/音鳴ヨチ/きっくちゃん/ミズイチ/gas/副菜/双葉柿浦六番線/さらえん/れれれのれき/かに/投票ボーナス(3)
