お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,1位,女将,また俺に不利な会話だ,23,76.36,優しいダンプカー/ヒカル(2)/(控)(3)/当たり梅/うえじゅん/おむすび丸(2)/いのゆう/プロしずたに/熱々のマホカンタ/ベンチとペンチ/人拓/phrase186(2)/生身/先輩/メリケンジョッキ/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,2位,メンテ,UNO,22,74.47,baseball /ヤクルトレディ/官能亭ましゅまろ/あざぶ(3)/てっぺんざしお(2)/レッシー/Negi_nxnxnxn/けいたこ(2)/パラ中(3)/ライスペーパーに落書き(2)/いちご/9時のクジラ/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,3位,たいら,嫁はん2「私にもあるんちゃいます」,21,72.57,まちだてゃ㌨/john/レッシー/うえじゅん/Negi_nxnxnxn/ガッデム(3)/プロしずたに/phrase186/ライスペーパーに落書き/四畳半にも三年/さけのなかのいくら/先輩/9時のクジラ/レフティー(3)/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,3位,ヒカル,チャーはん「ﾊﾟﾗﾊﾟﾗ」,21,72.57,まちだてゃ㌨/john(2)/しろねこ/当たり梅/ちょろと/白キごはん/熱々のマホカンタ/イライラする周波数/りあ/生身/初対面(3)/キタムランド/さささささ/資本ネコ/レフティー/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,5位,おむすび丸,…合格や,18,66.9,ヤクルトレディ/まちだてゃ㌨/アラカビ/当たり梅/うえじゅん/大我(3)/けいたこ/ちょろと/ガッデム/イライラする周波数/さけのなかのいくら/生身/乖/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,5位,人拓,警察と同じこと言うてるやん,18,66.9,baseball /まちだてゃ㌨/アラカビ/官能亭ましゅまろ(2)/当たり梅/うえじゅん/いのゆう/落葉/メリケンジョッキ/メンテ(3)/レフティー/女将/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,7位,先輩,まずは拍手。よく気づきましたと、おめでとうと、そう言わせてほしい。,17,65.0,john/当たり梅/うえじゅん/Negi_nxnxnxn/いのゆう/ちょろと/ガッデム(2)/白キごはん/ベンチとペンチ/りあ/さけのなかのいくら/メンテ(2)/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,8位,大我,旦那変えた？,16,63.11,あざぶ/レッシー/当たり梅/たいら/おむすび丸(2)/熱々のマホカンタ/イライラする周波数/四畳半にも三年(2)/さけのなかのいくら(2)/いちご/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,8位,生身,さっきUNOって言いました,16,63.11,コーラ中将/Negi_nxnxnxn/おむすび丸(2)/パラ中(3)/こねぎ/ライスペーパーに落書き/酢酸ペンギン　独白(2)/乖/メンテ/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,10位,けいたこ,ごめん、上司と一緒にM-1出て1回戦敗退だった....,15,61.22,優しいダンプカー/レッシー/コーラ中将/イワコデジマ/ベンチとペンチ/こねぎ/ライスペーパーに落書き/初対面/落葉/酢酸ペンギン　独白(2)/メリケンジョッキ/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,10位,ちょろと,ティファールでうなぎを飼っていた,15,61.22,john/優しいダンプカー/しろねこ/あざぶ/いのゆう/熱々のマホカンタ/イライラする周波数/ふわっと/ヨシムラ/メンテ(2)/女将/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,12位,そいそーす,"娘を""半嫁はん""って呼んでることか？",14,59.33,baseball /優しいダンプカー/ヒカル/イライラする周波数/ダンス部(2)/形状記憶ヒロタ/先輩/キタムランド/さささささ/メンテ/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,13位,あいだほ＠俳句,母乳で育ちたいんや,13,57.44,baseball /ヤクルトレディ/アラカビ/しろねこ/おびわん/プロしずたに/ベンチとペンチ/人拓/ヨシムラ/乖/メンテ(2)/9時のクジラ
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,14位,いちご,夜は紙袋かぶって欲しぃっ,12,55.54,ヤクルトレディ/しろねこ/たいら/プロしずたに/人拓/ダンス部/形状記憶ヒロタ/生身/先輩/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,14位,ふわっと,あんたはワイに聞かないけんことがあるやろ,12,55.54,まちだてゃ㌨/官能亭ましゅまろ(2)/うえじゅん/生身/落葉/レフティー(3)/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,14位,形状記憶ヒロタ,俺はん「ざいしゃなんだよね」,12,55.54,まちだてゃ㌨/当たり梅/ふわっと/四畳半にも三年(2)/さささささ/レフティー(3)/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,17位,phrase186,ツイキャスで耳責めASMR配信してたこと...？,11,53.65,ヤクルトレディ/コーラ中将(2)/イワコデジマ/人拓/こねぎ/9時のクジラ/女将/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,17位,てっぺんざしお,ばり好いとーよ,11,53.65,baseball /ヒカル/おびわん/白キごはん/熱々のマホカンタ/ヨシムラ/りあ/さささささ/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,17位,ヤクルトレディ,はい、でんねん、、、,11,53.65,baseball /てっぺんざしお/ヒカル/おびわん/そいそーす(3)/さけのなかのいくら/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,20位,コーラ中将,俺が会社でハムボイスで喋ってること、、？,10,51.76,けいたこ(2)/ヨシムラ/ダンス部/キタムランド/落葉/メンテ/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,21位,9時のクジラ,"本当はお釣り110円だったのに、
100円しか返さなくてごめんなさい。",9,49.87,レッシー/Negi_nxnxnxn/ふわっと/こねぎ/メリケンジョッキ/女将/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,21位,Negi_nxnxnxn,俺がこの一週間ずっと裸だったことか…？,9,49.87,レッシー/いのゆう/プロしずたに/こねぎ/ライスペーパーに落書き/キタムランド/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,21位,優しいダンプカー,君が木を切ってる時の大きい背中の写真を同僚に見せてごめん,9,49.87,しろねこ/いのゆう/ふわっと/人拓/phrase186/先輩/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,21位,当たり梅,YouTubeで養ってる,9,49.87,baseball /しろねこ/ダンス部(2)/さささささ/9時のクジラ/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,25位,まちだてゃ㌨,"ダイスケはん
「#""★""〜""¥""□""ゝ""▼""○""@""！！！」",8,47.97,当たり梅/そいそーす(3)/ちょろと/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,25位,アラカビ,(京セラ)ドームの外には、生き残った人類はおらんかった,8,47.97,優しいダンプカー/ちょろと/りあ/形状記憶ヒロタ/さけのなかのいくら/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,27位,うえじゅん,言っても言わなくても怒るくせに,7,46.08,ヒカル/白キごはん/落葉/女将/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,27位,おびわん,顔赤くなったとき赤飯とかイジってすまんな,7,46.08,アラカビ/たいら/イワコデジマ/りあ/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,27位,こねぎ,昨夜、寝顔に欲情しておやすみのキスをほっぺじゃなくマ〇コにしました…ごめんなさい,7,46.08,イワコデジマ/資本ネコ(3)/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,27位,さけのなかのいくら,嫁ハーンに逆らったら親族ごと滅ぼされるは言い過ぎやった,7,46.08,(控)(3)/たいら/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,27位,オレコマンダー,体だけなら愛してます,7,46.08,しろねこ/あざぶ(2)/ヨシムラ/形状記憶ヒロタ(2)/いちご
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,27位,キタムランド,失くしたと思ってた結婚指輪、倍になって返ってきました,7,46.08,大我(3)/さけのなかのいくら/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,27位,ダメ息子,知ってたのか…これが125回目のループだって…,7,46.08,てっぺんざしお(2)/こねぎ/さけのなかのいくら/酢酸ペンギン　独白(2)/女将
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,34位,baseball ,寝てる時にチューしてごめん,6,44.19,john/Negi_nxnxnxn/乖/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,34位,hamai,スマホのパスワード私のスリーサイズにしたでしょ,6,44.19,アラカビ/イライラする周波数/ベンチとペンチ/ふわっと/phrase186(2)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,34位,いのゆう,青い目の赤ちゃんが生まれた,6,44.19,たいら/キタムランド/いちご/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,34位,さささささ,妊娠しました…,6,44.19,官能亭ましゅまろ(2)/ヨシムラ/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,34位,しろねこ,佳子を抱いた、紀子も抱いた、ヒゲも抱いた,6,44.19,人拓/さけのなかのいくら(2)/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,34位,イライラする周波数,あの時助けていただいた鶴です,6,44.19,コーラ中将/キタムランド/メリケンジョッキ/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,34位,ダンス部,ワクチン射ったのおまえだけ,6,44.19,あざぶ/コーラ中将/イワコデジマ/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,34位,ライスペーパーに落書き,｢実は俺関西人ちゃうねん｣,6,44.19,おびわん/生身/いちご/投票ボーナス(3)
1408_1756_JQE,2023-05-20,59人,嫁はん「あんた私に言わなあかんことあるやろ」,NA,34位,レッシー,か、髪切った？,6,44.19,てっぺんざしお/おびわん/メリケンジョッキ/投票ボーナス(3)
