お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,1位,美味なフレンチトースト,お殿様ランチがある,53,93.25,さりつかいし(2)/はさまり(2)/じんじん/ダニエル銅本(2)/じろ/カンガルーノート/寿司ブルドーザー/山鹿(2)/スカイブルー(2)/Haruru(2)/はがね/棒/お洗濯/RUM(3)/ミニベロ(2)/マシーンたお/バーチャルはしやすめ(2)/あこー(3)/先輩/いちご/ノラクラ/はてなぞ(2)/タイファイター/morisho(2)/えのきときのこ(2)/さまんさまんさ/レン/アドバルーン(2)/まくら雲/三遊亭たわし/ボンバー浜崎/随契(2)/あんですそん/投票ボーナス(3)
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,2位,Haruru,迷惑客が来た日を「○○の乱」と呼んでいる,48,87.76,あかのすけ(3)/高だの高代/なななぁ/カンガルーノート/はしびろK/すし郎/パラ中(2)/〜トリコ、完結〜(3)/スカイブルー/はがね/へなちょこ(2)/Miiiiki(3)/マシーンたお/レッシー/じす/人間に近い生物(2)/あこー(2)/わぬわぬ/フィアーノロマーノ/ボサライミ/カプリチョーザ(2)/のっぺ/おだンゴ/ひたすらに銀賞/古い絵画/さんてぃす/レン/白黒まみれ/アドバルーン/まくら雲/ハム崎人/ネクストン/ボンバー浜崎/ただたん/投票ボーナス(3)
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,3位,ボンバー浜崎,肉の焼き方がレア、ミディアム、本能寺,47,86.67,あかのすけ/高だの高代(2)/はしびろK/猫水産(2)/はがね/へなちょこ/おぴょぴょ/RUM(3)/ドクエリアス(3)/申し訳有馬/其ノ蜩/じす/ラータ/恥さらしのスパゲッティ/敵刺(3)/あこー/ゃまゃま(2)/先輩/ぬりかべ/いちご/ノラクラ/はてなぞ/くじ運/さんてぃす/悲しげな女が踊る/プワち/白黒まみれ(3)/アドバルーン(2)/ei/ヘクトパスカルもりみち(2)/学問のスズメ/投票ボーナス(3)
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,4位,洋介山,合戦時のシフトきつい,39,77.88,なななぁ/ダニエル銅本(2)/ryoga4680/山鹿/パラ中/〜トリコ、完結〜/ミスティカティ/白昼ドードー/おぴょぴょ(2)/ファミマのガキ/Miiiiki(3)/たくみす/我(あ)(2)/申し訳有馬/美味なフレンチトースト/じす(2)/ナオト(サイレンベガス)/恥さらしのスパゲッティ/ニューロン/敵刺(3)/あこー(2)/ままごとうさぎ/ひたすらに銀賞/さまんさまんさ/デジ加減/アドバルーン(2)/三遊亭たわし(2)/あんですそん
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,5位,ちこる,人気メニューすぎて「杏仁の乱」が起こった,36,74.59,はさまり/あかのすけ/高だの高代/ダニエル銅本/じろ/カンガルーノート/ryoga4680/お洗濯(2)/チョコの代わりに鮭ルイベ(2)/ギギギーヌ/人拓/我(あ)/レッシー/其ノ蜩/じす/あこー(2)/ポジハメ(2)/先輩/フィアーノロマーノ/morisho(2)/T-FOX(3)/watoson/レン/プワち/デジ加減/随契/投票ボーナス(3)
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,5位,随契,応仁のLAN全然つながらない,36,74.59,すし郎(3)/寿司ブルドーザー/がんばる蟹/道野(2)/ちこる/ドクエリアス(3)/其ノ蜩/美味なフレンチトースト/恥さらしのスパゲッティ/敵刺(2)/ゃまゃま/先輩/フィアーノロマーノ/ボサライミ/ままごとうさぎ(3)/watoson(2)/のっぺ/悲しげな女が踊る/プワち(3)/白黒まみれ/三遊亭たわし/ei/投票ボーナス(3)
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,7位,オーバーニート,お箸も割りよのう・・・,31,69.1,はさまり/ryoga4680(2)/はしびろK/寿司ブルドーザー/スカイブルー(2)/がんばる蟹(2)/Haruru/道野/ちこる/ギギギーヌ(3)/其ノ蜩/美味なフレンチトースト(2)/人間に近い生物(3)/恥さらしのスパゲッティ/あこー(3)/はてなぞ/プワち(3)/ネクストン/随契
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,8位,ナオト(サイレンベガス),米米(BeyBey)が使える,30,68.0,さりつかいし/なななぁ/うえじゅん/はしびろK/ダイブレイン(2)/はがね/RUM(2)/ミニベロ/Miiiiki/我(あ)/其ノ蜩/美味なフレンチトースト/ポジハメ/はてなぞ(2)/ままごとうさぎ/さまんさまんさ/白黒まみれ/まくら雲/三遊亭たわし/ネクストン(3)/学問のスズメ(2)/投票ボーナス(3)
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,8位,三遊亭たわし,上杉謙信が敵のポテトに塩をかけてくれる,30,68.0,あかのすけ/じんじん/えびがに/うえじゅん/じろ/万華鏡サイダー(3)/ダイブレイン(2)/猫水産/スカイブルー(2)/棒/ファミマのガキ/たくみす(2)/人拓/其ノ蜩/美味なフレンチトースト/じす(2)/あこー/ゃまゃま/わぬわぬ/ふえるなわかめ/ただたん/投票ボーナス(3)
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,10位,ファミマのガキ,金の個室がある,29,66.9,さりつかいし/じんじん/高だの高代/万華鏡サイダー(3)/ダイブレイン/ミスティカティ/物数/ギギギーヌ/申し訳有馬/ゃまゃま(2)/ポジハメ/ふえるなわかめ/T-FOX/たいや/おだンゴ/黒胡椒/くじ運(2)/白黒まみれ/まくら雲(2)/おびわん/ただたん/投票ボーナス(3)
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,10位,白昼ドードー,脱ぐ上着多い,29,66.9,じんじん/高だの高代/なななぁ/パラ中/へなちょこ(2)/人拓/其ノ蜩/恥さらしのスパゲッティ(2)/敵刺(3)/あこー(2)/ポジハメ/いちご/ノラクラ/はてなぞ(2)/タイファイター/ままごとうさぎ/三遊亭たわし(2)/ハム崎人/秋月杏子/投票ボーナス(3)
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,12位,おぴょぴょ,鳥獣戯画の間違い探しで最後の一個が見つからない,28,65.8,さりつかいし/あかのすけ(2)/えびがに/じろ/猫水産/山鹿(2)/Haruru(2)/ちこる/マシーンたお/人拓/レッシー/ラータ/あこー/ゃまゃま(2)/わぬわぬ/ふえるなわかめ(2)/morisho/T-FOX/ボンバー浜崎/ei/投票ボーナス(3)
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,12位,ひたすらに銀賞,駐馬場で自分の馬を一回見失う,28,65.8,ryoga4680/はしびろK(3)/〜トリコ、完結〜(3)/物数/たくみす/恥さらしのスパゲッティ(2)/あこー/ポジハメ/いちご/ノラクラ/ざしょうせん(3)/morisho(3)/悲しげな女が踊る/ただたん/学問のスズメ/あんですそん/投票ボーナス(3)
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,12位,カリカリくん,オムライスに家紋の旗が刺さっている,28,65.8,ダニエル銅本/はしびろK/パラ中(2)/物数/白昼ドードー/じす/ナオト(サイレンベガス)/バーチャルはしやすめ(3)/わぬわぬ/ぬりかべ/ざしょうせん(3)/morisho(2)/のっぺ/おだンゴ/くじ運/プワち/白黒まみれ/おびわん/ボンバー浜崎/ヘクトパスカルもりみち(2)/学問のスズメ
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,12位,ランゲル・ハンス,端数を切り捨てる,28,65.8,さりつかいし/なななぁ(2)/じろ/パラ中/はがね(2)/道野/お洗濯/おぴょぴょ/ちこる(2)/ギギギーヌ/マシーンたお/ラータ/ニューロン/敵刺/ままごとうさぎ/おだンゴ/ひたすらに銀賞(2)/デジ加減/ネクストン(3)/投票ボーナス(3)
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,16位,デカいメロンパン,戦の打ち上げで行くとだいたい向こうもいる,27,64.71,はさまり/じんじん(2)/じろ/すし郎/猫水産/Haruru(3)/物数/白昼ドードー/たくみす(2)/マシーンたお/其ノ蜩/あこー(2)/ぬりかべ/ノラクラ(2)/ランゲル・ハンス/アドバルーン(2)/ei/随契(2)/あんですそん
0763_7677_CQV,2023-05-21,171人,戦国時代のファミレスあるある,NA,17位,しゅみ,信濃風ドリアが1番人気,26,63.61,あかのすけ(2)/えびがに(3)/うえじゅん/はしびろK/山鹿/ミスティカティ/道野/ちこる/ギギギーヌ/申し訳有馬/じす/ラータ/ポジハメ/カプリチョーザ/タイファイター/morisho/ままごとうさぎ/watoson/古い絵画/レン/プワち/三遊亭たわし/ネクストン
