お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,1位,アルブラレリー,すいません自分知りすぎましたね！,44,83.27,HS三遊間(2)/松尾(2)/こんなところにエビチリ(3)/コインロッカーベイビーズ/ベリー/ゆず茶/かめおか/ジョンムケ/白キごはん/TwistNight(2)/まいかぐら/ゐ。(2)/ナンの一部/もちもち/桃山ももたろう(2)/たろう/ダニエル銅本/プライム/煮込みVUITTON(2)/大人(3)/しろねこ/新大/ドクエリアス(2)/きらら(2)/くじ運(3)/ラッシー病/ハルマレ/すでショ/トリニダード木箱/アンナ・カリィ
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,1位,人力舎,後掃除できるよって人ー,44,83.27,ウラニワ/ちゃ柴(2)/射的屋/ベリー/クルペッコの手羽元(2)/goigois/ジョンムケ/白キごはん/まいかぐら/ゐ。(2)/骨密度/ナンの一部/加藤(2)/T@/初対面/短歌/たろう(2)/プライム/さいとむ/背の順/母の写真/煮込みVUITTON/しろねこ/ミズイチ/sAwArA/みちる/ラッシー病/半丙太/さいころちゃらみん/ハルマレ(2)/鴨とサイコロ/ニューロン/Turbo/アンナ・カリィ/ななし/投票ボーナス(3)
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,3位,骨密度,いる人で悲しんでおいて,40,78.76,ウラニワ/修羅ドウ(2)/射的屋/知らない宇宙/ベリー/ゆず茶/かめおか/白キごはん/二階から手続き/デジ加減/かざむら/T@/tashiko(2)/ダニエル銅本/及川広大/母の写真/スポーツバッグ/煮込みVUITTON/しろねこ/新大/ポレモロ/きみをゆるさない。/sAwArA/魚粉(2)/みちる/ラッシー病/ハルマレ/凡才チンパンジー(3)/グリングリン死因/明転や/トリニダード木箱/アンナ・カリィ/投票ボーナス(3)
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,4位,ベリー,モデル：172cm（サイズ：M　カラー：ブラック）,37,75.38,ちゃ柴(2)/HS三遊間(2)/射的屋/コインロッカーベイビーズ/899/長谷川キモ彦/こねぎ/螺旋貝柱/かめおか/goigois/TwistNight/まいかぐら(2)/あんだー村/もちもち/T@/新Goo/EPOCALC(3)/ぺーるおれんじ(2)/ミズイチ/ドクエリアス/ポレモロ/丸太(2)/ハルマレ/にらお/ななし/タカノリ・タカノ(2)/投票ボーナス(3)
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,5位,＃の中のカマ吉くん,じゃあ最速の出世みせるよ,36,74.25,修羅ドウ(2)/螺旋貝柱/かめおか/白キごはん(2)/あんですそん/二階から手続き/骨密度(2)/デジ加減/Houston/じゃん/短歌/ダニエル銅本/新Goo/さいとむ/カニうまい/煮込みVUITTON/クイバタ運極のみ！！/sAwArA(3)/みちる/ランゲルハンス糖/半丙太/鴨とサイコロ(2)/ニューロン/すでショ/繁華街/明転や/ななし/投票ボーナス(3)
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,6位,899,dボタンで参加して、僕を止めてね！,35,73.12,だんしゃり君/知らない宇宙/ベリー/クルペッコの手羽元/こねぎ/あんですそん/カズリット(2)/猫屋敷/tashiko(2)/はんなり(3)/たろう(2)/ダニエル銅本(2)/新Goo/やる/大人/ドクエリアス/きらら(2)/きみをゆるさない。/しばとも/みちる/ランゲルハンス糖/ありくい/ぴーたん/明転や/タカノリ・タカノ/投票ボーナス(3)
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,7位,短歌,今から1人減るんで、やっぱり5名でお願いします,34,72.0,HS三遊間(2)/こんなところにエビチリ(3)/goigois/あんですそん/まいかぐら/恥さらしのスパゲッティ/二階から手続き/加藤/もちもち/初対面(2)/tashiko(3)/EPOCALC/プライム(2)/しろねこ/ぎゅっとハムスター(2)/ドクエリアス/魚粉(2)/ラッシー病/凡才チンパンジー/Turbo/アンナ・カリィ(2)/投票ボーナス(3)
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,8位,ウラニワ,予約、人数変更で,33,70.87,＃の中のカマ吉くん/射的屋/知らない宇宙/コインロッカーベイビーズ(2)/長谷川キモ彦/ゆず茶/goigois/ジョンムケ/まいかぐら/ゐ。/デジ加減/ヒデオ/ナンの一部/初対面/白昼ドードー/ダニエル銅本(2)/EPOCALC/さいとむ/カニうまい(2)/煮込みVUITTON(2)/きみをゆるさない。/左利きのジョーカー/ランゲルハンス糖/ありくい/ゆるるる/ななし/投票ボーナス(3)
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,9位,かめおか,ここまではお笑いです,32,69.74,ウラニワ(2)/射的屋/goigois/TwistNight/恥さらしのスパゲッティ(2)/二階から手続き/骨密度/ローキック(3)/かざむら(2)/Houston/ナンの一部/短歌/くものす/新Goo/さいとむ/母の写真/丸太(2)/ありくい/鴨とサイコロ/すでショ/ぴーたん/グリングリン死因/明転や/投票ボーナス(3)
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,10位,ニューロン,じゃあ人質もやりますよ,31,68.61,ウラニワ(3)/＃の中のカマ吉くん/修羅ドウ(2)/人力舎/goigois/TwistNight/カズリット(2)/二階から手続き/ゐ。/Houston/ナンの一部/かな/シブ/じゃん/かごの中の鳥/やる/ぺーるおれんじ/カニうまい/ぎゅっとハムスター/魚粉(2)/みちる/ラッシー病/明転や/投票ボーナス(3)
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,11位,HS三遊間,グーチャカパーで♪グーチャカパーで♪,29,66.36,ねむひ(2)/射的屋/だんしゃり君(2)/899(2)/クルペッコの手羽元(2)/恥さらしのスパゲッティ(2)/ランドマーク33/ローキック(3)/Houston/はんなり(2)/きらら(2)/売るラマ/くじ運/ラッシー病/ぴーたん/繁華街/アンナ・カリィ/投票ボーナス(3)
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,11位,背の順,グーの人はトラウマになってください,29,66.36,ウラニワ/ねむひ(2)/知らない宇宙/螺旋貝柱/かめおか/ジョンムケ/ゐ。/骨密度/デジ加減/ナンの一部/スポーツバッグ/煮込みVUITTON(2)/しろねこ/きみをゆるさない。/sAwArA/売るラマ/左利きのジョーカー/鴨とサイコロ/凡才チンパンジー/にらお/繁華街/トリニダード木箱/アンナ・カリィ/ななし/投票ボーナス(3)
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,11位,螺旋貝柱,早く帰らないとウチのコレがコレなもんで,29,66.36,修羅ドウ(2)/射的屋/かめおか(2)/ジョンムケ/ランドマーク33/あんだー村(3)/猫屋敷/かな/ダニエル銅本(2)/ぺーるおれんじ/母の写真/ミズイチ/クイバタ運極のみ！！/ドクエリアス/丸太/すでショ(2)/凡才チンパンジー(2)/繁華街/ななし/投票ボーナス(3)
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,14位,知らない宇宙,これから僕にはデスゲームをしてもらいます,28,65.23,ねむひ/こんなところにエビチリ(3)/コインロッカーベイビーズ/かめおか/TwistNight/恥さらしのスパゲッティ/猫屋敷/Houston/かごの中の鳥/EPOCALC/ぎゅっとハムスター/ドクエリアス/きらら/丸太/売るラマ/ランゲルハンス糖/ありくい/凡才チンパンジー/にらお/Turbo/アンナ・カリィ/タカノリ・タカノ(2)/投票ボーナス(3)
0424_6059_IKW,2023-05-25,133人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0424_6059_IKW.jpeg,15位,二階から手続き,ではここで見せしめを1つ,26,62.98,ウラニワ/射的屋/コインロッカーベイビーズ/長谷川キモ彦/かめおか(2)/TwistNight/かめてゃ/骨密度/デジ加減/かざむら/じゃん/短歌/たろう/ダニエル銅本/EPOCALC/sAwArA/左利きのジョーカー/くじ運(2)/みちる/半丙太/ニューロン/投票ボーナス(3)
