お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0680_4131_MVU,2023-06-01,102人,田舎から上京してきたおばけ,NA,1位,ぬりかべ,「お盆に帰る」がややこしい,35,79.15,揚げたてメンチメン/やじうさん/ぺーるおれんじ/ネクストン(3)/しらす/のとさわ/メキシコ金属(3)/またか(3)/んっぽ/あかのすけ(2)/Matchart/マシーンたお/横恋慕の君/えすぷ/かぼちゃのばしゃ/ふたつめ(2)/放尿魔/ツーベア/敵刺/RUM(2)/ミニベロ/洋介山/ゆかりそめ大明神/投票ボーナス(3)
0680_4131_MVU,2023-06-01,102人,田舎から上京してきたおばけ,NA,2位,んっぽ,人に憑く前に人に疲れた,32,75.04,こんなところにエビチリ(3)/高見盛/三ル貝/フェルメール/T-FOX/しらす/背の順/マシーンたお/ヤンマー部隊隊長/キョン(3)/横恋慕の君(3)/ちょっぱー/こねぎ/ツーベア/みそ汁ばなな(2)/みくすし/りと°(2)/あわもち(2)/洋介山/をっきゃい/投票ボーナス(3)
0680_4131_MVU,2023-06-01,102人,田舎から上京してきたおばけ,NA,2位,フェルメール,イオンでの目撃情報が多い,32,75.04,高見盛/oreo(3)/住まなくても都/メキシコ金属/半そで/あかのすけ/ここはが/ヤンマー部隊隊長/みじまのジン/えすぷ/相見エル/かぼちゃのばしゃ/モチ/ちょっぱー/岡村世界観(3)/溜池山王(3)/ツーベア/RUM(2)/二階から手続き(2)/はわわ(2)/投票ボーナス(3)
0680_4131_MVU,2023-06-01,102人,田舎から上京してきたおばけ,NA,4位,T-FOX,私、メリーさん。いま乗り換えで困ってるの,30,72.31,こんなところにエビチリ(3)/高見盛/ベリー/アンガス・トムソン/やじうさん/鳥子(2)/お嬢様ですわぁ/あかのすけ/むにぴり/マシーンたお/福井とマルコ/goigois/こねぎ/あたたかい湯/辺野目えのん/ばりそば/バスボールケット/みそ汁ばなな/りと°(2)/あわもち(2)/てっぺんざしお/をっきゃい/投票ボーナス(3)
0680_4131_MVU,2023-06-01,102人,田舎から上京してきたおばけ,NA,4位,信号待ち,わたし、綺麗じゃなかったな,30,72.31,揚げたてメンチメン(3)/ベリー/もふめ(2)/ぺーるおれんじ(2)/お嬢様ですわぁ/ぶりぶり大根(3)/goigois(2)/ジム用品/放尿魔/二階から手続き/珍百景のクロ(3)/morisho/あると/カレーラ水/はわわ/てっぺんざしお(2)/jinseitsurao/投票ボーナス(3)
0680_4131_MVU,2023-06-01,102人,田舎から上京してきたおばけ,NA,4位,横恋慕の君,何年たっても地に足がつかない,30,72.31,探偵Ｏ/揚げたてメンチメン/鳥子(3)/半そで/むにぴり/ヤンマー部隊隊長/みじまのジン/キョン/かぼちゃのばしゃ/モチ/ちょっぱー/岡村世界観/辺野目えのん/所々ジョージ(2)/二階から手続き/ポッチャリ型/珍百景のクロ(2)/みくすし/りと°(2)/洋介山/土属性デッキ/浅間山から真っ逆さま/投票ボーナス(3)
0680_4131_MVU,2023-06-01,102人,田舎から上京してきたおばけ,NA,7位,ジム用品,魂抜けてるのに垢抜けてない,27,68.21,探偵Ｏ/鳥子(2)/T-FOX(2)/メキシコ金属/やや不安/あかのすけ/ぶりぶり大根/ヤンマー部隊隊長/寝る寝る寝る寝/岡村世界観/アテナイで飲酒/ふたつめ/きまきがみ(3)/ポッチャリ型/珍百景のクロ/みくすし/りと°(2)/洋介山/浅間山から真っ逆さま/投票ボーナス(3)
0680_4131_MVU,2023-06-01,102人,田舎から上京してきたおばけ,NA,7位,机上で実演,死ななきゃよかったな,27,68.21,こんなところにエビチリ(2)/高見盛/揚げたてメンチメン/ネクストン/まるまる(3)/キムさん(3)/ヤンマー部隊隊長/やもりみゆき(2)/信号待ち/かぼちゃのばしゃ/モチ/アテナイで飲酒/みそ汁ばなな/ミニベロ(2)/洋介山/ゐ。(2)/投票ボーナス(3)
0680_4131_MVU,2023-06-01,102人,田舎から上京してきたおばけ,NA,9位,ラータ,新宿駅から出られなくて地縛霊になった,26,66.84,ベリー/Dadada/やじうさん/ネクストン(3)/鳥子(3)/三遊亭たわし/やや不安/背の順/にじょー/キョン(3)/ぬりかべ/相見エル/ジム用品/あたたかい湯/みそ汁ばなな/ミニベロ/浅間山から真っ逆さま/投票ボーナス(3)
0680_4131_MVU,2023-06-01,102人,田舎から上京してきたおばけ,NA,10位,らぷんつぇるん,地縛霊がいる地価の高さに驚く,25,65.47,探偵Ｏ/揚げたてメンチメン/Dadada/アンガス・トムソン/ネクストン(3)/鳥子(2)/T-FOX/のとさわ/メキシコ金属/ryoga4680/ここはが/ヤンマー部隊隊長/みじまのジン/えすぷ/こねぎ/あたたかい湯/バスボールケット/洋介山/土属性デッキ/投票ボーナス(3)
