お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2160_2834_MCA,2023-06-03,89人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2160_2834_MCA.jpg,1位,度蔵まぐら,挟み撃ちしようって言ったじゃん,29,77.87,みくすし/干拓地(3)/さいとむ/sakamata2/ヤンマー部隊隊長/いぬまる/ホトココア/いくらん/Longab/おしゃる/カタン(2)/充(2)/あまちゃんIII/焼きアイスクリーム/hiha/なぐ/numa/イガイガの栗/さんべ商会(2)/クマ牧場/肉巻きどんぐり/投票ボーナス(3)
2160_2834_MCA,2023-06-03,89人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2160_2834_MCA.jpg,2位,街メロン,「右に同じ」「左に同じ」,27,74.64,さけのなかのいくら/売るラマ(3)/タコ坊主/リック/sakamata2/すでショ/いぬまる/Longab/ガッボデ/充/アキラ(2)/かぼちゃのばしゃ/マス田中/numa/イガイガの栗/蔭文(かげふみ)/Y-Not/肉巻きどんぐり/針/度蔵まぐら(2)/投票ボーナス(3)
2160_2834_MCA,2023-06-03,89人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2160_2834_MCA.jpg,3位,numa,思い出せる範囲でいいから,24,69.8,灰色こたつ/いぬまる/おしゃる/明石家かつお/アキラ/みみななめ/かぼちゃのばしゃ/マス田中/kamenoue/とほ/BBG/透人-とをるんちゅ-/デンジャラス/クリクリン/バスボールケット/珍百景のクロ/かくれどり/東京縦断12km(2)/煮込みVUITTON/街メロン/投票ボーナス(3)
2160_2834_MCA,2023-06-03,89人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2160_2834_MCA.jpg,4位,Y-Not,エンターキーは静かに押せ,23,68.18,みくすし/ガッボデ/まったん冷え性/あまちゃんIII/焼きアイスクリーム/みみななめ/なぐ/kamenoue/イガイガの栗/アイワ/とほ/のとさわ/バスボールケット/とことこ(2)/珍百景のクロ(2)/じす/ケルン/針/投票ボーナス(3)
2160_2834_MCA,2023-06-03,89人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2160_2834_MCA.jpg,4位,クリクリン,今の笑うとこだぞ,23,68.18,明転や/sayudot(2)/でたらめーかー(3)/りぐべる/おきよ/yuta4869/白黒まみれ/いぬまる/いくらん/おしゃる/まったん冷え性/焼きアイスクリーム/透人-とをるんちゅ-/gas/Y-Not/かくれどり/針/投票ボーナス(3)
2160_2834_MCA,2023-06-03,89人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2160_2834_MCA.jpg,4位,針,"いいか、これ以上の""る攻め""はナシだ",23,68.18,詫びシャイニング/さけのなかのいくら/でたらめーかー(3)/りぐべる/yuta4869/まったん冷え性/ノコノコdeath/なぐ/Haruru/蔭文(かげふみ)(2)/バスボールケット/gas/肉巻きどんぐり/しらす/度蔵まぐら(3)/投票ボーナス(3)
2160_2834_MCA,2023-06-03,89人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2160_2834_MCA.jpg,7位,明転や,そんな顔されたらこっちが悪いみたいじゃん,22,66.57,また師走が来たよ/sayudot(2)/クルペッコの手羽元(2)/ゆめみ/ガッボデ/明石家かつお/焼きアイスクリーム/かぼちゃのばしゃ/マス田中/numa/ゆいぴ/宮殿/透人-とをるんちゅ-/デンジャラス/煮込みVUITTON/ケルン/街メロン/投票ボーナス(3)
2160_2834_MCA,2023-06-03,89人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2160_2834_MCA.jpg,7位,灰色こたつ,じゃあお前が食べたんじゃん,22,66.57,また師走が来たよ/さけのなかのいくら/明転や/りぐべる/ゆめみ/白黒まみれ/おしゃる/カタン/充/プーアル茶/きみをゆるさない。/numa/セトピア/アイワ/gas/Y-Not/かくれどり/じす/街メロン/投票ボーナス(3)
2160_2834_MCA,2023-06-03,89人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2160_2834_MCA.jpg,9位,じす,友達って言うな,21,64.95,また師走が来たよ/タコ坊主/明転や/ホトココア/ガッボデ/おしゃる/カタン/焼きアイスクリーム/中沢の人/かぼちゃのばしゃ/Haruru(2)/kamenoue/BBG/のとさわ/かくれどり/石と日曜日/針/投票ボーナス(3)
2160_2834_MCA,2023-06-03,89人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2160_2834_MCA.jpg,9位,アキラ,ごめんなさいポイントカードありました,21,64.95,みくすし/さけのなかのいくら/タコ坊主/sayudot(2)/ゆめみ/yuta4869/すでショ/ガッボデ/おしゃる/まったん冷え性/焼きアイスクリーム/きみをゆるさない。/かぼちゃのばしゃ/セトピア/蔭文(かげふみ)/のとさわ/煮込みVUITTON/投票ボーナス(3)
