お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1695_8458_TGJ,2023-06-06,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1695_8458_TGJ.jpg,1位,人力舎,歌詞忘れた時にいつも助けてくれる,31,84.9,中沢の人/珍百景のクロ(2)/木屋町の蟹/金天街(3)/酢酸ペンギン　独白/いわな/ミズイチ/（宇宙）(2)/ぺーるおれんじ(2)/wanumayu(2)/ゆるるる(2)/女将/バニラソフト/カイセイ(2)/プーアル茶/及川広大/ルヒー/新Goo/突然及川/ゆきだるま/投票ボーナス(3)
1695_8458_TGJ,2023-06-06,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1695_8458_TGJ.jpg,2位,所々ジョージ,キャッ！下等生物！,27,78.33,肉巻きどんぐり(2)/つぶあん/平凡亭パンチ/月の瞼/GYAI/クマ牧場/透人-とをるんちゅ-/大山ひろのり/ゆるるる(2)/女将/バニラソフト/焼きすぎたカルビ/sakamata2/りぐべる(2)/ベンチとペンチ/二等辺なんだっけ(2)/惰ー眠/全王様/ゆらう/ミスティカティ/投票ボーナス(3)
1695_8458_TGJ,2023-06-06,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1695_8458_TGJ.jpg,3位,ナンの一部,旧姓で呼ばないで,24,73.41,木屋町の蟹/酢酸ペンギン　独白/ねくび/GYAI/秋/wanumayu(2)/バニラソフト/背の順/プライム(2)/錠剤ロンド(3)/惰ー眠(2)/ルヒー/ゆらう(2)/ミスティカティ/ゆきだるま/投票ボーナス(3)
1695_8458_TGJ,2023-06-06,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1695_8458_TGJ.jpg,4位,新Goo,刺されるとこ、ちゃんと見ててね,21,68.48,ヒデオ/平凡亭パンチ/（宇宙）(3)/秋/ナンの一部/二階から手続き/ゆるるる(2)/女将/でたらめーかー(3)/所々ジョージ(3)/暴風よ吹け/投票ボーナス(3)
1695_8458_TGJ,2023-06-06,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1695_8458_TGJ.jpg,5位,okiji9192,本体出てきた,19,65.19,カニうまい/中沢の人/珍百景のクロ/つぶあん/かきくけ/ぺーるおれんじ(2)/wanumayu/女将/新大/カイセイ/プーアル茶/プライム(2)/ルヒー/全王様/新Goo/ゆらう/突然及川
1695_8458_TGJ,2023-06-06,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1695_8458_TGJ.jpg,5位,（宇宙）,今までついてきた嘘だ！,19,65.19,リン林(2)/金天街(2)/平凡亭パンチ/人力舎/月の瞼/学歴不問/秋/きゃちゃん/バニラソフト/プライム(2)/錠剤ロンド/ゆきだるま/暴風よ吹け/投票ボーナス(3)
1695_8458_TGJ,2023-06-06,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1695_8458_TGJ.jpg,7位,ぺーるおれんじ,うちわ「仕留めて♡」,18,63.55,リン林(2)/平凡亭パンチ/いわな/学歴不問/のとさわ/大山ひろのり/女将/カイセイ/イルカドルフィン/sakamata2/ゆらう/突然及川/ヨコくま(2)/投票ボーナス(3)
1695_8458_TGJ,2023-06-06,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1695_8458_TGJ.jpg,7位,二階から手続き,コール間違えたね、発射,18,63.55,カニうまい/肉巻きどんぐり(2)/かな/R😶/人力舎/ねくび/学歴不問/透人-とをるんちゅ-/のとさわ/ナンの一部/イルカドルフィン/ミスティカティ(2)/ヨコくま/投票ボーナス(3)
1695_8458_TGJ,2023-06-06,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1695_8458_TGJ.jpg,7位,珍百景のクロ,来れなかったオタクの生霊だ,18,63.55,つぶあん/充/月の瞼/hiponychium/のとさわ/wanumayu/女将/えーす(2)/プーアル茶/惰ー眠/所々ジョージ/新Goo/突然及川/暴風よ吹け/投票ボーナス(3)
1695_8458_TGJ,2023-06-06,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1695_8458_TGJ.jpg,10位,カイセイ,何回間違えるの？ここはセンター、あなたは1番右,17,61.91,カニうまい(2)/珍百景のクロ/木屋町の蟹/つぶあん/酢酸ペンギン　独白/いわな/クマ牧場/ミズイチ/きゃちゃん(2)/イルカドルフィン/新Goo/突然及川/投票ボーナス(3)
