お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3095_9973_RZU,2023-06-24,110人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3095_9973_RZU.jpg,1位,カビブギウギ,最後に触った人が片付ける祭,34,80.34,オレは牛乳ミルクラテ/紗和和和/ノコノコdeath/くに/ピザ4回転(2)/野島久助/架空の島田/カニビーム/わんわんお/知らない宇宙/しゅみ(3)/尿道(2)/ジェンツーペンギン/コバヤシ!/んっぽ(3)/落雁(2)/夜食/ジョンムケ/ひきにく/ベリー(2)/怒涛/ザクロニシキ/副キャプテンアメリカ/投票ボーナス(3)
3095_9973_RZU,2023-06-24,110人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3095_9973_RZU.jpg,2位,近視性乱視,ちゃんと人数分ありますから,32,77.46,長谷川キモ彦/洋介山/紗和和和/白黒まみれ/ハゲイナズマ/半丙太(2)/やもりみゆき/ピザ4回転(2)/野島久助/パピーゲバ/尿道/MM/Longab/冷食パスタレビュー/京王おばさん(2)/下衆なキャット(2)/800/コバヤシ!/落雁/ひきにく/寿司ブルドーザー/怒涛/by/ザクロニシキ/パブロ風の犬/投票ボーナス(3)
3095_9973_RZU,2023-06-24,110人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3095_9973_RZU.jpg,3位,ジョンムケ,勝ったチームは来年出なくていい,30,74.58,偶出殴流/洋介山/紗和和和/白黒まみれ/パピヨン/盗塁/ぴぴ/サンプリ/しゅみ(3)/omiun/Longab/下衆なキャット/帰る亭中野周辺/落雁/近視性乱視/ひきにく/れあ/寿司ブルドーザー/ちゃ柴(2)/怒涛/ザクロニシキ/じす/ぜ。(2)/投票ボーナス(3)
3095_9973_RZU,2023-06-24,110人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3095_9973_RZU.jpg,3位,ダイジン,1点が遠いな,30,74.58,ルチード・ドルソニャ(2)/オレは牛乳ミルクラテ/白ジョーア/ハゲイナズマ/やもりみゆき/パピーゲバ/ぴぴ/omiun/冷食パスタレビュー/京王おばさん/ジェンツーペンギン/にいがた/夜食/近視性乱視/ここからがインターネット(2)/ジョンムケ/ひきにく/れあ/赤い髪/きみをゆるさない。/奇妙な男/バム/こころ飴/セーター(2)/投票ボーナス(3)
3095_9973_RZU,2023-06-24,110人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3095_9973_RZU.jpg,5位,架空の島田,バスケを発明しそうでしないを1000年続けてる,27,70.26,長谷川キモ彦/炭素(2)/檀家(3)/白ジョーア/ノコノコdeath/轢死(2)/突き刺す金貨のにおひ/MM/帰る亭中野周辺/落雁/taketio/げんき/奇妙な男/怒涛/ザクロニシキ(2)/じす/someイヨシノ(3)/投票ボーナス(3)
3095_9973_RZU,2023-06-24,110人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3095_9973_RZU.jpg,5位,逆さ傘傘,悪しき風習って言ったな,27,70.26,コーラ中将/紗和和和/ハゲイナズマ/ウラニワ/半丙太/やもりみゆき/架空の島田/ぴぴ/メメントモリ/轢死/とろ火/サンプリ/omiun/かごの中の鳥/京王おばさん/卯壺/とほ(2)/ジェンツーペンギン/んっぽ/ななし/ここからがインターネット/ひきにく/れあ/赤い髪/奇妙な男/バム
3095_9973_RZU,2023-06-24,110人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3095_9973_RZU.jpg,7位,メメントモリ,終わり方が分からない,25,67.38,ダイジン/檀家(2)/洋介山/はげダッ通/魚粉/ウラニワ/やもりみゆき/野島久助/盗塁/わんわんお/サンプリ/800/卯壺/にいがた/落雁/赤い髪/バム/someイヨシノ/こころ飴/パブロ風の犬/たくみす/投票ボーナス(3)
3095_9973_RZU,2023-06-24,110人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3095_9973_RZU.jpg,7位,偶出殴流,今法律の話すんなよ,25,67.38,アテナイで飲酒/檀家/白黒まみれ/魚粉/やもりみゆき/パピヨン/パピーゲバ/カニビーム/メメントモリ/くものす/売るラマ(3)/卯壺/アーマーナイトハブザガン/ななし/桜田モンタージュ/ここからがインターネット/バム/じす/someイヨシノ/こころ飴/投票ボーナス(3)
3095_9973_RZU,2023-06-24,110人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3095_9973_RZU.jpg,9位,someイヨシノ,フリースローが驚くほどフリーじゃない,24,65.94,ルチード・ドルソニャ(2)/ダイジン/オレは牛乳ミルクラテ(3)/洋介山/ハゲイナズマ/はげダッ通/jinsei/メメントモリ/轢死(2)/サンプリ/omiun/コバヤシ!/帰る亭中野周辺/アーマーナイトハブザガン/ひきにく/by/群像/投票ボーナス(3)
3095_9973_RZU,2023-06-24,110人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3095_9973_RZU.jpg,9位,洋介山,誰もルール分かってない,24,65.94,ダイジン/アテナイで飲酒/偶出殴流/ノコノコdeath/ウラニワ/ピザ4回転(2)/リトマス試験紙/盗塁/わんわんお/轢死/しゅみ(2)/突き刺す金貨のにおひ/MM/コバヤシ!(2)/バム/こころ飴/セーター/たくみす/投票ボーナス(3)
