お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,1位,犬ヒロシ,みんなー！出て来ていいよ,31,88.72,寺井/煮込みVUITTON/ドモグニ/ノラクラ(2)/お嬢様ですわぁ/京セラ(3)/緑峰/少しだけ賢い/ミスティカティ/白滝BOX/りくがめ/Y-Not/資本ネコ/生身/信号待ち/双葉柿浦六番線/れあ/DJBK/鈴本/近視性乱視/ウザいアイコン/カタン(2)/じろ/ももひき/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,2位,机上で実演,この寺が燃え終わったらね,25,77.83,yomei1989/お嬢様ですわぁ/きなこステップ/緑峰/犬ヒロシ/りくがめ/ジェンツーペンギン/Shineman(2)/Y-Not/テンドウマツリ/マスモトリンタロウ(3)/shun(2)/れあ/夭手/兔味来果(うさみらいか)(3)/ポテンツ/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,3位,夭手,その気持ちでやってほしいことがあるの,23,74.2,寺井/煮込みVUITTON/するめ大夫(2)/くすも/緑峰(2)/白滝BOX/りくがめ/hiha/生身/白ジョーア/shun/れあ/てっぺんざしお/kevin/ポテンツ/shu/TwistNight/赤い髪/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,4位,春屋○イ,断る恐竜、お断りザウルス,19,66.94,煮込みVUITTON/yomei1989/アナゴさん/ジェンツーペンギン(2)/Y-Not/イタリア人/生身(2)/白ジョーア/机上で実演/双葉柿浦六番線/a0nanisi0(3)/赤い髪/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,4位,煮込みVUITTON,君は主人公じゃないよ,19,66.94,お嬢様ですわぁ/くすも/唯月/緑峰/春屋○イ/江口 蒼🎧/ミスティカティ/資本ネコ/生身/白ジョーア/しらたき/双葉柿浦六番線/DJBK/鈴本/JaxanYury/カタン/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,6位,赤い髪,え、何？ごめん電波悪いかも,18,65.12,するめ大夫(2)/京セラ(2)/くすも/ノコノコdeath/テンドウマツリ/ポレモロ/イタリア人/生身/チャントシタベイビー(2)/DJBK/JaxanYury/バスボールケット/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,7位,shu,急に喋るんだ,17,63.31,寺井/煮込みVUITTON/ノラクラ/江口 蒼🎧/ジェンツーペンギン/Y-Not/机上で実演/イライラきらきらピカピカ/チャントシタベイビー/kevin/夭手(2)/ポテンツ/カタン/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,7位,くすも,うおお渋谷を火の海にする,17,63.31,かごの中の鳥/煮込みVUITTON/アナゴさん(3)/犬ヒロシ/白滝BOX(2)/ジェンツーペンギン(2)/机上で実演/マス田中/近視性乱視/赤い髪/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,9位,三皿,本当に言ってるワルか？,15,59.68,アナゴさん(2)/春屋○イ/江口 蒼🎧/Y-Not/shun(2)/信号待ち/てっぺんざしお/チャントシタベイビー/DJBK/マス田中/近視性乱視/じろ/ももひき
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,9位,大山ひろのり,आपका क्या मतलब है?,15,59.68,するめ大夫/江口 蒼🎧/白ジョーア/マスモトリンタロウ(2)/shun/チャントシタベイビー(3)/a0nanisi0/バスボールケット/近視性乱視/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,9位,寺井,これであと三人,15,59.68,くすも/りくがめ/hiha/資本ネコ/白ジョーア/机上で実演/イライラきらきらピカピカ/双葉柿浦六番線/マス田中/鈴本/ウザいアイコン/赤い髪/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,9位,緑峰,店員として答えるけど,15,59.68,寺井/煮込みVUITTON/春屋○イ/江口 蒼🎧/ミスティカティ/りくがめ/Shineman/しらたき/れあ/兔味来果(うさみらいか)/shu/TwistNight/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,13位,お嬢様ですわぁ,人みたいな声で鳴く虫ね,14,57.86,ノラクラ(2)/へなちょこ/江口 蒼🎧(2)/少しだけ賢い/りくがめ/生身/机上で実演/イライラきらきらピカピカ/ポテンツ/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,13位,へなちょこ,肩代わりしてくれる？,14,57.86,きなこステップ/春屋○イ/ノコノコdeath/犬ヒロシ/白滝BOX/hiha/ポレモロ/机上で実演/信号待ち/チャントシタベイビー/じろ/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,13位,カタン,目覚ましに使うね,14,57.86,かごの中の鳥/ノラクラ/緑峰/春屋○イ/ジェンツーペンギン/机上で実演/れあ/兔味来果(うさみらいか)(2)/ポテンツ/shu/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,13位,マス田中,私は犬にも手を上げる女,14,57.86,かごの中の鳥/緑峰/春屋○イ/Shineman/shun(2)/机上で実演/しらたき/kevin/shu/赤い髪/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,17位,生身,もっと巻き舌で言ってみてよ,13,56.05,煮込みVUITTON/yomei1989/くすも/少しだけ賢い/白ジョーア/双葉柿浦六番線/kevin/兔味来果(うさみらいか)/shu/赤い髪/投票ボーナス(3)
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,18位,otogi,本当のことを言おうか,12,54.23,寺井(2)/お嬢様ですわぁ/くすも/少しだけ賢い/ミスティカティ/hiha/大山ひろのり/資本ネコ/ポレモロ/kevin/バスボールケット
0979_8240_DZK,2023-06-25,75人,"男「付き合ってよ」
良い女「本当に言ってる？」
男「付き合ってよ」
悪すぎる女「〇〇」",NA,18位,じろ,生命保険って知ってる？,12,54.23,ドモグニ/きなこステップ/へなちょこ(2)/ノコノコdeath/信号待ち/てっぺんざしお/鮒侍/ももひき/投票ボーナス(3)
