お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1096_8936_RLD,2023-06-28,124人,福袋から出てきたらむなしくなってくるもの,NA,1位,倉田 をるけ,断ったはずのレシート,49,91.65,ちこる/ノビッタ/はがね/珍百景のクロ(2)/アリスしらべ/yomei1989/馬庵(3)/しゃふうさぎ/マイケルコース/椎田/さらえん/ぜ。(3)/かくれどり/パチモン(2)/てねんすい/きゅーきゅー/カビブギウギ/ふるえるわかめちゃん/恥さらしのスパゲッティ/アイワ/みずもと/ニナモリ/Y-Not/浅間山から真っ逆さま(2)/ゃまゃま/オレコマンダー/すぎまさき/ほのぼの乳首/業務用虚無(2)/大山ひろのり/納屋の鍵/お嬢様ですわぁ/マービィ/おぼろ豆乳/しらす/ずずエさん/ナルシマアンバイ/するめ/投票ボーナス(3)
1096_8936_RLD,2023-06-28,124人,福袋から出てきたらむなしくなってくるもの,NA,2位,かくれどり,ダブルリーチで終わったビンゴカード,48,90.45,シュヴァルツ/奇妙な男/自動車部員/ザクロニシキ/うしにょこ👉🐮👈/ダイヤモンド貞操観念/珍百景のクロ(2)/しゃふうさぎ/ぷっちょにあ/さらえん/899/続きを読む/てねんすい/道明寺あず姫/提灯ショパン/NemuLi(3)/ラジウス/みずもと/そろばん６級/ドガ/タマドラゴン/浅間山から真っ逆さま/ふわっと(2)/ゃまゃま/すぎまさき/盗塁/酒屑チャン/業務用虚無/悲雪/お嬢様ですわぁ/怪盗アールグレイ/マービィ(2)/長老_M/アナゴさん/倉田 をるけ(2)/ずずエさん/ナルシマアンバイ/ガッボデ/かきくけ/投票ボーナス(3)
1096_8936_RLD,2023-06-28,124人,福袋から出てきたらむなしくなってくるもの,NA,3位,シミズユキ,「2002」のメガネ,42,83.27,むらさき/ちこる/シュヴァルツ/はがね/ダイヤモンド貞操観念/yomei1989/しゃふうさぎ(2)/資本ネコ/山本社出版数学Ⅲ/修行修行/かくれどり/続きを読む/パチモン/道明寺あず姫/提灯ショパン/あぐら/カビブギウギ/watoson/そろばん６級/ニナモリ/ドガ/ほとけ(3)/生身/すぎまさき/業務用虚無(2)/かぼちゃのばしゃ(2)/納屋の鍵/悲雪/最後の在校生/マービィ/横恋慕の君/ガッボデ/綿白 雪/尻海(2)/ぴぴ(2)
1096_8936_RLD,2023-06-28,124人,福袋から出てきたらむなしくなってくるもの,NA,4位,ぜ。,住みます芸人,37,77.29,むらさき/シュヴァルツ(2)/はがね/快活プラチナ会員/珍百景のクロ/資本ネコ/山本社出版数学Ⅲ/せちゃん/メメントモリ/白滝BOX/そろばん６級/セトピア(2)/ドガ(3)/ほとけ(3)/大山ひろのり/納屋の鍵(2)/悲雪/たくめ(2)/怪盗アールグレイ/えーす(2)/アナゴさん(3)/ガッボデ/ぴぴ/投票ボーナス(3)
1096_8936_RLD,2023-06-28,124人,福袋から出てきたらむなしくなってくるもの,NA,5位,ふるえるわかめちゃん,今着てる服,29,67.71,こねぎ/シュヴァルツ(2)/自動車部員/ノビッタ/うしにょこ👉🐮👈(2)/珍百景のクロ/土編に花でゴミと読む/馬庵/シンマイ子/冷食パスタレビュー/イライラきらきらピカピカ/かくれどり(2)/続きを読む/きゅーきゅー/ラジウス/タマドラゴン/ゃまゃま/業務用虚無/かぼちゃのばしゃ/たくめ/横恋慕の君(2)/ぴぴ/投票ボーナス(3)
1096_8936_RLD,2023-06-28,124人,福袋から出てきたらむなしくなってくるもの,NA,6位,yomei1989,小さいヨギボー,28,66.51,シュヴァルツ/奇妙な男/ザクロニシキ/さんべ商会(2)/土編に花でゴミと読む/ぷっちょにあ(2)/せちゃん/uru_uru/アンバランスたけし/きゅーきゅー/NemuLi(3)/みずもと(2)/ニナモリ/生身(2)/ほのぼの乳首/悲雪/アナゴさん/横恋慕の君/ずずエさん/投票ボーナス(3)
1096_8936_RLD,2023-06-28,124人,福袋から出てきたらむなしくなってくるもの,NA,6位,尻海,暗い所で光る履歴書,28,66.51,こねぎ/ノビッタ/土編に花でゴミと読む/住まなくても都(2)/しゃふうさぎ/タカノリ・タカノ/資本ネコ/ぷっちょにあ/ぜ。/イライラきらきらピカピカ/アイワ/ニナモリ/セトピア/ダスチン・コフマン/ふわっと/すぎまさき/納屋の鍵(2)/お嬢様ですわぁ/怪盗アールグレイ/フィディア(2)/しらす/ナルシマアンバイ/投票ボーナス(3)
1096_8936_RLD,2023-06-28,124人,福袋から出てきたらむなしくなってくるもの,NA,8位,きゅーきゅー,よくわかる経済の本,27,65.31,むらさき/シュヴァルツ/ノビッタ/ザクロニシキ/アリスしらべ/しゃふうさぎ(2)/タカノリ・タカノ/ぜ。/冷食パスタレビュー/修行修行/かくれどり/道明寺あず姫/白滝BOX/あぐら/カステラ伯爵(2)/ダスチン・コフマン/生身/納屋の鍵(2)/横恋慕の君/倉田 をるけ(2)/投票ボーナス(3)
1096_8936_RLD,2023-06-28,124人,福袋から出てきたらむなしくなってくるもの,NA,9位,アイワ,ベッキーのベストアルバム,26,64.12,自動車部員/ノビッタ/充/ザクロニシキ/アリスしらべ/馬庵(2)/ねくび/椎田/uru_uru/ラジウス/みずもと/セトピア/カステラ伯爵/Y-Not/ゃまゃま/お嬢様ですわぁ/信号待ち/最後の在校生/怪盗アールグレイ/えーす/ナルシマアンバイ/ガッボデ/投票ボーナス(3)
1096_8936_RLD,2023-06-28,124人,福袋から出てきたらむなしくなってくるもの,NA,9位,ザクロニシキ,黄緑のボールペン,26,64.12,奇妙な男/自動車部員/充/住まなくても都/タカノリ・タカノ/シンマイ子/ぜ。(2)/修行修行/メメントモリ/uru_uru/あぐら/ラジウス/watoson/タマドラゴン/浅間山から真っ逆さま/オレコマンダー/ぼんやり/納屋の鍵/最後の在校生/マービィ/尻海/ぴぴ/投票ボーナス(3)
1096_8936_RLD,2023-06-28,124人,福袋から出てきたらむなしくなってくるもの,NA,11位,しゃふうさぎ,乾燥剤,25,62.92,珍百景のクロ/土編に花でゴミと読む/アリスしらべ(2)/馬庵/タカノリ・タカノ/椎田/899/提灯ショパン/恥さらしのスパゲッティ/アイワ/そろばん６級/カステラ伯爵/ダスチン・コフマン/業務用虚無(3)/お嬢様ですわぁ/怪盗アールグレイ(2)/かきくけ/するめ/投票ボーナス(3)
1096_8936_RLD,2023-06-28,124人,福袋から出てきたらむなしくなってくるもの,NA,12位,RIKI,ハンドスピナー,24,61.72,こねぎ/人生/さんべ商会(3)/yomei1989/しゃふうさぎ/ディレードスチール/冷食パスタレビュー/899/uru_uru/続きを読む/watoson/カステラ伯爵/生身/すぎまさき/業務用虚無/最後の在校生/長老_M/たるなーだ(2)/ずずエさん/ぴぴ/ところ天のすけ
