お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3233_5069_WZF,2023-07-04,121人,「高価な墓石を建てるより、◯◯◯◯」,NA,1位,さくらんぼソフト,楽しいこと、お姉さんが教えたげる,36,77.66,だめぽ/月の瞼/白いインク/さんべ商会(2)/GYAI/白黒まみれ/ゃまゃま/売るラマ/さまんさまんさ/ゆんける/ふゆ/みやまる/及川広大/業務用虚無/ぷっちょにあ/ダニエル銅本/そろばん６級/悲しげな女が踊る/男も育休/ピュレグミ/桃山ももたろう(2)/終電卍(2)/いくらん/射的屋/ハッスル運動会/政信/T-FOX(2)/ちんほ。/旅人/投票ボーナス(3)
3233_5069_WZF,2023-07-04,121人,「高価な墓石を建てるより、◯◯◯◯」,NA,1位,五言舌禍,謝るでいいよ遅刻とかは,36,77.66,月の瞼/りくがめ(2)/きれいな市役所(2)/大山ひろのり/四捨五入/ゃまゃま/めんつゆ飲み放題/池を消す(2)/あわもち/江口 蒼🎧/れあ/ランゲル・ハンス(2)/ゆず茶/綺麗な芝生(2)/業務用虚無/冷食パスタレビュー/カレーラ水/白滝BOX(2)/座頭位置/かくれどり/gas/顔面激戦区/煮干し検定/ちんほ。/クマ牧場(2)/怒涛/投票ボーナス(3)
3233_5069_WZF,2023-07-04,121人,「高価な墓石を建てるより、◯◯◯◯」,NA,3位,アリスしらべ,先に救急車呼んで,34,75.0,月の瞼/さんべ商会(3)/GYAI/四捨五入/むふう/さまんさまんさ/ねこのきむち/鈴本/えーす/さくらんぼソフト/フイ/池を消す(2)/DJBK(2)/てねんすい/みやまる/れあ/ランゲル・ハンス/業務用虚無(2)/ぷっちょにあ/いさぽろん(2)/goigois(2)/ピュレグミ(2)/クマ牧場/投票ボーナス(3)
3233_5069_WZF,2023-07-04,121人,「高価な墓石を建てるより、◯◯◯◯」,NA,4位,むふう,いっぱい入る方が大事,32,72.35,月の瞼/白いインク/さんべ商会/GYAI/白黒まみれ/お刺身天国/ノコノコdeath/さまんさまんさ/まさお(2)/秋月杏子/DJBK/赤黄色/てねんすい/のす/ランゲル・ハンス/綺麗な芝生(2)/カレーラ水/ぷっちょにあ(2)/ダニエル銅本/白滝BOX/ふもー/白ジョーア/ちんほ。/クマ牧場/たこ焼きボンバー/怒涛/投票ボーナス(3)
3233_5069_WZF,2023-07-04,121人,「高価な墓石を建てるより、◯◯◯◯」,NA,5位,充,そこの麦茶取って欲しい,31,71.03,月の瞼/ちゃ柴(2)/GYAI/四捨五入(2)/鈴本/ゆんける/めんつゆ飲み放題/イライラきらきらピカピカ(3)/和栗モンブランソフト山田/DJBK/やじうさん/ランゲル・ハンス/業務用虚無/冷食パスタレビュー/ダニエル銅本/悲しげな女が踊る/gas/後悔しない名前を付けよう/ふもー/煮干し検定/コウ門科/T-FOX/旅人/たこ焼きボンバー/投票ボーナス(3)
3233_5069_WZF,2023-07-04,121人,「高価な墓石を建てるより、◯◯◯◯」,NA,6位,のす,入口近い方がいい,30,69.7,だめぽ(3)/月の瞼/わんわんお/GYAI/四捨五入/さまんさまんさ/えーす/古い絵画/めんつゆ飲み放題(2)/まさお(2)/ラスター/れあ/ダニエル銅本/いさぽろん/白滝BOX/座頭位置/かくれどり/gas/ふもー/ハッスル運動会/顔面激戦区/シンマイ子/T-FOX/投票ボーナス(3)
3233_5069_WZF,2023-07-04,121人,「高価な墓石を建てるより、◯◯◯◯」,NA,6位,旅人,戒名でウケようとしないほうがいい,30,69.7,月の瞼/ふわっと/さまんさまんさ/ねこのきむち/鈴本/めんつゆ飲み放題(2)/あわもち/イライラきらきらピカピカ/ナルシマアンバイ/ラスター/ゆず茶/五言舌禍/そろばん６級/いさぽろん/goigois/gas/人民元(3)/射的屋/ハッスル運動会/白ジョーア/短歌/こねぎ/コウ門科/T-FOX/投票ボーナス(3)
3233_5069_WZF,2023-07-04,121人,「高価な墓石を建てるより、◯◯◯◯」,NA,8位,きれいな市役所,早く次スレ建てろ,29,68.37,唯月/えーす/さくらんぼソフト/古い絵画/めんつゆ飲み放題/フイ/あわもち/DJBK/アラウネ/ラスター(2)/みやまる/くに/ぺーるおれんじ/業務用虚無(2)/冷食パスタレビュー/いさぽろん/悲しげな女が踊る/後悔しない名前を付けよう/射的屋/ハッスル運動会/シンマイ子/コウ門科/クマ牧場/たこ焼きボンバー/投票ボーナス(3)
3233_5069_WZF,2023-07-04,121人,「高価な墓石を建てるより、◯◯◯◯」,NA,8位,イライラきらきらピカピカ,盛れてる遺影,29,68.37,だめぽ(2)/白いインク/さんべ商会/jinsei/四捨五入/むふう/ゃまゃま/ゆんける/ぴーたん/和栗モンブランソフト山田/のす/綺麗な芝生(2)/しゅうしゅう/いさぽろん/goigois(2)/人民元(3)/シンマイ子/こねぎ/コウ門科/T-FOX/たこ焼きボンバー/投票ボーナス(3)
3233_5069_WZF,2023-07-04,121人,「高価な墓石を建てるより、◯◯◯◯」,NA,10位,鈴本,もうちょっと人の話聞いた方がいいよ,28,67.05,月の瞼/白いインク/GYAI/四捨五入/江野/ノコノコdeath/フイ/あわもち/ふゆ/イライラきらきらピカピカ(2)/くに(2)/ランゲル・ハンス/業務用虚無(2)/アラカビ/はげダッ通/gas/男も育休/ピュレグミ/終電卍(2)/顔面激戦区/シンマイ子/投票ボーナス(3)
