お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0813_7075_CTL,2023-07-09,136人,サーフィンばばあにありがちな事,NA,1位,DJBK,「婆」の由来になった,71,106.66,きらら(2)/寿司ブルドーザー/こころ飴/Boo-Boo(2)/お雑煮ボーリング(2)/ぴーたん/ミスティカティ(2)/さらえん/轢死(3)/当たり梅/とほ/ごま塩/架空の島田/近視性乱視/Haruru(3)/土産(2)/しらたま(3)/ふるえるわかめちゃん/珍百景のクロ/ゑゆ子(3)/たいら/ぬりかべ/ありさん/アンビバレンス/理科インターネット/Y-Not/にじょー(2)/ふもー/ばしろうまる/正岡式(3)/eipen/自動車部員(2)/puranarixa(2)/流(3)/つゆだQ/鉄シャリ/古い絵画/あがぺい/ねこねずみ/ハッスル運動会(2)/無糖好き/goigois/まったん冷え性/ヤバいマイケル屋さん/rayleigh/スポーツバッグ(2)/投票ボーナス(3)
0813_7075_CTL,2023-07-09,136人,サーフィンばばあにありがちな事,NA,2位,ありさん,波が優先的に乗せてくれる,49,84.03,福井とマルコ/寿司ブルドーザー/アーマーナイトハブザガン(2)/こころ飴(2)/カレーラ水/ぴーたん/さらえん(2)/轢死(2)/当たり梅/おきよ/とほ/Haruru(2)/ミチガン(3)/ここはが/珍百景のクロ/ゑゆ子/ダイコンダンク(2)/アンビバレンス/ニア・ディゾン/ミッツ乾電池/ふもー/むらさき/ちくわうし/シュヴァルツ/ばしろうまる/正岡式(2)/自動車部員/ﾊｽ/つゆだQ(2)/あがぺい/まきびし/げんなり/ヤバいマイケル屋さん/rayleigh/そそりちゃん/紗和和和/投票ボーナス(3)
0813_7075_CTL,2023-07-09,136人,サーフィンばばあにありがちな事,NA,3位,井上ヘノシタ,当然サーヒンて言ってる,43,77.85,ラジウス(2)/福井とマルコ/寿司ブルドーザー/アーマーナイトハブザガン/カレーラ水/雑兵/えーす/さらえん/轢死/こんなところにエビチリ(2)/プーアル茶/ごま塩/Haruru/白滝BOX(3)/土産/ミチガン/ただならぬ綿棒(2)/ふるえるわかめちゃん/いーな/にじょー/ニア・ディゾン/むらさき/コルゲナ/eipen/自動車部員/💃/鉄シャリ/あらあら帝国/あの日のニンニ/ハッスル運動会/goigois/修行修行/まったん冷え性/バム/ヤバいマイケル屋さん/投票ボーナス(3)
0813_7075_CTL,2023-07-09,136人,サーフィンばばあにありがちな事,NA,4位,架空の島田,おばあちゃんその波はさっき乗ったでしょ,41,75.8,きらら/アーマーナイトハブザガン/全王様/長老_M/黒胡椒/fukuinneet/さらえん/ryukin(3)/田口さん🍙/井上ヘノシタ(2)/轢死(3)/おきよ/とほ/ただならぬ綿棒(2)/納屋の鍵/人民元(3)/いーな/信号待ち/むらさき/コルゲナ/ばしろうまる/正岡式/💃/ねこねずみ/無糖好き/goigois(2)/ヤバいマイケル屋さん/そそりちゃん/紗和和和/投票ボーナス(3)
0813_7075_CTL,2023-07-09,136人,サーフィンばばあにありがちな事,NA,5位,ごま塩,ちべたいって言う,40,74.77,ラジウス/雑兵/えーす/黒胡椒/エレメノピー(2)/さらえん/また師走が来たよ(2)/当たり梅/麺青め/899(2)/Haruru/弐四八/揚げたてメンチメン/ここはが/珍百景のクロ/ありさん/アンビバレンス/アラカビ/ミッツ乾電池/むらさき(2)/コルゲナ/シュヴァルツ/住まなくても都/みくすし/あらあら帝国(2)/うりうりウリマンジャロ(2)/goigois/修行修行/まったん冷え性/そそりちゃん/紗和和和/投票ボーナス(3)
0813_7075_CTL,2023-07-09,136人,サーフィンばばあにありがちな事,NA,6位,ふわっと,三途の川で集大成を見せる,35,69.62,寿司ブルドーザー/アーマーナイトハブザガン/雑兵/長老_M/えーす/エレメノピー(3)/fukuinneet(3)/さらえん/プーアル茶/おきよ/ごま塩/揚げたてメンチメン/土産/納屋の鍵(2)/ありさん/アンビバレンス/むらさき/ちくわうし/コルゲナ/シュヴァルツ/ゴーダチーズ(3)/正岡式/あがぺい/ねこねずみ/げんなり/まったん冷え性/そそりちゃん/スポーツバッグ
0813_7075_CTL,2023-07-09,136人,サーフィンばばあにありがちな事,NA,7位,うりうりウリマンジャロ,サーフィンではなくサーフインと言う,34,68.6,こころ飴/えーす/ふさふさマカオ/さらえん/田口さん🍙/麺青め/へなちょこ/土産/しらたま(3)/ただならぬ綿棒(3)/DJBK/ふるえるわかめちゃん/珍百景のクロ/いーな/ありさん/Y-Not/にじょー/セーター/ニア・ディゾン/三ル貝/puranarixa(2)/💃/つゆだQ/goigois/まきびし/まったん冷え性/投票ボーナス(3)
0813_7075_CTL,2023-07-09,136人,サーフィンばばあにありがちな事,NA,7位,つゆだQ,波を見るたびに「大きくなったね」と言っている,34,68.6,寿司ブルドーザー/アーマーナイトハブザガン/こころ飴/全王様/カレーラ水/長老_M/さらえん/当たり梅/架空の島田/珍百景のクロ/ダイコンダンク/たいら/アンビバレンス/Y-Not/morisho/アラカビ/ちくわうし/くものす/ばしろうまる/あがぺい/あの日のニンニ/ハッスル運動会/goigois(2)/まきびし/げんなり/まったん冷え性/バム/taketio(2)/スポーツバッグ/投票ボーナス(3)
0813_7075_CTL,2023-07-09,136人,サーフィンばばあにありがちな事,NA,7位,寿司ブルドーザー,かけ湯してから海に入る,34,68.6,アーマーナイトハブザガン/こころ飴/Boo-Boo/カレーラ水/長老_M/ぴーたん/黒胡椒/さらえん/田口さん🍙/おきよ/学歴不問/ふるえるわかめちゃん/納屋の鍵/人民元(2)/たいら/いーな/ぬりかべ/ありさん/理科インターネット/信号待ち/ミッツ乾電池/ちくわうし/ゴーダチーズ(2)/ﾊｽ/💃/修行修行/まったん冷え性/taketio(2)/投票ボーナス(3)
0813_7075_CTL,2023-07-09,136人,サーフィンばばあにありがちな事,NA,10位,雑兵,柔らかくなった煎餅をくれる,32,66.54,じす/こころ飴/カレーラ水/また師走が来たよ(2)/こんなところにエビチリ(2)/麺青め/リック/Haruru/DJBK/ふるえるわかめちゃん/珍百景のクロ/いーな/ぬりかべ/信号待ち/Y-Not/アラカビ/くものす/シュヴァルツ/正岡式/ずずエさん/住まなくても都(2)/鉄シャリ/古い絵画/みくすし/ヤバいマイケル屋さん/rayleigh/投票ボーナス(3)
