お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1069_8561_DCX,2023-07-10,185人,「この街、治安が悪いな」なぜそう思った？,NA,1位,りくがめ,公衆電話のダイヤルが1と0だけ擦り減ってる,78,86.07,みんなでロックマン/射的屋/螺旋貝柱/ＣＭＣ(2)/〜トリコ、完結〜/ちゃ柴(2)/まこりん/ミスティカティ/生ハム子/ほろほろ/ピンチヒット(3)/高等遊牧民(3)/ハッスル運動会(2)/菊之助/だんしゃり君/水戸/やや不安/ヤバいマイケル屋さん/rayleigh/わんこそば/ティッシュミルク/正岡式(3)/三度の飯より間食/溢れ出る肉汁(2)/鵠/まっさん(3)/げんき/nada/アルコールヒーロー(3)/Heaven/ぱこん/やじうさん/苔むす/みすちーZ/物数/jinseitsurao/奇妙な男/カステラ伯爵(2)/たいら/悲雪/理科インターネット/屋内用雨傘/ダイニッポン(3)/ららら(2)/ザクロニシキ/教えて欲しいテクノロジー(2)/ペン/ところ天のすけ/こんなところにエビチリ(3)/春雨/名・芸名(2)/あんていく(2)/投票ボーナス(3)
1069_8561_DCX,2023-07-10,185人,「この街、治安が悪いな」なぜそう思った？,NA,2位,珍百景のクロ,カーナビが小声になった,77,85.38,瞳孔/射的屋/いくらん/螺旋貝柱/ちゃ柴(2)/さんれん/乳首がキスしちゃったね/綿白 雪/四捨五入/高等遊牧民/だんしゃり君/ゃまゃま/ヤバいマイケル屋さん/江口 蒼🎧/rayleigh/落雁/げんき/nada/Popopo/架空の島田/生身/三遊亭たわし(2)/愛²/かわいい床/ウラニワ(2)/近視性乱視/れあ/モチ/ぼんやり(2)/物数/ともすれば(2)/鬼の目突き/パピーゲバ/jinseitsurao/おっじさん/奇妙な男/Isamu/カステラ伯爵/きみをゆるさない。/レイルレイル(2)/ここはが/りくがめ/レモンパイ(3)/理科インターネット/屋内用雨傘/スクハムハーフ/紗和和和/きお(3)/コウ門科(3)/夏休み魚/新人しじみ/こんなところにエビチリ(3)/Tinderなら当たり/骨密度(2)/あんていく/かめおか(2)/Longab(2)/投票ボーナス(3)
1069_8561_DCX,2023-07-10,185人,「この街、治安が悪いな」なぜそう思った？,NA,3位,ラスター,「走り抜けろ」の看板がある,70,80.59,瞳孔/夜食/螺旋貝柱/ＣＭＣ(2)/生ハム子/高等遊牧民(2)/菊之助/えのきときのこ/水戸/はさまり(2)/ヤバいマイケル屋さん/珍百景のクロ/rayleigh/インドスカイ/ティッシュミルク(2)/きれいな市役所/ふもー/寿司ブルドーザー/オレは牛乳ミルクラテ/優しいダンプカー/長老_M/げんき/Popopo/戸田ニッパー/PD/生身/愛²/かわいい床/あまちゃんIII/ちくわうし/モチ/パピーゲバ/jinseitsurao/シンマイ子/生薬/まったん冷え性/レイルレイル/たいら/りくがめ/いーな/よれよれ/理科インターネット/屋内用雨傘/紗和和和/ダイニッポン(2)/高だの高代(2)/ザクロニシキ/きゅーきゅー/ところ天のすけ/こんなところにエビチリ(3)/オーバーニート(2)/いち/Sierra/骨密度/名・芸名/タカノリ・タカノ/かめおか/Longab/投票ボーナス(3)
1069_8561_DCX,2023-07-10,185人,「この街、治安が悪いな」なぜそう思った？,NA,4位,スクハムハーフ,救急車が道を譲った,69,79.91,瞳孔/射的屋/まこりん/四捨五入/ミスティカティ(2)/生ハム子/ほろほろ/高等遊牧民(3)/自動車部員/ランゲル・ハンス/はさまり(2)/珍百景のクロ/rayleigh/手の具(3)/落雁/ファイヤーボーイ侍(2)/オレは牛乳ミルクラテ(2)/優しいダンプカー/アルコールヒーロー/Heaven/ヒカル/架空の島田/イワザル/苔むす/カナリカリガ・タカ/えのののき/かわいい床(2)/ウラニワ/後厄/ぼんやり/ガセの子/白黒まみれ/日本国憲法/パピーゲバ/泡山田/奇妙な男/シンマイ子/ポジハメ/マルイは二進法で5/ここはが/たいら(2)/よれよれ/理科インターネット/屋内用雨傘/紗和和和/みなも/ザクロニシキ/きお(2)/ぽにょ/きゅーきゅー/800/ラニーニャ(3)/骨密度/投票ボーナス(3)
1069_8561_DCX,2023-07-10,185人,「この街、治安が悪いな」なぜそう思った？,NA,4位,ランゲル・ハンス,銃声したのに喋り続けてる,69,79.91,夜食/ＣＭＣ(2)/〜トリコ、完結〜/ちゃ柴/まこりん/四捨五入/高等遊牧民/ゃまゃま/あい/珍百景のクロ(2)/インドスカイ/ティッシュミルク(2)/ブロード/まっさん/オレは牛乳ミルクラテ/長老_M/うわぁ/nada/アルコールヒーロー/Popopo/Heaven/架空の島田/にゃんこロボ(3)/ぱこん/イワザル/愛²/ウラニワ/近視性乱視/物数(2)/みやまる/万物/パピーゲバ/泡山田/ノコノコdeath/jinseitsurao/おひるねラッコ/生薬/まったん冷え性/Isamu/クルペッコの手羽元/レイルレイル(2)/たいら/いーな/まきびし/理科インターネット/紗和和和/ダイニッポン(2)/高だの高代/きお/きゅーきゅー/ペン/オーバーニート(2)/Sierra/骨密度(2)/Longab/憶霜論/投票ボーナス(3)
1069_8561_DCX,2023-07-10,185人,「この街、治安が悪いな」なぜそう思った？,NA,6位,生薬,ハトが辛そうな顔してる,66,77.85,みんなでロックマン/射的屋/夜食(2)/螺旋貝柱/〜トリコ、完結〜/ニューロン/綿白 雪(2)/ピンチヒット(3)/くま骸(2)/こんぺいとう雑誌/高等遊牧民(2)/げんなり/はさまり/インドスカイ/三度の飯より間食/ファイヤーボーイ侍/ふもー/オレは牛乳ミルクラテ/げんき/アルコールヒーロー/Popopo/自惚れヌーヴォー(2)/生身/ニック/苔むす/細(3)/かわいい床(2)/れあ/売るラマ/鬼の目突き(3)/日本国憲法/おひるねラッコ/奇妙な男/まったん冷え性/カステラ伯爵/きみをゆるさない。/いーな/レモンパイ(2)/まきびし/スクハムハーフ/きお(2)/教えて欲しいテクノロジー/夏休み魚(2)/ペン/ところ天のすけ/オーバーニート/Tinderなら当たり/Sierra/投票ボーナス(3)
1069_8561_DCX,2023-07-10,185人,「この街、治安が悪いな」なぜそう思った？,NA,7位,ダイニッポン,10円を12円で売っている,65,77.17,みんなでロックマン/射的屋(2)/螺旋貝柱/ちゃ柴(2)/そろばん６級/まこりん/鐙骨/高等遊牧民(2)/自動車部員/ゃまゃま/はさまり/インドスカイ/溢れ出る肉汁/金錆び/鵠/寿司ブルドーザー/げんき/プーアル茶/アルコールヒーロー/Popopo/戸田ニッパー/苔むす/みすちーZ/愛²/近視性乱視/売るラマ/みやまる/ともすれば(3)/ガセの子/ラスター(2)/万物/jinseitsurao/シンマイ子/ポジハメ/生薬/まったん冷え性/味噌マニア(3)/クルペッコの手羽元/たいら/りくがめ/まきびし/よれよれ/理科インターネット/屋内用雨傘/jinsei/コウ門科/教えて欲しいテクノロジー(2)/ラニーニャ/Tinderなら当たり/Sierra/名・芸名(2)/Longab/投票ボーナス(3)
1069_8561_DCX,2023-07-10,185人,「この街、治安が悪いな」なぜそう思った？,NA,8位,こんぺいとう雑誌,明るいとこで犯罪してる,64,76.48,射的屋/さんれん/ピンチヒット(3)/くま骸/高等遊牧民(2)/自動車部員/水戸/やや不安/ヤバいマイケル屋さん/あい/ティッシュミルク/手の具(3)/三度の飯より間食/きれいな市役所/金錆び(2)/鵠/寿司ブルドーザー/オレは牛乳ミルクラテ(2)/ヒカル/自惚れヌーヴォー/にゃんこロボ(3)/三遊亭たわし/カビブギウギ/あまちゃんIII/近視性乱視/ちくわうし/れあ/売るラマ/ぼんやり/ガセの子/鬼の目突き/ポジハメ/生薬/まったん冷え性/たいら/いーな/悲雪(2)/屋内用雨傘/紗和和和/ダイニッポン(2)/高だの高代/きお/ペン/こんなところにエビチリ(2)/いち/Tinderなら当たり/Sierra/春雨/骨密度/投票ボーナス(3)
1069_8561_DCX,2023-07-10,185人,「この街、治安が悪いな」なぜそう思った？,NA,9位,はさまり,ダーツが当たってやり直しになった,58,72.38,ちゃ柴/そろばん６級/まこりん/ニューロン/四捨五入/高等遊牧民(3)/ハッスル運動会/げんなり/やや不安(2)/かごの中の鳥/珍百景のクロ/わんこそば/紺色/溢れ出る肉汁/オレは牛乳ミルクラテ/優しいダンプカー/長老_M/アンチョビ(3)/男爵いも/nada(2)/Heaven(2)/あまちゃんIII/ウラニワ/物数(2)/ガセの子/鬼の目突き/万物/jinseitsurao(2)/おっじさん/奇妙な男/まったん冷え性/マルイは二進法で5/犬ヒロシ/りくがめ/悲雪/屋内用雨傘/紗和和和/きお/ぽにょ/ペン/こんなところにエビチリ(3)/800/Sierra/Longab/投票ボーナス(3)
1069_8561_DCX,2023-07-10,185人,「この街、治安が悪いな」なぜそう思った？,NA,10位,ちくわうし,標語が575を完全に無視してる,57,71.69,瞳孔/みんなでロックマン/射的屋/さんれん/ほろほろ/ゃまゃま/江口 蒼🎧/落雁(2)/控えめなピース/きれいな市役所/ふもー/げんき/男爵いも/アルコールヒーロー(2)/ほぼ赤ちゃん/自惚れヌーヴォー(3)/にゃんこロボ(3)/三遊亭たわし(3)/愛²/あまちゃんIII/近視性乱視/ガセの子/白黒まみれ/ラスター/鬼の目突き/日本国憲法/jinseitsurao/奇妙な男(2)/Isamu/カステラ伯爵/きみをゆるさない。/犬ヒロシ/たいら/よれよれ/理科インターネット/屋内用雨傘/やさしい矛先/723/ザクロニシキ/ぽにょ/きゅーきゅー/オーバーニート(2)/春雨/Longab/投票ボーナス(3)
1069_8561_DCX,2023-07-10,185人,「この街、治安が悪いな」なぜそう思った？,NA,11位,空色クレパス,桃鉄で黒いマス,54,69.64,カンガルーノート/ちゃ柴(2)/綿白 雪(2)/高等遊牧民/たらすぱ(3)/だんしゃり君(2)/水戸/ブロード(2)/手の具(3)/落雁(2)/溢れ出る肉汁/きれいな市役所/金錆び(3)/オレは牛乳ミルクラテ/鈴本/やじうさん/愛²/みやまる/ガセの子/白黒まみれ/ぐるぐる(3)/奇妙な男/マルイは二進法で5/Isamu/カステラ伯爵/犬ヒロシ/りくがめ/よれよれ/屋内用雨傘/みなも(3)/夏休み魚(2)/新人しじみ/いち/Tinderなら当たり/名・芸名/投票ボーナス(3)
