お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,1位,EPOCALC,山は返事を返したぞ〜,34,84.06,ポッと出のプリマ/アンサイン/月の瞼/押韻亭雅楽太(2)/ペン/えーす/肘から5分/ルーキーさん(3)/ミニベロ/机上で実演/ばーと/ともき/えちえち/背水の陣(3)/DJBK/露骨/ももたろ社長/自動車部員/はんドレ/きみをゆるさない。/カワサキ(2)/直ちに下校する/りと°/井上ヘノシタ(2)/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,2位,各A,お前が作った台風だからな,32,81.0,フイ/ブラパン/fukuinneet/パブロ風の犬/肘から5分/牛頭馬頭/ハートダナゼイル/売るラマ/ミニベロ/机上で実演/シンマイ子/餅屋/やや不安(2)/ミズイチ/みやまる(2)/ともき/えちえち(2)/そいそーす/スイートランド/ももたろ社長/れいり໒꒱. ﾟ/自動車部員/ティッシュミルク(2)/珍百景のクロ/たくみす/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,3位,みやまる,また散骨するねー,28,74.87,ポジ/ポッと出のプリマ/フイ/月の瞼/押韻亭雅楽太/ペン/えーす/牛頭馬頭(3)/EPOCALC/奇妙な男/おにこ(3)/新Goo/少しだけ賢い/7コイン/仁義/はんドレ/9月が終わったら起こして/なゆちゃんパパ/突然及川/げんき/りと°/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,4位,そいそーす,脱毛をしたい20代の男性に朗報です！！！！！,24,68.74,下衆なキャット/アンサイン(3)/パブロ風の犬/牛頭馬頭/EPOCALC/ルーキーさん(2)/アーマーナイトハブザガン(2)/餅屋/ねこめんたい(2)/背水の陣(3)/ももたろ社長/エレメノピー/突然及川/げんき/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,4位,アリゾナおてんば娘,水族館の生みの親ー！,24,68.74,ペン/肘から5分(3)/するめ/baseball /ばーと/餅屋(2)/奇妙な男/DJBK/7コイン(2)/自動車部員/珍百景のクロ/吉高(3)/きみをゆるさない。/突然及川/りと°/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,6位,倹飩箱,湖にパクられてるぞ,23,67.21,fukuinneet/月の瞼/どらごんちゅ(3)/肘から5分/売るラマ/baseball /アーマーナイトハブザガン(2)/机上で実演/シンマイ子/餅屋/奇妙な男/充/ももたろ社長/吉高(3)/突然及川/たゆたう風/げんき/直ちに下校する
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,7位,アンサイン,陸に登りたいよーって魚いますか,22,65.68,下衆なキャット/ペン/各A/牛頭馬頭(2)/クマ牧場/ミニベロ/ばーと/ねこめんたい/背水の陣(3)/DJBK/7コイン/ダスチン・コフマン/仁義/木星/ザワⅡ/暴風よ吹け/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,7位,ティッシュミルク,飲めたらもっと嬉しかった,22,65.68,D-6/二階から手続き/ブラパン/するめ/売るラマ/机上で実演/やや不安/奇妙な男/ともき/スイートランド/7コイン/たくみす(2)/木星(2)/なゆちゃんパパ/カワサキ/げんき/ディップマン/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,7位,均一な家庭,静かにしろ,22,65.68,D-6/月の瞼/各A/売るラマ/白滝BOX/ミズイチ/資本ネコ/みやまる/そいそーす/露骨/ザクロニシキ/大喜利の母/ティッシュミルク(2)/9月が終わったら起こして/たくみす/きみをゆるさない。/木星/カワサキ/げんき/犬ヒロシ/暴風よ吹け
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,7位,暴風よ吹け,FF外から失礼します,22,65.68,アンサイン/月の瞼/えーす/クロロフィル/クマ牧場/麺青め(2)/こねぎ/机上で実演/シンマイ子/ミズイチ/資本ネコ/新Goo/少しだけ賢い/れいり໒꒱. ﾟ/ティッシュミルク/カワサキ/煮沸消毒七段/りと°/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,7位,直ちに下校する,いつもちょっと臭いぞ,22,65.68,どらごんちゅ(3)/各A/麺青め/机上で実演/ばーと/革先/ともき/えちえち/DJBK/7コイン/珍百景のクロ/はんドレ/吉高(3)/たくみす/犬ヒロシ/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,7位,革先,タメ口でいいよ！,22,65.68,サイ/ポジ/下衆なキャット/ポッと出のプリマ/肘から5分/するめ/売るラマ/こねぎ(2)/メンテ(2)/ダスチン・コフマン/アリゾナおてんば娘/ザクロニシキ/れいり໒꒱. ﾟ/ティッシュミルク/エレメノピー/犬ヒロシ/りと°/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,13位,baseball ,赤ちゃん、優遇されすぎ,21,64.15,ニンニキニキニキ/下衆なキャット/3ねこ/牛頭馬頭(2)/するめ/麺青め/机上で実演/シンマイ子/奇妙な男/みやまる/おにこ/ザクロニシキ/はんドレ/たくみす/りと°/井上ヘノシタ(2)/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,13位,シンマイ子,大人2枚お願いします,21,64.15,ポジ/D-6/アンサイン/fukuinneet/baseball /ミニベロ(2)/白滝BOX/ミズイチ/DJBK/露骨/ダスチン・コフマン/充/ももたろ社長/自動車部員/珍百景のクロ/たくみす/きみをゆるさない。/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,15位,えーす,義母なる海よ！,20,62.62,D-6/月の瞼/ペン/肘から5分/するめ/クロロフィル/baseball /随契(2)/みやまる(2)/ともき/カビブギウギ/仁義/ティッシュミルク/なゆちゃんパパ/煮沸消毒七段/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,15位,井上ヘノシタ,山見てから決めます,20,62.62,ニンニキニキニキ/二階から手続き/fukuinneet/各A/麺青め(2)/売るラマ/机上で実演/シンマイ子/やや不安/白滝BOX/DJBK/スイートランド/仁義/珍百景のクロ/9月が終わったら起こして/きみをゆるさない。/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,17位,ありさん,2辛でお願いします！,19,61.08,サイ(2)/押韻亭雅楽太/ペン/パブロ風の犬/するめ/売るラマ/こねぎ/机上で実演/革先/メンテ(2)/えちえち/そいそーす/スイートランド/ダスチン・コフマン(2)/ザワⅡ/ディップマン
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,17位,たくみす,冬場ちょっと沸け,19,61.08,二階から手続き/ブラパン/月の瞼/各A/クロロフィル/麺青め/シンマイ子/奇妙な男/カビブギウギ/ザクロニシキ/9月が終わったら起こして/たゆたう風/ディップマン/りと°/井上ヘノシタ(2)/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,17位,ニンニキニキニキ,コーヒーはもっと深い,19,61.08,ねくび/二階から手続き/月の瞼/各A/やや不安(2)/ともき/少しだけ賢い/ももたろ社長/れいり໒꒱. ﾟ/エレメノピー/たゆたう風/げんき/犬ヒロシ/井上ヘノシタ(2)/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,17位,月の瞼,おねしょの夢だ～～！！,19,61.08,ニンニキニキニキ/フイ(2)/押韻亭雅楽太(2)/パブロ風の犬/するめ/随契/ばーと(2)/えちえち/露骨/なゆちゃんパパ/エレメノピー/犬ヒロシ/りと°/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,21位,げんき,"hey, sea.",18,59.55,ポジ/パブロ風の犬/各A/えーす/クロロフィル/随契/机上で実演/少しだけ賢い/ももたろ社長/珍百景のクロ/たゆたう風/犬ヒロシ/ディップマン/りと°/暴風よ吹け/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,21位,机上で実演,２階席,18,59.55,二階から手続き/EPOCALC/ミズイチ/メンテ(2)/おにこ(2)/新Goo/スイートランド/充(2)/珍百景のクロ/ザワⅡ/げんき/ディップマン/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,21位,白滝BOX,弁護士は全員敵,18,59.55,下衆なキャット/アンサイン/fukuinneet/月の瞼/するめ/随契/シンマイ子/やや不安/メンテ/少しだけ賢い/れいり໒꒱. ﾟ/珍百景のクロ/9月が終わったら起こして(2)/暴風よ吹け/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,24位,仁義,まだまだ汚染するぞ！,17,58.02,ねくび/パブロ風の犬/クロロフィル/クマ牧場/革先/カビブギウギ/7コイン/ティッシュミルク(2)/吉高(2)/たくみす(3)/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,24位,吉高,大きいだけ！一茂と一緒！バカ息子！,17,58.02,えーす(3)/随契(2)/アーマーナイトハブザガン(2)/やや不安/白滝BOX(2)/えちえち/充/自動車部員/井上ヘノシタ/投票ボーナス(3)
0631_6699_FUF,2023-07-14,122人,そんなこと海に向かって叫ぶな。なんと言った？,NA,24位,珍百景のクロ,ポイントカードありました,17,58.02,アンサイン/月の瞼/クロロフィル/ハートダナゼイル/シンマイ子/革先/ミズイチ/奇妙な男/ダスチン・コフマン/れいり໒꒱. ﾟ/自動車部員/きみをゆるさない。/げんき/りと°/投票ボーナス(3)
