お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,1位,珍百景のクロ,たこ足配線を跨いで入場する,46,84.68,ららら(2)/たこかいな(2)/修行修行/タイファイター/watoson/No Image/終電卍/汚い屁/ししだ/骨密度/循環/ランゲル・ハンス/kiki/げんき/国産/こども/新Goo/乳白色の駱駝(2)/街メロン/網戸乃 隙間(2)/910器/玄の字。/ななし/そろばん６級/鉄シャリ/敵刺/信号待ち/ハートダナゼイル/アンサイン/錯乱/飲み物bot/まっさん/ろくなな/あい/豪遊詩人/パステルゆんゆん/みくすし/ブリンス/あぐら/投票ボーナス(3)
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,2位,ハッスル運動会,動き出す時に「せーの」って聞こえる,45,83.57,電電虫/ららら/ニナモリ/するめ大夫/タイファイター/せせらぎ/荒川憩/watoson/大山ひろのり/汚い屁(2)/斉藤/骨密度/偶出殴流/土産/循環/three-all/スイートランド/げんき/机上で実演/めこめこ/乳白色の駱駝/網戸乃 隙間(2)/910器(2)/たむけん/そろばん６級/続きを読む(2)/なひ/まっさん/ルシファー/哲学ミミズ/ニューロン/二人称/ゲロ胃タニタ食堂(2)/パステルゆんゆん/ブリンス(2)/あぐら/投票ボーナス(3)
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,3位,ななし,WiiUがあるだけのブースがあった,39,76.9,電電虫/ニナモリ/モックモック/Yまと/タイファイター/荒川憩(2)/watoson/ぎのもの/ししだ/ぬりかべ/教えて欲しいテクノロジー/斉藤/MM/kiki(2)/国産/机上で実演/こんなところにエビチリ(3)/つゆだQ/こども/乳白色の駱駝/黒胡椒/オーバーニート(2)/ボサノバ/学歴不問/アンサイン/ハッタリ君/錯乱(2)/白玉/みくすし/直ちに下校する/投票ボーナス(3)
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,4位,three-all,迷子が自力でなんとかしようとしている,36,73.56,はさまり/日本国憲法(3)/ニナモリ/たこかいな/タイファイター/荒川憩/ラスター/終電卍/ししだ(2)/ぬりかべ/副菜/MM/ランゲル・ハンス/まお/スイートランド/国産/こんなところにエビチリ(2)/こども/網戸乃 隙間/そろばん６級/鉄シャリ/ぴーたん/桃山ももたろう/ハッタリ君/なひ/まっさん/ルシファー/ブリンス/あぐら/投票ボーナス(3)
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,5位,たいや,ゲーセンが2個ある,31,68.0,はさまり/ニナモリ/せせらぎ/ラスター/ごくごくアイスティー(3)/終電卍(2)/ぬりかべ/教えて欲しいテクノロジー/ぼんやり/MM/three-all/透人-とをるんちゅ-/ランゲル・ハンス/えらりん/ぴーたん/続きを読む(2)/ボサノバ/パーくん/ハッタリ君/飲み物bot/ニューロン/みくすし/直ちに下校する/あぐら/投票ボーナス(3)
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,6位,ランゲル・ハンス,全部同じフォントで書いてる,30,66.89,はさまり/するめ大夫/ベンチとペンチ/スクハムハーフ/たこかいな/苔むす/Yまと/ラスター/終電卍/斉藤/骨密度/国産/HS三遊間/珍百景のクロ(2)/乳白色の駱駝/910器/ななし/たいや/学歴不問/パーくん/まっさん/ろくなな/ニューロン/二人称/高見盛/あぐら/投票ボーナス(3)
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,6位,鉄シャリ,観覧車が慣性で回り続けている,30,66.89,ららら/するめ大夫/たこかいな/おいしいごはん(3)/タイファイター/せせらぎ/荒川憩/大山ひろのり/No Image/副菜/土産/ハッスル運動会/透人-とをるんちゅ-/ぷっちょにあ/こども/めこめこ/910器/ギギギーヌ/桃山ももたろう/学歴不問/アンサイン(2)/ハッタリ君/あい/きみをゆるさない。/投票ボーナス(3)
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,8位,ニナモリ,主に軽トラのパレードがある,29,65.78,ららら/スクハムハーフ/たこかいな/せせらぎ/ぬりかべ/ぼんやり/骨密度/MM/three-all/kiki/こんなところにエビチリ(3)/新Goo/黒胡椒/ギギギーヌ/アスッパラ/鉄シャリ/続きを読む/ハートダナゼイル/錯乱(3)/ルシファー/哲学ミミズ/パステルゆんゆん/投票ボーナス(3)
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,9位,いもおんな,野原に「ご自由にどうぞ」という看板だけ立ってる,28,64.67,ららら/荒川憩/ぎのもの/終電卍/汚い屁(2)/教えて欲しいテクノロジー(2)/循環/スイートランド/HS三遊間/こんなところにエビチリ(3)/つゆだQ/珍百景のクロ(2)/街メロン/たむけん/お嬢様ですわぁ/オーバーニート(2)/パーくん/錯乱/白玉/ろくなな/ストくね/直ちに下校する
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,9位,国産,ウサギの格好のまま喫煙所入って行った,28,64.67,電電虫/せせらぎ/watoson/No Image/終電卍/ししだ/副菜/ハッスル運動会/three-all/ランゲル・ハンス/げんき/こんなところにエビチリ/つゆだQ/珍百景のクロ/乳白色の駱駝/網戸乃 隙間(2)/えらりん/そろばん６級/桃山ももたろう/パーくん/豪遊詩人/二人称/きみをゆるさない。/直ちに下校する/投票ボーナス(3)
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,9位,新Goo,自分で助走を付ける,28,64.67,ニナモリ/たこかいな/修行修行/No Image/骨密度/three-all/透人-とをるんちゅ-/ランゲル・ハンス/国産/机上で実演(2)/珍百景のクロ(2)/乳白色の駱駝/街メロン/玄の字。/信号待ち/学歴不問/パーくん/錯乱/ルシファー/ニューロン/二人称/みくすし/あぐら/投票ボーナス(3)
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,9位,机上で実演,録音の「キャー」を使い回してる,28,64.67,はさまり/モックモック/苔むす/タイファイター/骨密度/偶出殴流/土産/いくらん/つゆだQ/めこめこ(2)/黒胡椒/あかのすけ/たむけん/お嬢様ですわぁ/そろばん６級/轢死(2)/アンサイン(2)/ルシファー/微生物のかたまり/ニューロン/パステルゆんゆん/あぐら/投票ボーナス(3)
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,13位,お嬢様ですわぁ,去年のスタンプで再入場出来た,27,63.56,電電虫/たこかいな/Yまと/せせらぎ/荒川憩(2)/終電卍(2)/副菜/three-all/kiki/机上で実演/ぷっちょにあ/910器/轢死/錯乱(2)/まっさん/ルシファー/微生物のかたまり/ニューロン/豪遊詩人/きみをゆるさない。/みくすし/投票ボーナス(3)
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,13位,ぷっちょにあ,平面の世界地図が回転している,27,63.56,電電虫(2)/また師走が来たよ(2)/スクハムハーフ/せせらぎ/ぎのもの/No Image/終電卍(2)/ぬりかべ/骨密度/循環/kiki/こども/珍百景のクロ/街メロン/鬼の目突き/ギギギーヌ/アスッパラ/たいや/ハッタリ君(2)/飲み物bot/投票ボーナス(3)
1196_3748_NJG,2023-07-15,122人,ひと目で手抜きとわかる遊園地,NA,13位,学歴不問,どのエリアでも同じ曲する,27,63.56,スクハムハーフ/Yまと/大山ひろのり/ぎのもの/ぼんやり/骨密度/three-all/国産/机上で実演/新Goo/珍百景のクロ/乳白色の駱駝/街メロン/鬼の目突き/えらりん/信号待ち/ハートダナゼイル(2)/ろくなな/あい/きみをゆるさない。/パステルゆんゆん/高見盛/直ちに下校する/投票ボーナス(3)
