お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,1位,相馬,楽譜に『ff』(とても強く)と書かれていた,31,80.48,わんわんお/黒胡椒/とほ/でたらめーかー/土産/しゅうしゅう/エレメノピー/ジロー/takumishin(3)/ほろほろ/さまんさまんさ/ひっそりおにぎり/珍百景のクロ/ちゃ柴(2)/NatsubiSogan/にじょー/インドスカイ/ギロッポンの課長/夜食/ねこめんたい/コヲキ/メス牡蠣/螺旋貝柱/落雁/U7ypK/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,2位,住まなくても都,さよなら僕を狂わせた才能,28,75.9,支援魔(2)/ナルシマアンバイ/約13個入り/エレメノピー/冷食パスタレビュー/ダダダチョウ/そろばん６級/ノビッタ(2)/ゃまゃま/ぼんやり/にじょー/ラーギ/インドスカイ/まっつん/エスニック美女軍団/はるまて/信号待ち/放尿魔/あまちゃんIII/ゆめみ/U7ypK/ミスティカティ/ここはが/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,3位,ハルマレ,お前のせいで居間が狭かった,26,72.85,黒胡椒/超ピンク/ナルシマアンバイ/土産/約13個入り/ニューロン/ヤンマー部隊隊長/さっつん(2)/アンサイン(3)/珍百景のクロ(2)/ちゃ柴(2)/テツ/ギロッポンの課長/まっつん/夜食/奇妙な男/放尿魔/あまちゃんIII/ゆめみ/長老_M/ミスティカティ
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,4位,ノビッタ,音楽に不正解は無いんだろ,25,71.32,超ピンク/まお/土産/しゅうしゅう/ダダダチョウ/ジロー/ニューロン/さまんさまんさ/黒太郎/ゃまゃま/ぼんやり/ラーギ/ギロッポンの課長/住まなくても都/エスニック美女軍団/突然及川/螺旋貝柱/放尿魔/U7ypK/長老_M/ミスティカティ/ここはが/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,4位,放尿魔,これはクラシックの分,25,71.32,支援魔/ナルシマアンバイ/みやまる/F難度フェルナンド(2)/終電卍(3)/ひっそりおにぎり/珍百景のクロ/まるまる/NatsubiSogan/鳥井ぬ(2)/ぼんやり/インドスカイ/ギロッポンの課長/まっつん/エスニック美女軍団/あまちゃんIII/U7ypK/長老_M/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,6位,洋介山,全て楽譜の指示通り,23,68.26,しかも。/とほ/まお/土産/約13個入り/四季うどん/桃山ももたろう(2)/ダダダチョウ/アンサイン/ゃまゃま/NatsubiSogan/テツ/にじょー/ラーギ/コヲキ/メス牡蠣/落雁/ゆめみ/ミスティカティ/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,7位,長老_M,壊すのがクラリネットだけかと思ったか,21,65.21,とほ/エレメノピー/ジロー(2)/おにこ(3)/黒太郎/ヤンマー部隊隊長/アンサイン/ちゃ柴(2)/テツ/エスニック美女軍団/ねこめんたい/コヲキ/螺旋貝柱/落雁/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,8位,みやまる,打楽器にしてやる,20,63.68,とほ/四季うどん/鉄男卓(2)/ジロー(2)/洋介山/相馬/ぼんやり/ラーギ/インドスカイ/まっつん/コヲキ/突然及川/落雁/U7ypK/ここはが/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,8位,超ピンク,長男だから我慢してきた,20,63.68,わんわんお/四季うどん/あの日のニンニ/みやまる/終電卍(2)/そろばん６級/ニューロン/ヤンマー部隊隊長/さっつん/ひっそりおにぎり(2)/ほにゃらら/信号待ち/落雁/U7ypK/ミスティカティ/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,10位,ダダダチョウ,これが僕のドだ,19,62.16,しかも。(2)/土産/あの日のニンニ/F難度フェルナンド(2)/そろばん６級/コウ門科/ゃまゃま/まっつん/ねこめんたい/メス牡蠣/螺旋貝柱/あまちゃんIII/キミヅカ/長老_M/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,11位,ゆめみ,レは瓦礫のレ,18,60.63,四季うどん/takumishin(3)/ほろほろ/たなとす/さっつん/ノビッタ/鳥井ぬ(2)/まっつん/エスニック美女軍団/はるまて/放尿魔/キミヅカ/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,11位,下衆なキャット,今「ピ」の部分壊してる,18,60.63,ナルシマアンバイ/約13個入り/四季うどん(3)/みやまる(2)/ほろほろ/たなとす/洋介山/黒太郎/アンサイン/ゃまゃま/突然及川/螺旋貝柱/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,11位,信号待ち,僕は100点が好きなんだ,18,60.63,超ピンク/ナルシマアンバイ/あの日のニンニ/ジロー/ニューロン/たなとす/ノビッタ(2)/まるまる(2)/ラーギ/インドスカイ/奇妙な男/放尿魔/ゆめみ/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,14位,NatsubiSogan,ピアノは打楽器と聞いた,17,59.1,黒胡椒/土産/約13個入り/しゅうしゅう/エレメノピー/鉄男卓(2)/そろばん６級/ヤンマー部隊隊長/アンサイン/夜食/ねこめんたい/メス牡蠣/落雁/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,14位,まるまる,よく考えたら邪魔だった,17,59.1,黒胡椒/超ピンク/ナルシマアンバイ/桃山ももたろう(2)/終電卍/たなとす/コウ門科/珍百景のクロ/ほにゃらら(2)/まっつん/突然及川/ここはが/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,14位,奇妙な男,遺言を奏でな,17,59.1,でたらめーかー(2)/土産/約13個入り/そろばん６級/おにこ/下衆なキャット/ノビッタ/ぼんやり/夜食/エスニック美女軍団/キミヅカ/U7ypK/ミスティカティ/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,14位,支援魔,"よかった
石の下に隠してたピアノは無事だ",17,59.1,しゅうしゅう/洋介山/おにこ(3)/下衆なキャット/黒太郎/相馬/メス牡蠣/奇妙な男(2)/放尿魔(2)/あまちゃんIII/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,18位,あの日のニンニ,こんな戦争でごめんな,16,57.57,わんわんお/超ピンク/エレメノピー/桃山ももたろう(2)/みやまる/黒太郎/NatsubiSogan/テツ/住まなくても都/まっつん/カナリカリガ・タカ/あまちゃんIII/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,18位,ニューロン,お前には出せない音だ,16,57.57,支援魔/しかも。/土産/約13個入り/takumishin(2)/さまんさまんさ/ぼんやり/にじょー/ラーギ/ギロッポンの課長/螺旋貝柱/U7ypK/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,18位,約13個入り,次は復興いくね,16,57.57,支援魔(2)/まお/みやまる/F難度フェルナンド/ニューロン/下衆なキャット/黒太郎/ゃまゃま/住まなくても都/夜食/コヲキ(2)/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,21位,ミスティカティ,最後の演目です,15,56.05,支援魔/とほ/土産/約13個入り/みやまる/そろばん６級/下衆なキャット/黒太郎/さっつん/まるまる/ほにゃらら/長老_M/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,22位,ゃまゃま,確かに聴いたことない音色だわ,14,54.52,わんわんお/土産/約13個入り/鉄男卓(2)/そろばん６級/珍百景のクロ/相馬/インドスカイ/螺旋貝柱/強炭酸/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,22位,エスニック美女軍団,もうボカロの時代なんだ！,14,54.52,ダダダチョウ/コウ門科/珍百景のクロ/相馬/インドスカイ/夜食/はるまて/突然及川/信号待ち/螺旋貝柱/落雁/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,24位,さまんさまんさ,これはモーツァルトのぶん！,13,52.99,黒胡椒/しかも。/冷食パスタレビュー/takumishin(2)/洋介山/ゃまゃま/ラーギ/はるまて/螺旋貝柱/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,24位,でたらめーかー,滅茶苦茶してりゃ風刺画って言われるんだから楽だよな,13,52.99,ジロー/ほろほろ/終電卍/そろばん６級/ひっそりおにぎり/NatsubiSogan/ギロッポンの課長/奇妙な男/落雁/強炭酸/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,24位,冷食パスタレビュー,大丈夫ここに貯金がある,13,52.99,わんわんお/ニューロン/コウ門科/まるまる/にじょー/住まなくても都/放尿魔/ゆめみ/ミスティカティ/ここはが/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,27位,ひっそりおにぎり,もう組織には必要ないのでね,12,51.46,支援魔/超ピンク/約13個入り/ダダダチョウ/たなとす/まるまる/テツ/にじょー/住まなくても都/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,27位,わんわんお,新しい命吹き込むぞ,12,51.46,ナルシマアンバイ/そろばん６級/ニューロン/コウ門科(2)/ぼんやり/住まなくても都/奇妙な男/ここはが/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,27位,ギロッポンの課長,色のある世界へ行きたい,12,51.46,でたらめーかー(2)/ダダダチョウ/そろばん６級/黒太郎/ほにゃらら/夜食/キミヅカ/U7ypK/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,27位,ナルシマアンバイ,マジで弾いたわ,12,51.46,F難度フェルナンド/たなとす/下衆なキャット/まるまる/鳥井ぬ(2)/テツ/強炭酸/ゆめみ/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,31位,takumishin,後の小室哲哉である,11,49.94,黒胡椒/約13個入り/終電卍(2)/ちゃ柴/NatsubiSogan/はるまて/U7ypK/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,31位,とほ,そんなに合唱コンクール嫌か,11,49.94,冷食パスタレビュー/黒太郎/ヤンマー部隊隊長/ほにゃらら/はるまて/突然及川/落雁/長老_M/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,31位,テツ,壊れてしまったのは君の方だと思う,11,49.94,とほ/まお/ダダダチョウ/ニューロン/下衆なキャット/ひっそりおにぎり/螺旋貝柱/キミヅカ/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,34位,しゅうしゅう,こうすればハラミちゃんが世に出ることは無かったんだ,10,48.41,とほ/ほろほろ/ヤンマー部隊隊長/ギロッポンの課長/ほにゃらら/エスニック美女軍団/放尿魔/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,34位,ぼんやり,我ながら適応力高いな,10,48.41,ほろほろ/さっつん/珍百景のクロ/住まなくても都/カナリカリガ・タカ/あまちゃんIII/ミスティカティ/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,34位,アンサイン,ようやく壊すコツ掴んだ,10,48.41,終電卍/洋介山/まるまる/相馬/奇妙な男/放尿魔/ここはが/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,34位,キミヅカ,戦慄の旋律,10,48.41,まお/鉄男卓/洋介山/さまんさまんさ/下衆なキャット/螺旋貝柱/強炭酸/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,34位,ラーギ,ドとかファとか言ってみろよ！,10,48.41,黒胡椒/たなとす/さっつん/ゃまゃま/相馬/カナリカリガ・タカ/U7ypK/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,34位,珍百景のクロ,間違ってるとこあったら教えて,10,48.41,でたらめーかー(2)/約13個入り/あの日のニンニ/F難度フェルナンド/螺旋貝柱/長老_M/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,40位,にじょー,自分が壊したみたいな写真が流行ってる,9,46.88,黒太郎/相馬/ほにゃらら/コヲキ/信号待ち/落雁/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,40位,まっつん,ドレミファどーん！,9,46.88,わんわんお/みやまる/そろばん６級/黒太郎/エスニック美女軍団/螺旋貝柱/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,40位,スポーツバッグ,お母さんピアノ好きだったからさ,9,46.88,でたらめーかー/土産/あの日のニンニ(2)/さまんさまんさ/ノビッタ(2)/にじょー/ギロッポンの課長
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,43位,あまちゃんIII,これからは電子の時代だ,8,45.36,エレメノピー/鉄男卓/黒太郎/NatsubiSogan/ぼんやり/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,43位,はるまて,ドとレとミとファとソとラとシとドの音が出なーい！,8,45.36,ナルシマアンバイ/そろばん６級/カナリカリガ・タカ/ねこめんたい/突然及川/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,43位,まお,ちゃんと確殺しないと,8,45.36,超ピンク/とほ/黒太郎/さっつん/テツ/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,43位,カナリカリガ・タカ,こういう発表会もあるんだよ,8,45.36,黒胡椒/黒太郎/珍百景のクロ/相馬/メス牡蠣/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,43位,ヤンマー部隊隊長,ガシャシャシャーン,8,45.36,しかも。/さまんさまんさ/黒太郎/ねこめんたい/突然及川/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,43位,突然及川,もしもしタケモトピアノですか,8,45.36,洋介山/黒太郎/ヤンマー部隊隊長/にじょー/螺旋貝柱/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,43位,落雁,なにが「ちょっと男子〜」だ…！,8,45.36,まお/しゅうしゅう/下衆なキャット/ヤンマー部隊隊長/信号待ち/投票ボーナス(3)
1919_8896_NJY,2023-08-05,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1919_8896_NJY.jpg,43位,螺旋貝柱,鍵盤で出せない音にしような,8,45.36,桃山ももたろう(2)/おにこ/あまちゃんIII/長老_M/投票ボーナス(3)
