お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0533_9900_PKL,2023-08-09,104人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0533_9900_PKL.jpeg,1位,Haruru,あいつ私見て帰ったな,30,76.46,気球マイスター/ペリカンパレード(2)/ずずエさん/いちのせ/そろばん６級/拒絶卑猥は神/政信/向井/弓/やもりみゆき/新Goo/へなちょこ/滅相もない/大体いつも眠い人/星ドッラ/高見盛/hiha/白昼ドードー/baseball /まったん冷え性/グレイテスト長男/あの日のニンニ/長老_M/Heaven/赤黄色/人民元/投票ボーナス(3)
0533_9900_PKL,2023-08-09,104人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0533_9900_PKL.jpeg,1位,みちる,オチまで聞かずに行っちゃうんだ,30,76.46,三度の飯より間食/赤HELL党/gas/支援魔/やもりみゆき/快活プラチナ会員/下衆なキャット/滅相もない/大体いつも眠い人/高見盛/白昼ドードー/baseball /まったん冷え性/そにぃ(2)/グレイテスト長男/シーサイド品川/長老_M/F難度フェルナンド/平下/関戸SA/オモチョレ/ベリー/ジェンツーペンギン/前田蓋然/五言舌禍/人民元/投票ボーナス(3)
0533_9900_PKL,2023-08-09,104人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0533_9900_PKL.jpeg,3位,へなちょこ,これ不正解の部屋だわ,28,73.39,ずずエさん/てっぺんざしお/いちのせ/そろばん６級/edo/りす/恥さらしのスパゲッティ/支援魔/やもりみゆき/秋月杏子/はんドレ/あゆ次/おとうふ。/ぬいぬいぬいぐるみ/へのへの/関戸SA/オモチョレ/きまぐれ/齊藤/あざぶ(2)/wanumayu(2)/赤黄色/五言舌禍/投票ボーナス(3)
0533_9900_PKL,2023-08-09,104人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0533_9900_PKL.jpeg,4位,shu,じゃあ誰に手振ったの,27,71.85,気球マイスター/長谷川キモ彦/てっぺんざしお/及川広大/秋月杏子/下衆なキャット/へなちょこ/尻海/滅相もない/大体いつも眠い人/たまし/あゆ次(2)/白昼ドードー/へのへの/長老_M/みちる/いわな/F難度フェルナンド/紗和和和/魚粉/もこ(2)/ミノルタ/投票ボーナス(3)
0533_9900_PKL,2023-08-09,104人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0533_9900_PKL.jpeg,5位,Heaven,私のパート誰が担当するのかな,26,70.32,そろばん６級/拒絶卑猥は神/恥さらしのスパゲッティ/滅相もない/大体いつも眠い人/たまし(2)/高見盛/おとうふ。/まるまる/白昼ドードー/くものす/みちる/カレーラ水/にじょー/wanumayu(2)/紗和和和/shu/メイド・イン・ムーン/ミノルタ(2)/人民元/投票ボーナス(3)
0533_9900_PKL,2023-08-09,104人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0533_9900_PKL.jpeg,5位,偶出殴流,なんの200円だったの,26,70.32,及川広大/りす/弓/やもりみゆき/新Goo/へなちょこ/星ドッラ/プーアル茶/ぬいぬいぬいぐるみ/まるまる(2)/良識/セトピア/オモチョレ/齊藤/ベリー/ジェンツーペンギン/赤黄色/また師走が来たよ/五言舌禍/メイド・イン・ムーン/人民元/ゆかりそめ大明神/投票ボーナス(3)
0533_9900_PKL,2023-08-09,104人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0533_9900_PKL.jpeg,7位,滅相もない,ほんとに椅子引いた音なんだけどな,25,68.78,ペリカンパレード/B/そろばん６級/小統領/gas/支援魔/尻海/たまし/高見盛/baseball /あの日のニンニ/F難度フェルナンド/たけ坊/魚粉/アーマーナイトハブザガン(2)/もこ(3)/五言舌禍/メイド・イン・ムーン/人民元/投票ボーナス(3)
0533_9900_PKL,2023-08-09,104人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0533_9900_PKL.jpeg,8位,きまぐれ,避難訓練てあんなに走るんだ,24,67.24,偶出殴流/めこめこ/赤HELL党/快活プラチナ会員/morisho/星ドッラ/Haruru/まるまる(2)/まったん冷え性/いわな/ベリー/アーマーナイトハブザガン/前田蓋然/omiun(2)/赤黄色/半丙太(2)/shu/人民元/投票ボーナス(3)
0533_9900_PKL,2023-08-09,104人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0533_9900_PKL.jpeg,8位,まったん冷え性,逃走中ってこんなに余裕なんだ,24,67.24,ペリカンパレード(2)/てっぺんざしお/赤HELL党/恥さらしのスパゲッティ/滅相もない/大体いつも眠い人/たまし(2)/あゆ次/白昼ドードー/そにぃ/みちる/関戸SA/オモチョレ/Heaven/齊藤/wanumayu(2)/あぐら/人民元/投票ボーナス(3)
0533_9900_PKL,2023-08-09,104人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0533_9900_PKL.jpeg,8位,初心者まゆげ,そうか、あの時笑えばよかったのか,24,67.24,偶出殴流/弓/gas/恥さらしのスパゲッティ(2)/下衆なキャット/たまし(3)/高見盛/おとうふ。/セトピア/長老_M/みちる/F難度フェルナンド/オモチョレ/Heaven/紗和和和/魚粉/前田蓋然/あぐら/投票ボーナス(3)
