お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2298_4468_PVF,2023-08-19,72人,滑走路の横にある映画館,NA,1位,母の写真,間に合わなかった人を映してる,33,96.35,オードリーカットバーン/マービィ(2)/のす/723/二階から手続き/ごまもなか(2)/はた/むもん/ちきちきた/井上ヘノシタ(2)/B/黒胡椒/ぺんぺん草(2)/クロレラサイダー(3)/存在マン(2)/Heaven/灰色こたつ/高だの高代/さかなさん/みらきの/小倉ツイスト/ゆめみ(2)/投票ボーナス(3)
2298_4468_PVF,2023-08-19,72人,滑走路の横にある映画館,NA,2位,国産,整備士が仮眠取りに来る,21,72.57,オードリーカットバーン/しうちよ/せりか/アイワ/二階から手続き/はた/阿吽/BIGCHIMPOメソ(2)/ぐだく/ぺんぺん草(2)/クロレラサイダー/Heaven/珍百景のクロ/高だの高代/なまこP/揚げたてメンチメン/投票ボーナス(3)
2298_4468_PVF,2023-08-19,72人,滑走路の横にある映画館,NA,3位,むもん,2週して分かるところが多すぎる,18,66.62,マービィ/エレメノピー/阿吽/ちきちきた/ミズイチ/黒胡椒/ぺんぺん草/大喜利の母/Heaven/珍百景のクロ/江口 蒼🎧/サトレンコ/なまこP/小倉ツイスト/hahaha1219/投票ボーナス(3)
2298_4468_PVF,2023-08-19,72人,滑走路の横にある映画館,NA,3位,健やか本社,強い台風が来ると客が増える,18,66.62,オードリーカットバーン/綿白 雪/大喜利/はへん(3)/ぐだく/レポ田/クロレラサイダー(2)/素潜りドーナツ/高だの高代/サトレンコ(2)/なまこP/waaaan(2)/ゆめみ
2298_4468_PVF,2023-08-19,72人,滑走路の横にある映画館,NA,3位,存在マン,感動シーンは飛行機が静かに離陸する,18,66.62,オードリーカットバーン/アイワ/ミスティカティ/大喜利/むもん/ぺんぺん草(2)/母の写真/Heaven/珍百景のクロ/アウク/江口 蒼🎧/小倉ツイスト/ゆめみ/くりとりーむ/投票ボーナス(3)
2298_4468_PVF,2023-08-19,72人,滑走路の横にある映画館,NA,6位,しうちよ,映画の半券で亡命できる,17,64.64,せりか/のす/国産/はた/阿吽/ちきちきた/三度の飯より間食/ミズイチ/ぺんぺん草/クロレラサイダー/素潜りドーナツ/存在マン/江口 蒼🎧/くりとりーむ/投票ボーナス(3)
2298_4468_PVF,2023-08-19,72人,滑走路の横にある映画館,NA,6位,はんドレ,反対住民が席を蹴ってる,17,64.64,せりか/yms/マービィ/TwistNight/大喜利/パピヨン/エレメノピー/レポ田/ぺんぺん草/クロレラサイダー/素潜りドーナツ/アウク/高だの高代/サトレンコ/投票ボーナス(3)
2298_4468_PVF,2023-08-19,72人,滑走路の横にある映画館,NA,8位,阿吽,NO MORE ハイジャック,16,62.66,ミスティカティ(2)/ごまもなか/JOKR(2)/はた/ぐだく/B/ミズイチ/黒胡椒/大喜利の母/江口 蒼🎧/揚げたてメンチメン/投票ボーナス(3)
2298_4468_PVF,2023-08-19,72人,滑走路の横にある映画館,NA,9位,DJBK,どこなら携帯使えるんだ,15,60.67,マービィ(3)/723/二階から手続き/エレメノピー/むもん/珍百景のクロ/オモチョレ/灰色こたつ/サトレンコ/なまこP/ユウ/waaaan(2)
2298_4468_PVF,2023-08-19,72人,滑走路の横にある映画館,NA,9位,揚げたてメンチメン,映画泥棒が国外に逃げ切る,15,60.67,オードリーカットバーン/大喜利/阿吽/むもん/レポ田(2)/ミズイチ/素潜りドーナツ(2)/珍百景のクロ/灰色こたつ/waaaan/投票ボーナス(3)
