お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1573_6115_TDY,2023-08-23,63人,Google翻訳を怒らせて下さい,NA,1位,BBG,では先攻どうぞ,23,83.89,サンズイ/ぷらむ/みずもと/破産/wanumayu(2)/ぎのもの(2)/お雑煮ボーリング/モチ/シードル(2)/getaway/資本ネコ/waaaan(2)/おおちゃん@ジャン鶴/ばーちゃんすー/yudai/ちきちきた/投票ボーナス(3)
1573_6115_TDY,2023-08-23,63人,Google翻訳を怒らせて下さい,NA,2位,watoson,おー正解すご笑,21,79.06,みずもと/魚粉/ちぇみちぇみ！/はんドレ/カンパネラ/双葉柿浦六番線/駄菓子菓子/アブミ/てぃすこ(2)/シードル/とほ/はっぴーアワー(2)/リトマス試験紙/waaaan/おおちゃん@ジャン鶴/３スカイ/投票ボーナス(3)
1573_6115_TDY,2023-08-23,63人,Google翻訳を怒らせて下さい,NA,3位,お雑煮ボーリング,結局バカの指示待ちだよな,19,74.22,watoson/ねくび/てぃすこ/ギトウ/半ちく/とほ/getaway/アプリコットソイハニー/ミニベロ/ねこの耳の裏/waaaan(2)/ばーちゃんすー/yudai/３スカイ(2)/投票ボーナス(3)
1573_6115_TDY,2023-08-23,63人,Google翻訳を怒らせて下さい,NA,4位,魚粉,あぁ言えばこう言うね,18,71.81,サンズイ/キデン/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/はへん/Joshu_kawa/ギトウ(2)/シードル/getaway/アプリコットソイハニー/ばっは/赤い髪/松尾/yudai/ちきちきた/投票ボーナス(3)
1573_6115_TDY,2023-08-23,63人,Google翻訳を怒らせて下さい,NA,5位,ありさん,もっと新書とか読んだ方がいいよ,15,64.56,キデン/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/ぎのもの/お雑煮ボーリング/ファーブル治虫/ラータ/てぃすこ(2)/シードル/微生物のかたまり/腹筋ニート/ちきちきた/投票ボーナス(3)
1573_6115_TDY,2023-08-23,63人,Google翻訳を怒らせて下さい,NA,6位,ミニベロ,ピザって100回訳して,14,62.15,みずもと/とんこつ醤油/そいそーす(3)/ちぇみちぇみ！/ぴのこ/半ちく/シードル/腹筋ニート/宙人/投票ボーナス(3)
1573_6115_TDY,2023-08-23,63人,Google翻訳を怒らせて下さい,NA,6位,犬ヒロシ,お前の意見はないのか？,14,62.15,みずもと/魚粉/キデン/ちぇみちぇみ！/駄菓子菓子/Joshu_kawa/モチ/シードル/あああ/getaway/アプリコットソイハニー/ありさん/わたなべいびー/ばーちゃんすー
1573_6115_TDY,2023-08-23,63人,Google翻訳を怒らせて下さい,NA,8位,おおちゃん@ジャン鶴,すげえ喋るよな,12,57.32,ぷらむ/キデン/watoson/ラータ/半ちく/モチ/ありさん/わたなべいびー/微生物のかたまり/投票ボーナス(3)
1573_6115_TDY,2023-08-23,63人,Google翻訳を怒らせて下さい,NA,8位,ぎのもの,輝け,12,57.32,BBG/はんドレ/ファーブル治虫/土砂降りオープンカー/アブミ/はへん(2)/資本ネコ/頭の水/投票ボーナス(3)
1573_6115_TDY,2023-08-23,63人,Google翻訳を怒らせて下さい,NA,8位,はへん,ほら手も足も出ないだろ,12,57.32,BBG/破産/とんこつ醤油/シードル/ありさん/わたなべいびー/腹筋ニート/ばーちゃんすー/３スカイ/投票ボーナス(3)
1573_6115_TDY,2023-08-23,63人,Google翻訳を怒らせて下さい,NA,8位,はんドレ,自由に喋ってごらん,12,57.32,破産(2)/wanumayu/双葉柿浦六番線/はへん/ギトウ(2)/とほ/yudai/投票ボーナス(3)
