お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,1位,中沢の人,骨の感触がある,33,80.55,狂人m/下り坂まで/直ちに下校する/ヤンマー部隊隊長/江口 蒼🎧/みらきの/国産/雑兵/人民元/パピヨン/よれん(2)/ダダダチョウ/めろす/おおちゃん@ジャン鶴/ワトゥー/業務用虚無(2)/へのへの/そろばん６級/黒胡椒/むらさき/バム(3)/するめ大夫/さむちょ/鵺野凛音(2)/生身/ジョンムケ/幻/かぎや
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,1位,直ちに下校する,すべての虫がそこを目指してる,33,80.55,ししだ/みらきの/副菜/穴(2)/雑兵/藍殿TT/めろす/Uttl/gahamaru/カレーラ水/そろばん６級/ターンブル/ゃまゃま/黒胡椒(2)/むらさき/うえじゅん/Heaven/まきびし/さむちょ/生身/POPOJI(2)/修行修行/ジョンムケ/住まなくても都(2)/かぎや/レッシー/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,3位,毒ぶどう,毎晩深夜３時から５時まではメンテナンスのため使用できません,30,76.14,狂人m/ヤンマー部隊隊長/餃子味のラーメン/迷探亭困難/門倉幕府/溢れ出る肉汁/副菜/藍殿TT/ペン/業務用虚無(3)/へのへの(2)/そろばん６級/うえじゅん/まきびし/さむちょ/こどおに/ぼさつ/鵺野凛音(3)/生身/Fコード弾け(2)/レッシー/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,4位,そろばん６級,中で羊が暴れてる,27,71.72,ししだ/江口 蒼🎧/副菜/雑兵/人民元/めろす(3)/おおちゃん@ジャン鶴/ペン/gahamaru(2)/さめだし/毒ぶどう(2)/ニンニキニキニキ/バム(2)/鶴bay/にいがた(2)/修行修行/さいころちゃらみん/レッシー/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,4位,ターンブル,散歩したくてドアのとこで吠える,27,71.72,直ちに下校する/みらきの/迷探亭困難/シュヴァルツ/副菜/穴(2)/雑兵/ダダダチョウ/業務用虚無(2)/gahamaru/犬ヒロシ/カレーラ水/さっつん/ゃまゃま/バム(2)/こどおに/ぼさつ/修行修行/住まなくても都/かぎや(2)/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,6位,たこかいな,カウント2.9で跳ねのけられる,24,67.3,穴(2)/ダダダチョウ/フイ/業務用虚無/おあつらえ(2)/祟り君/☆シナモン☆/さめだし/そろばん６級/ターンブル/qwerty(2)/バム/うえじゅん/Heaven/さむちょ/ぼさつ(2)/レッシー/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,6位,雑兵,ラッコの動きをする,24,67.3,餃子味のラーメン/ししだ/みらきの/門倉幕府/人民元/ダダダチョウ/おおちゃん@ジャン鶴/Uttl/☆シナモン☆(2)/さめだし/ターンブル/黒胡椒/頭脳まさき(2)/バム/Heaven/にいがた/ジョンムケ/かぎや/さいころちゃらみん/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,8位,gahamaru,燻製してある,23,65.83,さりげない国際通り/パンデモニウム/ヤンマー部隊隊長/国産/溢れ出る肉汁/ダダダチョウ/フイ/相馬/ワトゥー/業務用虚無(2)/へのへの/☆シナモン☆(2)/少しだけ賢い/バム/鶴bay/さむちょ/根暗テーブル/さいころちゃらみん/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,8位,ダダダチョウ,簡単なクイズをささやいてくる,23,65.83,直ちに下校する/ヤンマー部隊隊長/シュヴァルツ/副菜/駄菓子菓子/野島久助/相馬(2)/Uttl/業務用虚無(2)/そろばん６級/ほじかた/黒胡椒/頭脳まさき/うえじゅん/まきびし/Fコード弾け/さいころちゃらみん/ミズイチ/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,10位,じゃん,急ブレーキの音がする,22,64.36,直ちに下校する/ヤンマー部隊隊長/みらきの/副菜/雑兵/よれん/藍殿TT(2)/ダダダチョウ/野島久助/おおちゃん@ジャン鶴/業務用虚無(2)/強炭酸/そろばん６級/さっつん/修行修行/かぎや/さいころちゃらみん/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,10位,よれん,体制を変えると「はっきりして」と言われる,22,64.36,コーチョー(2)/下り坂まで/ヤンマー部隊隊長/覇道きてぃ/藍殿TT/駄菓子菓子/フイ/相馬/業務用虚無/gahamaru/ターンブル/毒ぶどう(2)/するめ大夫/まきびし/ぼさつ/POPOJI/修行修行/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,12位,ミズイチ,中に自分のメガネが入ってる,21,62.89,899(2)/ヤンマー部隊隊長/餃子味のラーメン/江口 蒼🎧/みらきの/雑兵/藍殿TT/ワトゥー/祟り君/gahamaru/さめだし(2)/ターンブル/少しだけ賢い/Heaven/住まなくても都/幻/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,12位,鵺野凛音,フローラルが過ぎる,21,62.89,コーチョー(2)/国産/溢れ出る肉汁/めろす/業務用虚無/強炭酸/へのへの/犬ヒロシ/そろばん６級/ゃまゃま/むらさき/頭脳まさき/こどおに/POPOJI(3)/住まなくても都/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,14位,狂人m,睡眠税がかかる,20,61.42,899/みらきの/シュヴァルツ/人民元/覇道きてぃ/藍殿TT(2)/駄菓子菓子/業務用虚無(2)/強炭酸(2)/おあつらえ/へのへの/少しだけ賢い/黒胡椒/にいがた/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,15位,ららら,枕だけが濡れる夜がある,19,59.94,コーチョー/シュヴァルツ/よれん/野島久助/相馬/業務用虚無/おあつらえ/祟り君/そろばん６級/毒ぶどう(2)/むらさき/うえじゅん/するめ大夫/生身(2)/幻/かぎや/じゃん
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,16位,ニンニキニキニキ,1日の出来事全部否定してくる,18,58.47,狂人m/コーチョー/下り坂まで/直ちに下校する/ししだ/迷探亭困難/パピヨン/フイ/たこかいな/業務用虚無/おあつらえ/さめだし/カレーラ水/そろばん６級/ゃまゃま/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,16位,副菜,呑まれるみたいな感覚ある,18,58.47,下り坂まで/シュヴァルツ/藍殿TT/たこかいな/業務用虚無/祟り君/へのへの/カレーラ水/baseball /頭脳まさき/バム/POPOJI/修行修行/幻/さいころちゃらみん/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,18位,POPOJI,毎晩、好きな子聞かれる,17,57.0,駄菓子菓子/フイ/相馬/業務用虚無/するめ/さめだし/baseball /そろばん６級/さっつん/頭脳まさき(2)/バム/うえじゅん/修行修行/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,18位,むらさき,常に北を指す,17,57.0,コーチョー/さりげない国際通り/直ちに下校する/パンデモニウム/ししだ/江口 蒼🎧/gahamaru(2)/黒胡椒/ニンニキニキニキ/鶴bay/Heaven/根暗テーブル/住まなくても都/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,18位,住まなくても都,くれた王はまだ働いてる,17,57.0,雑兵/野島久助/おおちゃん@ジャン鶴/たこかいな(2)/カレーラ水/baseball /バム(2)/まきびし/根暗テーブル/Fコード弾け/じゃん/ミズイチ/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,18位,強炭酸,死にかけのセミが入ってる,17,57.0,狂人m/さりげない国際通り/パンデモニウム/みらきの/国産/祟り君/そろばん６級/qwerty(2)/鶴bay/グランヂデス/鵺野凛音/さいころちゃらみん/ミズイチ/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,18位,犬ヒロシ,正論しか言わない,17,57.0,さりげない国際通り/下り坂まで/ししだ/溢れ出る肉汁/シュヴァルツ/野島久助/おおちゃん@ジャン鶴/へのへの/そろばん６級/さっつん/ゃまゃま/バム/鵺野凛音/POPOJI/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,18位,祟り君,ちょくちょく「もう寝た？」って聞いてくる,17,57.0,国産/パピヨン/駄菓子菓子/業務用虚無/するめ/そろばん６級/qwerty/バム/うえじゅん/するめ大夫/こどおに/ぼさつ/根暗テーブル/幻/投票ボーナス(3)
0879_0871_NCM,2023-09-08,99人,絶対に寝れない枕、どんなの？,NA,24位,さっつん,どこまでも沈み込む,16,55.53,パンデモニウム/溢れ出る肉汁/するめ/へのへの/ほじかた/少しだけ賢い/黒胡椒/むらさき/バム/鶴bay/さむちょ/住まなくても都/さいころちゃらみん/投票ボーナス(3)
