お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0793_6867_WFU,2023-09-14,147人,甘くて、でもちょっぴり苦くて、なのに〇〇〇,NA,1位,カナダ,私ときたら,48,86.8,ねこめんたい/みやまる/渡利　巣手呂/ラニーニャ/おおちゃん@ジャン鶴/みらきの/不特定多数/きゅーきゅー(2)/satoo(2)/んっぽ(3)/クルペッコの手羽元/ウラニワ(2)/きまぐれ(2)/ベリー/少しだけ賢い/魚粉/夜食/hiha(2)/イク！/レン/ひろむ/信号待ち/みずもと/2番管/アマテイン/ウザいアイコン/高見盛/泥のぷーまん/GYAI/フェイクファー/大体いつも眠い人/おあつらえ(2)/生身/よれん/ゆゆゆゆ/屋内用雨傘/かまとと/投票ボーナス(3)
0793_6867_WFU,2023-09-14,147人,甘くて、でもちょっぴり苦くて、なのに〇〇〇,NA,2位,三遊亭たわし,軽車両扱い,39,76.53,みやまる(2)/おおちゃん@ジャン鶴/マルイは二進法で5/みらきの/いち/不特定多数/きゅーきゅー/satoo(3)/キデン/_ゆゆゆ/ウラニワ/魚粉/イク！(2)/ひろむ/みずもと/2番管/アマテイン/雑兵/T-FOX(3)/にじょー/GYAI/茄ッ子/フェイクファー/セトピア/ノビッタ/椎田/うえじゅん/nada/イワザル/tea-cat/投票ボーナス(3)
0793_6867_WFU,2023-09-14,147人,甘くて、でもちょっぴり苦くて、なのに〇〇〇,NA,2位,紆余曲折,インドは辛くする,39,76.53,みやまる/ニア・ディゾン/なまこP/みらきの/なのはなし/不特定多数/クマ牧場/キデン/クルペッコの手羽元/ちーぽり/ウラニワ/長老_M/福井とマルコ/するめ/イク！/さいころちゃらみん/ばっは/信号待ち/POPOJI/ウザいアイコン/高見盛/雑兵/カワサキ/にじょー/GYAI/nkn/茄ッ子/☆シナモン☆(2)/ノビッタ/椎田/生身/うえじゅん/tkhl(2)/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/投票ボーナス(3)
0793_6867_WFU,2023-09-14,147人,甘くて、でもちょっぴり苦くて、なのに〇〇〇,NA,4位,いち,申請しないと捨てられない,38,75.39,おおちゃん@ジャン鶴/ニア・ディゾン/なまこP/きゅーきゅー/クマ牧場/ソトノトス/キデン/クルペッコの手羽元/ホトココア/はがね/少しだけ賢い/魚粉/イク！/みずもと/長谷川キモ彦/ウザいアイコン/雑兵/T-FOX/泥のぷーまん/迷探亭困難/かい/nkn(2)/オリバー73(3)/茄ッ子/☆シナモン☆/MODY/セトピア/ノビッタ/おあつらえ(2)/うえじゅん/奇妙な男/投票ボーナス(3)
0793_6867_WFU,2023-09-14,147人,甘くて、でもちょっぴり苦くて、なのに〇〇〇,NA,5位,おあつらえ,なんでこんなことに,35,71.96,渡利　巣手呂/おおちゃん@ジャン鶴/みらきの(2)/なのはなし/煮込みVUITTON/不特定多数/きゅーきゅー/根暗テーブル/魚粉/ピンコウ/するめ/ひろむ/グランヂデス/ザワⅡ/POPOJI(3)/アマテイン/紆余曲折/T-FOX/カワサキ/GYAI/nkn/ホルシュタイン(2)/わたなべいびー/セトピア/生身/よれん/とりふぐ/かまとと/投票ボーナス(3)
0793_6867_WFU,2023-09-14,147人,甘くて、でもちょっぴり苦くて、なのに〇〇〇,NA,5位,ノビッタ,味噌をつけたら、もう味噌の味,35,71.96,ラニーニャ/ニア・ディゾン/なまこP(2)/いち/なのはなし/煮込みVUITTON/雲外蒼天/ソトノトス(2)/さくらんぼソフト/長老_M/夜のこさたに(3)/魚粉/イク！/信号待ち/浅間山から真っ逆さま(2)/高見盛/T-FOX(2)/ムハカ(2)/GYAI/しらふじらふ(2)/セトピア/奇妙な男(2)/屋内用雨傘/投票ボーナス(3)
0793_6867_WFU,2023-09-14,147人,甘くて、でもちょっぴり苦くて、なのに〇〇〇,NA,7位,かまとと,武器としても使えて,34,70.82,ねこめんたい(2)/渡利　巣手呂/おおちゃん@ジャン鶴/なまこP/みらきの/いち/不特定多数/きゅーきゅー/雲外蒼天/〜トリコ、完結〜/キデン(2)/クルペッコの手羽元/さくらんぼソフト/双葉柿浦六番線/魚粉/みずもと/POPOJI/アマテイン/にじょー/GYAI/tsms/ノビッタ/おあつらえ/生身/うえじゅん/奇妙な男/ゆゆゆゆ/冷食パスタレビュー/屋内用雨傘/投票ボーナス(3)
0793_6867_WFU,2023-09-14,147人,甘くて、でもちょっぴり苦くて、なのに〇〇〇,NA,8位,きまぐれ,一言で表現するんですか,33,69.68,みやまる/ラニーニャ(2)/おおちゃん@ジャン鶴/ニア・ディゾン/なまこP/なのはなし/煮込みVUITTON/不特定多数/Tadam(3)/キデン/さくらんぼソフト/長老_M/根暗テーブル/魚粉/カナダ/レン/アブミ/長谷川キモ彦/紆余曲折/ウザいアイコン/T-FOX/たゆたう風/にじょー/セトピア/ノビッタ/よれん/冷食パスタレビュー/投票ボーナス(3)
0793_6867_WFU,2023-09-14,147人,甘くて、でもちょっぴり苦くて、なのに〇〇〇,NA,9位,奇妙な男,味で勝負しない植物、チューリップ,31,67.4,鮒侍/おおちゃん@ジャン鶴/なまこP/なのはなし/煮込みVUITTON/不特定多数/ちーぽり/はがね(2)/夜のこさたに(3)/夜食(3)/コヲキ/浅間山から真っ逆さま/アマテイン(2)/T-FOX(3)/たゆたう風/にじょー/茄ッ子/うえじゅん/冷食パスタレビュー/屋内用雨傘/投票ボーナス(3)
0793_6867_WFU,2023-09-14,147人,甘くて、でもちょっぴり苦くて、なのに〇〇〇,NA,9位,鈴本,お前ってやつは,31,67.4,渡利　巣手呂/おおちゃん@ジャン鶴/みらきの/キデン/ウラニワ(3)/ちゃ柴(3)/福井とマルコ/きまぐれ/hiha/イク！/浅間山から真っ逆さま(2)/ザワⅡ/POPOJI(2)/カワサキ/GYAI/茄ッ子/ノビッタ/おあつらえ(2)/スイートランド/かまとと(2)/投票ボーナス(3)
