お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,1位,レフトベアー,ギリ花火見えないとこ連れてく,48,94.85,眉間のふち/ちきちきた/くじ運/雑兵/こころ飴(2)/明後日のごはん(3)/キャタピラ(2)/しいたけ/ぽてち/がんばりま翔/にいがた/ニア・ディゾン(2)/天国かラスベガス/7si(3)/机上で実演/射的屋/にらお/動植物(3)/じす/きゃりーまらまら/井原犬/ミズイチ(3)/干し柿/ことこ/ジョウドア(2)/hakumai4(3)/井上ヘノシタ(3)/microMD(2)/投票ボーナス(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,2位,tea-cat,影を踏ませて妄想する,31,72.87,眉間のふち/こころ飴/ねくら/修行修行/オタワダル/のす/よれん/射的屋/nkn/ギロッポンの課長/井原犬/年下の義母(2)/雲ひとつない撒き餌/かにさん(2)/そろばん６級/随契/ジョウドア(3)/hakumai4(3)/ドンドコドゥン(3)/また師走が来たよ/投票ボーナス(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,3位,ちきちきた,背中に加速床のタトゥー入れる,30,71.58,セイカ(3)/パステルゆんゆん/ねくび/えび/やんわり/机上で実演/ギロッポンの課長/モチ/にらお/動植物(3)/敵刺(2)/ジーコニオ/ふじじじがが/干し柿/穴/ウルトラにゃんこ(3)/むもん/microMD(3)/投票ボーナス(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,4位,マイケルコース,菅田将暉も踏んでたよ,28,68.99,EPOCALC/粉石鹸/さいばハチ/セイカ/パステルゆんゆん/サカナノメ(2)/ねくび/山吹(3)/よれん/机上で実演/射的屋/ギロッポンの課長/にらお/じす/井原犬/ミズイチ/年下の義母/ヤンニョム/干し柿/犬ヒロシ/ことこ/クマ牧場/sikou/microMD/ばば
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,5位,雑兵,月面みたいな肌にする,27,67.7,800/くじ運/パステルゆんゆん/キャタピラ(3)/しいたけ/ハマー市長(2)/ちゃぶ/にいがた/のす/レフトベアー(3)/天国かラスベガス/モチ/ミニお馬/確率論のパラテママ/さすけのお兄(2)/ニンニキニキニキ/ジョウドア(2)/投票ボーナス(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,6位,パステルゆんゆん,重みに応じた雑学を話す,26,66.41,くじ運(2)/ずずエさん/サメVS巨大タコス/クロレラサイダー(2)/やんわり(2)/留学生/射的屋(2)/モチ/まだ春/じす/ジーコニオ/きゃりーまらまら(2)/ミズイチ/ヤンニョム/干し柿/Uttl/クマ牧場/また師走が来たよ/投票ボーナス(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,6位,ポレモロ,足湯に肩まで浸かる,26,66.41,イタリア長介/雑兵(2)/baseball /サカナノメ/しいたけ/ハマー市長(2)/ぽてち/がんばりま翔/天国かラスベガス/暮氏/sAwArA(2)/ことこ/随契/オレコマンダー/ジョウドア(2)/ウルトラにゃんこ(3)/むもん/投票ボーナス(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,8位,かもめ先輩,まず弱みを握っていただく,25,65.11,800/眉間のふち/粉石鹸/ちきちきた/はちわれ/ねくら/サカナノメ(2)/こんなところにエビチリ(3)/ハマー市長/ネクストン(2)/ぽてち(2)/のす/机上で実演/射的屋/nkn/まだ春/ふじじじがが/干し柿/雲ひとつない撒き餌/そろばん６級
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,8位,きゃりーまらまら,開けた口に薄い氷が張ってる,25,65.11,800/夜食/はちわれ/明後日のごはん(3)/山吹(3)/やんわり/射的屋/nkn(2)/バジルごはん/確率論のパラテママ/ミニベロ/ふじじじがが(2)/ニンニキニキニキ/sAwArA(2)/また師走が来たよ/投票ボーナス(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,8位,クロレラサイダー,人の上に立つ経験も必要だよ,25,65.11,さいばハチ(2)/はちわれ/パステルゆんゆん/しいたけ/ねくび/ネクストン(3)/半加害/射的屋/ギロッポンの課長/確率論のパラテママ/ミニベロ/ポレモロ/かにさん(2)/そろばん６級/ことこ/クマ牧場/sikou(2)/投票ボーナス(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,11位,EPOCALC,自分、珪藻土できます,24,63.82,粉石鹸/ちきちきた/夜食/ハマー市長(2)/ぽてち/がんばりま翔/bidoumyouou/天国かラスベガス/机上で実演/にらお/バジルごはん/敵刺/tea-cat/森さんです。(2)/ポレモロ/sAwArA/そろばん６級/井上ヘノシタ(2)/投票ボーナス(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,11位,Fコード弾け,加速するよと言う,24,63.82,雑兵/明後日のごはん(3)/ねくら/baseball /サカナノメ/オタワダル/半加害/のす/よれん/やんわり/机上で実演/ちゃ柴/モチ/ミニお馬/動植物(3)/ジーコニオ/確率論のパラテママ/ふじじじがが/さすけのお兄/かにさん
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,13位,ねくび,俺ってうどんな所あるよね？,23,62.53,800/眉間のふち/粉石鹸/さいばハチ/ゆかりそめ大明神/よれん/nkn/バジルごはん/じす/狩野棚世(3)/ポレモロ/クマ牧場/sikou(2)/ジョウドア(2)/むもん/また師走が来たよ/投票ボーナス(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,13位,また師走が来たよ,流行ってる振り付けに混ぜる,23,62.53,ちきちきた/イタリア長介/ずずエさん/ゆかりそめ大明神/こころ飴/サメVS巨大タコス/クロレラサイダー(2)/やんわり(2)/留学生/ニア・ディゾン/nkn/にらお/じす/確率論のパラテママ/雲ひとつない撒き餌/そろばん６級/ジョウドア(2)/投票ボーナス(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,13位,やんわり,そり立つ俺,23,62.53,粉石鹸/夜食(2)/キャタピラ/半加害/ねこめんたい/ちゃぶ/山吹(3)/机上で実演/ミニお馬/じす/ジーコニオ/狩野棚世/ふじじじがが/ポレモロ/ヤンニョム/犬ヒロシ/強炭酸/投票ボーナス(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,13位,ハマー市長,踏んできた人を好きな子にする,23,62.53,眉間のふち/イタリア長介/こんなところにエビチリ(3)/射的屋/ギロッポンの課長/バジルごはん/ふじじじがが/年下の義母(2)/ヤンニョム/Uttl/ジョウドア/hakumai4(3)/ドンドコドゥン(2)/ばば/投票ボーナス(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,13位,井上ヘノシタ,蹴られて惜しい顔する,23,62.53,ちきちきた/くじ運/がんばりま翔/やんわり/7si(2)/机上で実演/nkn(2)/にらお/ジーコニオ(2)/雲ひとつない撒き餌(3)/ドンドコドゥン(2)/microMD(2)/また師走が来たよ/投票ボーナス(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,13位,農家,まずこちらが踏んであげる,23,62.53,眉間のふち/EPOCALC/ずずエさん/セイカ(2)/サカナノメ(2)/ちゃぶ/天国かラスベガス/ちゃ柴/射的屋/nkn/狩野棚世(3)/ポレモロ/ミズイチ/レッシー/干し柿/暮氏/オレコマンダー(3)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,13位,長い魚,まずは踏んでみる,23,62.53,ずずエさん/ねくら/サカナノメ/えび/のす/射的屋/モチ/ミニお馬/じす/ふじじじがが/井原犬/ミズイチ/レッシー/年下の義母(3)/ことこ/オレコマンダー/ウルトラにゃんこ(3)/ばば(2)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,20位,hiha,「ご自由にお踏み下さい」でバズる,22,61.23,眉間のふち/EPOCALC/粉石鹸/baseball /オタワダル/ねくび/半加害/モチ/じす/ジーコニオ/tea-cat/森さんです。(2)/レッシー/クマ牧場/オレコマンダー/ドンドコドゥン(3)/にょN/ばば(2)
1723_4686_XJF,2023-09-19,124人,好きな子に踏んでもらいたい人が思い付いた作戦の内容とは,NA,20位,年下の義母,まず本当に好きだというとこを伝える,22,61.23,くじ運/さいばハチ/こんなところにエビチリ/ハマー市長(2)/7si(2)/ちゃ柴/にらお/確率論のパラテママ/レッシー/ヤンニョム/さすけのお兄/随契/sikou(2)/microMD(3)/投票ボーナス(3)
