お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,1位,約13個入り,直したものがこちら,38,82.43,ポエム/ＣＭＣ/綾/やんわり/ロキ/新人しじみ/shaman(2)/フェイクファー/すでショ/続きを読む/泥豚/Yokuboy/少しだけ賢い/ちぇみちぇみ！/ぺーるおれんじ/🦑(2)/てんまる(2)/F難度フェルナンド/しらたき/囀/ランゲル・ハンス/気球マイスター/お湯ドラ/ことこ/強炭酸/ニア・ディゾン/やもりみゆき/Ytterbium(3)/長老_M/エーゴ/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,2位,泥豚,社風に合ってますけどね,37,81.12,EPOCALC/とんでも左大臣/やんわり(2)/shaman/ペン/ドロレス・グランギニョル/みずもと/屋内用雨傘/少しだけ賢い/ぺーるおれんじ/てんまる/伯林/遠くを見ている/F難度フェルナンド/しらたき/森林/ねこみー/囀/ランゲル・ハンス/フイ/ざいす/イロハ/強炭酸/Fコード弾け/ニア・ディゾン/長老_M/すーず/sakasama(2)/えび/エーゴ/みすちーZ/エレメノピー/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,3位,Fコード弾け,機械には出せない味っすよね,33,75.89,ねこめんたい/ひゑ/nkn/EPOCALC/新人しじみ/つゆだQ/義理の姉です。/みずもと/すかい/屋内用雨傘/干し柿/冷凍トイレ/コトバの踊り場(3)/てんまる/チョリ葬(2)/しらたき/囀/わんわんお/りと°/イワザル/噛み切り蟲/もも/Ytterbium(2)/すーず/AYAKA/みすちーZ/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,4位,すでショ,でも五・七・五ですよ,29,70.67,ポエム/ＣＭＣ/ねこめんたい/ひゑ/もるぺちda/monika/みずもと/アキ僕/すかい/ささきこいよ(2)/泥豚/Yokuboy/冷凍トイレ/コトバの踊り場(3)/F難度フェルナンド/ゼンザイさん(2)/ねこみー/りと°/ことこ/ニコニコバター(2)/モチ/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,5位,ばば,やっとこっち見てくれたね,28,69.36,ＣＭＣ(2)/綾/ロキ/shaman(2)/義理の姉です。(2)/すでショ/みずもと/屋内用雨傘/干し柿/ちぇみちぇみ！/あおだも/F難度フェルナンド/ぐれいそん/囀/気球マイスター/ニコニコバター(2)/約13個入り/やもりみゆき/えび/みすちーZ/エレメノピー/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,5位,めこめこ,それ僕の苗字です,28,69.36,綾/紆余曲折(2)/やんわり/monika/春立てる西陣織/つゆだQ/義理の姉です。(2)/みずもと/アキ僕/すかい/赤色のメイさん/かおりゅ(2)/がんばりま翔/Yokuboy/ばば/チョリ葬(2)/ゼンザイさん(2)/3ねこ/気球マイスター/お湯ドラ/イロハ/なしん(2)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,7位,やんわり,それ3巻でわかります,27,68.05,ＣＭＣ(2)/ひゑ/nkn/ロキ/monika/春立てる西陣織(2)/新人しじみ/ペン/MM/ドロレス・グランギニョル/みずもと/冷凍トイレ/伯林/はちわれ/森林/TMY/お湯ドラ/約13個入り/ニア・ディゾン/噛み切り蟲/エレメノピー(2)/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,8位,MM,自由律です,26,66.74,ポエム/紆余曲折/monika/春立てる西陣織(3)/shaman/雲ひとつない撒き餌(2)/すでショ/がんばりま翔/ばば/ポジ(2)/ぺーるおれんじ/はちわれ/TMY/フイ/ざいす/ニコニコバター/Fコード弾け/ニア・ディゾン/AYAKA/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,8位,紆余曲折,お見事、予選通過です,26,66.74,ＣＭＣ/EPOCALC/とんでも左大臣(2)/ロキ/monika/雲ひとつない撒き餌/泥豚/干し柿/あおだも/レッシー/ニンニキニキニキ/はちわれ/TMY/ぐれいそん/フイ/りと°/約13個入り/強炭酸/きなこステップ/イワザル/sakasama/みすちーZ/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,10位,とんでも左大臣,やっと叱れましたね,24,64.13,雲ひとつない撒き餌/みずもと/赤色のメイさん/屋内用雨傘/干し柿/てんまる/レッシー/森林/囀/りと°/ことこ/約13個入り/ニア・ディゾン/やもりみゆき(3)/噛み切り蟲(2)/長老_M/すーず/みすちーZ/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,10位,イワザル,退職願に添削するの珍しいすね,24,64.13,EPOCALC/monika/義理の姉です。(2)/アキ僕/すかい/Yokuboy(2)/コトバの踊り場(2)/レッシー/F難度フェルナンド/しらたき/きなこステップ/るーりき(2)/Fコード弾け/なしん(3)/sakasama/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,12位,みずもと,そこ名前です,23,62.82,ポエム/やんわり/ペン/すでショ/ドロレス・グランギニョル/泥豚/ポジ/バジルごはん(2)/🦑/ドゥラちゃん/3ねこ(2)/ランゲル・ハンス/るーりき/ニア・ディゾン/なしん(2)/sakasama/えび/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,12位,伯林,気付くとこまでは良かったですね,23,62.82,ＣＭＣ/とんでも左大臣/雲ひとつない撒き餌/ドロレス・グランギニョル/アキ僕/ばば/てんまる/レッシー/ゆい/F難度フェルナンド/森林/囀/フイ/イロハ/約13個入り/きなこステップ/噛み切り蟲/長老_M/すーず/エーゴ/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,14位,すーず,仲良い人にはわかるようにしてます,21,60.21,ポエム/ＣＭＣ(2)/nkn/雲ひとつない撒き餌/みずもと/アキ僕/屋内用雨傘/冷凍トイレ/ニンニキニキニキ/ゆい(2)/はちわれ/気球マイスター/ことこ/約13個入り/長老_M/みすちーZ/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,15位,きなこステップ,あと6個間違いがあります,20,58.9,ポエム/ＣＭＣ/もるぺちda/綾/雲ひとつない撒き餌/すかい(2)/ささきこいよ(2)/かおりゅ/冷凍トイレ/チョリ葬(2)/森林/ぐれいそん/イワザル/みすちーZ/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,15位,みすちーZ,でもベンツ乗ってるので,20,58.9,ひゑ/春立てる西陣織/つゆだQ/ペン/アキ僕/泥豚/干し柿/ポジ(2)/少しだけ賢い/ちぇみちぇみ！/ぺーるおれんじ/バジルごはん/てんまる/伯林/囀/長老_M/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,15位,ゼンザイさん,らしいっすね,20,58.9,ポエム/ＣＭＣ/ねこめんたい/ひゑ/EPOCALC/屋内用雨傘/がんばりま翔/干し柿/ばば/ぺーるおれんじ/あおだも/ニンニキニキニキ/伯林/ドゥラちゃん/ランゲル・ハンス/フイ/エレメノピー/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,15位,ニア・ディゾン,態度で変えてますんで,20,58.9,新人しじみ/雲ひとつない撒き餌/すかい/がんばりま翔/ポジ(2)/少しだけ賢い/ちぇみちぇみ！/🦑(2)/あおだも/遠くを見ている/森林/囀/ランゲル・ハンス/りと°/AYAKA/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,15位,囀,もう誤字なので帰らせていただきます,20,58.9,新人しじみ/ドロレス・グランギニョル(2)/赤色のメイさん/冷凍トイレ/バジルごはん/ゼンザイさん/気球マイスター/イロハ(2)/きなこステップ/るーりき(2)/噛み切り蟲/なしん(2)/もも/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,15位,（宇宙）,やっと一つ目ですか,20,58.9,ポエム/ＣＭＣ(2)/やんわり/ロキ/春立てる西陣織/つゆだQ/フェイクファー/みずもと/赤色のメイさん/冷凍トイレ/ぐれいそん/お湯ドラ(2)/ことこ/約13個入り/きなこステップ/イワザル/モチ/やもりみゆき
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,21位,がんばりま翔,それ言うの3人目です,19,57.59,ＣＭＣ/とんでも左大臣/ロキ/義理の姉です。/雲ひとつない撒き餌/アキ僕/ささきこいよ/屋内用雨傘/Yokuboy/ばば/ちぇみちぇみ！/はちわれ/ぐれいそん/わんわんお/イロハ/長老_M/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,21位,フイ,お前って言いました？,19,57.59,やんわり/ペン/続きを読む/アキ僕/すかい/かおりゅ(2)/ちぇみちぇみ！/レッシー/伯林/遠くを見ている/チョリ葬/ねこみー/ことこ/もも/長老_M/投票ボーナス(3)
1076_6512_ARJ,2023-09-25,106人,上司「お前ここの文章おかしいぞ」俺「〇〇〇〇〇〇」,NA,21位,フェイクファー,そこは女の担当でした,19,57.59,MM/Yokuboy/あおだも/伯林/ゆい/遠くを見ている/しらたき/りと°/ニコニコバター/Fコード弾け/ニア・ディゾン/噛み切り蟲(2)/もも/すーず/AYAKA/投票ボーナス(3)
