お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1302_6645_WIX,2023-09-28,124人,妖精がいつもきらきら光っている意外な理由とは？,NA,1位,珍百景のクロ,よく読まずに契約した,62,99.17,石原消し炭/bb39(2)/大体いつも眠い人/DJBK/おあつらえ(3)/さらえん/いぬまる/ぼんやり/取引先/漁ると雷降る/超ピンク(2)/架空の島田/よんろくにーにー/テツ/わたなべいびー/ぐれいそん/3ねこ(2)/ワッタ〜軍曹(3)/あまちゃんIII/そにぃ(2)/補助輪３(3)/かたみみ/鈴木ヘッジホッグ/モチ/パブロ風の犬/白昼ドードー/ジーコニオ/ポエム/なのはなし/bigjoy/副菜/うえじゅん/カクレミノムシ/なまこP/無明海/グシャグシャバキバキ/枡田アンディ(2)/9月が終わったら起こして/幻/螺旋貝柱/安達些細/みつき(3)/夜食/旅人/ほぷちー/ノコノコdeath/投票ボーナス(3)
1302_6645_WIX,2023-09-28,124人,妖精がいつもきらきら光っている意外な理由とは？,NA,2位,ほん,つけっぱなしの方が電気代が安い,59,96.07,石原消し炭/bb39(3)/珍百景のクロ(2)/るーりき/おあつらえ(2)/さらえん/漁ると雷降る/☆シナモン☆(2)/架空の島田/よんろくにーにー/テツ/わたなべいびー/ニア・ディゾン/あすりん/ミスティカティ/まちょ/あまちゃんIII/かたみみ(2)/鈴木ヘッジホッグ/パブロ風の犬/緑峰/ゼロの使い魔/椎田/ジーコニオ/夜のこさたに/bigjoy(2)/よれよれ(2)/赤黄色/さゆわうが/ニナモリ/カクレミノムシ/なまこP/枡田アンディ(2)/こやや/ワサビコーラ/ジョセフ/夜食/そろばん６級/七輪車(2)/人参屋(3)/ほぷちー(2)/ノコノコdeath/さんれん/投票ボーナス(3)
1302_6645_WIX,2023-09-28,124人,妖精がいつもきらきら光っている意外な理由とは？,NA,3位,おあつらえ,法律上は飛行機に分類されている,37,73.31,bb39(3)/さらえん/kubodi/鈴本(3)/ぼんやり/TMY/よんろくにーにー/あすりん/あまちゃんIII/両者うつ伏せ(3)/セコイア/安部横暴(3)/赤黄色/ホルシュタイン(3)/がんばりま翔/なまこP/安達些細/みつき(2)/さんだる/ほん/七輪車(2)/ノコノコdeath/投票ボーナス(3)
1302_6645_WIX,2023-09-28,124人,妖精がいつもきらきら光っている意外な理由とは？,NA,4位,パブロ風の犬,消すリモコンを失くした,35,71.24,石原消し炭/おあつらえ(2)/さらえん/kubodi/muhyo/ぼんやり/超ピンク/ニア・ディゾン/アンサイン(2)/かたみみ/するめ/鈴木ヘッジホッグ/緑峰/白昼ドードー/ジーコニオ/なのはなし/夜のこさたに/副菜(2)/フォークソング研究部/ニナモリ/ヤバいマイケル屋さん/うえじゅん/なまこP/グシャグシャバキバキ/枡田アンディ(2)/幻/螺旋貝柱/AQ/投票ボーナス(3)
1302_6645_WIX,2023-09-28,124人,妖精がいつもきらきら光っている意外な理由とは？,NA,4位,モチ,夜道で轢かれたことがある,35,71.24,赤色のメイさん/鶴bay/泥豚/ぼんやり/取引先/ラジウス/超ピンク/お嬢様ですわぁ/アンサイン(2)/まちょ/補助輪３(2)/緑峰/セコイア/なのはなし/bigjoy/副菜/フォークソング研究部/近視性乱視/9月が終わったら起こして/こやや/螺旋貝柱/すぎもと(3)/さんだる/ほん/夜食/danes-sakano/ノコノコdeath/冷食パスタレビュー/投票ボーナス(3)
1302_6645_WIX,2023-09-28,124人,妖精がいつもきらきら光っている意外な理由とは？,NA,4位,安部横暴,消し方がわからない,35,71.24,石原消し炭/大体いつも眠い人/ラジウス/漁ると雷降る/架空の島田/よんろくにーにー/テツ/お嬢様ですわぁ/あすりん/3ねこ/ミスティカティ/ワッタ〜軍曹(2)/アンサイン/まちょ/補助輪３/かたみみ/ポエム/bigjoy/さゆわうが/ニナモリ/うえじゅん/9月が終わったら起こして/幻/螺旋貝柱/みつき(2)/ほん/そろばん６級/ほぷちー(2)/さんれん/投票ボーナス(3)
1302_6645_WIX,2023-09-28,124人,妖精がいつもきらきら光っている意外な理由とは？,NA,7位,さらえん,プレミア会員の特典,34,70.21,石原消し炭/珍百景のクロ/るーりき/ラジウス/漁ると雷降る/☆シナモン☆/お嬢様ですわぁ/ぐれいそん/あすりん/アンサイン/かたみみ(2)/椎田/ジーコニオ/安部横暴(3)/ホルシュタイン(2)/ニナモリ/近視性乱視/なまこP/螺旋貝柱/AQ/すぎもと/さんだる/ほん(2)/Yry/七輪車/ノコノコdeath/投票ボーナス(3)
1302_6645_WIX,2023-09-28,124人,妖精がいつもきらきら光っている意外な理由とは？,NA,7位,鼻腔炭酸,トンネルを通って消し忘れている,34,70.21,kubodi/取引先/オーバーニート(2)/be with you(3)/架空の島田/よんろくにーにー/お嬢様ですわぁ/パブロ風の犬/両者うつ伏せ/ゼロの使い魔/匿名匿名/安部横暴(3)/赤黄色/副菜/さゆわうが(2)/うえじゅん/近視性乱視/なまこP/グシャグシャバキバキ/螺旋貝柱/AQ/ほん/ほぷちー(3)/投票ボーナス(3)
1302_6645_WIX,2023-09-28,124人,妖精がいつもきらきら光っている意外な理由とは？,NA,9位,三ル貝,大学デビュー以来やめ時を見失っている,30,66.07,kubodi/いぬまる/取引先/超ピンク/TMY/鼻腔炭酸(2)/相馬/ニア・ディゾン/両者うつ伏せ/セコイア/ゼロの使い魔/なのはなし/安部横暴/ホルシュタイン(2)/未来永劫ちゃんねる/さゆわうが/ニナモリ/なまこP/グシャグシャバキバキ/こやや/幻/AQ/すぎもと/夜食/人参屋/投票ボーナス(3)
1302_6645_WIX,2023-09-28,124人,妖精がいつもきらきら光っている意外な理由とは？,NA,10位,アンサイン,パソコンが熱くなるのと同じ,29,65.04,be with you/TMY/よんろくにーにー/ニア・ディゾン(2)/3ねこ/まちょ/緑峰/白昼ドードー/ジーコニオ/副菜/ゐぬゐ(3)/カクレミノムシ(2)/近視性乱視/グシャグシャバキバキ/9月が終わったら起こして/幻/ジョセフ/安達些細/hiha/夜食/旅人(2)/投票ボーナス(3)
