お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1756_8679_NGV,2023-10-09,94人,彼女との待ち合わせ時間に遅れたときでも許された言い訳とは,NA,1位,良識,各停より俺の方が早いと思って,26,77.15,そめはてこ/さかまろ(2)/循環器/森さんです。/下位打線/えのきときのこ(2)/文句文句/オールド/zenza-desu/いいも/修業僧(2)/赤い髪/大晦日(2)/干し柿/玄の字。/そろばん６級/犬ドリル/山田生姜/まったん冷え性/投票ボーナス(3)
1756_8679_NGV,2023-10-09,94人,彼女との待ち合わせ時間に遅れたときでも許された言い訳とは,NA,1位,赤ドラの嶺上クス,ごめん籍入れてて,26,77.15,ギャラクシー/森さんです。/んぬ/大庭刀(2)/辺見豪/ちぇみちぇみ！/せりか/修業僧/絶命/やまもん/約13個入り/No Image/お海/だだむだむ/ちゃ柴/ささきこいよ(2)/てれび/玄の字。/ナラケン/そろばん６級/わたなべいびー/投票ボーナス(3)
1756_8679_NGV,2023-10-09,94人,彼女との待ち合わせ時間に遅れたときでも許された言い訳とは,NA,3位,えのきときのこ,今度映画になるから,24,73.72,良識/地の利(2)/大庭刀/辺見豪/ちぇみちぇみ！/prpp/ずずエさん/文句文句/平凡ぽんち/絶命/約13個入り/No Image/お海/干し柿/玄の字。/いちご/ナラケン/フェイクファー/まったん冷え性/ミニベロ/投票ボーナス(3)
1756_8679_NGV,2023-10-09,94人,彼女との待ち合わせ時間に遅れたときでも許された言い訳とは,NA,4位,てれび,見て、この汗,23,72.01,良識/偶出殴流(2)/んぬ/ちぇみちぇみ！/高見盛/zenza-desu/松尾(2)/azu/No Image/干し柿/だだむだむ/国産/フェイクファー/山田生姜/まったん冷え性/Ytterbium/オレコマンダー/えび/投票ボーナス(3)
1756_8679_NGV,2023-10-09,94人,彼女との待ち合わせ時間に遅れたときでも許された言い訳とは,NA,4位,ペン,なんか時計が嫉妬で狂ってたみたい,23,72.01,半丙太/さかまろ/地の利(2)/高見盛/prpp/平凡ぽんち/zenza-desu/土編に花でゴミと読む/alpha/ととしゃん/azu/やまもん/だだむだむ/玄の字。/ナラケン/そろばん６級/四倉/Ytterbium/かたみみ/投票ボーナス(3)
1756_8679_NGV,2023-10-09,94人,彼女との待ち合わせ時間に遅れたときでも許された言い訳とは,NA,6位,偶出殴流,こういうの数えていきたい,22,70.29,半丙太/文句文句/修業僧(3)/約13個入り(2)/No Image(2)/お海/国産/四倉/犬ドリル(2)/フェイクファー/山田生姜/まったん冷え性/Ytterbium/ミニベロ/投票ボーナス(3)
1756_8679_NGV,2023-10-09,94人,彼女との待ち合わせ時間に遅れたときでも許された言い訳とは,NA,7位,だだむだむ,音姫が泣き止まなくてさ,21,68.58,にいがた/そめはてこ/ギャラクシー/さかまろ/んぬ/prpp/ペン/大晦日/赤ドラの嶺上クス/松尾(2)/約13個入り/ちゃ柴/てれび/双葉柿浦六番線/sakasama(2)/オレコマンダー/投票ボーナス(3)
1756_8679_NGV,2023-10-09,94人,彼女との待ち合わせ時間に遅れたときでも許された言い訳とは,NA,8位,ささきこいよ,ごめんこの車買ってた,20,66.87,さかまろ/循環器/地の利/キチン南蛮/ちぇみちぇみ！/平凡ぽんち/こうつべ/アレルゲン/赤ドラの嶺上クス/松尾/33/だだむだむ(2)/いちご/ナラケン/そろばん６級/まったん冷え性/投票ボーナス(3)
1756_8679_NGV,2023-10-09,94人,彼女との待ち合わせ時間に遅れたときでも許された言い訳とは,NA,8位,わたなべいびー,菊池か菊地か迷って,20,66.87,後悔しない名前を付けよう/良識/ちぇみちぇみ！/文句文句/平凡ぽんち/ととしゃん/お海/ささきこいよ/双葉柿浦六番線/鮒侍/ナラケン/そろばん６級/四倉(2)/フェイクファー/山田生姜/えび/投票ボーナス(3)
1756_8679_NGV,2023-10-09,94人,彼女との待ち合わせ時間に遅れたときでも許された言い訳とは,NA,8位,キチン南蛮,たまごっち看取ってた,20,66.87,川龍/半丙太/森さんです。/prpp/オールド/アレルゲン/絶命/お海/だだむだむ/双葉柿浦六番線/国産/四倉/sakasama/フェイクファー/山田生姜/かたみみ(2)/投票ボーナス(3)
1756_8679_NGV,2023-10-09,94人,彼女との待ち合わせ時間に遅れたときでも許された言い訳とは,NA,11位,zenza-desu,その顔が見たかった,19,65.16,循環器/下位打線/せりか/文句文句/ペン/alpha/お海/33/だだむだむ/てれび/いちご/そろばん６級/ふゆる(2)/犬ドリル/わたなべいびー/投票ボーナス(3)
