お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0309_7813_ISI,2023-10-17,95人,鬼に金棒。俺に〇〇。,NA,1位,おおちゃん@ジャン鶴,原因があるはず,42,88.96,ぎのもの/コオロギ(2)/手すり野郎/フェイクファー/ネクストン/ミスティカティ(2)/りと°/かまとと/茄ッ子/ふわっと/長老_M/ヤバいマイケル屋さん/kubodi/フォークソング研究部/レッシー/おとうふ。/マービィ(2)/泥豚/xos/大喜利の母(2)/ちくわうし/灰色こたつ/GYAI/星ドッラ/メイド・イン・ムーン/煮込みVUITTON/修羅浜(3)/エレメノピー/yopipi(3)/ゃまゃま/電球くん/投票ボーナス(3)
0309_7813_ISI,2023-10-17,95人,鬼に金棒。俺に〇〇。,NA,2位,マービィ,も家族がいるんです,35,79.42,コオロギ(3)/椎茸キング/大体いつも眠い人/aquaharuka/伯林/犬ドリル/フェイクファー/やさパン(3)/オガサワラオオコウモリ/かまとと/あの日のニンニ/ことこ/ふわっと/こま/sakasama/ポリエステルの産物/大喜利の母/かたみみ/GYAI/ふゆる/とほ/星ドッラ/メイド・イン・ムーン/てねんすい/煮込みVUITTON/ゃまゃま/よれよれ/電球くん/投票ボーナス(3)
0309_7813_ISI,2023-10-17,95人,鬼に金棒。俺に〇〇。,NA,3位,紆余曲折,向かってきてないか,31,73.98,ぎのもの/コオロギ(3)/aquaharuka/サータandみょん/ドバイ民謡/＃の中のカマ吉くん/りと°/かまとと/あの日のニンニ/スイートランド/こま/xos/PD/ちくわうし/灰色こたつ/GYAI/星ドッラ/メイド・イン・ムーン/修羅浜(3)/エレメノピー(2)/なしくずし/限界高校三年生/よれよれ/投票ボーナス(3)
0309_7813_ISI,2023-10-17,95人,鬼に金棒。俺に〇〇。,NA,4位,ゃまゃま,も同じものを１つ,30,72.62,えーす/ごじょう　さとらない/U7ypK/大体いつも眠い人/薄羽無縁/犬ドリル/やさパン(2)/ドバイ民謡/＃の中のカマ吉くん/ミズイチ/あの日のニンニ/三ル貝/オレコマンダー/フォークソング研究部/レッシー/sakasama(2)/シング/ラプンツェル/かたみみ/GYAI/とほ/星ドッラ/フェルメール/よれよれ(2)/投票ボーナス(3)
0309_7813_ISI,2023-10-17,95人,鬼に金棒。俺に〇〇。,NA,5位,手すり野郎,渡したら鬼こっち来ちゃうだろ,29,71.25,ごじょう　さとらない/U7ypK/大体いつも眠い人/クープラン/やさパン(3)/三ル貝/ヤバいマイケル屋さん/こま/wanumayu(3)/sakasama(2)/おとうふ。/マービィ/泥豚/ラプンツェル(2)/てねんすい/さんだる/エレメノピー/yopipi(3)/投票ボーナス(3)
0309_7813_ISI,2023-10-17,95人,鬼に金棒。俺に〇〇。,NA,6位,おとうふ。,物理攻撃は効かない,25,65.81,コオロギ(3)/えーす/サータandみょん/犬ドリル/オガサワラオオコウモリ/あの日のニンニ/茄ッ子/ヤバいマイケル屋さん/フォークソング研究部(2)/レッシー/マービィ/ポリエステルの産物/ちくわうし/おおちゃん@ジャン鶴/りゅーとぴあ/とほ/煮込みVUITTON/よれよれ(2)/投票ボーナス(3)
0309_7813_ISI,2023-10-17,95人,鬼に金棒。俺に〇〇。,NA,6位,スイートランド,そう言ってくれたじゃないか,25,65.81,ぎのもの/えーす/ごじょう　さとらない/U7ypK/大体いつも眠い人/aquaharuka/手すり野郎(2)/Mebiria/TMY/Uttl/ヘルシー帝/ふわっと/マービィ/ポリエステルの産物/灰色こたつ/おおちゃん@ジャン鶴/するめ/星ドッラ/桃山ももたろう(3)/投票ボーナス(3)
0309_7813_ISI,2023-10-17,95人,鬼に金棒。俺に〇〇。,NA,8位,サバイブレーション,だけ怒ってる,24,64.44,ぎのもの/ごじょう　さとらない/クープラン/薄羽無縁/伯林/犬ドリル/Uttl/＃の中のカマ吉くん/りと°/ミズイチ/ヘルシー帝/新Goo/ふわっと/こま(2)/マービィ/泥豚/PD(2)/おおちゃん@ジャン鶴/紆余曲折/メイド・イン・ムーン/煮込みVUITTON/さんだる
0309_7813_ISI,2023-10-17,95人,鬼に金棒。俺に〇〇。,NA,8位,シング,黙秘権ありますよね,24,64.44,ごじょう　さとらない/U7ypK/aquaharuka/伯林/犬ドリル/TMY(2)/＃の中のカマ吉くん/ミスティカティ(2)/りと°/オレコマンダー/スイートランド/マービィ/泥豚/xos(2)/りゅーとぴあ/とほ/星ドッラ/ゃまゃま/投票ボーナス(3)
0309_7813_ISI,2023-10-17,95人,鬼に金棒。俺に〇〇。,NA,8位,メイド・イン・ムーン,乞うご期待,24,64.44,ぎのもの/えーす/手すり野郎/サータandみょん/＃の中のカマ吉くん/オガサワラオオコウモリ(2)/新Goo/マービィ(2)/泥豚/シング/ラプンツェル(2)/ちくわうし/GYAI(2)/紆余曲折/煮込みVUITTON/奇淋/電球くん/投票ボーナス(3)
