お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1307_9018_JKQ,2023-10-20,89人,あくびしたら死ぬデスゲーム,NA,1位,たくみす,昼飯の後めっちゃ死んだ,28,79.45,taka/ちんほ。/たけだけ/長老_M/ガリガリプリン/ハ生ム/Yokuboy/螺旋貝柱/ナーフ世界(2)/ホルシュタイン(2)/ゃまゃま/干し柿/サイコパス金子/メソッド/遺跡発掘調査補助員/ノニバス/ノコノコdeath/カク・ブツチチ/女将/ラドへ/綾/Y-Not/ミズイチ/投票ボーナス(3)
1307_9018_JKQ,2023-10-20,89人,あくびしたら死ぬデスゲーム,NA,2位,トリニダード木箱,これから皆様には コ コ ア を 飲 ん で い た だ き ま す,26,76.08,たけだけ/５周年(2)/ハ生ム/Yokuboy/切腹きゅうり(3)/ホルシュタイン(3)/ゃまゃま/メソッド/遺跡発掘調査補助員/ドライバー(3)/三島/冷食パスタレビュー/あぺ(2)/桜桃(2)/投票ボーナス(3)
1307_9018_JKQ,2023-10-20,89人,あくびしたら死ぬデスゲーム,NA,3位,たけだけ,脱落する事を「おねんね」と呼んでいる,23,71.03,自称賞レースマニア/ぐれいそん/まちょ/ガリガリプリン/リコリス・ラヂアータ/螺旋貝柱/ナーフ世界(2)/くろぶち/とみ(2)/粉石鹸/qwerty/にじょー/ミラー/フィ/オールド/ラドへ/綾/ねこみー/投票ボーナス(3)
1307_9018_JKQ,2023-10-20,89人,あくびしたら死ぬデスゲーム,NA,4位,No Image,涙のわけを聞かれる,21,67.66,サンプリ/高見盛/螺旋貝柱/Haruru/ジェンツーペンギン/とみ(2)/メソッド/にじょー(2)/カク・ブツチチ/カルデラ/マイナスいち髪/オールド/ラドへ(2)/綾/ミズイチ/投票ボーナス(3)
1307_9018_JKQ,2023-10-20,89人,あくびしたら死ぬデスゲーム,NA,4位,ノコノコdeath,デス例として松本人志の我慢笑いがあった,21,67.66,ガチしょんぼり沈殿丸/ああああああ(3)/高見盛/リコリス・ラヂアータ/サイコパス金子/nk(3)/ドライバー(3)/りゅーちん(2)/ラドへ(2)/綾/投票ボーナス(3)
1307_9018_JKQ,2023-10-20,89人,あくびしたら死ぬデスゲーム,NA,4位,遺跡発掘調査補助員,死体見て耐える,21,67.66,自称賞レースマニア/サメVS巨大タコス/高見盛/長老_M/Yokuboy/くろぶち/夏のワルプルギス(3)/はちわれ/干し柿/No Image/メソッド(2)/ししだ/オールド/ラドへ/たくみす/投票ボーナス(3)
1307_9018_JKQ,2023-10-20,89人,あくびしたら死ぬデスゲーム,NA,7位,くろぶち,変顔みたいな死体が並んでる,20,65.98,長老_M/５周年(2)/ハ生ム/螺旋貝柱/Haruru(2)/ホルシュタイン/むらさき(2)/No Image/トリニダード木箱/にじょー/山本社出版数学Ⅲ/ラドへ(2)/ミズイチ/投票ボーナス(3)
1307_9018_JKQ,2023-10-20,89人,あくびしたら死ぬデスゲーム,NA,7位,ノニバス,土曜日の昼に始まる,20,65.98,ガリガリプリン/螺旋貝柱/Haruru/ジェンツーペンギン/干し柿/ダンボール重戦車/ししだ/帰る亭中野周辺/ne(2)/にじょー/あぺ(3)/女将/ラドへ(2)/投票ボーナス(3)
1307_9018_JKQ,2023-10-20,89人,あくびしたら死ぬデスゲーム,NA,7位,螺旋貝柱,ではまず古文の授業を受けてもらう,20,65.98,自称賞レースマニア/ぐれいそん/まちょ/長老_M/mow/自動車部員/だから何？/No Image/サイコパス金子/メソッド(2)/nk/ペン/カク・ブツチチ/冷食パスタレビュー/ミズイチ/たくみす/投票ボーナス(3)
1307_9018_JKQ,2023-10-20,89人,あくびしたら死ぬデスゲーム,NA,10位,Yokuboy,長話だけで生き残ったおばさん,19,64.3,サンプリ/ガチしょんぼり沈殿丸/自称賞レースマニア/たけだけ/長老_M/ハ生ム/くろぶち(2)/粉石鹸/ne(2)/フィ(2)/山本社出版数学Ⅲ/ラドへ/ねこみー/投票ボーナス(3)
1307_9018_JKQ,2023-10-20,89人,あくびしたら死ぬデスゲーム,NA,10位,でっっっか〜〜〜〜い肝臓,誰かが死ぬと主催者がおやすみなさいって言ってくれる,19,64.3,ちんほ。/まちょ/リコリス・ラヂアータ/ハ生ム/螺旋貝柱/とみ/No Image/ダンボール重戦車/ドライバー/ペン/三島/ミラー/カク・ブツチチ/ねこみー/桜桃(2)/投票ボーナス(3)
