お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0714_5026_JMN,2023-10-22,145人,迷いヶ丘住宅地にありがちなこと,NA,1位,さかョ,「行けたら行くわ」がガチ,59,89.9,ねこめんたい(2)/にじょー/T-FOX(2)/こんなところにエビチリ(3)/ホソカワタタ/阿吽/ミニお馬/COMA(2)/みつやLoL/あとひとつ流星群/Mebiria/じす/大晦日/ぽぽぽまる(2)/よれん/チ カ/ななぴ/イワザル/わたなべいびー/アップルティー/和栗モンブランソフト山田/半ちく/東松永/空力/Uttl/ドンドコドゥン/能動的三半規管(2)/櫻井/泥豚/morisho/週休2日/白犬/らうかった/ちくわご飯/モチ/嗚呼/さりつかいし/かﾟら/業務用虚無(3)/まちょ/たくみす/茄ッ子/えび/さんだる/ああああああ/ごまもなか/くじ運/投票ボーナス(3)
0714_5026_JMN,2023-10-22,145人,迷いヶ丘住宅地にありがちなこと,NA,2位,阿吽,珍しい苗字を目印にする,54,85.02,フェイクファー/ねこめんたい/T-FOX/こんなところにエビチリ/月の瞼/COMA(2)/IWA/やや不安(2)/watoson/のちほど/じす/サメVS巨大タコス/パブロ風の犬/犬クジラ/根も葉もブルー/知恵の輪(2)/らっこ/わたなべいびー/アップルティー(2)/がんばりま翔/sAwArA/東松永/Uttl(2)/るーりき/泥豚/メソッド/さかョ/クイズ次郎/白犬/らうかった/二人称(2)/ヘルシー帝/モチ/嗚呼/さりつかいし/かﾟら/8億(2)/業務用虚無(2)/たくみす/あのさ、前から/まったり/nada/くじ運/投票ボーナス(3)
0714_5026_JMN,2023-10-22,145人,迷いヶ丘住宅地にありがちなこと,NA,3位,ペン,「ケ」か「ヶ」でもう迷う,45,76.25,にじょー/T-FOX(2)/温め鳥(3)/モチオ(2)/COMA(2)/watoson/サメVS巨大タコス/ラジウス/ドライバー(2)/低血圧/根も葉もブルー/ラドへ(2)/ななぴ/ベモペギ/わたなべいびー/濡れコップ/能動的三半規管/るーりき/メソッド/薄羽無縁/フェルメール/世界の牛肉/モチ/毒ぶどう/ドロレス・グランギニョル/8億/ばっは/HS三遊間/業務用虚無(2)/５周年(2)/さんだる/ああああああ/ごまもなか/投票ボーナス(3)
0714_5026_JMN,2023-10-22,145人,迷いヶ丘住宅地にありがちなこと,NA,4位,ホソカワタタ,最寄り駅まで徒歩5~35分,44,75.27,にじょー/阿吽/モチオ/IWA/やや不安/watoson/ドライバー(2)/ぽぽぽまる(2)/ラドへ/ななぴ/イワザル/ベモペギ/わたなべいびー/射的屋/がんばりま翔/かまとと/和栗モンブランソフト山田/濡れコップ(2)/Uttl/ぴん/週休2日/白犬/らうかった/二人称(2)/ヘルシー帝/毒ぶどう/かﾟら/ドロレス・グランギニョル/きれいな市役所/あの日のニンニ/おのたねどね(2)/業務用虚無/リコリス・ラヂアータ/Chunbeam/レッシー/くじ運/投票ボーナス(3)
0714_5026_JMN,2023-10-22,145人,迷いヶ丘住宅地にありがちなこと,NA,5位,sAwArA,急にカーナビが黙る,43,74.3,バム(2)/阿吽/9月が終わったら起こして/watoson/Mebiria/じす/限界高校三年生/超ピンク/ラジウス/ペン/ドライバー(3)/低血圧/チ カ(3)/犬クジラ/ななぴ/らっこ/射的屋/半ちく/東松永/ドンドコドゥン/BBG/泥豚/薄羽無縁/白犬/世界の牛肉/そろばん６級/ちくわご飯/モチ/hiha/かﾟら/EPOCALC/絶命/たくみす/レッシー/ごまもなか/投票ボーナス(3)
0714_5026_JMN,2023-10-22,145人,迷いヶ丘住宅地にありがちなこと,NA,5位,さりつかいし,出られないから住んでる,43,74.3,こんなところにエビチリ/温め鳥(3)/ホソカワタタ(2)/副菜/watoson/のちほど/じす/パブロ風の犬/やまもん/ラドへ(2)/ベモペギ/スイートランド/アップルティー/敵刺/がんばりま翔/sAwArA/半ちく/東松永/濡れコップ/ドンドコドゥン/泥豚/白犬/世界の牛肉/毒ぶどう/かﾟら/にんげんざむらい(2)/gas/絶命/たくみす(2)/ミラー/リコリス・ラヂアータ/レッシー/ごまもなか/くじ運/投票ボーナス(3)
0714_5026_JMN,2023-10-22,145人,迷いヶ丘住宅地にありがちなこと,NA,7位,月の瞼,ただいま言いながら泣く,39,70.4,偶出殴流/こんなところにエビチリ(2)/副菜/ミニお馬/Mebiria/じす/限界高校三年生/超ピンク/ペン/チ カ/やまもん/根も葉もブルー/ラドへ/ななぴ/イワザル/あずメロ/射的屋/半ちく/泥豚/メソッド/世界の牛肉/ちくわご飯/モチ/嗚呼/さりつかいし/あの日のニンニ/住まなくても都/業務用虚無(2)/絶命/まちょ/nada/さんだる/リコリス・ラヂアータ/レッシー/投票ボーナス(3)
0714_5026_JMN,2023-10-22,145人,迷いヶ丘住宅地にありがちなこと,NA,8位,バム,もう今日はここんちで良いや,35,66.5,フェイクファー/COMA/やや不安/Mebiria/じす/限界高校三年生/大晦日/パブロ風の犬/根も葉もブルー/ななぴ/イワザル/わたなべいびー/射的屋/かまとと/和栗モンブランソフト山田/東松永/空力(2)/泥豚/さかョ/週休2日/フェルメール/そろばん６級/にんげんざむらい(2)/ドロレス・グランギニョル/あの日のニンニ/ばっは/たくみす/レッシー/帰る亭中野周辺/くじ運/投票ボーナス(3)
0714_5026_JMN,2023-10-22,145人,迷いヶ丘住宅地にありがちなこと,NA,9位,パブロ風の犬,散歩から犬だけ帰ってくる,34,65.52,フェイクファー/月の瞼/副菜/やや不安/のちほど/じす/超ピンク/大晦日/低血圧/ぽぽぽまる/イワザル/ベモペギ/半丙太/射的屋/sAwArA/東松永/Uttl/ドンドコドゥン/BBG/ぴん/泥豚/メソッド/さかョ/クイズ次郎/白犬/らうかった/きれいな市役所/絶命/まったり/オレコマンダー/Chunbeam/投票ボーナス(3)
0714_5026_JMN,2023-10-22,145人,迷いヶ丘住宅地にありがちなこと,NA,10位,らうかった,太陽がニつある,33,64.55,フェイクファー/タニンノネコニ/こんなところにエビチリ(3)/モチオ/ミニお馬/9月が終わったら起こして/のちほど/ドブねずみ/サメVS巨大タコス/超ピンク/ペン/ドライバー/犬クジラ/あずメロ/らっこ/スイートランド/プーアル茶/sAwArA/空力/morisho/ヘルシー帝/毒ぶどう/さりつかいし/まったん冷え性/ドロレス・グランギニョル/おのたねどね/茄ッ子/さんだる/投票ボーナス(3)
