お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0142_0590_SEG,2023-11-08,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0142_0590_SEG.jpg,1位,すけきよ,俺たち出禁だったのか,20,75.56,りす/ニア・ディゾン/電球くん/ウズマキガンキョウ/せりか/ぺんぺん草/ヤンマー部隊隊長/田口さん🍙/リック/ねりぁめ/おおちゃん@ジャン鶴/お嬢様ですわぁ/てっぺんざしお/クマ牧場/Houston/隈乃鼓動/ホトココア/投票ボーナス(3)
0142_0590_SEG,2023-11-08,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0142_0590_SEG.jpg,2位,遺跡発掘調査補助員,まだ冷麺やってんのか,19,73.24,絶望幼稚園/涙花/hiha/白黒まみれ/せりか/ヤンマー部隊隊長/ci-ca/くものす/こーきー/半丙太/さかまろ/バム/クマ牧場/ヨークシャベルナ/ポレモロ/ぷるちぽん/投票ボーナス(3)
0142_0590_SEG,2023-11-08,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0142_0590_SEG.jpg,3位,おおちゃん@ジャン鶴,やっぱり二次会あったんだな,18,70.92,hiha/休憩新人ポンコツ/Y-Not/せりか/野生のインドカレー/ヤンマー部隊隊長/田口さん🍙/こーきー(2)/もんさん/バム/お嬢様ですわぁ/てっぺんざしお/嬢ヶ崎/やや冷奴/投票ボーナス(3)
0142_0590_SEG,2023-11-08,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0142_0590_SEG.jpg,3位,生存権🚷,あの信号意味無いだろ,18,70.92,きみをゆるさない。/hiha/電球くん/Y-Not/夏のワルプルギス/コヲキ(2)/てっぺんざしお/インドスカイ/ヨークシャベルナ/ポレモロ/隈乃鼓動(3)/ホトココア/投票ボーナス(3)
0142_0590_SEG,2023-11-08,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0142_0590_SEG.jpg,5位,ヤンマー部隊隊長,いいポーチ売ってんな,17,68.6,絶望幼稚園/りす/800/きみをゆるさない。/POPOJI/Y-Not/zenza-desu/ねりぁめ/おおちゃん@ジャン鶴/バム/まきな/干し柿/ポレモロ/プーアル茶/投票ボーナス(3)
0142_0590_SEG,2023-11-08,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0142_0590_SEG.jpg,6位,800,お前信号って興味あるか,16,66.28,ウズマキガンキョウ/POPOJI/Y-Not/ぺんぺん草/ci-ca/カミソリドラゴン(2)/おおちゃん@ジャン鶴/バム/たこ焼きボンバー/干し柿/ぷるちぽん/ホトココア/投票ボーナス(3)
0142_0590_SEG,2023-11-08,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0142_0590_SEG.jpg,6位,長谷川キモ彦,おいあの店、P定食まであるぞ,16,66.28,りす/ウズマキガンキョウ/休憩新人ポンコツ/せりか/ぺんぺん草/ci-ca/半丙太/さかまろ/お嬢様ですわぁ/たこ焼きボンバー/クマ牧場/Houston/やや冷奴/投票ボーナス(3)
0142_0590_SEG,2023-11-08,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0142_0590_SEG.jpg,8位,半丙太,道端でトロフィー渡すかね,15,63.96,絶望幼稚園(2)/白黒まみれ/特殊人間/POPOJI/ぺんぺん草/ヤンマー部隊隊長/コトバの踊り場/インドスカイ/干し柿/プーアル茶(2)/投票ボーナス(3)
0142_0590_SEG,2023-11-08,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0142_0590_SEG.jpg,9位,にんげんざむらい,また俺ら抜きで同窓会やってるよ,14,61.64,もるぺちda/せりか/とんさ/ヤンマー部隊隊長/田口さん🍙/もんさん/カミソリドラゴン(3)/さかまろ/ナルシマアンバイ/ヨークシャベルナ/やや冷奴/プーアル茶
0142_0590_SEG,2023-11-08,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0142_0590_SEG.jpg,9位,ホトココア,なんで月って追いかけて来るんだろうな,14,61.64,ニア・ディゾン/ぺんぺん草/ci-ca/田口さん🍙/夏のワルプルギス(2)/ねくび/てっぺんざしお/コトバの踊り場/やや冷奴(2)/投票ボーナス(3)
