お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1612_6116_YRP,2023-11-10,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1612_6116_YRP.jpeg,1位,rayleigh,その殺し方、採用,32,83.47,ガ行(2)/723/あぐら/理科インターネット/💃/あやの/この後クリーム砲/えつこちゃん/月の瞼/あるくうに/えーす/女将/シーサイド品川/特殊人間/長老_M/カタン/さむちょ/黒太郎/右回りドサイドン(2)/やさパン/骨密度/Qr(2)/たこ焼きボンバー/偶出殴流/はちすぴー/alpha/投票ボーナス(3)
1612_6116_YRP,2023-11-10,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1612_6116_YRP.jpeg,2位,偶出殴流,俺も遭難だと思う,30,80.21,レッシー/800/双葉柿浦六番線/吉田小宇宙(2)/コトバの踊り場/rayleigh/とみ/鉄シャリ/smw(2)/💃/hiha/この後クリーム砲/篠岡ヘイゴ/ボチョムキン/月の瞼/テツ/あるくうに/シーサイド品川/バム/長老_M/みくすし/さむちょ/黒太郎/鯖度80％/Qr/投票ボーナス(3)
1612_6116_YRP,2023-11-10,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1612_6116_YRP.jpeg,3位,フイ,やっぱ野望あんじゃん,25,72.05,くものす(2)/800/コトバの踊り場/rayleigh/723/あぐら/きみをゆるさない。/篠岡ヘイゴ/ボチョムキン/えつこちゃん/POPOJI/月の瞼/Y-Not/バム/長老_M/ジョセフ/さむちょ/黒太郎/右回りドサイドン/偶出殴流/はちすぴー/投票ボーナス(3)
1612_6116_YRP,2023-11-10,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1612_6116_YRP.jpeg,4位,骨密度,出た武勇伝,24,70.41,へなちょこ/もるぺちda/rayleigh/smw(2)/フイ/hiha/この後クリーム砲/POPOJI/月の瞼/テツ/シーサイド品川/特殊人間/みくすし/ミッツ乾電池/ジョセフ/アイワ/やさパン/鯖度80％/daredayo/たこ焼きボンバー/投票ボーナス(3)
1612_6116_YRP,2023-11-10,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1612_6116_YRP.jpeg,5位,たこ焼きボンバー,出来ない理由ばっかりだな,22,67.15,大体いつも眠い人/へなちょこ(2)/くろねこ商会/723/この後クリーム砲/篠岡ヘイゴ/ボチョムキン/テツ/カミソリドラゴン(2)/星ドッラ/ミッツ乾電池/カタン/さむちょ/黒太郎/鯖度80％/Qr/はちすぴー/投票ボーナス(3)
1612_6116_YRP,2023-11-10,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1612_6116_YRP.jpeg,6位,800,今１つ叶ってんじゃん,20,63.88,双葉柿浦六番線/モチ/しろねこ(2)/ガ行/723/ケチャップ南蛮/ボチョムキン/月の瞼(2)/Y-Not/シーサイド品川/ミッツ乾電池(2)/ナルシマアンバイ/偶出殴流/はちすぴー/投票ボーナス(3)
1612_6116_YRP,2023-11-10,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1612_6116_YRP.jpeg,6位,くものす,な、屋根無いと明るいだろ,20,63.88,大体いつも眠い人/zenza-desu/ガ行/ケチャップ南蛮/フイ/半丙太/えつこちゃん/POPOJI/懐ヒロイン/月の瞼/あるくうに/長老_M/美夢莉杏(2)/アイワ/やさパン/Qr/投票ボーナス(3)
1612_6116_YRP,2023-11-10,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1612_6116_YRP.jpeg,8位,この後クリーム砲,帰りもお前運転,19,62.25,ぺーるおれんじ/大体いつも眠い人/双葉柿浦六番線/モチ/rayleigh/とみ/💃/hiha/長谷川キモ彦/月の瞼/りす/シーサイド品川/特殊人間/daredayo(3)/投票ボーナス(3)
1612_6116_YRP,2023-11-10,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1612_6116_YRP.jpeg,8位,アイワ,ダメな草なら先に言えよ,19,62.25,ぺーるおれんじ/くものす/鳴子レプシー/大体いつも眠い人/へなちょこ/しろねこ/ケチャップ南蛮/えつこちゃん/POPOJI/テツ/あるくうに/特殊人間/ジョセフ/黒太郎/鯖度80％/Qr/投票ボーナス(3)
1612_6116_YRP,2023-11-10,79人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1612_6116_YRP.jpeg,8位,大体いつも眠い人,やっぱ家って屋根が必要かもな,19,62.25,ゆかりそめ大明神/吉田小宇宙(3)/とみ/鉄シャリ/この後クリーム砲/篠岡ヘイゴ/ジョセフ/さむちょ/F難度フェルナンド/右回りドサイドン/Houston/鯖度80％/偶出殴流/alpha/投票ボーナス(3)
