お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,1位,とらぼーい,はっきり土地ゲーって言った,49,83.29,aquaharuka/こどおに/kubodi/ヨシ太郎/俺/ななぴ/ノーウェア/玄の字。/まちょ/緑峰/次善策(3)/架空の島田/かきのたね/バッカス後藤/白藍/shiron.(2)/トカゲの産毛/鈴木ヘッジホッグ/水の水割り/prpp/nya-./899/さむちょ/サンプリ/にんげんざむらい(2)/もりそば/低血圧/しおひがし/埼京線/ヨークシャベルナ/あとひとつ流星群/いいも/じゃん/粉石鹸/たくみす/モルティオン/ノニバス/のちほど/屋内用雨傘/毒ぶどう/黒胡椒/信じろ/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,2位,はちわれ,指で押して完熟っぽくする,43,77.16,花々/シーサイド品川/にいがた(2)/F難度フェルナンド/kubodi/ここはが/ヨシ太郎/Nemui/灰色こたつ/アイワ/何ともなきふぐ汁/まちょ/緑峰/ウラニワ/懐ヒロイン/かまとと/かきのたね/shiron./ミニお馬/鈴木ヘッジホッグ/nya-./chiwachiwa(2)/Hebereke(3)/大体いつも眠い人/shiganhei/クドウ/もりそば/低血圧/ヨークシャベルナ/雑兵/じゃん/まきびし/もんの神(2)/モルティオン/かくれどり/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,3位,シーサイド品川,服に土が付いてから一言も喋らない,41,75.11,Heaven/ここはが/灰色こたつ(2)/俺/ノーウェア/hiha/ウラニワ/Uttl/井上ヘノシタ(3)/shiron.(2)/筋肉ゴリラ王(3)/トカゲの産毛(2)/犬ドリル/さかまろ/すーず(2)/わんわんお/ハッスル運動会/さむちょ/フェイクファー/低血圧/理科インターネット(2)/伊勢八/DJBK/ノニバス(2)/屋内用雨傘/渇望/黒胡椒/はちわれ/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,4位,にいがた,色付ける工程あった,39,73.07,Heaven/花々/ギロッポンの課長/ここはが/こやや/幻/いち/ノーウェア/玄の字。/💃/国産/緑峰/金シャリ/かまとと/架空の島田/赤ドラの嶺上クス/すーず(2)/prpp/899/Hebereke/フェイクファー/クドウ/サンプリ/にんげんざむらい/低血圧/しおひがし/黒胡麻/伊勢八/まきびし/もんの神/粉石鹸/たくみす/のちほど/あくまでも名無し/屋内用雨傘/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,4位,国産,キャベツの上に腰を下ろした,39,73.07,Heaven/こどおに/ここはが/ヨシ太郎/アイワ/ノーウェア/まちょ/金シャリ(2)/ウラニワ/無明海/Uttl/劇団せき/架空の島田/シャンディガブガブ(2)/gas/ハッスル運動会/nya-./アンフィ/フェイクファー/大体いつも眠い人/低血圧/しおひがし/黒胡麻/埼京線/伊勢八/じゃん(2)/まきびし(2)/baseball /もんの神(2)/粉石鹸/屋内用雨傘/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,6位,信じろ,春を知らせる虫も殺した,38,72.05,シーサイド品川/ギロッポンの課長/にいがた(2)/みくすし/アイワ/何ともなきふぐ汁/ななぴ/砂漠/玄の字。/💃/国産/緑峰/山田生姜/hiha/かまとと/劇団せき/架空の島田/井上ヘノシタ/白藍/shiron./筋肉ゴリラ王/犬ドリル/水の水割り(2)/すーず/gas/フェイクファー/大体いつも眠い人/クドウ/雑兵/のちほど/かくれどり/黒胡椒/はちわれ/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,7位,アイワ,「私が作りました」で肥料の写真貼る,36,70.0,Heaven/ギロッポンの課長/にいがた/kubodi/こやや/とらぼーい/何ともなきふぐ汁/ノーウェア/玄の字。/立板に流水/まちょ/無明海/かきのたね/バッカス後藤/白藍(2)/さかまろ/わんわんお/鼻腔炭酸/899/もりそば/あとひとつ流星群/いいも/DJBK/粉石鹸/モルティオン/ノニバス/あくまでも名無し/屋内用雨傘/渇望/ぽんすけ(3)/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,8位,かまとと,今日みたいな日を死ぬまでじゃ,35,68.98,シーサイド品川/灰色こたつ/俺/ノーウェア(2)/緑峰(2)/山田生姜/金シャリ/ねこめんたい(2)/懐ヒロイン/Uttl/イタリア人/かきのたね/井上ヘノシタ/ミニお馬/水の水割り(2)/サンプリ/いいも/DJBK/まきびし/たくみす/ノニバス(2)/のちほど/あくまでも名無し/渇望/かくれどり/信じろ(2)/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,8位,何ともなきふぐ汁,満員電車に揺られて畑いく,35,68.98,ヨシ太郎/灰色こたつ(3)/アイワ/金シャリ/無明海/Uttl/かまとと/劇団せき/赤ドラの嶺上クス/トカゲの産毛/prpp/ハッスル運動会/古い絵画/クドウ(2)/低血圧/埼京線/理科インターネット/あとひとつ流星群/いいも/DJBK/たくみす/モルティオン/のちほど/毒ぶどう/ぽんすけ(3)/はちわれ/信じろ/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,10位,モチオ,まずはマヨネーズぶっかけて食ってみて欲しいね,34,67.96,Heaven/花々(2)/ヨシ太郎/こやや/蕎麦/砂漠/ノーウェア/玄の字。/まちょ/山田生姜/次善策(3)/無明海/劇団せき/かきのたね(2)/バッカス後藤/シャンディガブガブ/揚げたてメンチメン/さかまろ/鈴木ヘッジホッグ/水の水割り(2)/わんわんお/sasuke/アンフィ/899/にんげんざむらい/埼京線/あくまでも名無し/屋内用雨傘/渇望
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,10位,直ちに下校する,それはトラクターで轢く分,34,67.96,Heaven/花々/シーサイド品川/ギロッポンの課長/薄羽無縁/ここはが/灰色こたつ/とらぼーい/何ともなきふぐ汁/砂漠/玄の字。/山田生姜/ウラニワ/かきのたね/shiron./シャンディガブガブ/筋肉ゴリラ王/揚げたてメンチメン/迷探亭困難/prpp/nya-./鼻腔炭酸/chiwachiwa/にんげんざむらい(2)/ヨークシャベルナ/土星/まきびし/もんの神/屋内用雨傘/毒ぶどう/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,12位,hiha,食べれる部分も捨てた,33,66.94,ここはが/蕎麦(2)/幻/ななぴ/玄の字。/ウラニワ/かまとと/劇団せき/シャンディガブガブ/トカゲの産毛/揚げたてメンチメン/犬ドリル/鈴木ヘッジホッグ(2)/gas/鼻腔炭酸/フェイクファー/大体いつも眠い人/shiganhei/にんげんざむらい/黒胡麻/理科インターネット/雑兵/じゃん/粉石鹸/たくみす/のちほど/屋内用雨傘/信じろ/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,12位,仁義,カレンダーに「農業」と書く,33,66.94,aquaharuka/ギロッポンの課長/にいがた(2)/俺/みくすし/ななぴ/山田生姜/ウラニワ(3)/懐ヒロイン/劇団せき/架空の島田/井上ヘノシタ/白藍/鈴木ヘッジホッグ/ハッスル運動会/鼻腔炭酸(2)/低血圧/理科インターネット/あとひとつ流星群/いいも/まきびし/たくみす/毒ぶどう/黒胡椒/信じろ(2)/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,12位,低血圧,ゴボウで背中かいた,33,66.94,シーサイド品川/にいがた/kubodi/蕎麦(2)/アイワ/立板に流水/まちょ/緑峰/山田生姜/無明海/ちんほ。/仁義/劇団せき/架空の島田/筋肉ゴリラ王(2)/トカゲの産毛(3)/すーず(2)/みすちーZ/gas/古い絵画/フェイクファー/黒胡麻/あとひとつ流星群/まきびし/毒ぶどう/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,15位,Uttl,ただのぴりかを栽培する,29,62.85,花々/こやや/みくすし/ノーウェア(2)/立板に流水/次善策/かまとと/白藍/shiron./シャンディガブガブ/ミニお馬/鈴木ヘッジホッグ/わんわんお/shiganhei/クドウ/じゃん/ゆめみ/DJBK/もんの神/ノニバス/かくれどり(2)/ぽんすけ(3)/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,15位,ウラニワ,殴るように摘む,29,62.85,シーサイド品川/Nemui/灰色こたつ/ノーウェア/まちょ/かまとと/筋肉ゴリラ王/すーず/gas/chiwachiwa/古い絵画/フェイクファー/大体いつも眠い人/クドウ/黒胡麻/ヨークシャベルナ/あとひとつ流星群/伊勢八/雑兵/じゃん/ゆめみ/9月が終わったら起こして/たくみす/かくれどり/黒胡椒/信じろ/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,17位,井上ヘノシタ,マシな農薬です,28,61.83,Heaven/シーサイド品川/にいがた/Nemui/とらぼーい/俺/奏(2)/国産/hiha/かまとと/イタリア人/犬ドリル/さかまろ/水の水割り/みすちーZ/アンフィ/chiwachiwa/しおひがし/黒胡麻/ヨークシャベルナ/あとひとつ流星群/いいも/ごまもなか/信じろ/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,18位,まきびし,すごい流暢に英語しゃべる,27,60.81,aquaharuka/薄羽無縁/幻/アイワ/玄の字。/💃/国産/hiha/次善策(3)/無明海/仁義/架空の島田/トカゲの産毛/揚げたてメンチメン/shiganhei/理科インターネット(2)/あとひとつ流星群/伊勢八/9月が終わったら起こして/粉石鹸/モルティオン/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,18位,埼京線,品種って実は言ったもん勝ちなんですよね,27,60.81,ギロッポンの課長/こどおに/こやや/こねぎ/ノーウェア/緑峰/山田生姜/金シャリ/ねこめんたい/筋肉ゴリラ王/さかまろ(2)/nya-./899/Hebereke(3)/shiganhei/あとひとつ流星群/baseball /粉石鹸/ノニバス(2)/あくまでも名無し/投票ボーナス(3)
1762_1064_CRL,2023-11-12,125人,夢を壊す農家,NA,20位,shiganhei,"サプリメントを飲みまくっている
",26,59.78,こどおに/ここはが/俺/いち/何ともなきふぐ汁/ななぴ/直ちに下校する/劇団せき(2)/shiron.(2)/揚げたてメンチメン/鈴木ヘッジホッグ/sasuke/アンフィ/古い絵画/Hebereke(3)/サンプリ/ヨークシャベルナ/伊勢八/はちわれ/投票ボーナス(3)
