お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0246_9668_OZF,2023-11-14,100人,気狂いサーカスで一番盛り上がったこと,NA,1位,ルドンウドン,演技じゃないと分かった,29,78.74,大喜利の母/この後クリーム砲/F難度フェルナンド/鳥井ぬ/かきあげうどん/水の水割り/_ゆゆゆ/小倉ツイスト(2)/エリスロボエチン/理科インターネット/半ちく/灰色こたつ/クープラン/シーサイド品川/カナリカリガ・タカ/あっと/ばば/ドラゴンサンダル/白昼ドードー/クロレラサイダー/絶命/平凡ぽんち/おおちゃん@ジャン鶴/お嬢様ですわぁ(2)/投票ボーナス(3)
0246_9668_OZF,2023-11-14,100人,気狂いサーカスで一番盛り上がったこと,NA,2位,ねくび,麻酔銃に耐え抜いた,27,75.21,この後クリーム砲/田吾作(2)/きゃりーまらまら/てんまる/小倉ツイスト/マルイは二進法で5/ぱぴるす/犬ドリル/過疎バス/休憩新人ポンコツ/じす/ヨークシャベルナ/chiwachiwa/クープラン/随契/シーサイド品川/徒歩14分(2)/絶命/そにぃ(2)/平凡ぽんち/わんわんお/投票ボーナス(3)
0246_9668_OZF,2023-11-14,100人,気狂いサーカスで一番盛り上がったこと,NA,3位,きゃりーまらまら,追う警察も火の輪くぐった,25,71.67,この後クリーム砲/田吾作/マイケルコース/きまぐれ/鳥井ぬ/かきあげうどん/冷凍トイレ/半ちく/飯田故郷/じす/ヨークシャベルナ/💃/随契/きみをゆるさない。/シーサイド品川/エーシー/あっと/毒ぶどう/ヤシの木/クロレラサイダー/絶命/お嬢様ですわぁ/投票ボーナス(3)
0246_9668_OZF,2023-11-14,100人,気狂いサーカスで一番盛り上がったこと,NA,4位,きまぐれ,床まで届きそうな命綱が登場した,24,69.9,この後クリーム砲/ねこライト/F難度フェルナンド/鳥井ぬ/きゃりーまらまら(3)/かきあげうどん/ガ行/入力欄/半ちく/薄羽無縁/一酸化炭素(3)/犬ドリル/灰色こたつ/徒歩14分/hiha/曽根干潟/そにぃ/投票ボーナス(3)
0246_9668_OZF,2023-11-14,100人,気狂いサーカスで一番盛り上がったこと,NA,5位,あっと,作ってない声聞けた,23,68.13,大喜利の母/この後クリーム砲/田吾作/きまぐれ/F難度フェルナンド/遺跡発掘調査補助員/かきあげうどん/Chunbeam/半ちく/あるくうに/フェルメール(3)/わんこそば/鮒侍/白昼ドードー/クロレラサイダー/絶命/やや不安/ひよこ豆/投票ボーナス(3)
0246_9668_OZF,2023-11-14,100人,気狂いサーカスで一番盛り上がったこと,NA,5位,おおちゃん@ジャン鶴,産んでるところ見せる,23,68.13,この後クリーム砲/田吾作/かきあげうどん/マルイは二進法で5/半ちく/ヨークシャベルナ/💃/政信/鮒侍/徒歩14分/ぷるちぽん/SSR(2)/おだンゴ/森久保YesYes/絶命/やや不安(2)/平凡ぽんち/ひよこ豆/投票ボーナス(3)
0246_9668_OZF,2023-11-14,100人,気狂いサーカスで一番盛り上がったこと,NA,5位,かきあげうどん,折れた方の足で飛んだ,23,68.13,大喜利の母/きまぐれ/水の水割り/理科インターネット/半ちく/一酸化炭素/犬ドリル/飯田故郷/じす/ヨークシャベルナ/💃/chiwachiwa/わーるど/みつやLoL/クロレラサイダー/やや不安(2)/ひよこ豆(2)/お嬢様ですわぁ/投票ボーナス(3)
0246_9668_OZF,2023-11-14,100人,気狂いサーカスで一番盛り上がったこと,NA,5位,💃,死体を並べてThank youにした,23,68.13,大喜利の母/田吾作/きゃりーまらまら/続きを読む/Chunbeam/てんまる/筋肉ゴリラ王/小倉ツイスト/理科インターネット/半ちく/ナルシマアンバイ/じす/ヨークシャベルナ/chiwachiwa/あっと/毒ぶどう/クロレラサイダー(2)/やや不安/お嬢様ですわぁ/投票ボーナス(3)
0246_9668_OZF,2023-11-14,100人,気狂いサーカスで一番盛り上がったこと,NA,9位,白昼ドードー,真顔で痛みに耐えた,22,66.36,この後クリーム砲/遺跡発掘調査補助員/続きを読む/かきあげうどん/マルイは二進法で5/ルドンウドン/はいどぼーい/chiwachiwa/シーサイド品川/徒歩14分(2)/ねくび/ばば/ヤシの木(2)/曽根干潟/絶命/平凡ぽんち/おおちゃん@ジャン鶴/投票ボーナス(3)
0246_9668_OZF,2023-11-14,100人,気狂いサーカスで一番盛り上がったこと,NA,10位,ヨークシャベルナ,ピエロのLINE履歴を公開した,21,64.59,コナミスポーツ/てんまる/留学生/マルイは二進法で5/半ちく/薄羽無縁/休憩新人ポンコツ/クープラン/随契/毒ぶどう/切れかけの豆電球(3)/ヤシの木(2)/隈乃鼓動(3)/投票ボーナス(3)
